Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,13.05,13.4,12.95,13.35,204600
2017-01-04,1483488000,13.35,13.8,13.35,13.5,115100
2017-01-05,1483574400,13.35,13.45,13.2,13.2,101600
2017-01-06,1483660800,13.2,13.25,12.95,13.1,120100
2017-01-09,1483920000,13.05,13.2,13.0,13.05,72900
2017-01-10,1484006400,13.15,13.65,13.0,13.5,157000
2017-01-11,1484092800,13.5,13.75,13.45,13.7,143000
2017-01-12,1484179200,13.65,13.65,13.28,13.35,124900
2017-01-13,1484265600,13.4,13.5,13.1,13.2,98500
2017-01-17,1484611200,13.15,13.25,12.85,12.85,128700
2017-01-18,1484697600,12.9,13.05,12.7,13.0,142700
2017-01-19,1484784000,12.95,13.09,12.7,12.75,129900
2017-01-20,1484870400,12.75,13.0,12.75,12.75,99000
2017-01-23,1485129600,12.7,12.8,12.6,12.65,72500
2017-01-24,1485216000,12.65,13.05,12.6,13.05,117200
2017-01-25,1485302400,13.1,13.73,12.95,13.55,491600
2017-01-26,1485388800,13.55,13.75,13.15,13.2,112300
2017-01-27,1485475200,13.1,13.3,12.9,13.15,88500
2017-01-30,1485734400,13.0,13.35,12.9,13.25,155000
2017-01-31,1485820800,13.15,13.2,12.9,13.0,139000
2017-02-01,1485907200,12.9,13.15,12.55,12.55,143600
2017-02-02,1485993600,12.55,12.7,12.43,12.5,134300
2017-02-03,1486080000,12.65,12.7,12.5,12.6,71200
2017-02-06,1486339200,12.6,12.65,12.4,12.55,106800
2017-02-07,1486425600,12.4,12.78,12.35,12.5,180200
2017-02-08,1486512000,12.45,12.73,12.4,12.6,149200
2017-02-09,1486598400,12.5,13.0,12.5,12.85,232800
2017-02-10,1486684800,12.8,13.05,12.8,13.0,171300
2017-02-13,1486944000,13.1,13.4,13.1,13.25,299500
2017-02-14,1487030400,13.3,13.3,12.68,12.9,266600
2017-02-15,1487116800,13.55,14.15,13.15,13.8,819100
2017-02-16,1487203200,13.75,14.0,13.7,13.8,341800
2017-02-17,1487289600,13.8,13.95,13.45,13.5,308500
2017-02-21,1487635200,13.65,13.65,13.25,13.5,300500
2017-02-22,1487721600,13.5,13.68,13.25,13.3,164100
2017-02-23,1487808000,13.3,13.55,13.25,13.25,232100
2017-02-24,1487894400,13.1,13.3,13.05,13.3,151200
2017-02-27,1488153600,13.3,13.55,13.25,13.45,172600
2017-02-28,1488240000,13.35,13.45,13.05,13.05,169800
2017-03-01,1488326400,13.25,13.45,13.08,13.25,136900
2017-03-02,1488412800,13.2,13.3,12.9,12.95,175900
2017-03-03,1488499200,12.95,13.05,12.75,12.9,241400
2017-03-06,1488758400,12.85,13.25,12.75,13.15,154100
2017-03-07,1488844800,13.1,13.4,12.85,12.9,68000
2017-03-08,1488931200,12.95,13.1,12.8,12.95,128400
2017-03-09,1489017600,12.9,13.1,12.8,12.95,81400
2017-03-10,1489104000,13.05,13.05,12.85,12.95,89800
