Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,32.85,34.8,31.7,34.75,1414200
2017-01-04,1483488000,34.9,37.25,34.8,36.75,2277300
2017-01-05,1483574400,36.7,37.0,32.94,34.15,3215300
2017-01-06,1483660800,35.5,40.45,35.3,40.05,5222900
2017-01-09,1483920000,40.45,41.75,39.45,39.55,1666600
2017-01-10,1484006400,39.8,40.3,38.25,38.95,1064600
2017-01-11,1484092800,38.75,40.45,37.05,38.05,1785600
2017-01-12,1484179200,37.6,40.05,37.6,39.45,1199300
2017-01-13,1484265600,39.4,40.7,38.95,39.7,725200
2017-01-17,1484611200,39.05,39.73,37.75,39.5,1302700
2017-01-18,1484697600,39.75,39.8,38.45,39.6,938000
2017-01-19,1484784000,39.55,41.2,38.85,40.95,1065300
2017-01-20,1484870400,40.8,41.1,39.6,40.1,1028900
2017-01-23,1485129600,40.25,40.45,38.7,39.2,847000
2017-01-24,1485216000,39.3,39.8,38.78,38.95,424200
2017-01-25,1485302400,41.75,41.8,38.5,38.85,2724800
2017-01-26,1485388800,38.7,39.1,37.25,37.45,1098500
2017-01-27,1485475200,37.4,38.25,36.0,37.25,1172700
2017-01-30,1485734400,37.2,37.2,35.9,36.45,822400
2017-01-31,1485820800,36.35,38.63,35.75,38.45,852400
2017-02-01,1485907200,38.5,41.5,38.25,40.35,1466800
2017-02-02,1485993600,40.15,42.3,39.85,41.9,924500
2017-02-03,1486080000,42.15,42.65,41.1,42.5,575600
2017-02-06,1486339200,42.45,42.95,41.5,41.8,767500
2017-02-07,1486425600,42.0,42.15,41.25,41.75,934300
2017-02-08,1486512000,41.5,42.4,40.85,42.05,383700
2017-02-09,1486598400,42.05,43.45,42.05,42.4,664900
2017-02-10,1486684800,42.4,42.8,41.3,42.05,411900
2017-02-13,1486944000,42.45,42.45,41.1,41.6,863300
2017-02-14,1487030400,41.4,42.78,41.15,42.65,528100
2017-02-15,1487116800,42.35,44.65,42.35,44.15,659300
2017-02-16,1487203200,44.15,44.43,42.8,43.4,833900
2017-02-17,1487289600,43.45,44.05,42.95,43.7,439700
2017-02-21,1487635200,43.75,45.1,43.5,44.15,553500
2017-02-22,1487721600,44.95,44.95,42.65,43.15,547100
2017-02-23,1487808000,43.15,44.6,42.75,43.9,645300
2017-02-24,1487894400,44.0,44.35,42.95,43.45,447900
2017-02-27,1488153600,43.35,45.7,43.25,45.6,1287800
2017-02-28,1488240000,45.45,45.45,43.1,43.7,1318100
