Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,16.39,16.53,16.21,16.46,689800
2017-01-04,1483488000,16.51,16.93,16.51,16.78,1065400
2017-01-05,1483574400,16.69,16.9,16.54,16.83,616400
2017-01-06,1483660800,16.76,16.79,16.49,16.71,542900
2017-01-09,1483920000,16.73,16.74,16.32,16.41,885400
2017-01-10,1484006400,16.41,16.45,16.28,16.36,355200
2017-01-11,1484092800,16.31,16.32,16.11,16.13,604000
2017-01-12,1484179200,16.13,16.23,15.99,16.19,316500
2017-01-13,1484265600,16.19,16.31,16.1,16.16,322100
2017-01-17,1484611200,16.21,16.74,16.16,16.45,1047300
2017-01-18,1484697600,16.44,16.64,16.38,16.54,519300
2017-01-19,1484784000,16.53,16.53,16.34,16.49,611500
2017-01-20,1484870400,16.53,16.82,16.49,16.78,1155700
2017-01-23,1485129600,16.86,17.11,16.79,17.06,971200
2017-01-24,1485216000,17.08,17.14,16.91,17.12,597900
2017-01-25,1485302400,17.08,17.17,16.93,17.12,621700
2017-01-26,1485388800,17.14,17.2,17.09,17.14,597200
2017-01-27,1485475200,17.17,17.17,16.82,16.89,657000
2017-01-30,1485734400,16.82,16.99,16.69,16.99,904700
2017-01-31,1485820800,16.96,17.16,16.92,17.0,910200
2017-02-01,1485907200,17.06,17.1,16.67,16.72,634600
2017-02-02,1485993600,16.74,16.93,16.53,16.84,1193800
2017-02-03,1486080000,16.93,17.04,16.75,16.85,1017400
2017-02-06,1486339200,16.83,16.98,16.78,16.95,690600
2017-02-07,1486425600,16.9,17.08,16.82,16.84,548300
2017-02-08,1486512000,16.87,17.02,16.78,16.91,583600
2017-02-09,1486598400,16.6,17.22,16.6,17.03,546500
2017-02-10,1486684800,17.07,17.25,17.04,17.22,676600
2017-02-13,1486944000,17.25,17.36,17.02,17.17,574700
2017-02-14,1487030400,17.16,17.21,16.98,17.18,424000
2017-02-15,1487116800,17.05,17.24,16.96,17.23,1200600
