Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.38,1.45,1.34,1.41,95200
2017-01-04,1483488000,1.41,1.47,1.35,1.41,259700
2017-01-05,1483574400,1.43,1.47,1.41,1.45,92100
2017-01-06,1483660800,1.46,1.48,1.42,1.48,67400
2017-01-09,1483920000,1.47,1.47,1.36,1.37,177900
2017-01-10,1484006400,1.39,1.43,1.32,1.33,124900
2017-01-11,1484092800,1.36,1.4,1.32,1.35,30600
2017-01-12,1484179200,1.33,1.37,1.32,1.34,41100
2017-01-13,1484265600,1.33,1.38,1.31,1.35,30500
2017-01-17,1484611200,1.36,1.37,1.3,1.32,19800
2017-01-18,1484697600,1.32,1.34,1.25,1.3,82400
2017-01-19,1484784000,1.29,1.3,1.15,1.18,330500
2017-01-20,1484870400,1.2,1.28,1.2,1.2,156900
2017-01-23,1485129600,1.2,1.26,1.19,1.19,119500
2017-01-24,1485216000,1.2,1.26,1.2,1.24,67900
2017-01-25,1485302400,1.23,1.29,1.23,1.25,79800
2017-01-26,1485388800,1.25,1.29,1.25,1.29,66400
2017-01-27,1485475200,1.26,1.28,1.26,1.28,71400
2017-01-30,1485734400,1.28,1.28,1.25,1.27,34900
2017-01-31,1485820800,1.27,1.28,1.25,1.26,33200
2017-02-01,1485907200,1.26,1.29,1.25,1.27,25100
2017-02-02,1485993600,1.27,1.28,1.22,1.23,86100
2017-02-03,1486080000,1.23,1.25,1.21,1.22,91500
2017-02-06,1486339200,1.21,1.24,1.21,1.24,39700
2017-02-07,1486425600,1.24,1.24,1.22,1.22,76700
2017-02-08,1486512000,1.21,1.26,1.2,1.23,72700
2017-02-09,1486598400,1.24,1.26,1.17,1.19,114600
2017-02-10,1486684800,1.22,1.23,1.19,1.23,34200
2017-02-13,1486944000,1.23,1.24,1.16,1.2,86400
2017-02-14,1487030400,1.23,1.23,1.19,1.23,49500
2017-02-15,1487116800,1.2,1.25,1.2,1.22,25900
2017-02-16,1487203200,1.22,1.25,1.2,1.2,112900
2017-02-17,1487289600,1.2,1.28,1.2,1.27,125300
2017-02-21,1487635200,1.27,1.3,1.25,1.25,63400
2017-02-22,1487721600,1.25,1.27,1.22,1.26,44300
2017-02-23,1487808000,1.26,1.26,1.19,1.23,82900
2017-02-24,1487894400,1.22,1.24,1.21,1.22,35100
2017-02-27,1488153600,1.22,1.25,1.2,1.25,41200
2017-02-28,1488240000,1.25,1.27,1.22,1.25,175500
2017-03-01,1488326400,1.25,1.27,1.25,1.26,41800
2017-03-02,1488412800,1.25,1.29,1.25,1.28,181200
2017-03-03,1488499200,1.28,1.31,1.27,1.3,212800
2017-03-06,1488758400,1.3,1.39,1.29,1.37,179000
2017-03-07,1488844800,1.37,1.37,1.31,1.35,49400
2017-03-08,1488931200,1.38,1.45,1.34,1.42,285000
2017-03-09,1489017600,1.4,1.41,1.39,1.41,132300
2017-03-10,1489104000,1.4,1.65,1.4,1.55,1214900
2017-03-13,1489363200,1.57,1.65,1.56,1.62,253800
2017-03-14,1489449600,1.62,1.72,1.48,1.48,81700
2017-03-15,1489536000,1.48,1.55,1.47,1.51,54400
2017-03-16,1489622400,1.52,1.57,1.51,1.55,97900
2017-03-17,1489708800,1.56,1.6,1.51,1.6,64800
2017-03-20,1489968000,1.61,1.61,1.53,1.58,44100
2017-03-21,1490054400,1.55,1.6,1.53,1.55,146900
2017-03-22,1490140800,1.53,1.58,1.5,1.52,49600
2017-03-23,1490227200,1.5,1.55,1.49,1.5,42600
