Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,153.0,154.4,150.6,153.8,21285
2017-01-04,1483488000,153.4,160.6,153.36,160.0,41190
2017-01-05,1483574400,159.2,159.8,154.8,157.0,20685
2017-01-06,1483660800,157.2,158.5,155.8,155.8,18550
2017-01-09,1483920000,156.8,156.8,154.4,155.0,12040
2017-01-10,1484006400,156.0,156.0,153.2,153.6,11795
2017-01-11,1484092800,154.2,155.0,153.48,154.4,11520
2017-01-12,1484179200,155.0,156.0,152.38,153.6,12900
2017-01-13,1484265600,154.2,154.8,151.6,151.6,14510
2017-01-17,1484611200,153.0,153.4,151.6,152.0,16125
2017-01-18,1484697600,152.0,152.56,150.4,150.8,11800
2017-01-19,1484784000,150.6,151.28,149.8,149.8,11850
2017-01-20,1484870400,150.8,151.4,149.8,149.8,6865
2017-01-23,1485129600,150.6,150.8,149.8,150.2,13070
2017-01-24,1485216000,150.6,153.8,150.6,153.0,11220
2017-01-25,1485302400,153.8,154.4,151.0,151.8,11900
2017-01-26,1485388800,152.2,153.0,150.78,152.4,15540
2017-01-27,1485475200,152.4,152.4,150.6,151.2,8230
2017-01-30,1485734400,151.0,151.2,149.8,150.0,27105
2017-01-31,1485820800,149.6,150.8,148.8,149.2,13290
2017-02-01,1485907200,149.0,151.2,149.0,150.4,10845
2017-02-02,1485993600,151.0,151.8,150.2,150.6,22235
2017-02-03,1486080000,150.8,153.2,150.6,152.6,21255
2017-02-06,1486339200,152.2,155.7,150.8,155.2,16900
2017-02-07,1486425600,155.2,156.1,153.4,155.4,13180
2017-02-08,1486512000,154.6,156.0,154.2,155.8,11215
2017-02-09,1486598400,156.0,157.8,155.2,156.4,22140
2017-02-10,1486684800,157.2,161.0,156.8,160.0,32625
2017-02-13,1486944000,160.0,160.78,157.0,157.6,47185
2017-02-14,1487030400,157.2,158.8,156.8,157.2,17710
2017-02-15,1487116800,158.6,159.6,157.4,158.2,24605
2017-02-16,1487203200,158.6,158.6,156.0,157.6,39465
2017-02-17,1487289600,152.8,154.2,150.6,153.2,30320
2017-02-21,1487635200,152.4,155.8,151.4,155.6,26305
2017-02-22,1487721600,154.4,154.8,152.6,153.0,16915
2017-02-23,1487808000,152.6,153.6,151.8,153.6,18880
2017-02-24,1487894400,153.6,153.6,151.8,153.4,14505
2017-02-27,1488153600,153.8,153.8,151.8,153.2,14780
2017-02-28,1488240000,153.6,153.6,150.6,151.6,13830
2017-03-01,1488326400,153.2,153.4,151.6,152.4,12325
2017-03-02,1488412800,153.0,153.0,150.4,151.2,13025
2017-03-03,1488499200,151.6,152.6,150.6,152.2,9395
2017-03-06,1488758400,151.2,152.2,149.4,150.6,11650
2017-03-07,1488844800,150.4,150.8,149.8,150.2,9130
2017-03-08,1488931200,150.8,151.6,149.8,150.0,8720
2017-03-09,1489017600,149.8,150.4,147.6,148.0,21520
2017-03-10,1489104000,149.0,150.8,148.6,149.2,14385
2017-03-13,1489363200,149.6,151.0,149.4,150.4,13855
2017-03-14,1489449600,150.2,150.4,149.6,150.0,10510
2017-03-15,1489536000,150.4,151.0,149.8,151.0,19010
2017-03-16,1489622400,152.0,152.4,149.6,149.6,19460
2017-03-17,1489708800,150.6,153.2,149.8,152.8,48935
2017-03-20,1489968000,153.0,153.0,151.6,152.2,10310
2017-03-21,1490054400,152.8,152.8,150.6,151.0,15925
2017-03-22,1490140800,150.8,151.8,148.4,148.6,17700
2017-03-23,1490227200,148.6,150.8,148.6,149.6,12120
2017-03-24,1490313600,151.0,152.6,150.0,151.4,13360
2017-03-27,1490572800,150.8,151.6,150.0,151.0,13305
2017-03-28,1490659200,151.2,151.72,150.1,151.0,10410
2017-03-29,1490745600,151.2,153.0,150.06,152.8,11340
2017-03-30,1490832000,152.8,154.6,152.2,154.6,15820
2017-03-31,1490918400,154.4,154.8,153.4,153.8,11620
2017-04-03,1491177600,153.8,154.4,153.0,153.2,6055
2017-04-04,1491264000,153.0,153.0,151.5,152.8,8455
2017-04-05,1491350400,153.6,153.8,151.0,151.0,10030
2017-04-06,1491436800,151.8,153.1,151.2,152.6,6945
2017-04-07,1491523200,152.4,153.6,151.2,153.2,8540
2017-04-10,1491782400,153.2,154.4,153.0,154.4,9870
2017-04-11,1491868800,154.4,156.4,153.44,156.4,18215
2017-04-12,1491955200,155.6,156.0,154.2,154.8,17750
2017-04-13,1492041600,154.6,155.4,154.0,154.4,9460
2017-04-17,1492387200,154.4,156.0,154.4,155.0,7370
2017-04-18,1492473600,155.0,156.0,154.3,155.6,10690
2017-04-19,1492560000,155.8,156.0,154.6,155.2,7290
2017-04-20,1492646400,155.2,155.6,153.28,155.0,8985
2017-04-21,1492732800,154.6,156.0,154.0,154.6,6530
2017-04-24,1492992000,155.6,156.0,153.4,154.6,8930
2017-04-25,1493078400,155.2,157.6,155.2,156.8,13825
2017-04-26,1493164800,156.8,157.8,155.6,156.0,11875
2017-04-27,1493251200,156.2,156.2,154.5,155.0,7300
2017-04-28,1493337600,155.0,155.2,153.2,154.4,8830
2017-05-01,1493596800,154.8,154.8,153.4,154.0,5895
2017-05-02,1493683200,154.0,155.6,154.0,155.2,7860
2017-05-03,1493769600,155.0,155.0,152.6,153.2,11175
2017-05-04,1493856000,154.0,154.0,150.1,150.4,10640
2017-05-05,1493942400,151.4,153.2,150.2,152.4,7020
2017-05-08,1494201600,152.0,153.4,151.0,151.0,11870
2017-05-09,1494288000,143.0,143.4,125.8,126.6,104060
2017-05-10,1494374400,127.0,128.0,121.62,122.6,90340
2017-05-11,1494460800,123.0,124.5,121.8,123.4,31935
2017-05-12,1494547200,124.0,125.4,122.8,123.8,33090
2017-05-15,1494806400,124.0,124.4,121.8,123.0,33105
2017-05-16,1494892800,123.2,124.6,121.8,123.0,38935
2017-05-17,1494979200,123.0,124.4,121.0,123.2,35335
2017-05-18,1495065600,123.0,126.4,122.6,125.2,26255
2017-05-19,1495152000,125.0,126.0,122.8,123.6,35935
2017-05-22,1495411200,121.2,123.74,120.8,122.6,34830
2017-05-23,1495497600,123.0,123.8,121.6,123.6,28420
2017-05-24,1495584000,124.0,124.0,119.2,119.2,51710
2017-05-25,1495670400,120.4,123.4,119.6,119.8,48360
2017-05-26,1495756800,119.8,122.4,119.6,120.0,29350
2017-05-30,1496102400,120.0,122.6,120.0,122.0,31350
2017-05-31,1496188800,122.0,123.0,121.0,121.8,33600
2017-06-01,1496275200,122.0,123.3,121.0,122.6,17485
2017-06-02,1496361600,121.6,123.4,121.6,122.0,24910
2017-06-05,1496620800,121.6,122.6,120.6,121.8,32650
2017-06-06,1496707200,121.2,122.6,119.0,121.2,34480
2017-06-07,1496793600,121.0,122.8,120.4,121.6,28055
2017-06-08,1496880000,122.0,123.8,121.8,122.6,26340
2017-06-09,1496966400,122.2,124.0,121.6,123.0,25300
2017-06-12,1497225600,122.6,124.6,122.4,124.0,23895
2017-06-13,1497312000,125.0,126.32,123.4,126.0,31050
2017-06-14,1497398400,125.4,125.8,122.0,125.6,24905
2017-06-15,1497484800,123.6,126.2,123.4,125.2,21890
2017-06-16,1497571200,125.8,127.6,125.8,127.6,35520
2017-06-19,1497830400,128.0,129.0,127.2,127.4,21155
2017-06-20,1497916800,126.8,128.2,124.6,124.8,28730
2017-06-21,1498003200,125.0,126.0,124.0,124.8,31160
2017-06-22,1498089600,124.2,125.8,124.2,125.2,20375
2017-06-23,1498176000,125.2,127.62,125.2,127.4,24545
2017-06-26,1498435200,128.0,128.6,127.4,127.6,21160
2017-06-27,1498521600,127.2,128.2,125.8,126.0,24325
2017-06-28,1498608000,126.6,128.2,126.4,126.8,20310
2017-06-29,1498694400,127.8,129.0,127.6,129.0,19680
2017-06-30,1498780800,129.0,129.4,127.8,127.8,18145
2017-07-03,1499040000,128.0,129.4,128.0,129.2,7850
2017-07-05,1499212800,128.8,128.8,128.0,128.2,14305
