Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,13.86,13.98,13.77,13.98,760900
2017-01-04,1483488000,14.02,14.22,13.94,14.14,706500
2017-01-05,1483574400,14.08,14.47,13.98,14.39,746100
2017-01-06,1483660800,14.3,14.39,14.24,14.26,299600
2017-01-09,1483920000,14.26,14.26,14.05,14.06,606300
2017-01-10,1484006400,14.05,14.1,13.98,14.06,534600
2017-01-11,1484092800,14.05,14.11,13.95,13.95,566500
2017-01-12,1484179200,14.01,14.01,13.84,13.96,613000
2017-01-13,1484265600,13.95,14.02,13.83,13.98,463900
2017-01-17,1484611200,13.99,14.14,13.94,14.14,454000
2017-01-18,1484697600,14.17,14.26,14.09,14.22,477300
2017-01-19,1484784000,14.21,14.21,14.02,14.15,447600
2017-01-20,1484870400,14.13,14.26,14.02,14.26,1345500
2017-01-23,1485129600,14.27,14.46,14.21,14.4,1178600
2017-01-24,1485216000,14.38,14.6,14.34,14.57,659700
2017-01-25,1485302400,14.57,14.85,14.57,14.64,1576500
2017-01-26,1485388800,14.64,14.86,14.64,14.69,1322200
2017-01-27,1485475200,14.71,14.71,14.5,14.6,643800
2017-01-30,1485734400,14.5,14.55,14.4,14.48,619000
2017-01-31,1485820800,14.52,14.66,14.33,14.38,1380800
2017-02-01,1485907200,14.36,14.56,14.08,14.17,1039800
2017-02-02,1485993600,14.16,14.31,14.14,14.26,393400
2017-02-03,1486080000,14.4,14.47,14.2,14.39,951000
2017-02-06,1486339200,14.36,14.46,14.35,14.43,461100
2017-02-07,1486425600,14.45,14.57,14.36,14.39,818600
2017-02-08,1486512000,14.45,14.45,14.26,14.33,767800
2017-02-09,1486598400,14.36,14.46,14.29,14.39,346700
2017-02-10,1486684800,14.43,14.52,14.39,14.51,456400
2017-02-13,1486944000,14.58,14.63,14.41,14.58,454400
2017-02-14,1487030400,14.51,14.55,14.38,14.48,941400
2017-02-15,1487116800,14.45,14.53,14.32,14.51,651400
2017-02-16,1487203200,14.55,14.76,14.55,14.7,856000
2017-02-17,1487289600,14.69,14.78,14.61,14.77,890400
2017-02-21,1487635200,14.88,14.94,14.66,14.9,1667200
2017-02-22,1487721600,14.9,14.92,14.7,14.74,1008300
