Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,29.73,30.39,29.59,30.39,572200
2017-01-04,1483488000,30.36,30.95,30.27,30.42,895800
2017-01-05,1483574400,30.43,30.85,30.34,30.43,871500
2017-01-06,1483660800,30.43,31.11,30.31,31.1,376900
2017-01-09,1483920000,31.15,31.26,30.92,31.08,678600
2017-01-10,1484006400,31.11,31.62,30.96,31.39,581000
2017-01-11,1484092800,31.38,31.52,30.98,31.14,292300
2017-01-12,1484179200,30.99,31.43,30.91,31.4,244700
2017-01-13,1484265600,31.43,31.82,31.33,31.8,261900
2017-01-17,1484611200,31.74,31.94,31.44,31.91,284800
2017-01-18,1484697600,32.02,32.13,31.68,32.04,353000
2017-01-19,1484784000,31.96,32.06,31.61,31.63,347500
2017-01-20,1484870400,31.78,31.84,31.57,31.67,214600
2017-01-23,1485129600,31.62,31.62,31.08,31.09,430400
2017-01-24,1485216000,31.05,31.14,30.62,30.97,1254600
2017-01-25,1485302400,30.95,31.12,30.68,30.7,807700
2017-01-26,1485388800,30.72,31.09,30.57,30.81,839400
2017-01-27,1485475200,30.93,30.93,30.34,30.53,809200
2017-01-30,1485734400,30.36,30.46,30.13,30.31,453200
2017-01-31,1485820800,30.35,31.16,30.28,31.15,623000
2017-02-01,1485907200,31.18,31.45,30.77,30.95,357500
2017-02-02,1485993600,30.99,31.12,30.67,30.78,417200
2017-02-03,1486080000,30.73,31.32,30.67,31.13,503400
2017-02-06,1486339200,31.01,31.54,30.88,31.46,704900
2017-02-07,1486425600,30.84,31.19,28.5,30.07,2003200
2017-02-08,1486512000,30.13,30.5,30.04,30.39,962100
2017-02-09,1486598400,30.45,30.86,30.33,30.77,597900
2017-02-10,1486684800,30.77,30.94,30.35,30.63,491100
2017-02-13,1486944000,30.7,30.89,30.51,30.85,608400
2017-02-14,1487030400,30.86,31.27,30.86,31.24,367800
2017-02-15,1487116800,31.13,31.21,30.72,30.74,501300
2017-02-16,1487203200,30.86,30.91,30.37,30.51,459800
2017-02-17,1487289600,30.5,30.71,30.28,30.65,416000
2017-02-21,1487635200,30.57,31.03,30.39,30.91,358700
2017-02-22,1487721600,30.8,31.27,30.8,31.02,467100
2017-02-23,1487808000,30.98,31.11,30.69,30.74,553200
2017-02-24,1487894400,30.58,30.75,30.55,30.64,561900
2017-02-27,1488153600,30.62,31.36,30.49,31.34,922800
2017-02-28,1488240000,31.11,31.32,30.59,30.73,613700
2017-03-01,1488326400,30.79,31.06,30.6,30.79,375800
2017-03-02,1488412800,30.84,30.84,30.54,30.7,283100
2017-03-03,1488499200,30.41,30.66,30.34,30.46,706300
2017-03-06,1488758400,30.32,30.54,30.24,30.39,348500
2017-03-07,1488844800,30.38,30.4,29.99,30.05,339800
2017-03-08,1488931200,30.08,30.19,29.95,30.11,254700
2017-03-09,1489017600,30.1,30.21,29.93,30.1,235100
2017-03-10,1489104000,30.27,30.29,29.92,30.16,256300
2017-03-13,1489363200,29.88,30.45,29.88,30.37,348200
2017-03-14,1489449600,30.31,30.33,29.98,30.28,236500
2017-03-15,1489536000,30.11,30.88,30.11,30.6,598800
2017-03-16,1489622400,30.61,30.81,30.33,30.5,345600
2017-03-17,1489708800,30.5,30.54,30.1,30.41,314400
2017-03-20,1489968000,30.4,30.68,29.94,30.1,1149200
2017-03-21,1490054400,30.22,30.61,29.61,29.67,607200
2017-03-22,1490140800,29.65,29.74,29.26,29.43,235400
2017-03-23,1490227200,29.42,29.53,29.13,29.19,276500
2017-03-24,1490313600,29.23,29.63,29.14,29.43,528400
2017-03-27,1490572800,29.32,29.69,29.32,29.58,320000
2017-03-28,1490659200,30.45,31.18,30.13,31.14,888100
2017-03-29,1490745600,31.16,31.17,30.76,30.97,462100
2017-03-30,1490832000,30.82,31.21,30.76,31.17,261900
2017-03-31,1490918400,31.14,31.38,31.05,31.12,318100
2017-04-03,1491177600,31.13,31.48,31.11,31.39,472300
2017-04-04,1491264000,31.39,31.39,30.97,31.08,466600
2017-04-05,1491350400,31.19,31.41,30.87,30.97,349100
2017-04-06,1491436800,30.98,31.54,30.72,31.54,475200
2017-04-07,1491523200,31.58,31.61,31.25,31.52,545300
2017-04-10,1491782400,31.53,32.18,31.25,32.12,757000
2017-04-11,1491868800,32.27,32.48,31.89,32.35,524200
2017-04-12,1491955200,32.31,32.31,31.77,31.88,362400
2017-04-13,1492041600,31.88,31.98,31.65,31.78,261800
2017-04-17,1492387200,31.75,32.17,31.75,31.98,331200
2017-04-18,1492473600,31.95,31.95,31.62,31.8,322900
2017-04-19,1492560000,31.93,32.27,31.8,32.26,298600
2017-04-20,1492646400,32.44,32.48,32.03,32.42,361600
2017-04-21,1492732800,32.38,32.44,32.17,32.28,231400
2017-04-24,1492992000,32.64,32.73,32.31,32.55,320900
2017-04-25,1493078400,32.73,32.81,32.37,32.71,392400
2017-04-26,1493164800,32.78,32.92,32.51,32.65,287800
2017-04-27,1493251200,32.74,32.74,32.39,32.63,195100
2017-04-28,1493337600,32.52,33.09,32.51,33.05,322700
2017-05-01,1493596800,33.1,33.21,32.89,33.07,406000
2017-05-02,1493683200,33.14,33.49,32.69,33.09,677100
2017-05-03,1493769600,33.13,33.13,32.64,32.84,503300
2017-05-04,1493856000,32.81,33.21,32.75,33.13,431500
2017-05-05,1493942400,33.24,33.41,32.9,33.1,490700
2017-05-08,1494201600,33.05,33.35,32.8,32.91,416100
2017-05-09,1494288000,32.27,33.59,31.76,33.23,1236600
2017-05-10,1494374400,33.27,33.71,33.27,33.41,439600
2017-05-11,1494460800,33.19,34.18,33.16,34.14,526500
2017-05-12,1494547200,34.05,34.13,33.81,34.08,404400
2017-05-15,1494806400,34.19,34.28,33.81,33.96,584500
2017-05-16,1494892800,33.91,34.27,33.31,33.49,275800
2017-05-17,1494979200,33.17,33.56,32.87,33.46,503200
2017-05-18,1495065600,33.35,33.69,33.13,33.59,503200
2017-05-19,1495152000,33.63,34.01,33.59,33.83,310600
2017-05-22,1495411200,33.94,34.13,33.72,33.75,299600
2017-05-23,1495497600,33.93,33.93,33.16,33.22,416000
2017-05-24,1495584000,33.32,33.51,33.08,33.4,606900
2017-05-25,1495670400,33.65,34.21,33.59,34.14,588100
2017-05-26,1495756800,34.1,34.23,33.85,34.05,150600
2017-05-30,1496102400,34.12,34.2,33.85,33.92,231400
2017-05-31,1496188800,33.92,34.13,33.58,33.75,315700
2017-06-01,1496275200,33.88,34.34,33.85,34.31,454100
2017-06-02,1496361600,34.28,34.86,34.28,34.58,251700
2017-06-05,1496620800,34.64,34.75,34.26,34.58,664300
2017-06-06,1496707200,34.66,34.66,34.4,34.49,332600
2017-06-07,1496793600,34.52,34.64,34.35,34.53,268700
2017-06-08,1496880000,34.57,34.88,34.4,34.82,216700
2017-06-09,1496966400,34.84,35.04,34.75,34.83,380200
2017-06-12,1497225600,34.59,34.68,34.06,34.48,492400
2017-06-13,1497312000,34.41,34.71,34.1,34.54,504500
2017-06-14,1497398400,34.65,34.83,34.33,34.5,345200
2017-06-15,1497484800,34.32,34.39,33.79,34.21,241100
2017-06-16,1497571200,34.18,34.56,34.08,34.53,592000
2017-06-19,1497830400,34.5,34.78,34.45,34.56,441300
2017-06-20,1497916800,34.51,34.58,34.08,34.15,390000
2017-06-21,1498003200,34.16,34.62,34.14,34.22,338400
2017-06-22,1498089600,34.22,34.72,34.22,34.4,225900
2017-06-23,1498176000,34.39,34.56,34.14,34.56,603000
2017-06-26,1498435200,34.6,35.03,34.56,34.81,321500
2017-06-27,1498521600,34.05,34.93,34.05,34.2,213900
2017-06-28,1498608000,34.27,34.67,34.06,34.57,284400
2017-06-29,1498694400,34.64,35.2,34.45,35.15,369900
