Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,11.2,11.2,10.68,10.92,73200
2017-01-04,1483488000,10.95,11.17,10.95,11.16,75000
2017-01-05,1483574400,10.87,10.98,10.39,10.42,75100
2017-01-06,1483660800,10.61,11.03,10.54,10.93,81000
2017-01-09,1483920000,10.91,11.07,10.79,10.87,58400
2017-01-10,1484006400,10.81,10.97,10.71,10.94,40500
2017-01-11,1484092800,10.85,10.98,10.83,10.97,51300
2017-01-12,1484179200,10.95,11.0,10.66,10.71,39000
2017-01-13,1484265600,10.78,10.95,10.54,10.55,98900
2017-01-17,1484611200,10.49,10.62,10.48,10.59,66300
2017-01-18,1484697600,10.68,10.74,10.56,10.71,22900
2017-01-19,1484784000,10.76,10.78,10.52,10.54,31600
2017-01-20,1484870400,10.55,10.73,10.52,10.58,40300
2017-01-23,1485129600,10.56,10.82,10.48,10.55,36800
2017-01-24,1485216000,10.58,10.92,10.52,10.87,46000
2017-01-25,1485302400,10.97,11.14,10.89,11.12,63800
2017-01-26,1485388800,11.11,11.11,10.75,10.88,27700
2017-01-27,1485475200,10.87,11.11,10.86,11.04,22400
2017-01-30,1485734400,11.07,11.08,10.61,10.62,47500
2017-01-31,1485820800,10.64,10.84,10.61,10.82,38300
2017-02-01,1485907200,10.88,10.94,10.65,10.73,39900
2017-02-02,1485993600,10.66,10.91,10.66,10.74,29100
2017-02-03,1486080000,10.84,10.91,10.71,10.9,31300
2017-02-06,1486339200,10.79,10.89,10.63,10.66,23300
2017-02-07,1486425600,10.66,10.9,10.66,10.87,49300
2017-02-08,1486512000,10.84,11.13,10.76,10.8,35700
2017-02-09,1486598400,10.74,11.28,10.74,11.2,59700
2017-02-10,1486684800,11.24,11.55,11.23,11.52,47000
2017-02-13,1486944000,11.6,11.7,11.53,11.56,53200
2017-02-14,1487030400,11.51,11.51,11.36,11.4,45800
2017-02-15,1487116800,11.39,11.43,11.3,11.37,35600
2017-02-16,1487203200,11.36,11.63,11.36,11.53,21700
2017-02-17,1487289600,11.55,11.55,11.2,11.23,64800
2017-02-21,1487635200,11.24,11.44,11.24,11.41,41700
2017-02-22,1487721600,11.4,11.5,11.28,11.49,50400
2017-02-23,1487808000,11.44,11.5,11.27,11.33,36600
2017-02-24,1487894400,11.27,11.36,11.21,11.33,42500
2017-02-27,1488153600,11.27,11.54,11.27,11.49,42000
2017-02-28,1488240000,11.43,11.47,11.26,11.28,36300
2017-03-01,1488326400,11.47,11.63,11.31,11.56,42500
2017-03-02,1488412800,11.56,11.95,11.5,11.8,117200
2017-03-03,1488499200,11.83,11.83,11.31,11.4,91000
2017-03-06,1488758400,11.36,11.42,11.27,11.27,89800
2017-03-07,1488844800,11.29,11.36,11.26,11.27,55600
2017-03-08,1488931200,11.27,11.41,11.16,11.21,34700
2017-03-09,1489017600,11.1,11.29,10.92,10.94,25200
2017-03-10,1489104000,11.02,11.02,10.84,10.85,44700
2017-03-13,1489363200,10.87,11.0,10.74,10.79,40000
2017-03-14,1489449600,10.82,10.9,10.72,10.84,34800
2017-03-15,1489536000,10.85,11.21,10.85,11.13,43500
2017-03-16,1489622400,11.11,11.15,11.01,11.06,34400
2017-03-17,1489708800,11.06,11.3,11.06,11.27,149000
2017-03-20,1489968000,11.26,11.37,11.0,11.08,30600
2017-03-21,1490054400,11.11,11.11,10.84,10.87,43400
2017-03-22,1490140800,10.87,10.92,10.65,10.81,80000
2017-03-23,1490227200,10.76,10.92,10.69,10.78,37600
2017-03-24,1490313600,10.81,10.84,10.65,10.69,64400
2017-03-27,1490572800,10.65,10.8,10.65,10.73,77000
2017-03-28,1490659200,10.71,10.76,10.65,10.72,42900
2017-03-29,1490745600,10.71,10.87,10.68,10.78,21200
2017-03-30,1490832000,10.79,11.0,10.75,10.77,53300
2017-03-31,1490918400,10.83,10.83,10.55,10.6,216900
2017-04-03,1491177600,10.6,10.82,10.1,10.12,85800
2017-04-04,1491264000,10.13,10.34,10.04,10.07,159900
2017-04-05,1491350400,10.15,10.26,9.88,9.97,122500
2017-04-06,1491436800,9.98,10.09,9.92,10.07,55400
2017-04-07,1491523200,10.01,10.09,9.93,10.02,48300
2017-04-10,1491782400,10.18,10.18,9.95,10.06,51100
2017-04-11,1491868800,9.98,10.04,9.92,9.95,65700
2017-04-12,1491955200,9.95,9.98,9.69,9.83,40400
2017-04-13,1492041600,9.77,9.8,9.63,9.66,23800
2017-04-17,1492387200,9.73,9.79,9.54,9.74,66200
2017-04-18,1492473600,9.66,10.0,9.62,9.85,61000
2017-04-19,1492560000,9.99,10.15,9.81,10.14,87900
2017-04-20,1492646400,10.17,10.28,10.04,10.21,107700
