Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,29.88,30.14,29.49,29.88,106300
2017-01-04,1483488000,30.1,30.19,29.57,29.75,74700
2017-01-05,1483574400,29.66,29.75,28.92,28.96,83500
2017-01-06,1483660800,29.14,29.22,28.7,28.79,74000
2017-01-09,1483920000,28.57,28.74,28.13,28.35,94100
2017-01-10,1484006400,28.52,29.27,28.08,28.74,98400
2017-01-11,1484092800,28.74,29.05,28.57,28.87,46400
2017-01-12,1484179200,28.65,28.79,28.0,28.57,64500
2017-01-13,1484265600,28.7,29.14,28.57,28.92,57300
2017-01-17,1484611200,28.7,28.7,27.82,27.82,66500
2017-01-18,1484697600,27.87,28.13,27.57,27.91,63500
2017-01-19,1484784000,27.95,28.22,27.69,27.82,50900
2017-01-20,1484870400,27.87,28.17,27.65,28.08,93000
2017-01-23,1485129600,28.13,28.39,27.95,28.17,66800
2017-01-24,1485216000,29.53,30.45,28.87,30.32,172100
2017-01-25,1485302400,30.63,31.46,30.63,31.02,107100
2017-01-26,1485388800,30.85,31.41,30.45,30.58,56000
2017-01-27,1485475200,30.54,31.06,30.19,30.67,63700
2017-01-30,1485734400,30.58,30.6,29.4,29.57,88600
2017-01-31,1485820800,29.53,29.66,29.0,29.62,66800
2017-02-01,1485907200,29.75,30.28,29.27,29.62,48200
2017-02-02,1485993600,29.57,29.75,29.22,29.44,72800
2017-02-03,1486080000,29.71,29.93,29.53,29.88,39200
2017-02-06,1486339200,29.88,30.06,29.62,29.71,53000
2017-02-07,1486425600,29.88,30.1,29.05,29.4,88700
2017-02-08,1486512000,29.36,29.4,29.0,29.22,113700
2017-02-09,1486598400,29.4,29.75,29.22,29.53,31700
2017-02-10,1486684800,29.84,30.28,29.66,29.88,73000
2017-02-13,1486944000,30.1,30.1,29.22,29.84,103500
2017-02-14,1487030400,29.79,30.01,29.4,29.79,70600
2017-02-15,1487116800,29.75,30.28,29.62,30.28,57200
2017-02-16,1487203200,30.28,30.28,29.49,29.84,56900
2017-02-17,1487289600,29.88,29.88,29.49,29.53,76200
2017-02-21,1487635200,29.53,29.91,29.36,29.57,62700
2017-02-22,1487721600,29.36,29.71,29.14,29.71,86400
2017-02-23,1487808000,29.71,29.79,28.83,28.92,80400
2017-02-24,1487894400,28.65,29.18,28.65,29.0,72300
2017-02-27,1488153600,29.09,30.23,28.92,30.14,125400
2017-02-28,1488240000,29.88,30.19,29.05,29.22,135400
2017-03-01,1488326400,29.57,30.67,29.57,30.49,112900
2017-03-02,1488412800,30.32,30.32,29.4,29.44,52200
2017-03-03,1488499200,29.31,29.71,28.79,28.96,119000
2017-03-06,1488758400,28.74,28.83,28.35,28.7,137000
2017-03-07,1488844800,29.53,30.45,28.08,28.44,170100
2017-03-08,1488931200,28.3,28.65,27.34,27.38,124600
2017-03-09,1489017600,27.21,27.38,26.6,26.68,99600
2017-03-10,1489104000,26.86,27.03,26.29,26.33,166300
2017-03-13,1489363200,25.76,26.17,25.28,25.5,253800
2017-03-14,1489449600,25.24,26.11,25.19,26.07,269800
2017-03-15,1489536000,26.11,26.68,26.07,26.51,121700
2017-03-16,1489622400,26.77,26.77,25.59,25.94,150300
2017-03-17,1489708800,25.93,26.15,25.58,25.97,253200
2017-03-20,1489968000,25.88,25.88,25.22,25.31,173400
2017-03-21,1490054400,25.4,25.75,25.27,25.66,186600
2017-03-22,1490140800,25.53,25.84,25.44,25.66,144100
2017-03-23,1490227200,25.66,26.46,25.49,26.28,122400
2017-03-24,1490313600,26.42,26.77,26.24,26.37,108200
2017-03-27,1490572800,26.15,26.68,25.84,26.59,87800
2017-03-28,1490659200,26.59,26.99,26.42,26.86,172000
2017-03-29,1490745600,26.86,27.21,26.77,26.99,63000
