Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,230.64,237.15,218.86,221.65,2369
2017-01-04,1483488000,219.48,232.5,209.25,210.65,4320
2017-01-05,1483574400,209.4,215.45,201.5,203.82,3627
2017-01-06,1483660800,203.82,204.45,161.35,175.15,8965
2017-01-09,1483920000,183.68,193.75,173.6,186.0,2472
2017-01-10,1484006400,184.45,193.75,170.5,187.55,2651
2017-01-11,1484092800,187.55,192.98,178.25,187.55,2057
2017-01-12,1484179200,192.2,198.4,177.48,181.35,2119
2017-01-13,1484265600,181.04,198.4,179.18,186.0,2781
2017-01-17,1484611200,187.55,199.95,182.9,184.45,4455
2017-01-18,1484697600,188.95,193.75,182.59,186.0,3034
2017-01-19,1484784000,184.14,189.1,178.25,181.2,2658
2017-01-20,1484870400,179.8,186.0,178.4,181.35,1127
2017-01-23,1485129600,180.26,184.45,175.15,179.65,1372
2017-01-24,1485216000,187.55,189.1,175.77,181.35,3174
2017-01-25,1485302400,182.59,185.85,178.25,180.42,1065
2017-01-26,1485388800,178.4,178.4,156.55,165.85,6045
2017-01-27,1485475200,167.87,178.1,165.85,170.5,1899
2017-01-30,1485734400,174.38,181.35,170.5,175.15,3804
2017-01-31,1485820800,179.8,182.9,176.7,177.48,1262
2017-02-01,1485907200,177.94,180.57,175.15,177.32,1218
2017-02-02,1485993600,178.25,179.8,175.3,178.25,1260
2017-02-03,1486080000,178.56,180.11,175.46,180.11,1487
2017-02-06,1486339200,182.12,184.45,178.25,182.28,2510
2017-02-07,1486425600,181.82,198.4,181.35,192.51,3379
2017-02-08,1486512000,192.98,193.44,155.0,167.4,5184
2017-02-09,1486598400,177.94,185.23,158.1,162.29,1869
2017-02-10,1486684800,162.29,166.62,157.32,159.49,1528
2017-02-13,1486944000,161.98,175.93,155.0,174.38,2223
2017-02-14,1487030400,173.76,177.48,162.75,172.05,1207
2017-02-15,1487116800,172.05,179.8,170.5,176.7,1239
2017-02-16,1487203200,175.62,178.25,170.5,175.15,1093
2017-02-17,1487289600,174.38,178.25,170.5,178.25,863
2017-02-21,1487635200,174.38,186.0,168.95,170.35,1743
2017-02-22,1487721600,172.21,178.25,158.88,164.3,2875
2017-02-23,1487808000,165.38,176.7,165.38,175.15,2849
2017-02-24,1487894400,171.9,174.38,166.32,171.27,1709
2017-02-27,1488153600,181.35,186.0,168.33,171.27,1803
2017-02-28,1488240000,173.29,176.7,167.24,172.36,894
2017-03-01,1488326400,171.74,176.7,168.33,168.33,1132
2017-03-02,1488412800,170.19,171.27,162.75,165.07,2071
2017-03-03,1488499200,170.5,170.5,165.07,167.4,1116
2017-03-06,1488758400,165.85,168.95,158.1,164.3,914
2017-03-07,1488844800,166.62,167.4,158.88,164.3,1698
2017-03-08,1488931200,163.99,167.4,159.65,163.52,1170
2017-03-09,1489017600,162.44,170.35,160.12,161.2,1621
2017-03-10,1489104000,165.38,165.38,159.03,161.66,721
2017-03-13,1489363200,161.51,162.44,155.46,155.77,1335
2017-03-14,1489449600,154.38,158.1,148.8,155.0,2794
2017-03-15,1489536000,156.24,158.1,150.35,157.32,919
2017-03-16,1489622400,155.46,157.32,151.9,153.45,707
2017-03-17,1489708800,155.46,155.46,129.43,138.1,5030
2017-03-20,1489968000,141.05,152.99,137.95,150.35,1006
2017-03-21,1490054400,148.8,153.45,131.75,145.7,795
2017-03-22,1490140800,145.7,158.88,141.05,151.9,1340
2017-03-23,1490227200,151.9,157.32,144.93,153.29,706
2017-03-24,1490313600,152.68,154.85,147.25,149.57,898
2017-03-27,1490572800,150.04,154.85,147.56,148.8,1084
2017-03-28,1490659200,148.96,158.1,147.56,151.12,1318
2017-03-29,1490745600,149.73,158.1,148.49,155.0,790
2017-03-30,1490832000,155.0,157.32,150.66,151.9,900
2017-03-31,1490918400,151.74,153.45,149.73,152.68,1725
2017-04-03,1491177600,152.68,155.0,147.25,152.52,924
2017-04-04,1491264000,158.88,158.88,148.02,154.23,956
2017-04-05,1491350400,152.52,155.0,136.4,151.9,1121
2017-04-06,1491436800,149.73,155.0,142.91,148.8,633
2017-04-07,1491523200,149.42,154.85,144.3,145.85,438
2017-04-10,1491782400,148.18,153.45,145.85,149.57,801
2017-04-11,1491868800,150.97,153.29,147.25,149.88,692
2017-04-12,1491955200,148.65,151.12,139.5,145.7,3655
2017-04-13,1492041600,144.93,150.35,139.65,144.93,603
2017-04-17,1492387200,148.02,148.8,133.3,139.5,2096
2017-04-18,1492473600,138.73,138.73,125.86,129.58,3257
2017-04-19,1492560000,127.57,131.75,123.22,129.12,2784
2017-04-20,1492646400,126.79,131.75,122.14,125.55,1999
2017-04-21,1492732800,124.62,127.1,121.68,123.85,1415
2017-04-24,1492992000,122.61,124.0,113.15,113.93,3091
2017-04-25,1493078400,119.35,122.76,113.93,122.14,1765
2017-04-26,1493164800,121.52,122.45,117.03,121.68,1060
2017-04-27,1493251200,119.82,121.68,117.64,121.52,602
2017-04-28,1493337600,119.82,122.45,117.8,120.75,734
2017-05-01,1493596800,117.8,119.35,112.68,113.77,1106
2017-05-02,1493683200,113.46,115.63,112.53,113.93,1441
2017-05-03,1493769600,113.46,113.93,102.3,105.25,3123
2017-05-04,1493856000,103.85,103.85,96.1,102.3,3364
2017-05-05,1493942400,103.07,108.5,89.9,94.55,1763
2017-05-08,1494201600,93.78,94.55,77.5,83.7,8936
2017-05-09,1494288000,82.93,83.7,72.23,76.72,6278
2017-05-10,1494374400,74.4,85.25,71.3,82.15,5791
2017-05-11,1494460800,80.6,82.15,77.5,79.82,2224
2017-05-12,1494547200,81.38,92.69,79.05,88.35,1987
2017-05-15,1494806400,97.65,100.75,88.35,100.75,3013
2017-05-16,1494892800,99.97,129.43,97.65,116.25,4062
2017-05-17,1494979200,118.57,135.62,116.25,126.32,2454
2017-05-18,1495065600,125.24,127.1,113.31,125.55,1564
2017-05-19,1495152000,122.45,125.55,114.7,119.35,792
2017-05-22,1495411200,121.68,124.0,110.05,117.03,527
2017-05-23,1495497600,113.77,117.49,97.81,102.3,1026
2017-05-24,1495584000,103.07,112.38,97.65,108.5,889
2017-05-25,1495670400,110.36,116.25,102.92,108.5,812
2017-05-26,1495756800,108.5,116.1,105.4,109.89,631
2017-05-30,1496102400,110.05,113.93,106.95,109.89,674
2017-05-31,1496188800,108.5,110.05,98.43,100.75,2559
2017-06-01,1496275200,103.07,103.85,97.5,103.69,3601
2017-06-02,1496361600,106.18,108.5,100.75,108.35,5242
2017-06-05,1496620800,106.33,109.28,100.75,103.85,1009
2017-06-06,1496707200,103.07,105.25,97.65,100.6,1423
2017-06-07,1496793600,99.2,100.75,95.32,98.43,502
2017-06-08,1496880000,96.88,101.53,91.45,93.0,2032
2017-06-09,1496966400,90.68,100.6,90.68,100.6,463
2017-06-12,1497225600,97.65,100.6,92.22,93.31,1033
2017-06-13,1497312000,96.88,97.65,92.22,92.22,1845
2017-06-14,1497398400,93.0,99.04,90.83,93.0,2929
2017-06-15,1497484800,93.15,99.2,90.83,93.62,818
2017-06-16,1497571200,91.92,94.39,89.9,93.78,1862
2017-06-19,1497830400,92.85,93.78,89.9,90.68,604
2017-06-20,1497916800,90.68,94.39,89.12,89.12,1708
2017-06-21,1498003200,91.45,93.62,86.8,92.69,1093
2017-06-22,1498089600,91.45,93.0,83.39,85.25,4354
2017-06-23,1498176000,89.59,93.0,83.7,85.25,2317
2017-06-26,1498435200,83.7,85.25,75.95,84.47,2229
2017-06-27,1498521600,84.47,85.25,79.67,82.93,1669
2017-06-28,1498608000,82.93,83.7,77.5,82.31,805
2017-06-29,1498694400,84.17,85.25,82.15,85.25,701
2017-06-30,1498780800,85.1,89.9,83.7,86.96,507
2017-07-03,1499040000,93.0,93.0,85.25,89.9,284
2017-07-05,1499212800,89.59,93.0,86.03,92.85,550
2017-07-06,1499299200,94.55,105.4,89.12,102.14,1217
2017-07-07,1499385600,103.85,108.5,100.75,103.85,692
2017-07-10,1499644800,105.4,116.25,103.85,113.0,1966
2017-07-11,1499731200,111.29,114.39,105.56,108.5,862
2017-07-12,1499817600,109.28,110.05,108.5,110.05,819
2017-07-13,1499904000,111.6,111.6,104.0,109.43,679
2017-07-14,1499990400,105.4,109.28,104.0,108.5,982
2017-07-17,1500249600,108.5,131.75,108.5,126.17,2645
2017-07-18,1500336000,127.88,142.91,124.0,137.95,3085
2017-07-19,1500422400,136.4,147.25,108.5,121.99,3219
2017-07-20,1500508800,121.52,127.1,109.28,116.25,694
2017-07-21,1500595200,114.7,139.5,114.7,120.9,1680
2017-07-24,1500854400,121.68,127.1,108.5,123.85,1117
2017-07-25,1500940800,126.32,134.85,119.82,127.1,1638
2017-07-26,1501027200,127.88,131.75,117.8,127.1,1981
2017-07-27,1501113600,127.1,127.1,116.25,126.94,1288
2017-07-28,1501200000,122.45,126.94,112.53,117.49,1335
2017-07-31,1501459200,116.71,123.85,115.47,119.35,869
2017-08-01,1501545600,121.68,123.07,113.93,114.86,541
2017-08-02,1501632000,112.07,114.7,109.28,110.05,794
2017-08-03,1501718400,111.6,113.77,110.05,113.15,699
2017-08-04,1501804800,124.0,124.0,110.21,110.36,1116
2017-08-07,1502064000,110.67,113.15,106.95,110.05,907
2017-08-08,1502150400,108.5,113.15,106.95,108.5,962
2017-08-09,1502236800,107.88,113.0,104.62,106.95,532
2017-08-10,1502323200,106.64,112.38,102.3,110.05,555
2017-08-11,1502409600,99.97,108.35,97.65,105.4,969
2017-08-14,1502668800,103.07,108.35,100.75,100.75,1586
2017-08-15,1502755200,100.75,106.95,97.65,100.75,798
2017-08-16,1502841600,106.18,106.18,97.65,100.75,550
2017-08-17,1502928000,101.53,102.3,96.1,101.53,256
2017-08-18,1503014400,97.65,102.3,97.65,102.3,396
2017-08-21,1503273600,99.2,105.56,98.58,102.3,893
2017-08-22,1503360000,99.2,103.69,98.43,98.43,795
2017-08-23,1503446400,101.68,101.68,97.65,98.74,527
2017-08-24,1503532800,97.65,100.75,96.1,99.04,286
2017-08-25,1503619200,97.34,99.2,96.41,99.04,259
2017-08-28,1503878400,99.04,100.6,96.41,98.89,531
2017-08-29,1503964800,98.27,99.04,96.1,99.04,375
2017-08-30,1504051200,98.89,99.04,93.0,95.32,526
2017-08-31,1504137600,93.93,96.1,92.22,93.0,1265
2017-09-01,1504224000,93.78,97.34,89.9,93.0,943
2017-09-05,1504569600,91.61,95.32,87.26,90.68,658
2017-09-06,1504656000,90.06,93.0,89.9,91.45,881
2017-09-07,1504742400,92.22,97.03,87.57,93.0,1846
2017-09-08,1504828800,89.12,93.0,88.82,91.45,451
2017-09-11,1505088000,90.36,93.0,89.28,91.45,765
2017-09-12,1505174400,92.85,94.55,89.9,93.78,420
2017-09-13,1505260800,94.39,97.65,91.45,93.0,1303
2017-09-14,1505347200,93.0,114.7,93.0,108.35,2717
2017-09-15,1505433600,108.35,110.05,106.95,107.11,685
2017-09-18,1505692800,107.88,110.05,106.95,108.5,946
2017-09-19,1505779200,108.5,110.05,106.95,109.74,811
2017-09-20,1505865600,109.89,109.89,100.75,109.74,1097
2017-09-21,1505952000,103.85,108.5,100.75,103.07,582
2017-09-22,1506038400,100.75,103.85,96.41,100.6,1231
2017-09-25,1506297600,100.9,101.06,96.72,98.27,946
2017-09-26,1506384000,97.65,100.75,97.03,98.11,305
2017-09-27,1506470400,98.11,100.6,94.55,99.2,378
2017-09-28,1506556800,99.2,99.2,91.45,92.85,810
2017-09-29,1506643200,94.55,96.1,88.35,89.9,1093
2017-10-02,1506902400,88.35,93.0,82.15,93.0,3771
2017-10-03,1506988800,88.35,99.2,88.35,92.22,546
2017-10-04,1507075200,87.57,99.2,87.57,96.1,271
2017-10-05,1507161600,96.1,96.1,89.9,94.55,906
2017-10-06,1507248000,94.39,95.94,89.9,94.55,973
2017-10-09,1507507200,92.22,96.1,82.15,85.71,3389
2017-10-10,1507593600,86.03,93.0,86.03,90.36,515
2017-10-11,1507680000,96.1,97.65,90.68,93.0,1003
2017-10-12,1507766400,93.0,98.43,89.9,98.43,238
2017-10-13,1507852800,95.01,98.43,85.25,86.18,3144
2017-10-16,1508112000,90.36,93.0,86.49,93.0,304
2017-10-17,1508198400,89.9,93.0,89.12,92.22,358
2017-10-18,1508284800,92.22,93.0,87.42,89.59,824
2017-10-19,1508371200,87.57,93.0,87.57,89.9,167
2017-10-20,1508457600,89.12,93.0,84.47,87.89,992
2017-10-23,1508716800,86.18,92.85,84.01,85.87,2314
2017-10-24,1508803200,86.96,89.12,83.7,87.57,704
2017-10-25,1508889600,87.26,87.57,81.38,85.25,1293
2017-10-26,1508976000,84.47,91.45,82.15,82.93,520
2017-10-27,1509062400,84.32,89.9,83.24,84.47,595
2017-10-30,1509321600,85.1,89.9,82.46,83.7,1466
2017-10-31,1509408000,82.61,88.04,82.46,82.93,574
2017-11-01,1509494400,86.03,88.35,82.93,83.7,1235
2017-11-02,1509580800,79.82,82.31,48.05,62.78,22106
2017-11-03,1509667200,61.69,68.2,58.12,65.1,2501
2017-11-06,1509926400,63.24,71.14,62.93,70.53,1779
2017-11-07,1510012800,70.53,70.99,61.22,62.0,2359
2017-11-08,1510099200,62.0,68.82,58.9,59.67,1839
2017-11-09,1510185600,60.45,63.55,46.81,51.15,8521
2017-11-10,1510272000,50.06,58.12,49.6,55.65,2660
2017-11-13,1510531200,53.78,58.12,49.76,57.35,1009
2017-11-14,1510617600,57.19,57.35,50.53,55.8,861
2017-11-15,1510704000,54.56,62.0,51.92,56.73,1856
2017-11-16,1510790400,58.12,68.82,54.72,62.0,1920
2017-11-17,1510876800,63.4,67.11,58.9,64.32,766
2017-11-20,1511136000,64.32,66.65,60.45,65.1,513
2017-11-21,1511222400,63.55,65.1,59.21,61.22,1180
2017-11-22,1511308800,61.22,63.55,60.45,62.78,364
2017-11-24,1511481600,62.0,62.78,59.67,60.45,579
2017-11-27,1511740800,60.45,62.0,52.7,58.12,1508
2017-11-28,1511827200,57.35,91.29,55.03,72.85,6944
2017-11-29,1511913600,71.46,88.97,70.06,82.0,2479
2017-11-30,1512000000,82.15,83.54,72.85,74.4,1338
2017-12-01,1512086400,77.19,90.68,77.19,88.19,2868
2017-12-04,1512345600,89.12,90.68,83.7,88.19,1629
2017-12-05,1512432000,88.35,108.5,88.19,105.4,4440
2017-12-06,1512518400,105.71,108.5,103.85,104.62,1400
2017-12-07,1512604800,104.62,106.18,86.8,93.31,2244
2017-12-08,1512691200,96.1,96.1,83.7,83.7,1755
