Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,66.91,67.58,65.1,66.0,174600
2017-01-04,1483488000,66.1,67.29,65.62,67.24,218700
2017-01-05,1483574400,66.77,67.53,65.1,65.72,134900
2017-01-06,1483660800,66.0,66.53,65.58,65.77,99600
2017-01-09,1483920000,65.19,65.34,64.34,64.86,223600
2017-01-10,1484006400,64.77,65.96,64.57,65.48,208300
2017-01-11,1484092800,65.34,66.53,64.81,66.48,172200
2017-01-12,1484179200,66.0,66.0,63.38,64.1,219100
2017-01-13,1484265600,64.48,66.34,64.29,64.81,189600
2017-01-17,1484611200,63.96,64.67,62.05,62.19,272700
2017-01-18,1484697600,61.0,62.53,58.21,60.24,490600
2017-01-19,1484784000,60.19,60.24,59.0,59.67,505000
2017-01-20,1484870400,59.9,61.14,59.81,60.33,202900
2017-01-23,1485129600,60.29,61.67,59.62,61.24,1034200
2017-01-24,1485216000,60.86,64.67,60.71,64.19,3458200
2017-01-25,1485302400,65.15,66.21,64.72,65.86,828900
2017-01-26,1485388800,66.24,66.29,65.1,65.58,468400
2017-01-27,1485475200,65.53,65.86,64.67,64.81,469500
2017-01-30,1485734400,64.29,64.67,63.34,63.46,503300
2017-01-31,1485820800,63.43,64.07,62.72,63.72,381000
2017-02-01,1485907200,64.71,65.62,62.75,63.04,296500
2017-02-02,1485993600,62.7,63.23,61.7,62.08,224400
2017-02-03,1486080000,63.09,64.12,62.7,63.95,259200
2017-02-06,1486339200,63.33,64.19,63.04,63.61,150500
2017-02-07,1486425600,63.85,64.09,62.66,63.37,167500
2017-02-08,1486512000,62.94,63.23,61.99,62.8,146400
2017-02-09,1486598400,63.13,65.0,63.13,64.76,208700
2017-02-10,1486684800,65.24,65.28,64.19,64.81,132400
2017-02-13,1486944000,64.95,66.05,64.95,65.38,147200
2017-02-14,1487030400,65.38,66.43,64.66,66.29,363000
2017-02-15,1487116800,66.43,67.62,66.0,67.53,274700
2017-02-16,1487203200,67.24,67.96,66.86,67.86,422900
2017-02-17,1487289600,67.48,67.62,66.81,67.43,244200
2017-02-21,1487635200,67.72,68.2,66.67,67.34,283700
2017-02-22,1487721600,67.0,68.05,66.72,67.62,311600
2017-02-23,1487808000,67.72,67.72,66.43,67.62,234500
2017-02-24,1487894400,66.91,67.15,66.33,66.62,225600
2017-02-27,1488153600,66.72,67.58,66.48,67.38,337800
2017-02-28,1488240000,67.15,67.19,65.86,66.29,575700
2017-03-01,1488326400,68.05,68.34,67.34,67.81,360100
2017-03-02,1488412800,67.81,67.88,65.67,65.76,241600
2017-03-03,1488499200,65.81,66.72,65.71,66.53,249600
2017-03-06,1488758400,65.95,66.29,65.28,65.9,223800
2017-03-07,1488844800,66.0,66.1,65.0,65.04,182800
2017-03-08,1488931200,65.71,66.24,64.52,64.57,227300
2017-03-09,1489017600,64.81,65.19,64.47,64.76,167900
2017-03-10,1489104000,65.24,65.24,63.97,64.66,204900
2017-03-13,1489363200,64.66,65.52,64.38,64.81,173000
2017-03-14,1489449600,64.33,64.47,63.47,64.23,190000
2017-03-15,1489536000,64.47,65.43,64.14,64.28,224900
2017-03-16,1489622400,64.85,65.38,64.33,64.85,187400
