Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,30.14,30.14,29.74,29.82,669400
2017-01-04,1483488000,29.92,30.31,29.92,30.18,703900
2017-01-05,1483574400,29.78,30.27,29.61,30.0,706200
2017-01-06,1483660800,29.92,30.38,29.87,30.22,471400
2017-01-09,1483920000,30.27,30.31,29.7,29.87,740300
2017-01-10,1484006400,29.78,30.14,29.52,30.14,822800
2017-01-11,1484092800,30.09,30.49,30.0,30.4,547500
2017-01-12,1484179200,30.36,30.49,29.92,30.18,416000
2017-01-13,1484265600,30.14,30.36,29.83,30.05,473500
2017-01-17,1484611200,30.18,30.44,30.05,30.27,398500
2017-01-18,1484697600,30.18,30.44,30.07,30.27,442800
2017-01-19,1484784000,30.22,30.31,29.51,29.55,673900
2017-01-20,1484870400,29.64,30.04,29.64,29.95,584100
2017-01-23,1485129600,29.91,30.13,29.6,29.73,251500
2017-01-24,1485216000,29.69,29.91,29.55,29.69,444900
2017-01-25,1485302400,29.73,29.73,29.49,29.6,328300
2017-01-26,1485388800,29.51,29.78,29.47,29.69,359200
2017-01-27,1485475200,29.78,30.08,29.6,29.91,824500
2017-01-30,1485734400,29.95,30.0,29.55,29.69,530700
2017-01-31,1485820800,29.64,30.48,29.64,30.39,881400
2017-02-01,1485907200,30.17,30.44,29.81,30.08,520500
2017-02-02,1485993600,30.22,30.7,30.04,30.7,599900
2017-02-03,1486080000,30.79,30.97,30.57,30.97,700700
2017-02-06,1486339200,30.92,31.1,30.7,30.84,640100
2017-02-07,1486425600,30.92,31.07,30.79,30.97,578500
2017-02-08,1486512000,31.06,31.45,30.84,31.06,699300
2017-02-09,1486598400,30.97,31.19,30.61,30.7,580500
2017-02-10,1486684800,30.66,31.01,30.66,30.92,525700
2017-02-13,1486944000,30.97,31.1,30.79,30.92,368200
2017-02-14,1487030400,30.84,30.92,30.53,30.84,313600
2017-02-15,1487116800,30.53,30.66,30.31,30.57,468300
2017-02-16,1487203200,30.57,31.06,30.57,31.06,502100
2017-02-17,1487289600,31.14,31.23,30.84,31.01,557100
2017-02-21,1487635200,31.06,31.28,30.88,31.23,661500
2017-02-22,1487721600,31.14,31.23,30.84,31.01,614900
2017-02-23,1487808000,31.06,31.37,30.92,31.19,672100
2017-02-24,1487894400,31.28,31.54,31.14,31.5,530800
2017-02-27,1488153600,31.28,31.85,31.1,31.85,727600
2017-02-28,1488240000,31.67,32.34,31.54,32.07,885700
2017-03-01,1488326400,31.63,32.21,31.5,32.03,975700
2017-03-02,1488412800,31.94,32.47,31.85,32.07,498600
2017-03-03,1488499200,31.94,32.21,31.81,32.07,808000
2017-03-06,1488758400,32.03,32.38,31.9,32.25,534000
2017-03-07,1488844800,32.25,32.38,32.12,32.16,484100
2017-03-08,1488931200,31.81,32.03,31.63,31.67,603600
2017-03-09,1489017600,31.76,31.98,31.59,31.59,436300
2017-03-10,1489104000,31.63,31.98,31.59,31.9,438800
2017-03-13,1489363200,31.9,32.16,31.81,32.03,305400
2017-03-14,1489449600,32.03,32.21,31.85,31.98,363700
2017-03-15,1489536000,31.98,32.69,31.98,32.43,683900
2017-03-16,1489622400,32.38,32.38,31.9,32.07,462300
2017-03-17,1489708800,32.29,33.12,32.07,32.96,1396700
2017-03-20,1489968000,32.91,33.09,32.43,32.47,543800
2017-03-21,1490054400,32.6,33.18,32.43,32.91,536900
2017-03-22,1490140800,33.09,33.4,32.87,32.96,363000
2017-03-23,1490227200,32.91,33.4,32.87,32.96,370700
2017-03-24,1490313600,33.0,33.4,32.96,33.22,279000
2017-03-27,1490572800,33.22,33.49,33.0,33.18,288100
2017-03-28,1490659200,33.09,33.31,32.91,33.18,393200
2017-03-29,1490745600,33.04,33.22,32.69,32.82,627400
