Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.7,29.0,26.4,26.8,18880
2017-01-04,1483488000,26.4,27.0,23.83,25.4,40520
2017-01-05,1483574400,26.0,27.0,24.5,26.6,20770
2017-01-06,1483660800,26.8,33.9,25.4,28.3,161370
2017-01-09,1483920000,28.5,29.0,26.9,27.8,28820
2017-01-10,1484006400,27.2,31.2,26.11,29.9,62420
2017-01-11,1484092800,32.3,34.54,29.0,30.8,259170
2017-01-12,1484179200,30.5,30.7,27.7,28.2,47530
2017-01-13,1484265600,24.8,24.8,22.6,23.9,141140
2017-01-17,1484611200,24.3,29.6,24.0,25.7,126130
2017-01-18,1484697600,25.4,26.6,24.8,26.1,83900
2017-01-19,1484784000,25.7,27.2,22.6,24.2,159520
2017-01-20,1484870400,23.5,23.99,22.6,23.0,38920
2017-01-23,1485129600,23.0,23.0,20.7,22.8,36750
2017-01-24,1485216000,22.5,22.7,21.5,22.0,15180
2017-01-25,1485302400,21.7,22.41,21.4,22.0,17900
2017-01-26,1485388800,21.8,23.8,21.6,23.4,32110
2017-01-27,1485475200,23.3,23.5,22.1,22.2,19950
2017-01-30,1485734400,22.2,23.0,20.7,22.9,19250
2017-01-31,1485820800,22.7,22.8,21.5,22.5,17550
2017-02-01,1485907200,22.1,23.4,21.7,22.8,26690
2017-02-02,1485993600,22.6,22.8,21.9,22.2,18750
2017-02-03,1486080000,22.6,22.6,21.71,22.3,12520
2017-02-06,1486339200,22.1,22.3,20.8,21.6,22160
2017-02-07,1486425600,21.5,22.9,20.8,21.8,55600
2017-02-08,1486512000,21.6,22.2,20.9,21.0,24430
2017-02-09,1486598400,21.0,22.2,20.8,21.6,26710
2017-02-10,1486684800,21.8,22.7,21.4,21.9,26510
2017-02-13,1486944000,21.7,22.0,21.1,21.6,16250
2017-02-14,1487030400,21.6,21.6,21.1,21.5,8580
2017-02-15,1487116800,21.2,22.4,21.0,21.6,21460
2017-02-16,1487203200,21.3,21.9,21.2,21.5,14810
2017-02-17,1487289600,23.0,23.3,21.0,21.2,33940
2017-02-21,1487635200,21.3,21.3,20.5,20.9,24350
2017-02-22,1487721600,20.6,21.4,20.2,20.8,22760
2017-02-23,1487808000,20.8,20.8,18.8,19.2,22560
2017-02-24,1487894400,19.2,19.8,18.3,19.0,20570
2017-02-27,1488153600,18.4,19.2,18.4,18.5,11660
2017-02-28,1488240000,18.4,19.5,17.5,19.2,39560
2017-03-01,1488326400,27.9,32.5,23.4,25.6,1514780
2017-03-02,1488412800,24.6,24.85,21.5,23.3,130620
2017-03-03,1488499200,23.1,23.4,21.5,21.7,60160
2017-03-06,1488758400,21.6,22.9,20.0,21.9,87350
2017-03-07,1488844800,21.7,22.0,20.2,20.7,36410
2017-03-08,1488931200,20.3,22.9,20.3,21.2,83860
2017-03-09,1489017600,21.0,22.3,20.8,21.7,59430
2017-03-10,1489104000,22.0,23.1,20.7,21.1,88430
2017-03-13,1489363200,21.0,21.6,20.5,21.2,20600
2017-03-14,1489449600,21.4,21.4,20.5,20.9,19040
2017-03-15,1489536000,20.6,21.2,20.3,20.8,39790
2017-03-16,1489622400,22.6,24.2,21.0,21.3,149470
2017-03-17,1489708800,21.0,21.35,21.0,21.3,21310
2017-03-20,1489968000,21.4,22.32,21.1,21.6,27720
2017-03-21,1490054400,21.5,21.82,21.0,21.5,15090
2017-03-22,1490140800,21.2,21.4,20.0,20.7,18710
2017-03-23,1490227200,20.8,21.2,20.3,20.7,10580
2017-03-24,1490313600,20.5,20.97,20.2,20.4,7930
2017-03-27,1490572800,20.4,20.82,20.2,20.7,17520
2017-03-28,1490659200,20.5,22.0,20.0,21.3,36690
2017-03-29,1490745600,21.3,21.7,20.9,21.1,19710
2017-03-30,1490832000,20.9,21.2,20.6,21.1,4980
2017-03-31,1490918400,20.9,21.7,20.7,21.0,25970
2017-04-03,1491177600,21.0,22.0,20.9,21.8,32520
2017-04-04,1491264000,21.6,23.04,21.1,21.4,38720
2017-04-05,1491350400,21.4,21.48,21.0,21.2,17830
2017-04-06,1491436800,21.0,22.8,20.9,22.3,100220
2017-04-07,1491523200,22.6,23.7,21.7,23.0,99520
2017-04-10,1491782400,22.8,24.1,22.6,23.1,53560
2017-04-11,1491868800,23.3,24.5,21.4,22.1,105410
2017-04-12,1491955200,22.6,22.6,21.5,22.5,32690
2017-04-13,1492041600,22.2,22.6,21.6,22.0,14550
2017-04-17,1492387200,21.8,22.03,21.2,22.0,20880
2017-04-18,1492473600,21.8,22.08,21.4,21.7,16450
2017-04-19,1492560000,21.7,25.9,21.2,25.2,177090
2017-04-20,1492646400,23.6,24.7,21.69,23.9,94340
2017-04-21,1492732800,23.7,24.2,23.0,24.1,25120
2017-04-24,1492992000,24.0,24.1,23.01,23.4,18210
2017-04-25,1493078400,23.2,23.4,21.5,21.8,43720
2017-04-26,1493164800,21.8,22.0,21.3,21.7,17860
2017-04-27,1493251200,21.7,22.4,21.7,22.2,12840
2017-04-28,1493337600,22.0,22.1,21.7,21.8,12120
2017-05-01,1493596800,21.7,22.5,21.7,22.0,14920
2017-05-02,1493683200,21.9,22.3,21.7,21.8,8350
2017-05-03,1493769600,21.8,21.8,20.3,20.5,13200
2017-05-04,1493856000,20.4,21.3,20.3,20.6,24220
2017-05-05,1493942400,20.5,20.61,18.3,19.7,35310
2017-05-08,1494201600,19.9,19.9,18.9,19.7,6520
2017-05-09,1494288000,19.7,19.7,18.6,18.7,15120
2017-05-10,1494374400,18.7,19.9,18.5,18.8,25920
2017-05-11,1494460800,19.0,19.16,18.3,18.9,13710
