Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,9.1,9.1,8.5,8.6,33400
2017-01-04,1483488000,8.5,8.6,8.11,8.37,45500
2017-01-05,1483574400,8.49,8.6,8.28,8.36,83400
2017-01-06,1483660800,8.4,8.45,8.35,8.4,66400
2017-01-09,1483920000,8.6,8.66,8.11,8.33,41700
2017-01-10,1484006400,8.4,8.42,7.8,8.29,79800
2017-01-11,1484092800,8.27,8.3,8.15,8.19,16900
2017-01-12,1484179200,8.27,8.28,7.63,7.96,64600
2017-01-13,1484265600,7.63,8.23,7.63,8.18,16200
2017-01-17,1484611200,8.2,8.2,7.77,7.96,13000
2017-01-18,1484697600,7.96,8.08,7.66,7.71,55200
2017-01-19,1484784000,7.69,8.22,7.63,8.12,34800
2017-01-20,1484870400,8.25,8.26,8.07,8.18,48900
2017-01-23,1485129600,8.18,8.18,8.0,8.18,15300
2017-01-24,1485216000,8.18,8.19,8.07,8.17,21900
2017-01-25,1485302400,8.11,8.25,8.11,8.17,27400
2017-01-26,1485388800,8.25,8.5,8.25,8.35,37000
2017-01-27,1485475200,8.26,8.37,8.01,8.12,24400
2017-01-30,1485734400,8.2,8.35,8.01,8.22,52100
2017-01-31,1485820800,8.26,8.37,8.2,8.3,24500
2017-02-01,1485907200,8.3,8.3,8.01,8.13,60400
2017-02-02,1485993600,8.1,8.1,7.8,7.82,59600
2017-02-03,1486080000,7.8,8.0,7.8,7.89,6200
2017-02-06,1486339200,8.0,8.0,7.83,7.95,32000
2017-02-07,1486425600,7.95,8.0,7.81,7.95,30600
2017-02-08,1486512000,7.84,7.95,7.83,7.9,23700
2017-02-09,1486598400,7.92,8.43,7.92,8.25,114800
2017-02-10,1486684800,8.25,8.8,8.15,8.42,247400
2017-02-13,1486944000,8.6,9.17,8.56,8.95,67300
2017-02-14,1487030400,9.38,9.4,8.6,8.76,102400
2017-02-15,1487116800,8.83,8.95,8.49,8.92,39100
2017-02-16,1487203200,8.95,9.16,8.81,9.15,80300
2017-02-17,1487289600,9.05,9.15,8.86,8.91,37100
2017-02-21,1487635200,8.95,9.05,8.76,8.91,32000
2017-02-22,1487721600,8.91,9.12,8.62,8.82,31500
2017-02-23,1487808000,9.04,9.05,8.76,9.01,63600
2017-02-24,1487894400,9.05,9.13,8.75,9.07,66000
2017-02-27,1488153600,9.05,9.1,8.77,9.03,29000
2017-02-28,1488240000,9.0,9.02,8.7,8.72,12900
2017-03-01,1488326400,8.83,8.97,8.65,8.8,41100
2017-03-02,1488412800,8.63,8.91,8.03,8.16,97800
2017-03-03,1488499200,7.9,8.95,7.9,8.74,107000
2017-03-06,1488758400,10.95,11.5,9.0,9.23,1703200
2017-03-07,1488844800,9.27,9.4,8.58,9.15,409700
2017-03-08,1488931200,9.15,9.31,8.92,9.09,62100
2017-03-09,1489017600,9.11,9.13,8.91,8.93,55600
2017-03-10,1489104000,8.95,9.38,8.84,8.9,70300
2017-03-13,1489363200,8.94,9.35,8.94,9.3,75000
2017-03-14,1489449600,9.36,9.36,9.03,9.05,62500
2017-03-15,1489536000,8.99,9.05,8.26,8.49,264700
2017-03-16,1489622400,8.5,8.68,8.11,8.11,280200
2017-03-17,1489708800,8.08,8.24,7.5,7.64,336000
2017-03-20,1489968000,7.7,8.45,7.65,8.0,300200
2017-03-21,1490054400,8.16,8.24,7.71,8.16,217900
2017-03-22,1490140800,8.13,8.17,7.8,8.1,134600
2017-03-23,1490227200,8.05,8.18,7.91,7.97,165500
2017-03-24,1490313600,7.95,8.21,7.84,8.13,133200
2017-03-27,1490572800,8.11,8.25,7.95,8.22,75600
2017-03-28,1490659200,8.17,8.21,8.05,8.18,25300
2017-03-29,1490745600,8.12,8.19,8.04,8.08,29900
2017-03-30,1490832000,8.02,8.19,7.85,8.06,41400
2017-03-31,1490918400,8.06,8.3,8.05,8.3,84500
2017-04-03,1491177600,8.26,8.6,8.21,8.58,42800
2017-04-04,1491264000,8.63,8.95,8.34,8.89,111400
2017-04-05,1491350400,8.8,8.99,8.8,8.93,86700
2017-04-06,1491436800,8.87,8.97,8.76,8.93,91300
2017-04-07,1491523200,8.9,9.25,8.72,9.11,168700
2017-04-10,1491782400,9.18,9.18,8.75,8.77,20500
2017-04-11,1491868800,8.76,8.85,8.67,8.8,15100
2017-04-12,1491955200,8.75,8.83,8.2,8.29,49900
2017-04-13,1492041600,8.34,8.46,8.0,8.1,76500
2017-04-17,1492387200,7.99,8.1,7.86,7.86,57900
2017-04-18,1492473600,7.83,8.5,7.81,7.81,40000
2017-04-19,1492560000,7.87,7.96,7.3,7.35,195900
2017-04-20,1492646400,7.48,7.7,7.3,7.65,86600
2017-04-21,1492732800,7.59,7.63,7.5,7.54,6900
2017-04-24,1492992000,7.56,7.62,7.31,7.34,62700
2017-04-25,1493078400,7.27,7.6,6.18,6.4,333900
2017-04-26,1493164800,6.56,6.72,5.51,5.79,366800
2017-04-27,1493251200,5.65,5.89,5.16,5.6,463600
2017-04-28,1493337600,4.91,5.5,4.35,5.33,870600
2017-05-01,1493596800,5.4,5.87,5.12,5.85,316100
2017-05-02,1493683200,5.84,5.85,5.55,5.68,112100
2017-05-03,1493769600,5.63,5.99,5.46,5.84,216000
2017-05-04,1493856000,5.8,5.82,5.35,5.48,122600
2017-05-05,1493942400,5.5,5.8,5.25,5.31,109000
2017-05-08,1494201600,5.27,5.27,4.93,5.17,102000
2017-05-09,1494288000,5.13,5.25,5.06,5.13,53000
2017-05-10,1494374400,5.13,5.13,4.82,4.93,108100
2017-05-11,1494460800,5.07,5.07,4.85,4.95,38600
