Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,80.48,82.05,80.29,81.95,865600
2017-01-04,1483488000,82.23,83.65,81.94,82.98,1475200
2017-01-05,1483574400,83.17,83.74,82.55,83.51,708300
2017-01-06,1483660800,83.31,84.05,82.58,83.31,769300
2017-01-09,1483920000,83.35,83.75,82.59,83.64,751200
2017-01-10,1484006400,83.58,83.58,82.58,82.9,705500
2017-01-11,1484092800,82.62,83.0,81.94,82.1,813900
2017-01-12,1484179200,81.82,83.96,81.54,83.68,2327700
2017-01-13,1484265600,84.09,84.46,82.94,83.72,485900
2017-01-17,1484611200,83.62,83.91,83.1,83.8,530600
2017-01-18,1484697600,83.62,85.09,83.62,84.92,714600
2017-01-19,1484784000,84.62,85.44,84.62,84.83,361700
2017-01-20,1484870400,85.02,85.44,84.53,84.99,377500
2017-01-23,1485129600,85.02,85.35,83.64,84.0,507900
2017-01-24,1485216000,83.8,84.43,83.59,83.85,655400
2017-01-25,1485302400,84.36,84.36,82.89,83.23,617800
2017-01-26,1485388800,82.93,83.17,82.17,82.64,713000
2017-01-27,1485475200,82.8,83.29,82.46,82.81,460900
2017-01-30,1485734400,82.5,83.53,82.08,83.44,624500
2017-01-31,1485820800,83.6,83.85,82.56,83.68,626800
2017-02-01,1485907200,83.47,83.96,82.61,83.73,809000
2017-02-02,1485993600,84.02,84.65,83.29,83.96,769900
2017-02-03,1486080000,85.06,85.77,82.26,85.37,1787200
2017-02-06,1486339200,85.75,85.89,83.86,84.31,1085400
2017-02-07,1486425600,84.64,85.73,84.36,84.73,1024200
2017-02-08,1486512000,84.61,85.22,83.87,85.14,606600
2017-02-09,1486598400,85.6,87.13,85.39,86.78,564000
2017-02-10,1486684800,86.52,86.97,85.33,85.5,583800
2017-02-13,1486944000,86.02,86.09,84.98,85.0,357900
2017-02-14,1487030400,84.78,84.81,84.09,84.51,517100
2017-02-15,1487116800,84.4,84.92,84.25,84.82,740800
2017-02-16,1487203200,84.54,85.25,83.55,83.74,1250200
2017-02-17,1487289600,83.16,83.53,82.63,83.35,510300
2017-02-21,1487635200,83.2,84.55,83.2,83.75,493700
2017-02-22,1487721600,83.7,84.58,82.74,82.84,427000
2017-02-23,1487808000,82.96,83.59,82.54,83.04,500000
2017-02-24,1487894400,82.48,83.34,82.29,82.59,456000
2017-02-27,1488153600,82.54,82.54,81.76,82.21,564000
2017-02-28,1488240000,82.44,82.52,81.86,81.87,810700
2017-03-01,1488326400,82.83,85.38,82.57,84.4,1025200
2017-03-02,1488412800,84.06,84.33,83.58,83.93,469500
2017-03-03,1488499200,83.81,85.11,83.06,84.86,989100
2017-03-06,1488758400,84.17,84.17,83.2,83.66,561200
2017-03-07,1488844800,83.61,83.64,82.57,82.91,518700
2017-03-08,1488931200,82.9,84.37,82.69,83.54,650300
2017-03-09,1489017600,83.37,86.15,83.16,84.03,957700
2017-03-10,1489104000,83.62,84.45,83.57,84.08,628300
2017-03-13,1489363200,84.02,84.29,83.56,83.6,995600
2017-03-14,1489449600,83.61,83.61,82.56,83.08,246100
2017-03-15,1489536000,83.2,84.95,83.2,84.66,1084500
2017-03-16,1489622400,84.67,84.73,84.02,84.58,873400
2017-03-17,1489708800,84.52,86.04,84.52,85.45,857600
2017-03-20,1489968000,85.16,85.89,84.81,85.72,528500
2017-03-21,1490054400,85.59,85.92,85.13,85.45,574100
2017-03-22,1490140800,85.48,85.87,84.8,85.1,469300
2017-03-23,1490227200,85.04,85.46,84.4,84.45,581200
2017-03-24,1490313600,84.91,84.94,83.96,84.46,1053400
2017-03-27,1490572800,83.95,84.09,82.91,83.23,541100
2017-03-28,1490659200,83.26,87.63,83.24,87.54,1507000
2017-03-29,1490745600,87.42,88.22,87.18,87.76,828100
2017-03-30,1490832000,87.62,87.95,86.91,87.27,438600
2017-03-31,1490918400,87.42,88.43,87.42,87.52,523200
2017-04-03,1491177600,87.52,88.47,87.07,87.41,667700
2017-04-04,1491264000,87.33,87.41,86.19,86.9,510500
2017-04-05,1491350400,86.91,87.53,86.47,87.02,471800
2017-04-06,1491436800,86.97,87.37,86.37,87.06,224900
2017-04-07,1491523200,86.77,87.76,86.7,87.54,399600
2017-04-10,1491782400,87.5,88.93,87.44,88.41,518600
2017-04-11,1491868800,88.26,88.7,87.59,88.31,806100
2017-04-12,1491955200,88.63,88.63,87.34,88.26,335700
2017-04-13,1492041600,88.13,88.56,87.08,87.1,526600
2017-04-17,1492387200,87.29,89.04,86.6,87.86,908100
2017-04-18,1492473600,88.4,88.54,82.72,84.51,2724300
2017-04-19,1492560000,85.17,86.21,84.71,85.76,1377900
2017-04-20,1492646400,86.01,86.01,85.13,85.4,514900
2017-04-21,1492732800,85.08,85.43,84.2,84.93,1173900
2017-04-24,1492992000,86.07,86.07,84.04,84.06,1086500
2017-04-25,1493078400,84.55,84.79,84.06,84.48,613500
2017-04-26,1493164800,84.71,85.11,83.84,84.84,564100
2017-04-27,1493251200,85.03,85.35,84.11,84.15,455700
