Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,10.16,10.3,9.72,9.8,448200
2017-01-04,1483488000,9.89,10.2,9.86,10.17,471500
2017-01-05,1483574400,10.14,10.24,9.94,10.09,218300
2017-01-06,1483660800,10.14,10.14,9.91,10.02,151400
2017-01-09,1483920000,9.94,10.24,9.9,10.04,229200
2017-01-10,1484006400,10.0,10.34,10.0,10.28,166500
2017-01-11,1484092800,10.28,10.28,10.06,10.17,281100
2017-01-12,1484179200,10.12,10.2,9.95,10.09,235500
2017-01-13,1484265600,10.12,10.2,10.05,10.12,224200
2017-01-17,1484611200,10.02,10.07,9.93,9.99,326800
2017-01-18,1484697600,10.06,10.29,9.85,10.27,354800
2017-01-19,1484784000,10.3,10.3,9.77,9.78,368400
2017-01-20,1484870400,9.78,10.04,9.76,10.0,335500
2017-01-23,1485129600,9.96,10.06,9.76,9.86,233100
2017-01-24,1485216000,9.9,10.03,9.81,9.98,248200
2017-01-25,1485302400,10.12,10.23,9.88,10.01,182700
2017-01-26,1485388800,10.0,10.12,9.95,10.01,160700
2017-01-27,1485475200,10.09,10.11,9.88,9.95,167300
2017-01-30,1485734400,9.85,9.91,9.45,9.58,231000
2017-01-31,1485820800,9.52,9.8,9.42,9.77,232400
2017-02-01,1485907200,9.85,9.96,9.61,9.78,216600
2017-02-02,1485993600,9.72,9.72,9.47,9.64,191800
2017-02-03,1486080000,9.72,9.75,9.55,9.71,218700
2017-02-06,1486339200,9.65,9.88,9.58,9.62,234300
2017-02-07,1486425600,9.61,9.71,9.4,9.52,191000
2017-02-08,1486512000,9.5,9.55,9.16,9.23,184500
2017-02-09,1486598400,9.24,9.47,9.21,9.43,170600
2017-02-10,1486684800,9.44,9.51,9.37,9.45,177300
2017-02-13,1486944000,9.47,9.82,9.39,9.49,322900
2017-02-14,1487030400,9.44,9.51,9.32,9.37,181500
2017-02-15,1487116800,9.31,9.55,9.28,9.49,135400
2017-02-16,1487203200,9.48,9.53,9.11,9.13,329000
2017-02-17,1487289600,9.14,9.39,9.1,9.34,381000
2017-02-21,1487635200,9.37,9.49,9.2,9.23,233500
2017-02-22,1487721600,9.22,9.51,9.18,9.5,299900
2017-02-23,1487808000,9.5,9.52,9.19,9.33,309800
2017-02-24,1487894400,8.67,8.9,7.62,8.32,1808500
2017-02-27,1488153600,8.35,8.47,8.32,8.4,666500
2017-02-28,1488240000,8.41,8.45,8.28,8.33,829200
2017-03-01,1488326400,8.45,8.56,8.38,8.44,453400
2017-03-02,1488412800,8.45,8.54,8.29,8.3,460500
2017-03-03,1488499200,8.33,8.45,8.24,8.44,526100
2017-03-06,1488758400,8.4,8.53,8.26,8.3,455900
2017-03-07,1488844800,8.31,8.4,8.29,8.29,285300
2017-03-08,1488931200,8.33,8.39,8.18,8.18,410000
2017-03-09,1489017600,8.2,8.26,8.18,8.23,320400
2017-03-10,1489104000,8.31,8.31,8.22,8.25,355500
2017-03-13,1489363200,8.24,8.26,8.12,8.13,308300
2017-03-14,1489449600,8.12,8.12,7.76,7.95,754600
2017-03-15,1489536000,8.0,8.21,7.95,8.18,662000
2017-03-16,1489622400,8.23,8.28,8.14,8.17,383700
2017-03-17,1489708800,8.11,8.45,8.11,8.37,1271100
2017-03-20,1489968000,8.39,8.71,8.28,8.71,377700
2017-03-21,1490054400,8.78,8.78,8.4,8.46,523300
2017-03-22,1490140800,8.41,8.61,8.32,8.41,388300
2017-03-23,1490227200,8.42,8.51,8.4,8.42,271700
2017-03-24,1490313600,8.45,8.71,8.43,8.66,316100
2017-03-27,1490572800,8.52,8.66,8.39,8.65,258600
2017-03-28,1490659200,8.64,8.7,8.53,8.68,238600
2017-03-29,1490745600,8.65,8.75,8.57,8.58,222900
2017-03-30,1490832000,8.59,8.74,8.54,8.71,270000
2017-03-31,1490918400,8.72,8.81,8.61,8.7,698700
2017-04-03,1491177600,8.69,8.79,8.62,8.65,427900
2017-04-04,1491264000,8.65,8.72,8.62,8.68,331900
2017-04-05,1491350400,8.69,8.85,8.66,8.83,897800
2017-04-06,1491436800,8.85,9.12,8.77,9.11,312900
2017-04-07,1491523200,9.06,9.33,9.06,9.21,287800
2017-04-10,1491782400,9.2,9.28,9.01,9.05,193600
2017-04-11,1491868800,9.01,9.25,8.99,9.22,187400
2017-04-12,1491955200,9.17,9.22,8.97,9.02,247200
2017-04-13,1492041600,9.03,9.14,8.89,9.05,204400
2017-04-17,1492387200,9.08,9.19,8.97,9.19,157100
2017-04-18,1492473600,9.11,9.26,9.08,9.21,215000
2017-04-19,1492560000,9.27,9.6,9.23,9.54,449900
2017-04-20,1492646400,9.58,9.76,9.51,9.64,225600
2017-04-21,1492732800,9.63,9.76,9.53,9.68,246600
2017-04-24,1492992000,9.82,9.98,9.78,9.84,324000
2017-04-25,1493078400,9.95,10.1,9.92,9.99,306100
2017-04-26,1493164800,9.98,10.54,9.98,10.32,448100
2017-04-27,1493251200,10.31,10.35,10.19,10.24,176500
2017-04-28,1493337600,10.26,10.26,10.12,10.15,130900
2017-05-01,1493596800,10.2,10.22,10.08,10.2,148400
2017-05-02,1493683200,10.24,10.27,10.1,10.17,179700
2017-05-03,1493769600,10.11,10.95,10.11,10.79,719700
2017-05-04,1493856000,11.15,12.59,11.04,11.11,1148500
2017-05-05,1493942400,11.12,11.12,10.49,10.77,409200
2017-05-08,1494201600,10.77,10.8,10.33,10.38,380300
2017-05-09,1494288000,10.43,10.82,10.31,10.58,518000
2017-05-10,1494374400,10.58,10.74,10.47,10.68,285400
2017-05-11,1494460800,10.64,10.64,10.37,10.57,177600
2017-05-12,1494547200,10.55,10.57,10.28,10.29,155800
2017-05-15,1494806400,10.29,10.4,10.19,10.3,167800
2017-05-16,1494892800,10.35,10.35,10.04,10.1,234600
2017-05-17,1494979200,9.97,10.06,9.59,9.61,319800
2017-05-18,1495065600,9.61,9.61,9.48,9.51,301500
2017-05-19,1495152000,9.5,9.69,9.49,9.49,494800
2017-05-22,1495411200,9.52,9.57,9.46,9.53,269300
2017-05-23,1495497600,9.57,9.71,9.39,9.69,320100
2017-05-24,1495584000,9.67,9.83,9.67,9.79,408000
2017-05-25,1495670400,9.8,9.88,9.61,9.66,249500
2017-05-26,1495756800,9.64,9.67,9.52,9.61,164700
2017-05-30,1496102400,9.57,9.61,9.49,9.5,253000
2017-05-31,1496188800,9.56,9.63,9.31,9.44,340000
2017-06-01,1496275200,9.46,9.94,9.46,9.89,303700
2017-06-02,1496361600,9.89,10.23,9.86,10.08,306000
2017-06-05,1496620800,10.04,10.09,9.69,9.7,236600
2017-06-06,1496707200,9.67,9.82,9.5,9.64,172700
2017-06-07,1496793600,9.66,9.69,9.56,9.64,161800
2017-06-08,1496880000,9.63,9.74,9.57,9.6,216000
2017-06-09,1496966400,9.65,9.94,9.65,9.73,212200
2017-06-12,1497225600,9.7,10.04,9.7,9.82,249300
2017-06-13,1497312000,9.83,9.97,9.75,9.93,144800
2017-06-14,1497398400,9.93,10.44,9.73,9.8,361100
2017-06-15,1497484800,9.65,9.87,9.65,9.81,184100
2017-06-16,1497571200,9.47,9.86,9.47,9.81,464400
2017-06-19,1497830400,9.83,10.07,9.78,9.81,176700
2017-06-20,1497916800,9.75,9.81,9.66,9.68,235600
2017-06-21,1498003200,9.7,9.8,9.59,9.61,151100
2017-06-22,1498089600,9.68,9.73,9.54,9.58,153400
2017-06-23,1498176000,9.56,9.64,9.36,9.39,631400
2017-06-26,1498435200,9.44,9.64,9.36,9.54,279500
2017-06-27,1498521600,9.5,9.61,9.42,9.48,214600
2017-06-28,1498608000,9.51,9.7,9.44,9.64,172400
2017-06-29,1498694400,9.65,9.65,9.39,9.59,163300
2017-06-30,1498780800,9.63,9.69,9.42,9.6,320200
2017-07-03,1499040000,9.6,9.67,9.48,9.49,62700
2017-07-05,1499212800,9.49,9.55,9.43,9.48,176200
2017-07-06,1499299200,9.38,9.45,9.08,9.1,263400
2017-07-07,1499385600,9.15,9.44,9.08,9.42,265400
2017-07-10,1499644800,9.4,9.5,9.25,9.25,204100
2017-07-11,1499731200,9.25,9.33,9.18,9.28,226000
2017-07-12,1499817600,9.35,9.56,9.29,9.4,279900
2017-07-13,1499904000,9.39,9.44,9.26,9.32,181100
2017-07-14,1499990400,9.25,9.35,9.23,9.27,130500
2017-07-17,1500249600,9.24,9.36,9.2,9.34,160200
2017-07-18,1500336000,9.31,9.41,9.25,9.36,116300
2017-07-19,1500422400,9.38,9.41,9.24,9.32,219300
2017-07-20,1500508800,9.32,9.47,9.26,9.33,165500
2017-07-21,1500595200,9.47,9.48,9.32,9.43,239700
2017-07-24,1500854400,9.41,9.51,9.15,9.26,161500
2017-07-25,1500940800,9.3,9.4,9.17,9.2,293900
2017-07-26,1501027200,9.21,9.25,8.85,8.88,355800
2017-07-27,1501113600,8.9,8.99,8.64,8.64,342700
2017-07-28,1501200000,8.6,8.7,8.48,8.67,274300
2017-07-31,1501459200,8.65,8.79,8.4,8.41,242300
2017-08-01,1501545600,8.5,8.5,8.28,8.32,331900
2017-08-02,1501632000,8.31,8.52,8.1,8.26,222500
2017-08-03,1501718400,8.25,8.32,8.2,8.3,217900
2017-08-04,1501804800,8.31,8.38,8.28,8.3,175800
2017-08-07,1502064000,8.3,8.5,8.29,8.31,188600
2017-08-08,1502150400,8.3,8.48,8.26,8.3,238000
2017-08-09,1502236800,8.38,8.91,8.37,8.9,430000
2017-08-10,1502323200,8.75,8.86,8.48,8.49,308300
2017-08-11,1502409600,8.54,8.65,8.48,8.61,342400
2017-08-14,1502668800,8.66,8.99,8.66,8.83,313000
2017-08-15,1502755200,8.83,8.83,8.5,8.59,226300
2017-08-16,1502841600,8.78,9.01,8.57,8.71,318200
2017-08-17,1502928000,8.62,8.94,8.6,8.64,518000
2017-08-18,1503014400,8.6,8.67,8.53,8.56,262300
2017-08-21,1503273600,8.55,8.74,8.53,8.7,170900
2017-08-22,1503360000,8.7,9.11,8.65,9.11,483400
2017-08-23,1503446400,9.08,9.21,8.87,9.09,197400
2017-08-24,1503532800,9.15,9.33,9.13,9.31,206400
2017-08-25,1503619200,9.37,9.6,9.33,9.57,247100
2017-08-28,1503878400,9.56,9.56,9.2,9.31,229300
2017-08-29,1503964800,9.22,9.39,9.15,9.36,217500
2017-08-30,1504051200,9.37,9.39,9.25,9.28,147100
2017-08-31,1504137600,9.35,9.8,9.35,9.61,311300
2017-09-01,1504224000,9.6,9.64,9.41,9.62,160000
2017-09-05,1504569600,9.59,9.69,9.48,9.61,184000
2017-09-06,1504656000,9.66,9.73,9.49,9.49,114200
2017-09-07,1504742400,9.49,9.62,9.47,9.57,181600
2017-09-08,1504828800,9.54,9.76,9.03,9.51,325100
2017-09-11,1505088000,9.57,9.63,9.48,9.54,128700
2017-09-12,1505174400,9.54,9.72,9.41,9.68,121200
2017-09-13,1505260800,9.65,9.86,9.62,9.72,178400
2017-09-14,1505347200,9.72,9.82,9.67,9.82,118300
2017-09-15,1505433600,9.85,9.99,9.79,9.88,585900
2017-09-18,1505692800,9.95,10.13,9.88,10.08,252900
2017-09-19,1505779200,10.04,10.05,9.8,9.87,136100
2017-09-20,1505865600,9.86,9.92,9.74,9.92,225200
2017-09-21,1505952000,9.85,9.92,9.0,9.89,188400
2017-09-22,1506038400,9.9,10.01,9.66,9.91,99600
2017-09-25,1506297600,9.86,9.99,9.75,9.96,194400
