Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,3.58,3.58,3.47,3.48,64500
2017-01-04,1483488000,3.5,3.58,3.48,3.55,59700
2017-01-05,1483574400,3.52,3.68,3.52,3.6,39400
2017-01-06,1483660800,3.6,3.61,3.56,3.56,19100
2017-01-09,1483920000,3.56,3.58,3.54,3.55,64300
2017-01-10,1484006400,3.58,3.6,3.55,3.58,13300
2017-01-11,1484092800,3.55,3.62,3.55,3.57,15800
2017-01-12,1484179200,3.55,3.61,3.55,3.6,25700
2017-01-13,1484265600,3.61,3.62,3.55,3.6,34800
2017-01-17,1484611200,3.58,3.6,3.52,3.55,68400
2017-01-18,1484697600,3.55,3.62,3.54,3.61,227200
2017-01-19,1484784000,3.59,3.61,3.51,3.61,192400
2017-01-20,1484870400,3.6,3.74,3.58,3.66,148600
2017-01-23,1485129600,3.7,3.74,3.58,3.59,72400
2017-01-24,1485216000,3.6,3.61,3.42,3.44,96800
2017-01-25,1485302400,3.42,3.45,3.4,3.4,32100
2017-01-26,1485388800,3.4,3.42,3.32,3.32,79600
2017-01-27,1485475200,3.43,3.44,3.34,3.34,32900
2017-01-30,1485734400,3.32,3.35,3.3,3.32,26300
2017-01-31,1485820800,3.32,3.45,3.32,3.39,102700
2017-02-01,1485907200,3.4,3.55,3.33,3.36,45500
2017-02-02,1485993600,3.36,3.52,3.31,3.36,32900
2017-02-03,1486080000,3.37,3.41,3.36,3.37,15700
2017-02-06,1486339200,3.38,3.4,3.3,3.3,28900
2017-02-07,1486425600,3.34,3.37,3.32,3.37,28700
2017-02-08,1486512000,3.39,3.46,3.28,3.3,46300
2017-02-09,1486598400,3.29,3.53,3.29,3.44,151000
2017-02-10,1486684800,3.44,3.49,3.31,3.37,36500
2017-02-13,1486944000,3.37,3.46,3.29,3.35,40400
2017-02-14,1487030400,3.28,3.35,3.22,3.29,587100
2017-02-15,1487116800,3.26,3.44,3.22,3.27,80300
2017-02-16,1487203200,3.27,3.31,3.23,3.29,81900
2017-02-17,1487289600,3.29,3.29,3.21,3.21,49100
2017-02-21,1487635200,3.2,3.35,3.2,3.28,51300
2017-02-22,1487721600,3.3,3.47,3.29,3.37,69500
2017-02-23,1487808000,3.38,3.52,3.38,3.42,52900
2017-02-24,1487894400,3.43,3.52,3.3,3.32,41600
2017-02-27,1488153600,3.3,3.54,3.22,3.47,64200
2017-02-28,1488240000,3.44,3.55,3.21,3.45,129600
2017-03-01,1488326400,3.45,3.58,3.42,3.43,26200
2017-03-02,1488412800,3.4,3.44,3.35,3.4,12600
2017-03-03,1488499200,3.37,3.41,3.24,3.35,75800
2017-03-06,1488758400,3.35,3.38,3.15,3.32,130600
2017-03-07,1488844800,3.25,3.39,3.08,3.23,152200
2017-03-08,1488931200,3.17,3.3,3.17,3.22,28300
2017-03-09,1489017600,3.17,3.24,3.11,3.11,107400
2017-03-10,1489104000,3.12,3.2,3.07,3.1,55900
2017-03-13,1489363200,3.1,3.2,3.06,3.09,35500
2017-03-14,1489449600,3.07,3.23,3.07,3.23,61900
2017-03-15,1489536000,3.18,3.28,3.15,3.21,77900
2017-03-16,1489622400,3.22,3.36,3.22,3.29,62200
2017-03-17,1489708800,3.33,3.33,3.26,3.32,7900
2017-03-20,1489968000,3.31,3.36,3.31,3.31,9500
2017-03-21,1490054400,3.3,3.36,3.19,3.27,22700
2017-03-22,1490140800,3.25,3.29,3.15,3.27,17000
2017-03-23,1490227200,3.29,3.32,3.2,3.31,16700
2017-03-24,1490313600,3.32,3.35,3.23,3.26,32700
2017-03-27,1490572800,3.14,3.28,3.14,3.27,32600
2017-03-28,1490659200,3.24,3.35,3.24,3.24,11300
2017-03-29,1490745600,3.22,3.31,3.22,3.26,4200
2017-03-30,1490832000,3.25,3.37,3.25,3.34,10700
2017-03-31,1490918400,3.31,3.35,3.29,3.35,34900
2017-04-03,1491177600,3.34,3.34,3.19,3.21,33100
2017-04-04,1491264000,3.26,3.28,3.15,3.21,14600
2017-04-05,1491350400,3.27,3.33,3.24,3.3,40000
2017-04-06,1491436800,3.3,3.33,3.26,3.32,19000
2017-04-07,1491523200,3.31,3.32,3.27,3.31,2900
2017-04-10,1491782400,3.33,3.34,3.27,3.31,23600
2017-04-11,1491868800,3.32,3.48,3.26,3.47,58900
2017-04-12,1491955200,3.45,3.47,3.4,3.46,18900
2017-04-13,1492041600,3.45,3.73,3.45,3.62,105800
2017-04-17,1492387200,3.62,3.73,3.52,3.62,393300
2017-04-18,1492473600,3.61,3.75,3.61,3.7,176200
2017-04-19,1492560000,3.73,3.73,3.4,3.66,150100
2017-04-20,1492646400,3.65,3.69,3.55,3.6,33900
2017-04-21,1492732800,3.6,3.65,3.51,3.61,13000
2017-04-24,1492992000,3.65,3.68,3.43,3.59,292100
2017-04-25,1493078400,3.68,3.68,3.54,3.66,38500
2017-04-26,1493164800,3.65,3.65,3.52,3.59,28500
2017-04-27,1493251200,3.57,3.68,3.51,3.63,117700
2017-04-28,1493337600,3.61,3.64,3.54,3.63,120700
2017-05-01,1493596800,3.63,3.68,3.6,3.63,126100
2017-05-02,1493683200,3.63,3.65,3.59,3.65,15200
2017-05-03,1493769600,3.64,3.68,3.6,3.64,10600
2017-05-04,1493856000,3.66,3.69,3.53,3.68,224700
2017-05-05,1493942400,3.68,3.8,3.63,3.78,221800
2017-05-08,1494201600,3.8,3.83,3.46,3.61,71700
2017-05-09,1494288000,3.48,3.99,3.48,3.9,108500
2017-05-10,1494374400,4.0,4.13,3.85,4.09,116800
2017-05-11,1494460800,3.8,4.0,3.58,3.93,93500
2017-05-12,1494547200,3.9,3.97,3.82,3.87,312900
2017-05-15,1494806400,3.63,3.63,2.85,3.11,1232100
2017-05-16,1494892800,3.11,3.26,3.11,3.26,707500
2017-05-17,1494979200,3.23,3.29,3.17,3.21,219300
2017-05-18,1495065600,3.25,3.28,3.2,3.24,199100
2017-05-19,1495152000,3.24,3.29,3.18,3.2,122700
2017-05-22,1495411200,3.2,3.2,3.01,3.09,670200
2017-05-23,1495497600,3.07,3.16,3.05,3.12,781800
2017-05-24,1495584000,3.12,3.22,3.09,3.18,282300
2017-05-25,1495670400,3.2,3.25,3.14,3.23,459700
2017-05-26,1495756800,3.21,3.21,3.13,3.17,172500
2017-05-30,1496102400,3.17,3.21,3.1,3.12,81800
2017-05-31,1496188800,3.13,3.16,3.03,3.06,112500
2017-06-01,1496275200,3.07,3.15,3.05,3.1,214000
2017-06-02,1496361600,3.1,3.19,3.08,3.16,100800
2017-06-05,1496620800,3.18,3.26,3.09,3.11,230200
2017-06-06,1496707200,3.1,3.16,3.06,3.07,78400
2017-06-07,1496793600,3.08,3.21,3.08,3.17,95400
2017-06-08,1496880000,3.19,3.3,3.14,3.21,229500
2017-06-09,1496966400,3.21,3.3,3.21,3.25,141700
2017-06-12,1497225600,3.22,3.3,3.17,3.23,931600
2017-06-13,1497312000,3.23,3.26,3.15,3.23,151000
2017-06-14,1497398400,3.25,3.26,3.16,3.2,222800
2017-06-15,1497484800,3.2,3.29,3.19,3.21,130700
2017-06-16,1497571200,3.22,3.25,3.09,3.1,919100
2017-06-19,1497830400,3.14,3.22,3.13,3.16,205200
2017-06-20,1497916800,3.15,3.23,3.1,3.14,739300
2017-06-21,1498003200,3.16,3.21,3.13,3.16,62500
2017-06-22,1498089600,3.16,3.24,3.15,3.22,67500
2017-06-23,1498176000,3.22,3.23,3.22,3.23,99100
2017-06-26,1498435200,3.2,3.3,3.19,3.25,286800
2017-06-27,1498521600,3.23,3.3,3.2,3.23,134900
2017-06-28,1498608000,3.23,3.37,3.23,3.35,188700
2017-06-29,1498694400,3.36,3.37,3.15,3.2,602700
2017-06-30,1498780800,3.21,3.33,3.15,3.23,289800
2017-07-03,1499040000,3.26,3.34,3.21,3.34,85700
2017-07-05,1499212800,3.31,3.31,3.15,3.17,124100
2017-07-06,1499299200,3.17,3.17,3.01,3.08,175000
2017-07-07,1499385600,3.13,3.16,3.02,3.09,127200
2017-07-10,1499644800,3.06,3.15,3.06,3.1,92600
2017-07-11,1499731200,3.13,3.13,3.03,3.07,61600
2017-07-12,1499817600,3.09,3.1,3.03,3.08,109300
2017-07-13,1499904000,3.1,3.11,3.0,3.01,71700
2017-07-14,1499990400,3.03,3.1,3.0,3.08,91300
2017-07-17,1500249600,3.05,3.1,2.96,3.02,44000
2017-07-18,1500336000,3.02,3.04,3.0,3.01,184300
2017-07-19,1500422400,2.99,3.04,2.9,2.91,249300
2017-07-20,1500508800,2.96,2.97,2.87,2.89,128500
2017-07-21,1500595200,2.86,2.91,2.81,2.86,412800
2017-07-24,1500854400,2.88,2.94,2.8,2.86,52000
2017-07-25,1500940800,2.85,2.85,2.75,2.76,199700
2017-07-26,1501027200,2.77,2.8,2.73,2.8,99300
2017-07-27,1501113600,2.6,2.81,2.6,2.78,98600
2017-07-28,1501200000,2.78,2.8,2.71,2.74,30200
2017-07-31,1501459200,2.74,2.8,2.6,2.61,170300
2017-08-01,1501545600,2.63,2.67,2.53,2.64,204700
2017-08-02,1501632000,2.61,2.63,2.49,2.52,86400
2017-08-03,1501718400,2.5,2.63,2.5,2.6,142800
2017-08-04,1501804800,2.6,2.76,2.58,2.72,78700
2017-08-07,1502064000,2.7,2.78,2.63,2.78,150300
2017-08-08,1502150400,2.72,2.8,2.62,2.72,99800
2017-08-09,1502236800,2.73,2.78,2.59,2.77,81600
2017-08-10,1502323200,2.89,2.92,2.67,2.74,148600
2017-08-11,1502409600,2.76,2.82,2.57,2.65,68500
2017-08-14,1502668800,2.64,2.8,2.52,2.73,124300
2017-08-15,1502755200,2.75,2.8,2.66,2.73,161100
2017-08-16,1502841600,2.75,2.86,2.73,2.76,180700
2017-08-17,1502928000,2.76,2.85,2.73,2.82,93500
2017-08-18,1503014400,2.83,2.95,2.7,2.72,178600
2017-08-21,1503273600,2.74,2.75,2.61,2.62,36500
2017-08-22,1503360000,2.64,2.84,2.56,2.58,76700
2017-08-23,1503446400,2.58,2.74,2.54,2.6,148000
2017-08-24,1503532800,2.63,2.73,2.57,2.6,183600
2017-08-25,1503619200,2.63,2.74,2.61,2.7,105800
2017-08-28,1503878400,2.73,2.78,2.65,2.69,89800
2017-08-29,1503964800,2.7,2.83,2.68,2.81,58700
2017-08-30,1504051200,2.8,2.93,2.77,2.82,126300
2017-08-31,1504137600,2.85,3.01,2.84,2.92,117400
2017-09-01,1504224000,2.94,3.04,2.93,2.96,124500
2017-09-05,1504569600,2.99,3.05,2.99,3.02,115100
2017-09-06,1504656000,3.02,3.05,2.99,2.99,57300
2017-09-07,1504742400,2.99,3.02,2.92,2.94,101500
2017-09-08,1504828800,2.95,3.02,2.91,2.91,60300
2017-09-11,1505088000,2.9,3.02,2.88,2.97,72200
2017-09-12,1505174400,2.96,3.09,2.96,3.04,88000
2017-09-13,1505260800,3.03,3.09,2.96,3.03,83300
2017-09-14,1505347200,3.04,3.11,3.01,3.06,47900
2017-09-15,1505433600,3.08,3.09,2.87,2.92,162300
2017-09-18,1505692800,2.92,3.06,2.92,3.02,42400
2017-09-19,1505779200,3.01,3.09,2.96,3.0,10200
2017-09-20,1505865600,3.0,3.04,2.98,2.99,7800
2017-09-21,1505952000,2.97,3.01,2.76,2.85,77500
2017-09-22,1506038400,2.86,2.96,2.86,2.89,22800
2017-09-25,1506297600,2.89,2.95,2.72,2.79,91800
2017-09-26,1506384000,2.79,2.9,2.79,2.85,42700
2017-09-27,1506470400,2.88,2.94,2.81,2.88,32500
2017-09-28,1506556800,2.89,2.89,2.82,2.89,14200
2017-09-29,1506643200,2.9,2.91,2.85,2.89,15600
2017-10-02,1506902400,2.91,2.93,2.83,2.88,26000
2017-10-03,1506988800,2.91,2.93,2.89,2.92,21000
2017-10-04,1507075200,2.95,3.0,2.88,2.88,65500
2017-10-05,1507161600,2.88,2.91,2.65,2.76,277900
2017-10-06,1507248000,2.8,2.85,2.6,2.69,203700
2017-10-09,1507507200,2.75,3.14,2.75,2.97,226200
2017-10-10,1507593600,2.99,3.04,2.94,2.96,93100
2017-10-11,1507680000,2.98,2.99,2.89,2.89,46500
2017-10-12,1507766400,2.9,2.98,2.88,2.89,30300
2017-10-13,1507852800,2.91,2.94,2.81,2.83,248600
2017-10-16,1508112000,2.86,2.86,2.8,2.8,11900
2017-10-17,1508198400,2.82,2.82,2.69,2.72,215800
2017-10-18,1508284800,2.73,2.75,2.69,2.69,27400
2017-10-19,1508371200,2.7,2.73,2.54,2.57,69800
2017-10-20,1508457600,2.61,2.68,2.54,2.59,41600
2017-10-23,1508716800,2.59,2.59,2.5,2.5,56900
2017-10-24,1508803200,2.53,2.53,2.41,2.41,71400
2017-10-25,1508889600,2.42,2.47,2.27,2.38,71000
2017-10-26,1508976000,2.39,2.42,2.36,2.38,144500
2017-10-27,1509062400,2.38,2.45,2.35,2.4,398800
2017-10-30,1509321600,2.42,2.47,2.41,2.44,96200
2017-10-31,1509408000,2.49,2.6,2.46,2.56,232400
2017-11-01,1509494400,2.56,2.59,2.36,2.47,371500
2017-11-02,1509580800,2.48,2.48,2.4,2.43,181900
2017-11-03,1509667200,2.42,2.52,2.42,2.46,55100
2017-11-06,1509926400,2.45,2.49,2.41,2.45,43200
2017-11-07,1510012800,2.43,2.43,2.3,2.35,231300
2017-11-08,1510099200,2.36,2.36,2.25,2.27,578600
2017-11-09,1510185600,2.26,2.4,2.26,2.39,81400
2017-11-10,1510272000,2.38,2.59,2.38,2.55,142600
2017-11-13,1510531200,2.55,2.62,2.43,2.54,101000
