Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,102.61,102.67,99.93,100.65,87300
2017-01-04,1483488000,100.61,103.45,100.61,103.24,100700
2017-01-05,1483574400,102.62,103.84,101.76,103.76,90000
2017-01-06,1483660800,103.69,104.02,102.69,103.01,86700
2017-01-09,1483920000,103.05,103.05,101.8,102.36,100100
2017-01-10,1484006400,102.2,103.31,102.08,102.78,164800
2017-01-11,1484092800,102.88,103.5,102.08,102.64,235500
2017-01-12,1484179200,103.08,103.74,101.36,103.45,117800
2017-01-13,1484265600,103.08,104.08,102.93,103.35,68000
2017-01-17,1484611200,103.29,103.99,102.84,103.89,72900
2017-01-18,1484697600,103.81,105.52,103.45,104.82,87400
2017-01-19,1484784000,104.26,106.44,103.25,104.15,127600
2017-01-20,1484870400,103.65,105.9,103.65,105.61,94800
2017-01-23,1485129600,105.99,106.39,104.9,105.09,110500
2017-01-24,1485216000,104.99,105.75,104.23,104.49,112400
2017-01-25,1485302400,104.61,104.8,103.1,103.44,82600
2017-01-26,1485388800,103.46,103.89,102.38,102.51,73200
2017-01-27,1485475200,102.98,102.98,98.98,99.5,118800
2017-01-30,1485734400,98.91,99.33,97.74,98.06,110000
2017-01-31,1485820800,97.76,99.48,97.65,97.9,187600
2017-02-01,1485907200,97.89,98.68,96.52,96.99,127700
2017-02-02,1485993600,96.99,98.13,96.59,97.57,114200
2017-02-03,1486080000,97.98,98.96,97.87,98.45,94300
2017-02-06,1486339200,98.34,98.78,97.89,97.96,59500
2017-02-07,1486425600,97.86,99.23,97.11,97.34,89500
2017-02-08,1486512000,97.37,98.06,97.08,97.52,114800
2017-02-09,1486598400,97.35,98.84,96.8,98.06,131400
2017-02-10,1486684800,98.23,99.19,98.19,98.91,65400
2017-02-13,1486944000,99.1,99.98,98.68,99.16,63700
2017-02-14,1487030400,99.07,100.22,98.03,99.42,124600
2017-02-15,1487116800,98.52,99.62,97.83,99.38,74200
2017-02-16,1487203200,99.21,101.05,99.21,101.05,76100
2017-02-17,1487289600,101.05,102.91,100.48,101.59,118600
2017-02-21,1487635200,101.3,102.6,101.21,102.21,90800
2017-02-22,1487721600,101.2,102.58,100.16,100.65,83900
2017-02-23,1487808000,100.71,101.5,100.16,101.4,87100
2017-02-24,1487894400,101.12,102.53,100.9,102.34,60600
2017-02-27,1488153600,102.29,104.35,102.2,102.68,71800
2017-02-28,1488240000,102.68,102.9,101.04,101.54,80400
2017-03-01,1488326400,101.61,103.32,101.55,102.57,81800
2017-03-02,1488412800,102.46,104.32,101.77,102.66,63200
2017-03-03,1488499200,102.63,103.1,101.13,102.35,57200
2017-03-06,1488758400,102.16,102.41,100.83,102.11,64400
2017-03-07,1488844800,102.16,102.23,101.33,101.65,55800
2017-03-08,1488931200,101.3,101.36,99.49,99.52,44000
2017-03-09,1489017600,99.43,100.17,97.84,97.99,54400
2017-03-10,1489104000,98.08,99.44,96.98,97.42,54800
2017-03-13,1489363200,97.37,98.2,95.95,97.24,53600
2017-03-14,1489449600,97.29,98.92,96.78,97.6,143600
2017-03-15,1489536000,98.03,99.62,97.65,98.69,237900
2017-03-16,1489622400,98.18,99.32,98.03,98.77,116200
2017-03-17,1489708800,98.59,99.59,98.22,99.52,274300
2017-03-20,1489968000,99.7,100.02,99.28,99.68,62800
2017-03-21,1490054400,99.86,101.02,98.63,98.92,83400
2017-03-22,1490140800,98.82,99.14,97.56,99.05,88300
2017-03-23,1490227200,99.11,101.57,98.78,100.58,72900
2017-03-24,1490313600,100.49,101.0,98.85,100.09,96200
2017-03-27,1490572800,99.62,101.56,98.4,99.0,91800
2017-03-28,1490659200,98.86,100.11,97.64,99.96,93200
2017-03-29,1490745600,99.46,100.24,98.89,100.1,67500
2017-03-30,1490832000,99.95,100.5,97.79,100.1,177200
2017-03-31,1490918400,100.53,101.46,99.29,101.05,112900
2017-04-03,1491177600,101.27,102.14,100.53,101.42,102100
2017-04-04,1491264000,101.26,102.38,100.85,102.28,106400
2017-04-05,1491350400,102.52,103.84,101.86,103.57,143900
2017-04-06,1491436800,103.48,104.33,103.02,104.14,106800
2017-04-07,1491523200,104.15,105.53,102.3,105.05,95300
2017-04-10,1491782400,105.42,105.93,104.75,105.51,75800
2017-04-11,1491868800,105.51,106.25,104.97,106.06,92900
2017-04-12,1491955200,105.84,106.77,105.41,105.62,81600
2017-04-13,1492041600,105.5,106.5,104.66,104.67,79300
2017-04-17,1492387200,104.72,106.2,104.72,106.17,59900
2017-04-18,1492473600,106.18,106.78,105.63,106.09,80100
2017-04-19,1492560000,106.35,106.98,105.65,106.06,109200
2017-04-20,1492646400,106.29,106.91,104.96,106.72,83400
2017-04-21,1492732800,106.8,107.59,105.86,107.25,91000
