Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,22.26,22.5,20.89,21.18,67400
2017-01-04,1483488000,21.4,21.6,21.0,21.08,42900
2017-01-05,1483574400,20.7,21.61,20.4,21.05,54600
2017-01-06,1483660800,21.23,21.58,20.59,20.75,13500
2017-01-09,1483920000,20.52,21.8,20.09,20.4,73200
2017-01-10,1484006400,20.32,20.32,19.43,19.59,27400
2017-01-11,1484092800,20.09,20.09,19.27,19.54,10000
2017-01-12,1484179200,19.4,19.72,18.03,18.93,43600
2017-01-13,1484265600,18.91,19.81,18.31,19.54,19500
2017-01-17,1484611200,19.41,19.75,18.01,18.97,39500
2017-01-18,1484697600,19.82,19.82,18.66,18.92,11000
2017-01-19,1484784000,19.04,19.79,18.09,18.33,18800
2017-01-20,1484870400,18.31,19.67,16.59,17.73,60500
2017-01-23,1485129600,17.73,18.14,17.19,17.77,32900
2017-01-24,1485216000,17.77,18.78,17.42,18.46,21600
2017-01-25,1485302400,18.47,19.6,17.76,19.52,23700
2017-01-26,1485388800,19.45,20.14,18.7,19.97,21100
2017-01-27,1485475200,19.95,19.96,19.25,19.28,16100
2017-01-30,1485734400,19.29,19.89,18.4,18.8,16200
2017-01-31,1485820800,18.73,18.75,17.64,18.04,14500
2017-02-01,1485907200,18.63,19.15,18.04,18.21,4600
2017-02-02,1485993600,18.5,19.84,18.44,18.64,15500
2017-02-03,1486080000,18.89,19.25,17.7,19.14,18300
2017-02-06,1486339200,19.06,19.73,18.28,18.97,8900
2017-02-07,1486425600,18.37,19.01,17.57,17.9,35300
2017-02-08,1486512000,17.98,18.2,16.6,16.92,25300
2017-02-09,1486598400,16.51,17.1,15.65,15.89,33400
2017-02-10,1486684800,15.9,16.19,15.39,15.62,11900
2017-02-13,1486944000,15.6,16.06,15.1,15.59,17200
2017-02-14,1487030400,15.46,15.72,14.58,14.79,22200
2017-02-15,1487116800,14.69,15.22,14.26,15.12,38800
2017-02-16,1487203200,14.91,15.29,14.38,15.09,24400
2017-02-17,1487289600,15.18,15.88,14.83,15.17,83700
2017-02-21,1487635200,14.92,15.29,14.24,15.17,43900
2017-02-22,1487721600,15.39,15.39,14.38,14.58,52900
2017-02-23,1487808000,14.78,14.96,13.64,13.96,17700
2017-02-24,1487894400,13.85,15.03,13.77,14.4,82500
2017-02-27,1488153600,14.45,14.74,14.05,14.42,23700
2017-02-28,1488240000,14.29,14.5,13.51,13.86,43200
2017-03-01,1488326400,14.0,14.95,13.84,14.73,81000
2017-03-02,1488412800,14.74,14.86,14.02,14.17,28000
2017-03-03,1488499200,14.41,14.42,13.66,13.8,35800
2017-03-06,1488758400,13.69,13.9,13.25,13.67,23000
2017-03-07,1488844800,13.68,13.69,13.22,13.47,19300
2017-03-08,1488931200,13.57,14.77,13.18,13.59,88100
2017-03-09,1489017600,13.88,13.9,13.5,13.54,10100
2017-03-10,1489104000,13.54,13.8,13.2,13.72,28800
2017-03-13,1489363200,13.71,14.17,13.71,14.05,19400
2017-03-14,1489449600,13.56,13.86,12.4,12.92,50100
2017-03-15,1489536000,13.24,13.24,12.3,12.71,25400
2017-03-16,1489622400,12.8,13.02,12.32,12.79,42500
2017-03-17,1489708800,12.62,13.61,12.37,13.09,46200
2017-03-20,1489968000,13.1,13.95,12.58,13.04,35800
2017-03-21,1490054400,12.93,12.93,12.15,12.34,27600
2017-03-22,1490140800,12.32,12.6,12.12,12.49,24300
2017-03-23,1490227200,12.32,13.46,12.1,13.15,16500
2017-03-24,1490313600,13.01,13.68,13.01,13.22,7400
2017-03-27,1490572800,12.52,13.99,12.52,13.71,60600
2017-03-28,1490659200,13.79,14.16,13.7,13.86,52900
2017-03-29,1490745600,14.14,14.14,13.5,13.56,7200
2017-03-30,1490832000,13.06,13.64,12.82,13.41,76000
2017-03-31,1490918400,13.37,13.8,12.12,12.81,71100
2017-04-03,1491177600,12.89,13.2,12.02,12.12,28500
2017-04-04,1491264000,12.23,12.82,11.94,12.04,46900
2017-04-05,1491350400,12.25,13.43,12.12,12.38,33600
2017-04-06,1491436800,12.58,12.97,11.01,11.38,40200
2017-04-07,1491523200,11.34,11.39,10.31,10.35,36600
2017-04-10,1491782400,10.57,11.25,10.34,10.77,14100
2017-04-11,1491868800,10.66,11.0,9.93,10.55,22800
2017-04-12,1491955200,10.46,10.72,10.24,10.6,9000
2017-04-13,1492041600,11.36,11.36,10.53,10.56,17400
2017-04-17,1492387200,10.55,10.66,10.28,10.42,11000
2017-04-18,1492473600,10.4,10.72,10.18,10.63,6400
2017-04-19,1492560000,10.58,10.78,10.23,10.53,16300
2017-04-20,1492646400,11.11,11.11,10.51,10.59,18500
2017-04-21,1492732800,10.81,10.94,10.48,10.57,17200
2017-04-24,1492992000,10.77,10.77,10.0,10.11,14300
2017-04-25,1493078400,10.29,10.72,10.04,10.59,8500
2017-04-26,1493164800,10.66,10.75,10.44,10.6,10700
2017-04-27,1493251200,10.92,11.12,10.44,10.63,15600
2017-04-28,1493337600,10.5,10.51,10.06,10.12,7000
2017-05-01,1493596800,10.5,10.67,10.11,10.55,5300
2017-05-02,1493683200,10.54,10.76,10.34,10.47,7600
2017-05-03,1493769600,10.37,10.53,10.07,10.23,8900
2017-05-04,1493856000,10.21,10.27,10.12,10.17,3100
2017-05-05,1493942400,10.38,10.4,9.24,9.24,15900
2017-05-08,1494201600,9.59,9.97,9.05,9.15,10300
2017-05-09,1494288000,9.19,9.5,9.01,9.4,19800
2017-05-10,1494374400,10.2,10.2,9.01,9.65,14000
2017-05-11,1494460800,9.98,10.9,9.72,10.39,8000
2017-05-12,1494547200,10.62,10.75,10.0,10.45,8200
2017-05-15,1494806400,10.62,10.77,10.09,10.74,12600
2017-05-16,1494892800,10.13,10.75,10.13,10.71,12100
2017-05-17,1494979200,10.47,10.75,9.25,10.3,38500
2017-05-18,1495065600,9.53,10.17,9.52,9.86,9200
2017-05-19,1495152000,9.83,10.76,9.34,10.59,14900
2017-05-22,1495411200,10.75,10.99,10.27,10.44,7600
2017-05-23,1495497600,10.22,10.34,9.45,9.86,40900
2017-05-24,1495584000,9.9,10.56,9.01,9.1,30700
2017-05-25,1495670400,9.18,9.9,8.0,8.59,43800
2017-05-26,1495756800,8.4,8.55,8.02,8.22,32300
2017-05-30,1496102400,12.28,14.85,11.12,11.82,3234700
2017-05-31,1496188800,12.45,12.45,10.76,11.17,357000
2017-06-01,1496275200,11.41,11.74,10.5,10.89,243600
2017-06-02,1496361600,10.8,11.02,10.65,10.68,231600
2017-06-05,1496620800,10.54,11.0,10.25,10.6,105900
2017-06-06,1496707200,10.55,10.76,10.5,10.51,116700
2017-06-07,1496793600,10.42,11.0,10.25,10.63,110400
2017-06-08,1496880000,10.7,11.34,10.41,10.78,217100
2017-06-09,1496966400,10.78,11.76,10.65,11.38,143900
2017-06-12,1497225600,11.38,11.73,11.01,11.11,132800
2017-06-13,1497312000,11.05,11.41,10.89,10.96,226400
2017-06-14,1497398400,10.96,11.36,10.72,11.06,142000
2017-06-15,1497484800,10.92,11.2,10.77,10.84,115100
2017-06-16,1497571200,10.7,10.97,10.41,10.55,72400
2017-06-19,1497830400,10.58,11.23,10.55,11.14,53800
2017-06-20,1497916800,11.11,12.09,10.87,11.71,59200
2017-06-21,1498003200,12.04,12.22,11.75,12.11,101700
2017-06-22,1498089600,12.33,12.33,11.8,12.08,83200
2017-06-23,1498176000,12.09,12.09,11.81,12.0,268000
2017-06-26,1498435200,12.07,12.1,11.15,12.0,117600
2017-06-27,1498521600,11.98,11.98,11.02,11.12,70100
2017-06-28,1498608000,11.13,12.24,11.13,12.0,142000
2017-06-29,1498694400,12.25,12.25,11.26,11.54,106300
2017-06-30,1498780800,11.52,11.66,11.11,11.31,45500
2017-07-03,1499040000,11.44,11.61,11.2,11.4,24000
2017-07-05,1499212800,11.29,12.13,11.15,11.89,93300
2017-07-06,1499299200,12.0,12.15,11.69,12.0,78600
2017-07-07,1499385600,11.91,12.74,11.91,12.69,136400
2017-07-10,1499644800,12.69,12.88,12.36,12.38,43400
2017-07-11,1499731200,12.49,13.51,12.21,13.17,55000
2017-07-12,1499817600,13.23,13.65,13.1,13.41,40100
2017-07-13,1499904000,13.3,14.12,13.21,13.93,75100
2017-07-14,1499990400,14.07,14.07,13.35,13.56,83300
2017-07-17,1500249600,13.54,13.8,12.54,12.66,46600
2017-07-18,1500336000,12.64,12.69,12.25,12.26,48200
2017-07-19,1500422400,12.26,12.96,12.25,12.92,115100
2017-07-20,1500508800,12.82,13.15,12.38,12.92,123400
2017-07-21,1500595200,13.8,13.8,12.58,12.75,107200
2017-07-24,1500854400,12.84,13.46,12.38,13.4,155300
2017-07-25,1500940800,13.52,13.72,13.04,13.24,31700
2017-07-26,1501027200,13.41,13.79,13.13,13.61,112000
2017-07-27,1501113600,13.63,13.92,12.65,13.02,89900
2017-07-28,1501200000,13.07,13.07,12.56,12.67,18100
2017-07-31,1501459200,12.6,12.65,12.1,12.19,70200
2017-08-01,1501545600,12.44,12.59,11.43,11.89,126700
2017-08-02,1501632000,11.98,11.98,11.01,11.18,54100
2017-08-03,1501718400,11.52,11.52,10.87,10.91,33700
2017-08-04,1501804800,10.88,11.92,10.88,11.73,58300
2017-08-07,1502064000,11.87,11.89,11.5,11.61,37900
2017-08-08,1502150400,11.64,12.02,11.55,11.74,34200
2017-08-09,1502236800,11.53,11.82,10.38,10.72,101000
2017-08-10,1502323200,10.75,10.83,10.26,10.61,88300
2017-08-11,1502409600,10.56,11.38,10.48,11.1,144600
2017-08-14,1502668800,11.19,12.68,11.01,12.49,92100
2017-08-15,1502755200,12.5,12.55,11.65,12.08,41000
2017-08-16,1502841600,12.0,12.99,12.0,12.2,49400
2017-08-17,1502928000,12.1,12.44,12.1,12.25,31600
2017-08-18,1503014400,12.02,12.18,11.87,11.91,60300
2017-08-21,1503273600,11.99,12.32,11.57,12.31,23900
2017-08-22,1503360000,12.64,12.64,12.2,12.51,33000
2017-08-23,1503446400,12.54,12.59,12.0,12.21,12600
2017-08-24,1503532800,12.32,14.35,12.32,13.36,106200
2017-08-25,1503619200,14.03,14.05,13.12,13.77,60600
2017-08-28,1503878400,14.31,15.49,14.31,14.93,90500
2017-08-29,1503964800,15.02,17.15,15.02,16.77,151500
2017-08-30,1504051200,16.72,17.18,16.27,16.48,44100
2017-08-31,1504137600,16.4,16.4,16.0,16.33,44600
2017-09-01,1504224000,16.46,17.08,16.36,16.78,161500
2017-09-05,1504569600,16.83,16.99,16.14,16.26,68700
2017-09-06,1504656000,16.25,16.35,15.56,16.26,78100
2017-09-07,1504742400,15.62,16.1,15.3,15.51,81800
2017-09-08,1504828800,15.55,15.67,15.12,15.14,65100
2017-09-11,1505088000,15.52,15.52,14.38,14.65,69900
2017-09-12,1505174400,14.8,14.8,14.13,14.42,37400
2017-09-13,1505260800,14.26,15.08,14.23,14.61,33300
2017-09-14,1505347200,14.5,15.49,14.41,15.36,41200
2017-09-15,1505433600,15.29,15.91,14.72,15.75,90500
2017-09-18,1505692800,15.93,16.66,15.6,16.54,51500
2017-09-19,1505779200,16.65,16.78,16.12,16.69,33400
2017-09-20,1505865600,16.36,17.63,16.29,17.32,48100
2017-09-21,1505952000,17.21,17.29,16.61,17.13,39500
2017-09-22,1506038400,17.1,17.1,16.43,16.85,22600
2017-09-25,1506297600,16.7,16.7,16.25,16.39,21700
2017-09-26,1506384000,16.2,16.34,15.87,16.28,18000
2017-09-27,1506470400,16.2,18.06,16.18,17.63,62100
2017-09-28,1506556800,17.63,18.23,17.63,17.98,52800
2017-09-29,1506643200,17.9,18.37,17.47,17.67,26700
2017-10-02,1506902400,17.67,18.01,17.44,17.9,33200
2017-10-03,1506988800,17.9,18.49,17.79,17.92,68500
2017-10-04,1507075200,18.07,18.64,18.05,18.45,16400
2017-10-05,1507161600,18.55,19.61,18.09,19.22,50000
2017-10-06,1507248000,19.1,19.22,18.52,18.76,17700
2017-10-09,1507507200,18.6,19.94,18.56,19.06,37500
2017-10-10,1507593600,19.2,19.69,18.33,19.67,34300
2017-10-11,1507680000,19.88,19.95,19.15,19.81,40500
2017-10-12,1507766400,17.89,17.89,16.26,16.75,1436400
2017-10-13,1507852800,17.01,17.21,15.79,16.36,322600
2017-10-16,1508112000,15.73,16.48,15.68,15.94,167400
2017-10-17,1508198400,15.82,16.46,15.6,16.2,111800
2017-10-18,1508284800,16.23,16.98,16.23,16.52,85800
2017-10-19,1508371200,16.49,16.62,16.08,16.25,73300
2017-10-20,1508457600,16.52,16.7,15.89,15.93,203700
2017-10-23,1508716800,15.93,16.19,15.55,15.73,52800
2017-10-24,1508803200,15.76,16.03,15.35,15.59,78400
2017-10-25,1508889600,15.63,15.74,15.45,15.57,51600
2017-10-26,1508976000,15.57,15.98,14.75,14.95,172100
2017-10-27,1509062400,15.33,15.62,14.93,15.37,123800
2017-10-30,1509321600,15.42,15.7,14.9,15.23,63700
2017-10-31,1509408000,15.36,15.36,14.95,14.97,37100
2017-11-01,1509494400,15.17,15.17,14.31,14.53,73300
2017-11-02,1509580800,14.44,14.88,14.1,14.47,70100
2017-11-03,1509667200,14.39,14.79,14.36,14.67,94200
2017-11-06,1509926400,14.79,15.11,14.43,14.71,45500
2017-11-07,1510012800,14.85,16.31,14.85,15.97,349300
2017-11-08,1510099200,16.06,17.28,15.74,17.01,314200
2017-11-09,1510185600,16.99,17.39,16.27,17.03,171800
2017-11-10,1510272000,17.05,17.43,16.55,17.05,236200
2017-11-13,1510531200,17.0,17.38,16.52,16.96,152100
2017-11-14,1510617600,16.92,16.92,16.21,16.57,108200
2017-11-15,1510704000,16.47,16.95,16.12,16.33,126900
2017-11-16,1510790400,16.56,16.74,16.15,16.27,170700
2017-11-17,1510876800,16.17,17.5,16.17,17.4,97800
2017-11-20,1511136000,17.45,18.83,17.19,18.56,163000
2017-11-21,1511222400,18.83,19.24,18.52,19.09,71200
2017-11-22,1511308800,19.2,19.79,19.15,19.61,89000
2017-11-24,1511481600,19.33,19.77,19.16,19.6,25800
2017-11-27,1511740800,19.45,19.63,16.7,19.31,30600
2017-11-28,1511827200,19.28,19.57,18.91,19.15,58600
2017-11-29,1511913600,18.89,19.45,18.82,19.21,48400
2017-11-30,1512000000,19.17,20.43,18.65,19.5,136200
2017-12-01,1512086400,19.5,19.6,18.42,19.25,95700
2017-12-04,1512345600,19.06,19.49,17.6,17.67,71700
