Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,57.62,57.99,56.94,57.33,107000
2017-01-04,1483488000,56.97,57.56,56.77,57.35,116800
2017-01-05,1483574400,58.87,59.82,58.87,59.64,182800
2017-01-06,1483660800,59.71,59.82,59.51,59.68,55600
2017-01-09,1483920000,60.42,60.91,60.34,60.34,147200
2017-01-10,1484006400,60.76,61.48,60.62,61.17,169900
2017-01-11,1484092800,61.14,61.64,60.63,61.44,68400
2017-01-12,1484179200,61.21,61.3,60.72,61.16,96200
2017-01-13,1484265600,61.59,62.22,61.51,61.94,87300
2017-01-17,1484611200,62.03,62.42,61.71,62.05,83200
2017-01-18,1484697600,62.14,62.31,61.72,61.81,81800
2017-01-19,1484784000,61.61,61.76,60.92,61.3,64500
2017-01-20,1484870400,61.41,61.41,60.54,60.66,99500
2017-01-23,1485129600,60.41,60.46,59.87,60.38,77400
2017-01-24,1485216000,60.77,61.25,60.74,60.83,171200
2017-01-25,1485302400,61.06,62.37,60.97,62.3,125800
2017-01-26,1485388800,62.11,62.73,61.93,62.4,91000
2017-01-27,1485475200,61.39,61.63,60.76,60.99,71800
2017-01-30,1485734400,60.6,60.95,60.28,60.72,64700
2017-01-31,1485820800,60.79,61.02,60.59,60.96,60700
2017-02-01,1485907200,61.02,61.23,59.77,60.34,110100
2017-02-02,1485993600,60.36,60.41,60.01,60.21,59900
2017-02-03,1486080000,60.22,60.43,59.75,59.91,61900
2017-02-06,1486339200,60.02,60.03,59.47,59.49,44200
2017-02-07,1486425600,59.68,59.89,59.15,59.3,69700
2017-02-08,1486512000,59.44,59.76,58.92,59.67,107400
2017-02-09,1486598400,59.67,59.67,59.08,59.35,129400
2017-02-10,1486684800,60.55,61.05,60.31,61.04,82800
2017-02-13,1486944000,60.98,61.24,60.69,60.83,59300
2017-02-14,1487030400,60.83,60.88,60.28,60.73,57500
2017-02-15,1487116800,60.58,60.58,60.07,60.35,88300
2017-02-16,1487203200,59.71,60.05,59.27,59.31,76600
2017-02-17,1487289600,58.98,59.4,58.98,59.31,77400
2017-02-21,1487635200,60.76,61.18,60.62,61.0,77500
2017-02-22,1487721600,60.59,60.8,60.26,60.48,97300
2017-02-23,1487808000,60.71,60.92,60.07,60.26,94800
2017-02-24,1487894400,60.2,60.2,59.73,59.81,70600
2017-02-27,1488153600,59.42,59.42,58.96,59.09,111000
2017-02-28,1488240000,58.45,58.48,58.1,58.26,69200
2017-03-01,1488326400,58.32,58.58,58.06,58.34,157700
2017-03-02,1488412800,57.72,57.87,57.43,57.43,70800
2017-03-03,1488499200,57.77,58.11,57.73,57.8,107000
2017-03-06,1488758400,58.21,58.32,57.91,58.22,40800
2017-03-07,1488844800,58.25,58.45,58.01,58.14,75900
2017-03-08,1488931200,58.03,58.03,56.81,56.83,107400
2017-03-09,1489017600,56.65,56.82,56.07,56.51,120100
2017-03-10,1489104000,56.6,56.6,55.87,56.01,68800
2017-03-13,1489363200,56.32,56.54,56.03,56.35,67700
2017-03-14,1489449600,55.9,55.9,55.35,55.48,78100
2017-03-15,1489536000,55.51,56.71,55.51,56.45,243100
2017-03-16,1489622400,57.27,57.53,57.11,57.2,115200
2017-03-17,1489708800,57.56,57.66,57.34,57.39,77300
2017-03-20,1489968000,57.61,58.27,57.61,58.04,72600
2017-03-21,1490054400,58.2,58.45,57.07,57.2,96600
2017-03-22,1490140800,56.85,57.4,56.84,57.2,99600
2017-03-23,1490227200,56.85,57.43,56.6,57.24,177000
2017-03-24,1490313600,57.17,57.27,56.95,57.15,46000
2017-03-27,1490572800,56.5,57.11,56.5,57.01,39900
2017-03-28,1490659200,56.86,57.51,56.86,57.33,65000
2017-03-29,1490745600,56.89,57.3,56.62,57.26,68400
2017-03-30,1490832000,57.07,57.2,56.37,56.49,119000
2017-03-31,1490918400,56.26,56.41,56.0,56.18,94500
2017-04-03,1491177600,56.25,56.25,55.72,56.21,67800
2017-04-04,1491264000,55.95,56.83,55.95,56.65,78300
2017-04-05,1491350400,56.55,56.69,55.88,56.0,111300
2017-04-06,1491436800,56.03,56.09,55.82,56.01,81500
2017-04-07,1491523200,56.36,57.07,56.36,56.68,169500
2017-04-10,1491782400,56.51,56.7,56.4,56.55,206100
2017-04-11,1491868800,56.28,56.28,55.63,55.91,114500
2017-04-12,1491955200,55.65,55.87,55.48,55.75,85300
2017-04-13,1492041600,55.99,56.29,55.53,55.54,75700
2017-04-17,1492387200,55.56,55.94,55.56,55.92,62700
2017-04-18,1492473600,55.3,55.59,54.97,55.07,95700
2017-04-19,1492560000,54.97,54.97,53.91,54.03,127800
2017-04-20,1492646400,54.64,54.78,54.44,54.54,93500
2017-04-21,1492732800,54.02,54.34,54.02,54.14,92300
2017-04-24,1492992000,54.66,54.66,54.06,54.24,159200
2017-04-25,1493078400,54.44,54.75,54.28,54.57,77800
2017-04-26,1493164800,54.27,54.9,54.2,54.53,98700
2017-04-27,1493251200,54.09,54.26,53.58,54.04,65600
2017-04-28,1493337600,54.16,54.16,53.78,53.88,75300
2017-05-01,1493596800,53.91,54.24,53.78,53.82,137500
2017-05-02,1493683200,53.79,53.83,53.34,53.41,116000
2017-05-03,1493769600,53.22,53.5,53.15,53.22,69000
2017-05-04,1493856000,52.88,52.88,51.97,52.01,170700
2017-05-05,1493942400,51.87,52.25,51.77,52.07,126700
2017-05-08,1494201600,51.93,51.93,51.63,51.71,81300
2017-05-09,1494288000,52.23,52.45,52.11,52.18,84900
2017-05-10,1494374400,52.24,52.63,52.02,52.48,81900
2017-05-11,1494460800,52.37,52.38,51.83,52.13,100400
2017-05-12,1494547200,52.3,52.56,52.2,52.37,93300
2017-05-15,1494806400,52.52,52.76,52.35,52.71,91100
2017-05-16,1494892800,52.7,52.84,52.48,52.63,93800
2017-05-17,1494979200,52.48,52.73,51.97,52.01,89800
2017-05-18,1495065600,51.77,52.34,51.74,52.1,101100
2017-05-19,1495152000,52.27,52.53,52.1,52.4,126000
2017-05-22,1495411200,52.42,52.75,52.27,52.6,85600
2017-05-23,1495497600,52.63,52.87,52.6,52.83,81100
2017-05-24,1495584000,52.61,52.72,52.31,52.53,63300
2017-05-25,1495670400,52.69,52.84,52.16,52.25,128200
2017-05-26,1495756800,52.17,52.21,51.77,51.98,101700
2017-05-30,1496102400,51.55,51.55,51.28,51.29,128900
2017-05-31,1496188800,51.23,51.23,50.65,50.85,87200
2017-06-01,1496275200,50.89,51.33,50.78,51.11,84800
2017-06-02,1496361600,50.95,51.07,50.85,51.0,39600
2017-06-05,1496620800,50.68,50.85,50.64,50.73,54200
2017-06-06,1496707200,50.62,50.76,50.2,50.73,67600
2017-06-07,1496793600,50.57,50.62,49.85,50.0,86800
2017-06-08,1496880000,50.16,50.17,49.87,49.92,70200
2017-06-09,1496966400,49.97,49.99,49.62,49.8,179400
2017-06-12,1497225600,49.89,50.04,49.54,49.7,109600
2017-06-13,1497312000,49.79,50.08,49.69,50.01,133000
2017-06-14,1497398400,50.04,50.12,49.26,49.32,118100
2017-06-15,1497484800,49.08,49.29,48.8,48.83,163300
2017-06-16,1497571200,49.08,49.3,48.81,49.19,97800
2017-06-19,1497830400,49.22,49.47,49.08,49.18,153200
2017-06-20,1497916800,48.53,48.77,48.22,48.23,116500
2017-06-21,1498003200,48.31,48.37,47.89,48.13,168100
2017-06-22,1498089600,48.29,48.34,47.91,47.95,78800
2017-06-23,1498176000,47.96,48.13,47.82,47.93,65100
2017-06-26,1498435200,48.34,48.34,48.02,48.13,60700
2017-06-27,1498521600,47.99,48.13,47.82,47.85,84000
2017-06-28,1498608000,47.96,48.38,47.96,48.2,74300
2017-06-29,1498694400,48.04,48.15,47.53,47.66,144800
2017-06-30,1498780800,47.6,47.67,47.24,47.4,99000
2017-07-03,1499040000,47.55,47.72,47.38,47.43,55500
2017-07-05,1499212800,48.68,48.76,48.13,48.19,154000
2017-07-06,1499299200,48.14,48.27,47.69,47.69,123800
2017-07-07,1499385600,47.71,47.79,47.31,47.61,100200
2017-07-10,1499644800,47.38,47.38,46.94,47.15,99300
2017-07-11,1499731200,47.18,47.51,47.15,47.42,72500
2017-07-12,1499817600,47.75,47.99,47.55,47.79,135000
2017-07-13,1499904000,47.81,48.2,47.81,48.01,111800
2017-07-14,1499990400,48.42,48.79,48.4,48.68,60400
2017-07-17,1500249600,48.43,48.47,48.16,48.22,66300
2017-07-18,1500336000,48.57,48.64,48.4,48.54,58400
2017-07-19,1500422400,48.98,49.34,48.94,49.26,88800
2017-07-20,1500508800,49.22,49.22,48.78,49.12,76500
2017-07-21,1500595200,48.82,48.82,48.33,48.44,63500
2017-07-24,1500854400,48.71,48.71,48.31,48.52,56600
2017-07-25,1500940800,48.73,48.96,48.67,48.79,60300
2017-07-26,1501027200,50.18,50.61,49.97,50.51,156600
2017-07-27,1501113600,50.33,50.34,49.74,50.05,103900
2017-07-28,1501200000,49.89,49.91,49.37,49.9,72500
2017-07-31,1501459200,49.77,50.03,49.75,49.97,125000
2017-08-01,1501545600,50.37,50.5,50.2,50.2,101500
2017-08-02,1501632000,49.83,50.17,49.66,50.02,141100
2017-08-03,1501718400,49.95,50.01,49.67,49.7,70800
2017-08-04,1501804800,49.91,50.06,49.64,50.03,54300
2017-08-07,1502064000,49.95,49.96,49.66,49.75,80100
