Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.37,5.53,5.26,5.41,56800
2017-01-04,1483488000,5.46,6.17,5.46,5.98,17200
2017-01-05,1483574400,5.98,6.1,5.88,5.92,14100
2017-01-06,1483660800,5.99,6.1,5.84,5.93,19000
2017-01-09,1483920000,5.72,5.94,5.62,5.81,19000
2017-01-10,1484006400,5.79,5.79,5.51,5.58,7400
2017-01-11,1484092800,5.44,5.67,5.44,5.61,8100
2017-01-12,1484179200,5.25,5.97,5.25,5.97,12400
2017-01-13,1484265600,5.78,5.96,5.6,5.76,10000
2017-01-17,1484611200,5.73,5.8,5.7,5.75,53800
2017-01-18,1484697600,5.75,5.79,5.71,5.76,8700
2017-01-19,1484784000,5.77,5.9,5.75,5.76,12700
2017-01-20,1484870400,5.8,5.91,5.5,5.91,5900
2017-01-23,1485129600,5.76,5.99,5.71,5.98,10900
2017-01-24,1485216000,5.86,5.93,5.86,5.93,1200
2017-01-25,1485302400,5.88,5.99,5.85,5.88,12700
2017-01-26,1485388800,5.88,6.04,5.88,6.01,11100
2017-01-27,1485475200,6.05,6.24,6.0,6.24,26300
2017-01-30,1485734400,6.21,6.63,6.1,6.63,36100
2017-01-31,1485820800,6.58,6.59,6.39,6.46,44800
2017-02-01,1485907200,6.41,6.42,6.1,6.23,26400
2017-02-02,1485993600,6.42,6.42,6.2,6.27,2100
2017-02-03,1486080000,6.2,6.2,5.81,5.93,19600
2017-02-06,1486339200,5.69,6.0,5.68,5.87,12000
2017-02-07,1486425600,5.75,5.82,5.65,5.72,18100
2017-02-08,1486512000,5.7,5.82,5.66,5.8,22100
2017-02-09,1486598400,5.85,6.04,5.85,5.86,82100
2017-02-10,1486684800,5.83,5.91,5.75,5.89,9600
2017-02-13,1486944000,5.89,5.89,5.68,5.73,9100
2017-02-14,1487030400,5.76,5.87,5.64,5.82,18100
2017-02-15,1487116800,5.84,6.05,5.83,5.87,7400
2017-02-16,1487203200,6.16,6.16,5.91,6.0,18400
2017-02-17,1487289600,5.96,6.2,5.91,6.0,10900
2017-02-21,1487635200,6.05,6.05,5.92,5.96,6100
2017-02-22,1487721600,6.01,6.01,5.68,5.76,17800
2017-02-23,1487808000,5.71,5.88,5.71,5.78,6800
2017-02-24,1487894400,5.8,5.8,5.76,5.77,3700
2017-02-27,1488153600,5.8,5.9,5.8,5.9,6800
2017-02-28,1488240000,5.79,5.95,5.79,5.86,3200
2017-03-01,1488326400,5.95,6.2,5.84,6.17,26000
2017-03-02,1488412800,6.2,6.21,5.93,5.99,21400
2017-03-03,1488499200,5.51,6.17,5.51,6.1,29800
2017-03-06,1488758400,6.14,6.14,6.05,6.07,31500
2017-03-07,1488844800,6.05,6.2,6.02,6.14,56200
2017-03-08,1488931200,6.19,6.2,6.03,6.1,52000
2017-03-09,1489017600,6.11,6.49,6.1,6.34,71200
2017-03-10,1489104000,6.28,6.54,6.27,6.51,52000
2017-03-13,1489363200,6.5,6.73,6.36,6.46,35100
2017-03-14,1489449600,6.47,6.61,6.32,6.51,45400
2017-03-15,1489536000,6.55,6.55,6.26,6.3,27000
2017-03-16,1489622400,6.27,6.48,6.15,6.23,35200
2017-03-17,1489708800,6.25,6.3,6.06,6.19,36500
2017-03-20,1489968000,6.36,7.34,6.36,6.65,150200
2017-03-21,1490054400,6.82,7.05,6.68,7.04,137200
2017-03-22,1490140800,7.05,7.22,6.83,6.85,27700
2017-03-23,1490227200,6.74,6.78,6.52,6.7,23900
2017-03-24,1490313600,6.66,6.66,6.14,6.3,44700
2017-03-27,1490572800,6.28,6.47,6.08,6.38,45100
2017-03-28,1490659200,6.38,6.45,6.26,6.29,19600
2017-03-29,1490745600,6.1,6.36,6.1,6.25,25300
2017-03-30,1490832000,6.3,6.58,6.22,6.46,39300
2017-03-31,1490918400,6.57,6.59,6.31,6.33,10300
2017-04-03,1491177600,6.45,6.5,6.38,6.42,14700
2017-04-04,1491264000,6.39,6.4,6.13,6.19,83500
2017-04-05,1491350400,6.22,6.25,5.96,6.05,9700
2017-04-06,1491436800,6.2,6.34,6.07,6.29,27200
2017-04-07,1491523200,6.12,6.2,5.87,6.19,20000
