Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,21.73,21.73,20.54,20.88,194100
2017-01-04,1483488000,21.06,21.15,20.83,20.91,143700
2017-01-05,1483574400,20.88,20.92,20.39,20.52,307500
2017-01-06,1483660800,20.57,20.6,20.22,20.39,253400
2017-01-09,1483920000,19.44,20.25,18.84,19.83,256400
2017-01-10,1484006400,19.91,20.75,19.77,20.71,271200
2017-01-11,1484092800,20.78,20.86,20.22,20.54,106200
2017-01-12,1484179200,20.53,20.54,19.84,20.01,56900
2017-01-13,1484265600,20.05,20.38,19.85,19.93,79100
2017-01-17,1484611200,19.84,19.95,19.38,19.76,159900
2017-01-18,1484697600,19.83,19.91,19.66,19.74,83600
2017-01-19,1484784000,19.77,19.77,19.34,19.52,94300
2017-01-20,1484870400,19.54,19.91,19.46,19.8,294600
2017-01-23,1485129600,19.75,20.0,19.42,19.57,105100
2017-01-24,1485216000,19.62,20.0,18.83,19.23,143200
2017-01-25,1485302400,19.45,19.6,19.08,19.14,174600
2017-01-26,1485388800,19.12,19.33,18.46,18.49,108900
2017-01-27,1485475200,18.55,19.08,18.31,19.03,149600
2017-01-30,1485734400,18.92,18.92,18.32,18.69,134100
2017-01-31,1485820800,18.72,19.0,18.58,18.98,112900
2017-02-01,1485907200,19.0,19.29,18.72,19.04,111100
2017-02-02,1485993600,19.04,19.18,18.63,18.74,89400
2017-02-03,1486080000,18.94,19.2,18.76,19.15,97800
2017-02-06,1486339200,19.12,19.37,19.02,19.36,156500
2017-02-07,1486425600,19.35,19.91,19.28,19.87,159900
2017-02-08,1486512000,19.8,19.8,19.34,19.63,147300
2017-02-09,1486598400,18.25,20.19,18.25,20.13,180700
2017-02-10,1486684800,20.12,20.54,20.11,20.18,192200
2017-02-13,1486944000,20.28,20.79,20.12,20.48,182400
2017-02-14,1487030400,20.53,20.85,19.97,20.3,128200
2017-02-15,1487116800,20.17,21.1,20.14,21.08,125300
2017-02-16,1487203200,21.0,21.15,20.53,20.69,61800
2017-02-17,1487289600,20.64,20.9,20.54,20.89,86200
2017-02-21,1487635200,20.96,21.26,20.89,21.09,71400
2017-02-22,1487721600,21.1,21.4,21.0,21.22,72000
2017-02-23,1487808000,21.25,21.65,21.18,21.41,108900
2017-02-24,1487894400,21.37,22.99,20.8,21.15,146200
2017-02-27,1488153600,21.24,22.18,21.22,21.89,237400
2017-02-28,1488240000,21.75,21.85,20.94,21.0,157200
2017-03-01,1488326400,21.34,22.05,21.21,21.96,143000
2017-03-02,1488412800,21.97,22.38,21.93,22.11,84600
2017-03-03,1488499200,22.13,22.35,21.7,22.14,81900
2017-03-06,1488758400,21.93,22.33,21.85,22.06,48800
2017-03-07,1488844800,22.04,22.16,21.74,21.81,55100
2017-03-08,1488931200,21.9,22.01,21.11,21.36,120900
2017-03-09,1489017600,21.42,21.89,21.25,21.67,104300
2017-03-10,1489104000,21.85,21.92,20.97,20.98,208300
2017-03-13,1489363200,21.02,21.3,20.86,21.03,256900
2017-03-14,1489449600,20.89,20.89,20.47,20.48,249900
2017-03-15,1489536000,20.43,21.24,20.43,21.15,450500
2017-03-16,1489622400,21.3,21.51,20.95,21.41,197800
2017-03-17,1489708800,21.33,21.6,21.2,21.27,235900
2017-03-20,1489968000,21.26,21.7,21.1,21.46,184600
2017-03-21,1490054400,21.49,21.69,21.17,21.48,133900
2017-03-22,1490140800,21.41,21.59,21.08,21.31,187800
2017-03-23,1490227200,21.22,21.79,21.22,21.68,102300
2017-03-24,1490313600,21.71,22.08,21.51,21.84,47300
2017-03-27,1490572800,21.56,22.8,21.43,22.16,129800
2017-03-28,1490659200,22.03,22.96,21.73,22.11,194200
2017-03-29,1490745600,21.99,22.51,21.83,22.45,129700
2017-03-30,1490832000,22.52,22.66,22.35,22.61,69300
2017-03-31,1490918400,22.71,22.76,22.55,22.64,102400
2017-04-03,1491177600,22.64,22.95,22.5,22.82,182500
2017-04-04,1491264000,22.81,22.93,22.69,22.76,109400
2017-04-05,1491350400,22.9,23.15,22.55,22.57,129700
2017-04-06,1491436800,22.65,22.85,22.26,22.71,108100
2017-04-07,1491523200,22.7,22.94,22.57,22.71,82800
2017-04-10,1491782400,22.73,22.73,22.25,22.51,98500
2017-04-11,1491868800,22.48,22.96,22.48,22.77,59900
2017-04-12,1491955200,22.76,22.88,22.45,22.51,99200
2017-04-13,1492041600,22.51,22.66,22.35,22.42,90700
2017-04-17,1492387200,22.49,22.92,22.44,22.89,72700
2017-04-18,1492473600,22.92,23.3,22.82,23.26,217700
2017-04-19,1492560000,23.39,23.51,23.12,23.27,180000
2017-04-20,1492646400,23.41,23.9,23.09,23.77,211800
2017-04-21,1492732800,23.84,23.87,23.49,23.56,130800
2017-04-24,1492992000,23.89,24.29,23.02,23.5,210200
2017-04-25,1493078400,25.84,26.98,24.4,24.5,898700
2017-04-26,1493164800,24.57,24.78,23.77,23.9,431500
2017-04-27,1493251200,24.08,24.37,23.95,24.15,428400
2017-04-28,1493337600,24.23,24.47,23.47,24.17,236900
2017-05-01,1493596800,24.14,24.47,23.98,24.38,339100
2017-05-02,1493683200,24.48,24.9,24.22,24.65,295000
2017-05-03,1493769600,24.54,25.0,24.53,24.57,266000
2017-05-04,1493856000,24.59,24.73,24.2,24.55,152500
2017-05-05,1493942400,24.66,24.95,24.36,24.91,211600
2017-05-08,1494201600,24.9,25.22,24.86,24.96,208800
2017-05-09,1494288000,24.96,25.4,24.93,25.26,312200
2017-05-10,1494374400,25.26,25.56,24.91,25.36,138900
2017-05-11,1494460800,25.23,25.69,24.94,24.99,392700
2017-05-12,1494547200,24.88,24.96,24.53,24.56,163700
2017-05-15,1494806400,24.62,24.89,24.55,24.82,139500
2017-05-16,1494892800,24.95,24.95,24.56,24.8,146400
2017-05-17,1494979200,24.53,24.98,24.03,24.05,173900
2017-05-18,1495065600,24.08,24.37,23.88,24.05,162300
2017-05-19,1495152000,24.1,24.58,23.42,24.41,183000
2017-05-22,1495411200,24.44,24.74,24.34,24.57,104100
2017-05-23,1495497600,24.64,24.74,24.47,24.61,99100
2017-05-24,1495584000,24.63,24.9,24.48,24.62,91800
2017-05-25,1495670400,24.8,25.06,24.48,24.92,100700
2017-05-26,1495756800,24.87,25.18,24.65,24.91,150400
2017-05-30,1496102400,24.81,25.44,24.66,25.22,189900
2017-05-31,1496188800,25.22,25.31,24.75,24.82,158200
2017-06-01,1496275200,24.85,25.66,23.28,25.62,210900
2017-06-02,1496361600,25.71,25.88,25.37,25.45,272700
2017-06-05,1496620800,25.34,25.58,25.1,25.32,225700
2017-06-06,1496707200,25.19,25.6,24.87,25.37,185200
2017-06-07,1496793600,25.42,25.65,25.21,25.41,130800
2017-06-08,1496880000,25.42,26.0,24.21,25.87,171500
2017-06-09,1496966400,25.89,26.15,25.53,25.75,132300
2017-06-12,1497225600,25.76,25.9,25.11,25.51,99600
2017-06-13,1497312000,25.59,25.82,25.33,25.74,71700
