Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.3,1.4,1.29,1.33,69100
2017-01-04,1483488000,1.33,1.38,1.25,1.37,41800
2017-01-05,1483574400,1.34,1.37,1.3,1.35,27300
2017-01-06,1483660800,1.3,1.34,1.25,1.3,24400
2017-01-09,1483920000,1.27,1.29,1.2,1.27,109600
2017-01-10,1484006400,1.27,1.28,1.24,1.25,19600
2017-01-11,1484092800,1.26,1.31,1.18,1.26,252900
2017-01-12,1484179200,1.25,1.32,1.21,1.28,23700
2017-01-13,1484265600,1.25,1.27,1.2,1.25,26000
2017-01-17,1484611200,1.25,1.31,1.21,1.28,87800
2017-01-18,1484697600,1.28,1.43,1.21,1.32,494400
2017-01-19,1484784000,1.33,1.48,1.31,1.39,334700
2017-01-20,1484870400,1.36,1.42,1.28,1.38,72200
2017-01-23,1485129600,1.34,1.34,1.28,1.3,43400
2017-01-24,1485216000,1.26,1.34,1.23,1.3,74200
2017-01-25,1485302400,1.27,1.34,1.25,1.3,15500
2017-01-26,1485388800,1.27,1.31,1.2,1.3,18400
2017-01-27,1485475200,1.23,1.43,1.23,1.37,297900
2017-01-30,1485734400,1.39,1.39,1.31,1.35,66300
2017-01-31,1485820800,1.36,1.4,1.3,1.31,52800
2017-02-01,1485907200,1.33,1.35,1.24,1.29,51800
2017-02-02,1485993600,1.29,1.32,1.27,1.28,44400
2017-02-03,1486080000,1.28,1.32,1.28,1.32,30200
2017-02-06,1486339200,1.59,1.67,1.31,1.35,957300
2017-02-07,1486425600,1.38,1.39,1.3,1.37,69000
2017-02-08,1486512000,1.37,1.39,1.32,1.39,46400
2017-02-09,1486598400,1.37,1.45,1.37,1.42,68300
2017-02-10,1486684800,1.44,1.53,1.43,1.47,248500
2017-02-13,1486944000,1.52,1.56,1.32,1.34,376000
2017-02-14,1487030400,1.32,1.37,1.32,1.34,62400
2017-02-15,1487116800,1.33,1.34,1.3,1.33,139500
2017-02-16,1487203200,1.32,1.35,1.31,1.34,44900
2017-02-17,1487289600,1.33,1.34,1.32,1.32,50000
2017-02-21,1487635200,1.3,1.36,1.25,1.3,46500
2017-02-22,1487721600,1.26,1.33,1.25,1.3,52500
2017-02-23,1487808000,1.3,1.33,1.27,1.28,42100
2017-02-24,1487894400,1.28,1.33,1.27,1.28,45800
2017-02-27,1488153600,1.3,1.33,1.27,1.3,22200
2017-02-28,1488240000,1.31,1.32,1.2,1.26,50400
2017-03-01,1488326400,1.31,1.32,1.29,1.32,35300
2017-03-02,1488412800,1.32,1.32,1.29,1.32,33800
2017-03-03,1488499200,1.27,1.29,1.2,1.24,48100
2017-03-06,1488758400,1.24,1.3,1.24,1.24,31300
2017-03-07,1488844800,1.24,1.26,1.24,1.25,27500
2017-03-08,1488931200,1.24,1.24,1.2,1.22,31500
2017-03-09,1489017600,1.23,1.28,1.23,1.28,55000
2017-03-10,1489104000,1.31,1.31,1.28,1.31,19700
2017-03-13,1489363200,1.32,1.32,1.28,1.32,26400
2017-03-14,1489449600,1.31,1.41,1.28,1.39,102700
2017-03-15,1489536000,1.39,1.39,1.31,1.35,14600
2017-03-16,1489622400,1.39,1.39,1.3,1.38,51000
2017-03-17,1489708800,1.38,1.38,1.28,1.28,84800
2017-03-20,1489968000,1.34,1.34,1.29,1.29,4500
2017-03-21,1490054400,1.28,1.32,1.28,1.32,19800
2017-03-22,1490140800,1.28,1.29,1.25,1.26,40800
2017-03-23,1490227200,1.25,1.3,1.21,1.21,21500
2017-03-24,1490313600,1.3,1.3,1.22,1.22,2600
2017-03-27,1490572800,1.21,1.28,1.21,1.28,15400
2017-03-28,1490659200,1.25,1.3,1.23,1.28,26500
2017-03-29,1490745600,1.26,1.3,1.25,1.3,17600
2017-03-30,1490832000,1.28,1.28,1.25,1.26,19100
2017-03-31,1490918400,1.25,1.3,1.25,1.28,115300
2017-04-03,1491177600,1.27,1.28,1.26,1.28,1700
2017-04-04,1491264000,1.28,1.29,1.26,1.26,7700
2017-04-05,1491350400,1.31,1.35,1.26,1.3,183200
2017-04-06,1491436800,1.32,1.33,1.26,1.33,44600
2017-04-07,1491523200,1.34,1.57,1.28,1.43,557100
2017-04-10,1491782400,1.42,1.45,1.39,1.39,62700
2017-04-11,1491868800,1.45,1.53,1.42,1.47,91200
