Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,17.25,17.46,17.09,17.25,2872500
2017-01-04,1483488000,17.38,17.86,17.34,17.78,2511800
2017-01-05,1483574400,17.67,17.71,17.23,17.36,2037300
2017-01-06,1483660800,17.48,17.57,17.26,17.34,2256700
2017-01-09,1483920000,16.97,16.97,16.32,16.54,4255800
2017-01-10,1484006400,16.61,17.0,16.55,16.89,2331600
2017-01-11,1484092800,16.89,17.14,16.83,17.04,2526900
2017-01-12,1484179200,17.01,17.05,16.59,17.03,2127400
2017-01-13,1484265600,17.18,17.35,16.99,17.08,2117300
2017-01-17,1484611200,16.9,17.05,16.71,16.87,1828500
2017-01-18,1484697600,16.99,17.33,16.7,17.3,2817500
2017-01-19,1484784000,17.43,17.56,17.24,17.37,2393300
2017-01-20,1484870400,17.37,17.65,17.15,17.46,2503800
2017-01-23,1485129600,17.45,17.53,17.07,17.28,1659100
2017-01-24,1485216000,17.4,17.49,17.24,17.4,1652100
2017-01-25,1485302400,17.56,17.8,17.43,17.58,1949600
2017-01-26,1485388800,17.69,17.75,17.31,17.56,1902200
2017-01-27,1485475200,17.64,17.64,17.27,17.28,1615900
2017-01-30,1485734400,17.13,17.36,16.91,17.28,2034100
2017-01-31,1485820800,17.26,17.61,17.13,17.53,1784300
2017-02-01,1485907200,17.7,18.05,17.69,18.04,2654600
2017-02-02,1485993600,17.98,18.12,17.74,17.8,2117200
2017-02-03,1486080000,17.99,18.31,17.97,18.2,1645900
2017-02-06,1486339200,18.15,18.32,18.04,18.19,1799600
2017-02-07,1486425600,18.27,18.33,18.02,18.06,1934600
2017-02-08,1486512000,17.84,18.09,17.75,18.08,2456000
2017-02-09,1486598400,18.08,18.64,18.04,18.54,2544400
2017-02-10,1486684800,18.67,18.81,18.54,18.69,2102400
2017-02-13,1486944000,18.62,18.91,18.62,18.79,1363700
2017-02-14,1487030400,18.71,18.93,18.61,18.68,1708000
2017-02-15,1487116800,18.66,18.75,18.49,18.64,2759200
2017-02-16,1487203200,18.64,18.64,18.34,18.39,2526700
2017-02-17,1487289600,18.29,18.29,18.01,18.1,2427900
2017-02-21,1487635200,18.1,18.2,17.96,18.0,2243900
2017-02-22,1487721600,17.91,17.99,17.66,17.9,2218300
2017-02-23,1487808000,18.1,18.1,17.64,17.77,1854000
2017-02-24,1487894400,17.51,17.82,17.48,17.75,1281800
2017-02-27,1488153600,17.8,17.86,17.69,17.75,1436100
2017-02-28,1488240000,17.72,17.9,17.69,17.73,2127100
2017-03-01,1488326400,18.02,18.4,17.96,18.24,1835900
2017-03-02,1488412800,18.22,18.26,17.66,17.69,1255700
2017-03-03,1488499200,17.75,17.87,17.62,17.84,1008300
2017-03-06,1488758400,17.78,17.81,17.49,17.8,1883500
2017-03-07,1488844800,17.76,17.82,17.61,17.65,1300400
2017-03-08,1488931200,17.79,17.92,17.54,17.56,2280800
2017-03-09,1489017600,17.61,17.82,17.56,17.71,1194800
