Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,99.57,99.98,97.88,98.85,43600
2017-01-04,1483488000,99.61,99.61,97.59,97.94,64600
2017-01-05,1483574400,98.25,98.25,95.66,96.05,68500
2017-01-06,1483660800,95.99,96.08,93.81,95.2,53000
2017-01-09,1483920000,94.5,95.03,92.33,94.41,40300
2017-01-10,1484006400,94.28,96.35,93.99,95.04,87800
2017-01-11,1484092800,94.98,95.69,93.56,93.57,70900
2017-01-12,1484179200,93.83,94.44,91.61,92.23,61600
2017-01-13,1484265600,91.69,92.47,88.86,89.28,49900
2017-01-17,1484611200,89.28,90.0,87.73,89.41,102900
2017-01-18,1484697600,89.05,91.09,89.01,90.91,56500
2017-01-19,1484784000,90.73,90.75,88.29,88.38,45600
2017-01-20,1484870400,89.09,89.88,87.61,87.91,40700
2017-01-23,1485129600,87.56,88.42,87.18,87.94,33200
2017-01-24,1485216000,88.21,88.71,87.61,87.97,71800
2017-01-25,1485302400,88.0,88.83,87.58,88.09,61200
2017-01-26,1485388800,88.32,88.9,86.21,87.1,68700
2017-01-27,1485475200,86.98,86.98,84.12,84.18,34700
2017-01-30,1485734400,84.02,84.02,82.33,83.04,76300
2017-01-31,1485820800,82.74,83.24,81.4,83.03,66300
2017-02-01,1485907200,83.83,84.45,81.41,82.23,58400
2017-02-02,1485993600,82.3,82.61,81.36,82.01,54100
2017-02-03,1486080000,82.46,83.16,81.91,82.79,55900
2017-02-06,1486339200,82.86,82.88,81.74,81.95,38900
2017-02-07,1486425600,81.93,82.34,81.34,82.04,47500
2017-02-08,1486512000,81.67,85.2,81.29,84.6,105600
2017-02-09,1486598400,85.21,87.25,85.21,86.65,80500
2017-02-10,1486684800,87.54,87.54,84.63,84.96,35300
2017-02-13,1486944000,85.06,86.29,84.09,84.45,31900
2017-02-14,1487030400,84.45,84.88,83.49,83.83,48800
2017-02-15,1487116800,83.95,84.13,83.17,83.55,33600
2017-02-16,1487203200,83.66,84.67,83.15,84.35,38700
2017-02-17,1487289600,83.91,85.14,83.84,84.2,42700
2017-02-21,1487635200,84.65,85.26,83.34,83.58,35900
2017-02-22,1487721600,83.3,83.81,82.33,82.46,31200
2017-02-23,1487808000,82.86,82.98,81.19,82.02,50500
2017-02-24,1487894400,81.37,82.04,80.03,80.5,35300
2017-02-27,1488153600,80.5,82.41,80.37,82.1,41500
2017-02-28,1488240000,81.75,83.84,81.75,83.22,74800
