Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,30.8,31.52,30.71,31.15,257200
2017-01-04,1483488000,31.23,32.44,31.02,32.3,248100
2017-01-05,1483574400,32.47,33.25,31.87,33.11,320900
2017-01-06,1483660800,32.81,33.71,32.59,33.1,201100
2017-01-09,1483920000,33.22,33.22,32.3,32.34,241600
2017-01-10,1484006400,32.3,32.76,31.83,32.19,245000
2017-01-11,1484092800,32.11,32.48,30.38,30.94,267500
2017-01-12,1484179200,30.71,31.35,30.44,31.1,161000
2017-01-13,1484265600,31.15,31.65,30.8,30.93,162200
2017-01-17,1484611200,30.74,31.81,29.59,29.71,160500
2017-01-18,1484697600,29.91,30.6,29.61,30.56,185200
2017-01-19,1484784000,30.56,30.56,29.9,30.31,119100
2017-01-20,1484870400,30.35,30.59,29.97,30.52,166300
2017-01-23,1485129600,30.31,30.82,29.33,29.53,245500
2017-01-24,1485216000,29.57,29.82,28.53,29.78,257900
2017-01-25,1485302400,29.99,30.04,28.48,28.82,491100
2017-01-26,1485388800,28.85,29.24,28.65,29.02,202600
2017-01-27,1485475200,28.99,29.42,28.83,29.08,117400
2017-01-30,1485734400,28.94,29.31,28.61,28.9,240100
2017-01-31,1485820800,28.69,30.14,28.69,30.04,266900
2017-02-01,1485907200,30.14,30.28,29.33,29.72,150400
2017-02-02,1485993600,29.51,29.94,29.3,29.48,132900
2017-02-03,1486080000,29.7,29.87,29.5,29.69,115100
2017-02-06,1486339200,29.57,29.59,29.01,29.11,108000
2017-02-07,1486425600,29.12,29.47,28.92,29.24,244400
2017-02-08,1486512000,29.11,29.38,28.88,29.09,211100
2017-02-09,1486598400,29.09,30.32,29.09,30.27,326200
2017-02-10,1486684800,30.24,30.38,29.86,30.07,96900
2017-02-13,1486944000,30.54,30.55,29.94,30.11,142400
2017-02-14,1487030400,29.92,30.41,29.92,30.35,132700
2017-02-15,1487116800,30.32,30.86,29.98,30.81,152300
2017-02-16,1487203200,30.8,30.93,30.44,30.89,215900
2017-02-17,1487289600,30.92,31.15,30.53,31.02,281600
2017-02-21,1487635200,31.17,31.17,30.26,30.48,260700
2017-02-22,1487721600,30.75,32.42,30.75,32.32,538600
2017-02-23,1487808000,32.45,32.66,31.67,32.4,300200
2017-02-24,1487894400,32.01,32.32,31.41,32.13,132800
2017-02-27,1488153600,32.08,32.55,31.84,32.43,231600
2017-02-28,1488240000,32.35,32.8,30.84,31.51,578600
2017-03-01,1488326400,32.06,32.77,31.79,32.03,258100
2017-03-02,1488412800,31.84,32.27,31.59,31.85,192200
2017-03-03,1488499200,31.94,32.18,31.39,31.66,88200
2017-03-06,1488758400,31.55,31.8,31.23,31.23,115100
2017-03-07,1488844800,30.94,31.87,30.7,30.97,182800
2017-03-08,1488931200,31.1,31.98,31.06,31.67,145100
2017-03-09,1489017600,31.82,32.14,31.63,32.02,122700
2017-03-10,1489104000,32.23,32.37,31.92,32.24,166000
2017-03-13,1489363200,32.23,32.66,31.87,32.61,137600
2017-03-14,1489449600,32.52,33.07,32.36,33.0,253500
2017-03-15,1489536000,33.08,33.81,32.9,33.69,245600
2017-03-16,1489622400,33.7,33.78,33.35,33.75,125700
2017-03-17,1489708800,33.63,35.36,33.0,34.93,729300
2017-03-20,1489968000,34.92,35.61,34.46,34.97,300800
2017-03-21,1490054400,35.03,35.03,33.81,33.87,287900
2017-03-22,1490140800,33.86,34.44,33.56,34.06,184400
2017-03-23,1490227200,34.0,35.17,33.42,34.71,426500
2017-03-24,1490313600,34.8,34.91,34.14,34.64,200500
2017-03-27,1490572800,34.16,34.82,33.38,34.67,156700
2017-03-28,1490659200,34.54,35.0,34.28,34.75,140200
2017-03-29,1490745600,34.79,35.57,34.65,35.1,253700
2017-03-30,1490832000,35.16,35.46,34.73,35.07,165500
2017-03-31,1490918400,35.0,35.32,34.44,35.2,214200
2017-04-03,1491177600,35.22,35.23,33.82,33.83,261800
2017-04-04,1491264000,33.81,35.47,33.68,33.88,202500
2017-04-05,1491350400,33.76,34.22,33.4,33.64,242000
2017-04-06,1491436800,33.77,33.85,32.73,33.81,204300
2017-04-07,1491523200,33.72,34.35,33.4,34.29,223100
2017-04-10,1491782400,34.25,34.71,34.12,34.47,156800
2017-04-11,1491868800,34.3,34.76,34.24,34.74,167400
2017-04-12,1491955200,34.78,35.35,34.19,35.14,221700
2017-04-13,1492041600,35.08,35.75,34.92,35.35,187000
2017-04-17,1492387200,35.51,35.73,35.13,35.64,104300
2017-04-18,1492473600,35.59,35.8,35.29,35.67,179500
2017-04-19,1492560000,35.79,36.02,35.42,35.89,291300
2017-04-20,1492646400,36.03,36.1,35.32,35.84,349100
2017-04-21,1492732800,35.78,35.78,34.71,35.06,224100
2017-04-24,1492992000,35.33,35.73,35.04,35.11,146900
2017-04-25,1493078400,35.3,35.69,34.6,34.63,368400
2017-04-26,1493164800,34.63,35.85,34.63,35.79,307600
2017-04-27,1493251200,35.81,37.29,35.78,36.89,493700
2017-04-28,1493337600,36.96,37.59,36.13,36.79,320800
2017-05-01,1493596800,36.79,37.4,36.42,37.26,273700
2017-05-02,1493683200,37.26,37.29,36.12,36.29,249600
2017-05-03,1493769600,36.04,36.32,35.75,35.8,220000
2017-05-04,1493856000,36.3,38.11,35.53,38.01,408900
2017-05-05,1493942400,38.25,38.61,37.57,37.67,361900
2017-05-08,1494201600,37.68,38.27,37.43,37.71,380400
2017-05-09,1494288000,37.71,38.09,37.08,38.06,297000
2017-05-10,1494374400,38.09,38.48,37.73,38.36,270400
2017-05-11,1494460800,38.35,38.78,37.84,38.62,256700
2017-05-12,1494547200,38.56,38.97,38.36,38.84,291700
2017-05-15,1494806400,39.06,39.23,38.37,38.45,182700
2017-05-16,1494892800,38.45,39.74,38.33,39.72,273900
2017-05-17,1494979200,39.13,39.96,39.05,39.39,516500
2017-05-18,1495065600,39.39,39.84,38.33,38.76,258800
2017-05-19,1495152000,38.62,39.49,38.12,38.31,185400
2017-05-22,1495411200,38.41,39.18,38.15,39.16,184200
2017-05-23,1495497600,39.39,39.46,38.5,38.62,301400
2017-05-24,1495584000,38.75,39.37,38.56,38.9,343300
2017-05-25,1495670400,38.95,38.95,38.33,38.86,177700
2017-05-26,1495756800,38.86,39.46,38.31,39.26,319800
2017-05-30,1496102400,39.19,39.51,39.04,39.28,134500
2017-05-31,1496188800,39.54,39.67,38.55,39.24,316700
2017-06-01,1496275200,39.51,39.78,38.89,39.36,359100
2017-06-02,1496361600,39.36,40.31,39.36,39.98,343200
