Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,60.32,61.86,60.23,61.26,843600
2017-01-04,1483488000,61.96,62.18,60.61,61.8,763300
2017-01-05,1483574400,62.94,64.33,62.17,63.88,963600
2017-01-06,1483660800,62.94,63.62,61.6,62.32,599900
2017-01-09,1483920000,63.27,64.05,62.25,62.65,523300
2017-01-10,1484006400,62.76,64.45,62.65,63.73,514300
2017-01-11,1484092800,62.63,64.47,61.96,63.43,452300
2017-01-12,1484179200,64.51,64.97,62.57,63.33,528700
2017-01-13,1484265600,63.13,64.32,62.32,63.91,438700
2017-01-17,1484611200,65.64,66.25,64.92,65.05,555100
2017-01-18,1484697600,65.24,65.85,64.09,64.81,492900
2017-01-19,1484784000,64.15,65.43,63.94,64.85,438300
2017-01-20,1484870400,65.03,66.39,64.33,65.43,533200
2017-01-23,1485129600,66.06,67.05,65.44,66.89,847300
2017-01-24,1485216000,66.82,68.95,66.8,68.2,625400
2017-01-25,1485302400,67.36,68.56,66.69,68.14,577600
2017-01-26,1485388800,66.88,67.38,65.89,66.2,484100
2017-01-27,1485475200,66.06,67.23,65.96,67.05,329300
2017-01-30,1485734400,67.55,68.48,66.09,66.31,469400
2017-01-31,1485820800,67.8,68.74,67.12,68.66,524800
2017-02-01,1485907200,68.19,68.41,67.03,67.97,511600
2017-02-02,1485993600,68.26,69.6,66.98,67.38,857300
2017-02-03,1486080000,67.32,67.42,66.27,66.54,726800
2017-02-06,1486339200,67.33,68.22,66.4,68.12,770800
2017-02-07,1486425600,67.66,68.39,67.19,67.47,461200
2017-02-08,1486512000,68.02,68.12,67.07,67.89,590500
2017-02-09,1486598400,68.02,68.26,66.36,66.63,502800
2017-02-10,1486684800,66.32,68.34,66.13,68.05,485500
2017-02-13,1486944000,67.44,68.53,67.42,67.97,336800
2017-02-14,1487030400,68.12,68.5,67.43,67.81,446100
2017-02-15,1487116800,67.46,67.94,66.64,67.69,573400
2017-02-16,1487203200,67.82,68.36,67.4,67.82,696300
2017-02-17,1487289600,67.77,67.79,66.37,66.55,781900
2017-02-21,1487635200,65.97,67.62,65.47,67.56,534000
2017-02-22,1487721600,67.12,67.34,64.65,65.48,693900
2017-02-23,1487808000,66.54,66.68,65.42,65.47,818400
2017-02-24,1487894400,66.06,66.3,64.79,65.01,496600
2017-02-27,1488153600,64.88,66.57,62.75,63.04,735100
2017-02-28,1488240000,63.73,64.14,62.36,62.84,687800
2017-03-01,1488326400,62.14,63.9,61.84,63.64,624900
2017-03-02,1488412800,62.83,63.31,61.33,61.44,683000
2017-03-03,1488499200,61.16,62.7,61.0,62.25,718200
2017-03-06,1488758400,61.93,61.93,60.06,60.31,450300
2017-03-07,1488844800,59.71,60.23,58.62,59.17,854700
2017-03-08,1488931200,58.24,60.12,58.03,59.16,850700
2017-03-09,1489017600,58.99,59.75,58.21,58.46,452800
2017-03-10,1489104000,58.46,60.0,58.35,59.89,467400
2017-03-13,1489363200,59.96,60.44,59.43,59.96,373700
2017-03-14,1489449600,59.94,60.48,58.58,58.78,462600
2017-03-15,1489536000,59.26,62.06,58.75,61.89,659500
2017-03-16,1489622400,62.89,62.96,61.43,61.65,453500
2017-03-17,1489708800,61.86,62.59,61.23,61.69,1365700
2017-03-20,1489968000,61.74,62.29,61.09,62.02,594900
2017-03-21,1490054400,62.18,63.83,62.02,63.47,854400
2017-03-22,1490140800,63.79,64.95,63.45,64.2,782400
2017-03-23,1490227200,64.35,64.59,62.68,63.88,758900
2017-03-24,1490313600,63.65,64.77,63.56,63.96,438000
2017-03-27,1490572800,64.86,65.69,64.48,65.51,582100
2017-03-28,1490659200,65.61,66.07,64.4,65.02,617000
2017-03-29,1490745600,64.82,66.2,64.77,65.93,506700
2017-03-30,1490832000,65.55,66.17,65.06,65.86,514100
2017-03-31,1490918400,65.71,67.26,65.71,66.64,607300
2017-04-03,1491177600,66.79,67.04,66.18,66.83,532000
2017-04-04,1491264000,67.32,68.0,66.81,67.97,537600
2017-04-05,1491350400,67.81,67.9,66.42,67.21,521700
2017-04-06,1491436800,67.03,68.55,66.83,68.22,418200
2017-04-07,1491523200,68.89,69.83,68.43,68.8,559500
2017-04-10,1491782400,68.68,69.05,67.85,68.91,442600
2017-04-11,1491868800,69.41,71.55,68.94,71.33,731000
2017-04-12,1491955200,71.22,71.34,70.34,71.22,420800
2017-04-13,1492041600,71.59,72.24,70.57,71.14,639800
2017-04-17,1492387200,71.14,71.91,71.02,71.41,345000
2017-04-18,1492473600,71.31,72.05,70.53,71.86,656300
