Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.15,15.87,15.0,15.33,19408500
2017-01-04,1483488000,15.35,15.6,15.14,15.45,8865700
2017-01-05,1483574400,15.57,15.86,15.34,15.62,14172100
2017-01-06,1483660800,15.67,15.84,15.4,15.77,8713800
2017-01-09,1483920000,15.4,15.47,15.02,15.29,10885400
2017-01-10,1484006400,15.34,15.42,15.1,15.14,11795000
2017-01-11,1484092800,15.27,15.97,15.24,15.75,13370300
2017-01-12,1484179200,16.0,16.16,15.41,15.84,14645700
2017-01-13,1484265600,15.79,15.95,15.46,15.48,8264500
2017-01-17,1484611200,15.49,15.74,15.48,15.59,7605500
2017-01-18,1484697600,15.36,15.51,15.18,15.3,10009800
2017-01-19,1484784000,15.34,15.43,15.01,15.09,11016200
2017-01-20,1484870400,15.3,15.52,15.17,15.31,19222400
2017-01-23,1485129600,15.26,15.28,14.61,14.76,14886300
2017-01-24,1485216000,14.83,15.05,14.63,14.92,12077900
2017-01-25,1485302400,15.04,15.43,15.04,15.3,16703500
2017-01-26,1485388800,15.32,15.65,15.12,15.18,12213600
2017-01-27,1485475200,15.09,15.12,14.67,14.9,9728800
2017-01-30,1485734400,14.88,14.88,13.64,13.85,20576900
2017-01-31,1485820800,13.96,13.99,13.38,13.97,16128700
2017-02-01,1485907200,14.08,14.25,13.73,13.99,12275600
2017-02-02,1485993600,13.98,14.03,13.55,13.74,11614100
2017-02-03,1486080000,13.88,14.23,13.84,13.97,11654100
2017-02-06,1486339200,13.99,14.02,13.51,13.54,9090300
2017-02-07,1486425600,13.43,13.7,13.2,13.47,14166000
2017-02-08,1486512000,13.26,13.38,12.88,13.36,11831800
2017-02-09,1486598400,13.36,13.67,13.19,13.19,11310600
2017-02-10,1486684800,13.47,13.55,13.26,13.35,12439300
2017-02-13,1486944000,13.22,13.55,13.22,13.4,6203700
2017-02-14,1487030400,13.44,13.63,13.32,13.61,6415900
2017-02-15,1487116800,13.46,13.61,13.16,13.37,9460700
2017-02-16,1487203200,13.39,13.45,13.11,13.17,11174500
2017-02-17,1487289600,13.03,13.23,12.9,13.16,9205800
2017-02-21,1487635200,13.27,13.61,13.22,13.47,14311000
2017-02-22,1487721600,13.32,13.5,13.06,13.28,11126300
2017-02-23,1487808000,13.76,14.33,13.55,14.31,21918400
2017-02-24,1487894400,13.99,14.18,13.67,13.75,13777900
2017-02-27,1488153600,13.82,14.33,13.56,14.16,15288800
2017-02-28,1488240000,14.07,14.17,13.73,13.82,15269300
2017-03-01,1488326400,14.02,14.3,14.02,14.05,10232500
2017-03-02,1488412800,13.57,14.15,13.57,13.9,14290400
2017-03-03,1488499200,13.89,14.05,13.51,13.53,13780200
2017-03-06,1488758400,13.43,13.44,12.76,13.05,15581100
2017-03-07,1488844800,12.98,13.16,12.72,12.78,18418200
2017-03-08,1488931200,12.63,12.79,12.25,12.4,15046000
2017-03-09,1489017600,12.16,12.23,11.69,11.99,19266000
2017-03-10,1489104000,12.15,12.26,11.8,12.26,20945300
2017-03-13,1489363200,12.26,12.63,12.22,12.61,14163000
2017-03-14,1489449600,12.39,12.5,11.88,12.41,17597600
2017-03-15,1489536000,12.61,12.98,12.48,12.98,19936100
2017-03-16,1489622400,13.09,13.18,12.49,12.53,18556100
2017-03-17,1489708800,12.62,12.7,12.45,12.47,11799200
2017-03-20,1489968000,12.27,12.3,11.81,12.22,20854700
2017-03-21,1490054400,12.29,12.39,11.99,12.21,12410400
2017-03-22,1490140800,12.1,12.39,12.02,12.28,10062300
2017-03-23,1490227200,12.24,12.4,12.11,12.27,8295600
2017-03-24,1490313600,12.33,12.47,12.17,12.26,8210600
2017-03-27,1490572800,12.08,12.09,11.89,12.05,11216200
2017-03-28,1490659200,12.13,12.33,11.99,12.23,10754300
2017-03-29,1490745600,12.23,12.54,12.18,12.4,10447300
2017-03-30,1490832000,12.5,12.64,12.27,12.35,13152700
2017-03-31,1490918400,12.33,12.53,12.22,12.45,7051700
2017-04-03,1491177600,12.45,12.59,12.28,12.46,9006000
2017-04-04,1491264000,12.46,12.55,12.24,12.54,7970400
2017-04-05,1491350400,12.68,13.04,12.41,12.44,11559300
2017-04-06,1491436800,12.54,12.7,12.51,12.62,7180600
2017-04-07,1491523200,12.64,12.71,12.4,12.43,6250600
2017-04-10,1491782400,12.55,12.82,12.53,12.75,6437300
2017-04-11,1491868800,12.75,12.79,12.35,12.53,9459900
2017-04-12,1491955200,12.56,12.67,12.04,12.07,8242800
2017-04-13,1492041600,12.06,12.06,11.61,11.72,12111000
2017-04-17,1492387200,11.72,11.84,11.63,11.78,7145300
2017-04-18,1492473600,11.66,11.84,11.5,11.64,8017900
2017-04-19,1492560000,11.69,11.77,11.21,11.27,10541000
2017-04-20,1492646400,11.3,11.59,11.18,11.38,8981700
2017-04-21,1492732800,11.3,11.38,11.16,11.3,8214300
2017-04-24,1492992000,11.46,11.53,11.32,11.37,9586000
2017-04-25,1493078400,11.41,11.58,11.32,11.46,8820900
2017-04-26,1493164800,11.39,11.87,11.36,11.45,9334800
2017-04-27,1493251200,11.3,11.3,10.79,11.06,13019200
2017-04-28,1493337600,11.22,11.26,10.97,11.03,11813900
2017-05-01,1493596800,11.0,11.03,10.65,10.66,10141700
2017-05-02,1493683200,10.75,10.77,10.39,10.42,11094100
2017-05-03,1493769600,10.4,10.91,10.2,10.76,27303300
