Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,130.28,130.71,129.0,130.19,199400
2017-01-04,1483488000,130.82,132.39,130.82,131.8,232200
2017-01-05,1483574400,131.92,131.92,130.76,131.57,151300
2017-01-06,1483660800,131.41,131.68,130.7,130.78,325600
2017-01-09,1483920000,130.63,130.84,129.67,130.01,196700
2017-01-10,1484006400,130.36,131.94,130.01,131.59,293900
2017-01-11,1484092800,131.48,132.65,130.95,131.97,216400
2017-01-12,1484179200,132.15,132.62,130.58,132.51,196700
2017-01-13,1484265600,132.99,133.42,132.15,132.24,149000
2017-01-17,1484611200,131.08,132.55,130.9,131.45,191400
2017-01-18,1484697600,132.07,132.18,131.24,131.9,271400
2017-01-19,1484784000,131.98,132.58,130.18,130.82,187700
2017-01-20,1484870400,131.1,131.95,130.48,130.55,187300
2017-01-23,1485129600,130.19,131.27,130.14,130.39,159900
2017-01-24,1485216000,131.01,131.17,129.83,131.09,300300
2017-01-25,1485302400,131.28,132.74,131.28,131.98,281800
2017-01-26,1485388800,132.29,132.82,131.77,132.64,219300
2017-01-27,1485475200,132.39,132.39,131.79,132.06,159400
2017-01-30,1485734400,131.08,131.71,130.56,130.96,427100
2017-01-31,1485820800,131.25,132.49,130.08,130.63,668400
2017-02-01,1485907200,134.16,136.41,132.18,135.6,676200
2017-02-02,1485993600,135.87,137.15,135.41,135.87,357500
2017-02-03,1486080000,136.87,136.87,135.05,135.26,307600
2017-02-06,1486339200,135.48,135.8,133.79,134.61,502700
2017-02-07,1486425600,135.15,136.06,134.21,134.53,355000
2017-02-08,1486512000,134.36,135.51,133.72,135.51,229700
2017-02-09,1486598400,134.94,136.7,134.94,136.7,337500
2017-02-10,1486684800,136.77,137.57,136.04,137.24,250800
2017-02-13,1486944000,136.71,138.24,136.71,137.83,176000
2017-02-14,1487030400,137.15,137.85,136.59,137.32,332900
2017-02-15,1487116800,135.29,138.56,135.29,138.48,238600
2017-02-16,1487203200,138.34,140.12,138.34,140.07,183900
2017-02-17,1487289600,140.27,140.29,138.91,139.95,172500
2017-02-21,1487635200,140.05,140.69,139.64,140.45,156900
2017-02-22,1487721600,140.59,141.08,139.95,140.8,87100
2017-02-23,1487808000,139.96,141.74,139.85,140.6,174500
2017-02-24,1487894400,139.86,141.37,139.8,140.18,146700
2017-02-27,1488153600,140.14,140.81,139.85,140.36,144100
2017-02-28,1488240000,139.96,141.67,139.67,141.48,330200
2017-03-01,1488326400,142.75,144.24,142.4,144.08,294600
2017-03-02,1488412800,143.86,144.45,143.11,143.11,215100
2017-03-03,1488499200,142.16,143.1,141.9,142.91,160000
2017-03-06,1488758400,142.89,142.89,141.55,141.61,210500
2017-03-07,1488844800,141.35,142.5,140.77,142.3,190900
2017-03-08,1488931200,142.15,142.49,141.44,141.85,270000
2017-03-09,1489017600,141.99,143.09,141.83,141.94,141400
2017-03-10,1489104000,142.12,143.12,142.04,142.84,165200
2017-03-13,1489363200,142.85,143.72,142.57,143.59,147800
2017-03-14,1489449600,143.86,144.07,143.03,143.57,160400
2017-03-15,1489536000,143.39,144.4,142.98,143.38,191300
2017-03-16,1489622400,143.86,143.86,141.96,142.12,255700
2017-03-17,1489708800,142.0,142.31,141.09,142.22,355700
