Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4.89,5.0,4.72,4.8,106700
2017-01-04,1483488000,4.8,4.94,4.8,4.92,30500
2017-01-05,1483574400,4.88,4.95,4.88,4.9,20100
2017-01-06,1483660800,4.94,4.94,4.85,4.91,29800
2017-01-09,1483920000,4.9,5.0,4.82,4.93,158200
2017-01-10,1484006400,4.94,5.14,4.94,5.09,76400
2017-01-11,1484092800,5.09,5.35,5.05,5.28,58300
2017-01-12,1484179200,5.26,5.26,5.07,5.09,11000
2017-01-13,1484265600,5.15,5.16,5.1,5.12,33100
2017-01-17,1484611200,5.1,5.13,5.0,5.1,48100
2017-01-18,1484697600,5.14,5.14,5.1,5.12,17900
2017-01-19,1484784000,5.09,5.12,5.07,5.08,34400
2017-01-20,1484870400,5.1,5.15,5.09,5.12,33000
2017-01-23,1485129600,5.08,5.23,5.08,5.15,43500
2017-01-24,1485216000,5.15,5.3,5.15,5.28,44200
2017-01-25,1485302400,5.3,5.3,5.25,5.29,61200
2017-01-26,1485388800,5.3,5.45,5.3,5.4,79500
2017-01-27,1485475200,5.4,5.45,5.37,5.42,121800
2017-01-30,1485734400,5.37,5.44,5.26,5.31,24100
2017-01-31,1485820800,5.28,5.37,5.24,5.35,213500
2017-02-01,1485907200,5.38,5.4,5.31,5.32,15000
2017-02-02,1485993600,5.34,5.34,5.24,5.27,24200
2017-02-03,1486080000,5.32,5.34,5.25,5.27,26400
2017-02-06,1486339200,5.27,5.28,5.17,5.2,21300
2017-02-07,1486425600,5.23,5.25,5.14,5.17,70700
2017-02-08,1486512000,5.15,5.2,5.02,5.03,46400
2017-02-09,1486598400,4.78,4.98,4.78,4.84,246500
2017-02-10,1486684800,4.84,4.9,4.79,4.83,248700
2017-02-13,1486944000,4.83,4.92,4.75,4.91,24000
2017-02-14,1487030400,4.84,4.95,4.8,4.94,40900
2017-02-15,1487116800,4.92,4.97,4.89,4.95,66400
2017-02-16,1487203200,4.9,4.95,4.9,4.93,36200
2017-02-17,1487289600,4.92,5.06,4.92,5.03,102200
2017-02-21,1487635200,5.01,5.27,4.95,5.22,52100
2017-02-22,1487721600,5.19,5.24,5.14,5.2,23700
2017-02-23,1487808000,5.15,5.25,5.15,5.18,16900
2017-02-24,1487894400,5.11,5.22,5.03,5.07,13700
2017-02-27,1488153600,5.07,5.13,5.01,5.03,18600
2017-02-28,1488240000,5.01,5.06,4.85,4.9,77600
2017-03-01,1488326400,5.0,5.08,4.91,4.94,26200
2017-03-02,1488412800,4.92,4.97,4.92,4.94,76700
2017-03-03,1488499200,4.95,4.95,4.89,4.91,29600
2017-03-06,1488758400,4.87,4.87,4.65,4.72,53100
2017-03-07,1488844800,4.69,4.74,4.66,4.67,19800
2017-03-08,1488931200,4.71,4.75,4.61,4.64,25400
2017-03-09,1489017600,4.93,4.93,4.59,4.62,13400
2017-03-10,1489104000,4.62,4.68,4.62,4.65,29200
2017-03-13,1489363200,4.63,4.71,4.63,4.7,26600
2017-03-14,1489449600,4.68,4.69,4.61,4.66,18300
2017-03-15,1489536000,4.65,4.81,4.65,4.78,17200
