Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,70.65,71.35,69.65,70.75,207300
2017-01-04,1483488000,71.15,72.5,71.0,72.05,336100
2017-01-05,1483574400,71.7,71.75,70.1,70.7,300400
2017-01-06,1483660800,70.55,71.26,69.3,69.45,231000
2017-01-09,1483920000,68.9,70.0,68.3,69.7,310600
2017-01-10,1484006400,70.5,72.55,70.25,71.2,394100
2017-01-11,1484092800,71.65,73.45,71.05,72.35,241900
2017-01-12,1484179200,72.3,72.33,70.25,71.4,255100
2017-01-13,1484265600,71.75,73.15,71.2,71.8,163300
2017-01-17,1484611200,71.95,72.55,71.1,71.3,200300
2017-01-18,1484697600,71.6,72.35,71.2,71.2,107300
2017-01-19,1484784000,71.6,72.6,71.38,71.65,126700
2017-01-20,1484870400,71.95,72.35,71.25,71.85,205000
2017-01-23,1485129600,71.4,71.65,70.25,71.05,175100
2017-01-24,1485216000,71.4,73.45,70.65,73.2,208400
2017-01-25,1485302400,73.75,74.5,73.59,74.35,180700
2017-01-26,1485388800,74.3,74.6,73.85,73.9,191100
2017-01-27,1485475200,73.9,74.25,73.05,73.2,143400
2017-01-30,1485734400,72.45,72.45,70.85,72.15,200500
2017-01-31,1485820800,72.1,73.05,71.35,72.6,199300
2017-02-01,1485907200,73.0,74.08,71.55,72.35,352500
2017-02-02,1485993600,72.15,72.15,70.85,71.75,275600
2017-02-03,1486080000,71.95,74.22,71.95,74.15,302800
2017-02-06,1486339200,73.75,74.4,72.3,73.3,400400
2017-02-07,1486425600,73.5,77.2,73.35,75.05,746900
2017-02-08,1486512000,74.75,75.1,73.8,74.4,381300
2017-02-09,1486598400,74.75,75.75,74.3,75.0,458400
2017-02-10,1486684800,75.6,75.7,74.75,75.1,327200
2017-02-13,1486944000,75.4,75.8,75.05,75.6,231500
2017-02-14,1487030400,75.15,75.4,74.45,74.7,191400
2017-02-15,1487116800,74.6,74.9,74.0,74.5,249300
2017-02-16,1487203200,74.5,74.55,73.5,74.1,214400
2017-02-17,1487289600,73.75,74.5,73.25,74.45,151000
2017-02-21,1487635200,74.75,75.85,74.75,75.8,190700
2017-02-22,1487721600,75.45,76.35,75.35,75.85,174200
2017-02-23,1487808000,77.15,77.15,74.8,74.9,211500
2017-02-24,1487894400,73.9,75.3,73.2,75.25,181600
2017-02-27,1488153600,75.0,76.4,74.65,76.25,187600
2017-02-28,1488240000,75.85,75.85,74.15,74.45,250100
2017-03-01,1488326400,75.5,76.95,75.0,76.2,298100
2017-03-02,1488412800,76.25,76.56,74.88,75.1,192500
2017-03-03,1488499200,74.9,75.7,74.45,75.0,169800
2017-03-06,1488758400,74.25,75.3,73.9,75.0,154300
2017-03-07,1488844800,75.05,75.35,74.4,74.7,117900
2017-03-08,1488931200,74.9,75.3,74.2,74.25,158200
2017-03-09,1489017600,74.35,75.4,73.6,73.85,230200
2017-03-10,1489104000,74.3,76.3,74.3,76.15,357600
2017-03-13,1489363200,76.3,76.95,73.65,74.9,364200
2017-03-14,1489449600,74.45,74.65,73.65,74.55,185300
2017-03-15,1489536000,75.1,76.75,75.1,76.0,218900
2017-03-16,1489622400,76.35,76.35,74.65,74.75,222100
2017-03-17,1489708800,75.1,75.55,74.45,75.25,463700
2017-03-20,1489968000,75.25,75.55,74.5,75.25,185500
2017-03-21,1490054400,75.6,76.03,72.88,73.0,413600
2017-03-22,1490140800,73.0,73.6,72.35,73.25,215200
2017-03-23,1490227200,73.2,74.3,72.9,73.55,150000
2017-03-24,1490313600,73.95,74.5,72.7,72.85,154300
2017-03-27,1490572800,71.65,72.75,71.05,72.45,142700
