Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,20.69,20.69,20.17,20.39,269550
2017-01-04,1483488000,20.57,20.62,20.15,20.61,327450
2017-01-05,1483574400,20.56,20.83,19.78,19.78,404400
2017-01-06,1483660800,19.75,20.3,19.41,19.9,222600
2017-01-09,1483920000,20.03,20.33,19.53,20.22,434550
2017-01-10,1484006400,20.36,20.92,20.26,20.72,574500
2017-01-11,1484092800,20.79,21.01,20.54,20.99,250350
2017-01-12,1484179200,20.93,21.35,20.71,21.26,517200
2017-01-13,1484265600,20.96,21.19,20.83,21.11,432600
2017-01-17,1484611200,21.09,21.17,20.66,20.72,400200
2017-01-18,1484697600,20.75,21.07,20.3,20.92,418950
2017-01-19,1484784000,21.02,21.31,20.9,21.09,521400
2017-01-20,1484870400,21.14,21.29,20.73,20.9,213450
2017-01-23,1485129600,20.73,21.2,20.73,21.03,281700
2017-01-24,1485216000,21.08,21.2,20.67,21.14,220950
2017-01-25,1485302400,21.25,21.55,20.93,21.39,307050
2017-01-26,1485388800,21.41,21.52,21.14,21.31,179850
2017-01-27,1485475200,21.29,21.3,20.93,21.25,128400
2017-01-30,1485734400,21.12,21.33,20.76,20.93,191100
2017-01-31,1485820800,20.65,21.04,20.47,20.93,383850
2017-02-01,1485907200,21.08,21.4,20.99,21.01,288750
2017-02-02,1485993600,20.99,21.01,20.76,20.85,195450
2017-02-03,1486080000,20.89,21.24,20.63,21.09,565800
2017-02-06,1486339200,20.95,21.16,20.67,20.93,142200
2017-02-07,1486425600,20.93,21.06,20.54,20.6,184800
2017-02-08,1486512000,20.56,20.92,20.03,20.23,310800
2017-02-09,1486598400,20.33,20.83,20.07,20.72,410850
2017-02-10,1486684800,20.82,21.06,20.56,20.81,234450
2017-02-13,1486944000,20.88,21.24,20.6,20.71,244050
2017-02-14,1487030400,20.68,21.0,20.63,20.76,319200
2017-02-15,1487116800,20.79,21.32,20.74,21.04,288600
2017-02-16,1487203200,20.46,22.05,20.46,21.75,959850
2017-02-17,1487289600,21.49,22.33,21.49,22.28,810300
2017-02-21,1487635200,22.37,22.79,22.35,22.68,558150
2017-02-22,1487721600,22.69,23.08,22.49,22.84,290850
2017-02-23,1487808000,22.87,22.87,22.33,22.55,424800
2017-02-24,1487894400,22.32,22.69,22.23,22.67,379200
2017-02-27,1488153600,22.67,22.93,22.49,22.81,528450
2017-02-28,1488240000,22.87,23.0,22.02,22.04,651300
2017-03-01,1488326400,22.37,22.79,22.37,22.55,642300
2017-03-02,1488412800,22.49,22.49,21.1,22.12,456000
2017-03-03,1488499200,22.11,22.4,21.89,22.12,669300
2017-03-06,1488758400,22.09,23.1,21.98,22.95,654750
2017-03-07,1488844800,22.83,22.83,22.25,22.52,362400
2017-03-08,1488931200,22.67,22.87,22.28,22.3,362850
2017-03-09,1489017600,22.21,22.46,21.64,21.93,656850
2017-03-10,1489104000,21.89,22.05,21.31,21.59,574500
2017-03-13,1489363200,21.49,21.78,21.38,21.58,397950
2017-03-14,1489449600,21.45,21.45,20.95,21.2,530700
2017-03-15,1489536000,21.13,21.74,21.01,21.66,507450
2017-03-16,1489622400,21.63,22.05,21.5,21.86,537000
2017-03-17,1489708800,21.79,22.07,21.54,21.87,818700
2017-03-20,1489968000,21.81,21.84,21.43,21.46,228300
2017-03-21,1490054400,21.56,22.05,20.74,20.76,323250
2017-03-22,1490140800,20.69,20.92,20.49,20.55,384750
2017-03-23,1490227200,20.53,20.77,20.31,20.62,342750
2017-03-24,1490313600,20.66,20.91,20.26,20.41,247950
2017-03-27,1490572800,20.07,20.26,19.77,20.14,390600
2017-03-28,1490659200,20.11,20.79,19.65,20.51,176250
2017-03-29,1490745600,20.46,20.83,20.25,20.68,162300
2017-03-30,1490832000,20.68,20.91,20.6,20.81,145350
2017-03-31,1490918400,20.79,21.55,20.53,21.15,519000
2017-04-03,1491177600,21.19,21.22,20.65,20.94,263700
2017-04-04,1491264000,20.9,21.02,20.51,20.59,137250
2017-04-05,1491350400,20.67,20.99,20.46,20.49,379350
2017-04-06,1491436800,20.86,21.6,20.47,21.59,415950
2017-04-07,1491523200,21.57,22.24,21.44,21.86,444000
2017-04-10,1491782400,21.86,22.26,21.79,21.9,214950
2017-04-11,1491868800,21.85,22.36,21.78,22.31,262950
2017-04-12,1491955200,22.25,22.25,21.52,21.7,260550
2017-04-13,1492041600,21.62,21.82,21.18,21.2,193500
2017-04-17,1492387200,21.25,21.55,21.18,21.52,141900
2017-04-18,1492473600,21.52,21.79,21.35,21.78,242850
2017-04-19,1492560000,21.86,22.17,21.65,21.99,474000
2017-04-20,1492646400,22.12,22.42,22.02,22.4,407850
2017-04-21,1492732800,22.38,22.71,22.21,22.48,454800
2017-04-24,1492992000,22.94,23.43,22.74,23.42,459450
2017-04-25,1493078400,23.75,25.06,23.24,23.97,1255800
2017-04-26,1493164800,24.1,24.37,23.85,24.24,529500
2017-04-27,1493251200,24.28,24.66,24.06,24.36,325650
2017-04-28,1493337600,24.44,24.6,23.98,24.13,395250
2017-05-01,1493596800,24.22,24.37,23.87,23.89,398400
2017-05-02,1493683200,23.91,24.02,23.03,23.7,367650
2017-05-03,1493769600,23.59,23.95,23.42,23.93,425850
2017-05-04,1493856000,23.93,24.12,23.41,23.52,204600
2017-05-05,1493942400,23.31,23.8,23.31,23.77,300750
2017-05-08,1494201600,23.66,23.89,23.42,23.57,224700
2017-05-09,1494288000,23.56,24.06,23.37,23.63,294900
2017-05-10,1494374400,23.63,23.75,23.4,23.57,231150
2017-05-11,1494460800,23.47,23.95,23.1,23.92,373950
2017-05-12,1494547200,23.82,23.82,23.48,23.72,287400
2017-05-15,1494806400,23.84,24.18,23.82,24.04,421050
2017-05-16,1494892800,24.12,24.21,23.88,24.16,317100
2017-05-17,1494979200,23.8,23.8,22.77,22.83,483450
