Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,6.36,6.5,6.36,6.44,31800
2017-01-04,1483488000,6.44,6.45,6.25,6.34,39000
2017-01-05,1483574400,6.34,6.4,6.05,6.28,40000
2017-01-06,1483660800,6.3,6.3,6.26,6.28,17100
2017-01-09,1483920000,6.23,6.31,6.17,6.17,26200
2017-01-10,1484006400,6.23,6.56,6.2,6.56,225600
2017-01-11,1484092800,6.56,6.83,6.46,6.79,65000
2017-01-12,1484179200,6.79,6.95,6.73,6.78,50100
2017-01-13,1484265600,6.78,7.19,6.76,7.06,90300
2017-01-17,1484611200,7.07,7.1,6.9,6.96,50900
2017-01-18,1484697600,7.03,7.15,6.96,7.1,47100
2017-01-19,1484784000,7.11,7.18,7.04,7.09,19800
2017-01-20,1484870400,7.1,7.1,6.87,7.04,72900
2017-01-23,1485129600,6.98,6.99,6.89,6.94,18900
2017-01-24,1485216000,6.96,6.98,6.88,6.96,11200
2017-01-25,1485302400,6.96,6.99,6.92,6.95,12200
2017-01-26,1485388800,6.91,6.94,6.83,6.92,42000
2017-01-27,1485475200,6.94,6.96,6.91,6.91,21300
2017-01-30,1485734400,6.79,6.96,6.75,6.89,31500
2017-01-31,1485820800,6.91,6.96,6.74,6.89,58300
2017-02-01,1485907200,6.89,6.89,6.69,6.83,66600
2017-02-02,1485993600,6.82,6.91,6.76,6.91,31300
2017-02-03,1486080000,6.96,6.97,6.89,6.96,47600
2017-02-06,1486339200,6.91,6.96,6.77,6.92,49600
2017-02-07,1486425600,6.86,6.94,6.8,6.87,19300
2017-02-08,1486512000,6.91,6.92,6.81,6.92,28200
2017-02-09,1486598400,6.91,6.96,6.88,6.96,18500
2017-02-10,1486684800,6.96,7.01,6.92,6.99,23600
2017-02-13,1486944000,6.96,6.98,6.94,6.98,16400
2017-02-14,1487030400,6.98,6.98,6.81,6.96,48000
2017-02-15,1487116800,6.96,6.96,6.87,6.96,83800
2017-02-16,1487203200,6.96,6.96,6.84,6.84,32900
2017-02-17,1487289600,6.84,6.91,6.68,6.74,70300
2017-02-21,1487635200,6.79,6.79,6.55,6.67,151400
2017-02-22,1487721600,6.66,6.89,6.59,6.65,37800
2017-02-23,1487808000,6.65,6.87,6.63,6.83,126400
2017-02-24,1487894400,6.7,6.83,6.7,6.79,73300
2017-02-27,1488153600,6.84,6.91,6.81,6.89,59600
