Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,21.98,22.03,21.37,21.7,274900
2017-01-04,1483488000,21.84,22.64,21.78,22.31,367000
2017-01-05,1483574400,22.08,22.08,21.42,21.84,186900
2017-01-06,1483660800,21.94,21.94,21.28,21.33,139800
2017-01-09,1483920000,21.28,21.66,21.14,21.61,239900
2017-01-10,1484006400,21.37,22.22,21.37,21.94,408100
2017-01-11,1484092800,21.94,22.11,21.37,21.98,253800
2017-01-12,1484179200,21.84,21.84,21.23,21.8,206600
2017-01-13,1484265600,21.89,22.41,21.84,21.94,114100
2017-01-17,1484611200,22.08,23.11,22.08,22.5,265800
2017-01-18,1484697600,22.5,22.69,22.22,22.69,272600
2017-01-19,1484784000,22.69,22.74,21.89,22.22,183300
2017-01-20,1484870400,22.31,22.6,21.56,21.8,169800
2017-01-23,1485129600,21.66,21.94,21.56,21.75,151300
2017-01-24,1485216000,21.94,22.31,21.89,22.13,223700
2017-01-25,1485302400,22.36,22.64,22.17,22.55,120100
2017-01-26,1485388800,22.46,22.69,21.61,21.66,268500
2017-01-27,1485475200,21.75,21.8,21.37,21.51,183700
2017-01-30,1485734400,21.42,21.98,21.09,21.7,249500
2017-01-31,1485820800,21.51,22.15,21.28,22.03,290200
2017-02-01,1485907200,22.13,22.36,21.51,21.51,182200
2017-02-02,1485993600,21.51,21.94,21.37,21.37,158700
2017-02-03,1486080000,21.42,21.75,21.09,21.56,234000
2017-02-06,1486339200,21.42,21.66,21.04,21.28,179000
2017-02-07,1486425600,21.37,21.61,21.09,21.28,160100
2017-02-08,1486512000,21.23,21.51,21.04,21.42,189900
2017-02-09,1486598400,21.47,22.08,21.47,21.8,356500
2017-02-10,1486684800,21.94,22.46,21.84,22.41,158100
2017-02-13,1486944000,22.46,22.64,21.98,22.13,167600
2017-02-14,1487030400,21.98,22.46,21.98,22.41,173700
2017-02-15,1487116800,22.22,22.64,22.17,22.64,418700
2017-02-16,1487203200,22.6,22.74,21.98,22.22,188100
2017-02-17,1487289600,22.22,22.36,21.84,22.36,262400
2017-02-21,1487635200,22.6,25.85,22.03,24.43,904800
2017-02-22,1487721600,24.24,24.48,23.68,23.77,429700
2017-02-23,1487808000,23.07,23.59,21.18,21.28,480900
2017-02-24,1487894400,21.09,21.75,20.9,21.28,329100
2017-02-27,1488153600,21.33,21.89,21.04,21.47,329000
2017-02-28,1488240000,21.33,21.42,20.29,20.43,410200
2017-03-01,1488326400,20.76,20.95,20.27,20.48,266400
2017-03-02,1488412800,20.38,20.81,20.38,20.53,166700
2017-03-03,1488499200,20.53,20.58,19.87,20.48,245200
2017-03-06,1488758400,20.34,20.38,19.68,19.91,178700
2017-03-07,1488844800,20.29,20.34,19.49,19.58,263300
2017-03-08,1488931200,19.63,19.91,19.61,19.77,244900
2017-03-09,1489017600,19.63,19.87,19.3,19.35,169700
2017-03-10,1489104000,19.49,19.68,19.25,19.44,170100
2017-03-13,1489363200,19.4,19.54,19.02,19.16,184000
2017-03-14,1489449600,19.11,19.68,18.97,19.49,177800
2017-03-15,1489536000,19.54,20.01,19.35,19.73,238000
2017-03-16,1489622400,19.77,20.01,19.52,19.77,212000
2017-03-17,1489708800,19.77,19.96,19.49,19.63,419200
2017-03-20,1489968000,19.58,19.82,19.11,19.21,291100
2017-03-21,1490054400,19.35,19.35,18.5,18.78,451900
2017-03-22,1490140800,18.88,19.35,18.55,19.3,620000
2017-03-23,1490227200,19.4,19.58,19.02,19.11,239100
