Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,77.94,78.44,76.62,77.13,236700
2017-01-04,1483488000,77.62,78.48,77.42,78.37,332500
2017-01-05,1483574400,77.98,78.68,76.93,77.86,300600
2017-01-06,1483660800,77.87,79.12,77.02,78.54,379500
2017-01-09,1483920000,78.12,78.5,76.81,77.4,347300
2017-01-10,1484006400,77.2,78.81,76.93,78.02,277800
2017-01-11,1484092800,77.88,78.21,77.03,78.02,353000
2017-01-12,1484179200,77.64,78.35,76.49,78.31,363900
2017-01-13,1484265600,78.48,79.33,77.93,78.09,375900
2017-01-17,1484611200,77.55,78.19,76.73,77.48,440800
2017-01-18,1484697600,77.61,78.23,77.29,77.42,228200
2017-01-19,1484784000,77.51,78.0,76.85,77.02,225800
2017-01-20,1484870400,76.97,77.67,76.3,76.62,257800
2017-01-23,1485129600,76.79,77.27,75.47,75.6,261900
2017-01-24,1485216000,75.91,76.36,75.23,75.81,358400
2017-01-25,1485302400,76.19,77.13,75.74,75.86,310700
2017-01-26,1485388800,75.81,76.53,75.55,76.23,162100
2017-01-27,1485475200,76.12,76.89,75.74,76.88,199500
2017-01-30,1485734400,76.24,76.36,73.7,74.53,255400
2017-01-31,1485820800,74.37,75.3,73.93,74.97,223400
2017-02-01,1485907200,75.51,76.19,73.94,74.39,309500
2017-02-02,1485993600,74.27,76.57,73.83,75.53,317400
2017-02-03,1486080000,76.13,76.38,75.43,76.15,213200
2017-02-06,1486339200,75.69,76.49,75.41,75.82,307700
2017-02-07,1486425600,75.91,77.21,75.62,76.09,214100
2017-02-08,1486512000,75.85,75.85,73.97,75.17,277100
2017-02-09,1486598400,75.22,76.53,75.22,76.08,295300
2017-02-10,1486684800,76.36,77.46,75.8,76.81,260400
2017-02-13,1486944000,77.11,78.21,77.11,77.96,256000
2017-02-14,1487030400,77.94,78.33,77.2,78.04,225700
2017-02-15,1487116800,77.84,79.72,77.8,79.52,292800
2017-02-16,1487203200,79.81,81.21,79.81,81.19,295600
2017-02-17,1487289600,80.87,81.43,80.31,80.69,237900
2017-02-21,1487635200,80.53,81.46,80.37,81.38,222100
2017-02-22,1487721600,81.09,82.03,80.42,81.49,157600
2017-02-23,1487808000,81.73,81.94,80.34,81.04,189100
2017-02-24,1487894400,80.18,81.91,80.18,81.91,224900
2017-02-27,1488153600,81.5,82.75,81.5,82.17,264800
2017-02-28,1488240000,82.11,82.11,80.08,80.08,399100
2017-03-01,1488326400,81.09,82.53,80.85,82.09,304600
2017-03-02,1488412800,81.81,82.08,81.29,81.81,261900
2017-03-03,1488499200,81.44,81.95,80.99,81.06,175400
2017-03-06,1488758400,80.28,80.61,79.82,80.39,172200
2017-03-07,1488844800,80.34,80.96,80.17,80.46,178000
2017-03-08,1488931200,80.71,81.06,79.95,80.03,173900
2017-03-09,1489017600,79.98,79.98,79.08,79.19,203400
2017-03-10,1489104000,79.65,79.71,79.02,79.45,198000
2017-03-13,1489363200,79.45,80.2,79.18,80.14,230500
2017-03-14,1489449600,80.04,80.57,79.01,80.39,212700
2017-03-15,1489536000,80.58,81.58,80.32,81.38,269800
2017-03-16,1489622400,81.51,81.78,79.97,80.02,240900
2017-03-17,1489708800,79.85,80.81,78.46,80.61,616000
2017-03-20,1489968000,80.68,80.94,79.83,80.11,165300
2017-03-21,1490054400,80.34,80.49,78.27,78.65,254100
2017-03-22,1490140800,78.77,79.53,78.62,79.49,221900
2017-03-23,1490227200,79.7,80.67,79.27,80.19,254500
2017-03-24,1490313600,80.09,80.2,79.11,79.27,177700
2017-03-27,1490572800,78.4,79.34,77.55,78.91,324200
2017-03-28,1490659200,78.41,79.08,77.93,78.7,246700
2017-03-29,1490745600,78.48,79.84,78.42,79.41,316100
2017-03-30,1490832000,74.58,75.04,66.95,69.03,2037900
2017-03-31,1490918400,69.27,70.29,68.45,68.5,941000
2017-04-03,1491177600,68.2,68.49,66.76,67.25,746200
2017-04-04,1491264000,66.82,68.6,66.29,68.0,522500
