Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,31.58,31.58,30.88,31.13,197734
2017-01-04,1483488000,31.18,31.68,31.18,31.39,249958
2017-01-05,1483574400,31.33,31.43,30.88,31.09,155341
2017-01-06,1483660800,31.28,31.3,30.89,30.9,84582
2017-01-09,1483920000,30.8,30.94,30.23,30.28,169370
2017-01-10,1484006400,30.34,31.21,30.33,30.99,192410
2017-01-11,1484092800,30.95,31.32,30.65,31.03,187085
2017-01-12,1484179200,30.85,30.88,30.12,30.69,163533
2017-01-13,1484265600,30.9,31.47,30.9,31.08,289382
2017-01-17,1484611200,30.89,31.04,29.92,30.0,152474
2017-01-18,1484697600,30.26,30.42,29.97,30.4,74445
2017-01-19,1484784000,30.46,30.46,29.85,30.06,84787
2017-01-20,1484870400,30.13,30.8,30.13,30.58,122061
2017-01-23,1485129600,30.49,30.64,30.17,30.5,120832
2017-01-24,1485216000,30.56,31.13,30.41,30.98,144384
2017-01-25,1485302400,31.17,31.25,30.68,30.87,143053
2017-01-26,1485388800,30.92,31.18,30.84,31.0,87859
2017-01-27,1485475200,29.89,30.32,28.75,29.0,361677
2017-01-30,1485734400,28.8,28.82,27.75,28.08,215654
2017-01-31,1485820800,27.99,28.42,27.97,28.32,201011
2017-02-01,1485907200,28.61,28.92,28.55,28.75,172544
2017-02-02,1485993600,28.41,28.46,28.1,28.4,120627
2017-02-03,1486080000,28.7,28.83,28.39,28.81,144282
2017-02-06,1486339200,28.58,28.79,28.19,28.2,115302
2017-02-07,1486425600,28.32,28.5,28.03,28.1,167322
2017-02-08,1486512000,27.99,29.02,27.39,27.63,125542
2017-02-09,1486598400,27.78,28.23,27.56,28.18,125440
2017-02-10,1486684800,28.2,28.32,27.93,28.18,68506
2017-02-13,1486944000,28.31,28.8,28.23,28.76,107008
2017-02-14,1487030400,28.65,29.39,28.32,29.25,104858
2017-02-15,1487116800,29.37,29.4,29.09,29.35,63181
2017-02-16,1487203200,29.28,29.75,29.12,29.73,117862
2017-02-17,1487289600,29.7,29.72,29.24,29.59,153395
2017-02-21,1487635200,29.81,29.91,29.38,29.66,90624
2017-02-22,1487721600,29.58,30.0,29.21,29.97,164352
2017-02-23,1487808000,30.04,30.05,29.57,29.98,105574
2017-02-24,1487894400,29.67,29.9,29.42,29.68,120422
2017-02-27,1488153600,29.31,29.73,29.31,29.57,121037
2017-02-28,1488240000,29.5,29.64,29.22,29.41,106906
2017-03-01,1488326400,29.76,30.38,29.72,30.09,223334
2017-03-02,1488412800,30.17,30.23,29.42,29.46,99328
2017-03-03,1488499200,29.51,29.68,29.32,29.42,105882
2017-03-06,1488758400,29.34,29.97,29.02,29.34,97485
2017-03-07,1488844800,29.38,29.5,29.13,29.19,70144
2017-03-08,1488931200,29.22,29.33,28.39,28.51,185754
2017-03-09,1489017600,28.65,29.13,28.2,28.29,95130
2017-03-10,1489104000,28.46,28.47,27.95,28.21,148173
