Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,25.03,25.25,23.76,25.1,89590
2017-01-04,1483488000,24.73,25.4,24.43,24.43,107190
2017-01-05,1483574400,24.43,24.58,23.91,23.91,148960
2017-01-06,1483660800,24.28,24.65,23.91,24.13,217660
2017-01-09,1483920000,24.13,24.21,23.53,23.68,76120
2017-01-10,1484006400,23.68,24.28,23.68,23.91,89060
2017-01-11,1484092800,24.06,24.65,23.76,24.13,118940
2017-01-12,1484179200,24.06,24.13,23.61,23.98,42720
2017-01-13,1484265600,23.91,24.28,23.53,23.68,31060
2017-01-17,1484611200,23.53,23.98,23.16,23.38,52550
2017-01-18,1484697600,23.46,24.58,23.23,24.28,177330
2017-01-19,1484784000,24.13,24.65,23.76,23.76,92620
2017-01-20,1484870400,23.68,24.21,23.46,24.13,37310
2017-01-23,1485129600,23.91,24.43,23.76,24.13,32550
2017-01-24,1485216000,24.06,24.28,23.68,23.68,206000
2017-01-25,1485302400,23.91,24.06,23.68,23.83,15290
2017-01-26,1485388800,23.91,24.13,23.61,23.91,24320
2017-01-27,1485475200,23.83,24.28,23.68,23.76,31870
2017-01-30,1485734400,23.76,24.06,23.53,23.83,25240
2017-01-31,1485820800,23.68,24.65,23.68,24.28,141110
2017-02-01,1485907200,24.5,25.18,24.5,25.18,162260
2017-02-02,1485993600,25.85,27.27,25.25,26.37,240400
2017-02-03,1486080000,26.37,27.34,26.22,26.6,141260
2017-02-06,1486339200,26.37,27.12,25.85,27.04,58380
2017-02-07,1486425600,26.82,27.27,26.37,26.52,35830
2017-02-08,1486512000,26.75,26.82,25.77,26.15,33370
2017-02-09,1486598400,26.37,26.97,26.07,26.82,32990
2017-02-10,1486684800,26.82,27.72,26.67,26.97,98170
2017-02-13,1486944000,26.82,27.57,26.67,26.82,62550
2017-02-14,1487030400,26.75,27.42,26.45,27.12,77210
2017-02-15,1487116800,26.9,27.72,24.06,24.13,294010
2017-02-16,1487203200,23.91,24.28,21.44,21.74,629700
2017-02-17,1487289600,21.67,23.16,21.59,22.41,167420
2017-02-21,1487635200,22.11,23.01,22.11,22.41,98080
2017-02-22,1487721600,22.41,23.38,22.34,22.71,159350
2017-02-23,1487808000,22.64,22.94,22.49,22.49,96100
2017-02-24,1487894400,22.41,23.09,22.04,22.41,140620
2017-02-27,1488153600,22.11,22.64,21.59,21.89,57790
2017-02-28,1488240000,21.66,22.04,21.51,21.51,72570
2017-03-01,1488326400,21.51,22.11,20.84,21.21,153940
2017-03-02,1488412800,20.84,21.59,20.39,20.69,177500
2017-03-03,1488499200,20.91,21.21,20.61,20.76,123160
2017-03-06,1488758400,20.76,20.99,20.24,20.54,67970
2017-03-07,1488844800,20.39,20.54,18.89,19.79,167250
2017-03-08,1488931200,19.86,20.01,19.34,19.41,188240
2017-03-09,1489017600,19.19,19.86,18.89,19.11,118440
2017-03-10,1489104000,19.19,19.49,18.74,19.19,89980
2017-03-13,1489363200,19.11,19.86,18.89,19.04,78250
2017-03-14,1489449600,18.74,19.26,18.14,18.74,102250
2017-03-15,1489536000,18.96,19.49,18.74,19.04,103730
2017-03-16,1489622400,18.96,19.41,18.66,18.81,60700
2017-03-17,1489708800,18.81,18.89,17.16,17.91,178010
2017-03-20,1489968000,17.76,17.91,17.16,17.24,98240
2017-03-21,1490054400,17.09,17.99,16.12,17.84,261030
2017-03-22,1490140800,17.99,18.74,17.84,18.14,119250
2017-03-23,1490227200,18.21,18.66,17.24,17.54,83190
2017-03-24,1490313600,17.39,17.76,17.09,17.24,64060
2017-03-27,1490572800,17.09,17.16,16.79,17.16,66740
2017-03-28,1490659200,17.09,17.24,16.57,16.64,106720
2017-03-29,1490745600,16.49,16.64,16.19,16.49,95310
2017-03-30,1490832000,16.64,16.86,16.42,16.49,89470
2017-03-31,1490918400,16.49,17.09,16.49,16.94,68810
2017-04-03,1491177600,17.09,17.69,16.57,17.46,59040
2017-04-04,1491264000,17.39,17.76,16.86,17.16,46330
2017-04-05,1491350400,17.24,17.46,16.86,16.86,65440
2017-04-06,1491436800,16.86,17.31,16.57,16.94,34230
2017-04-07,1491523200,16.86,17.69,16.71,17.61,42880
2017-04-10,1491782400,17.31,17.39,16.49,16.79,71810
2017-04-11,1491868800,16.79,17.24,16.57,16.86,30710
2017-04-12,1491955200,16.94,17.16,16.71,16.86,27690
2017-04-13,1492041600,16.86,16.86,16.49,16.49,38700
2017-04-17,1492387200,16.49,16.71,16.34,16.64,25170
2017-04-18,1492473600,16.57,16.71,16.34,16.57,21680
2017-04-19,1492560000,16.57,16.94,16.42,16.42,19730
2017-04-20,1492646400,16.57,17.09,16.57,16.79,41250
2017-04-21,1492732800,16.64,17.09,16.12,16.19,36790
2017-04-24,1492992000,16.42,18.06,16.34,17.39,68520
2017-04-25,1493078400,17.39,18.06,17.24,17.99,59690
