Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,4039.45,4084.0,3958.06,3972.14,600
2017-01-04,1483488000,4047.37,4183.01,3985.0,4162.22,800
2017-01-05,1483574400,4192.91,4207.76,4010.74,4010.74,400
2017-01-06,1483660800,4057.27,4076.38,3971.16,3972.13,400
2017-01-09,1483920000,4044.4,4044.4,3846.4,3855.39,700
2017-01-10,1484006400,3925.6,3950.24,3831.04,3920.92,700
2017-01-11,1484092800,3950.35,4009.75,3930.56,3952.32,500
2017-01-12,1484179200,3951.34,3960.25,3787.13,3788.97,500
2017-01-13,1484265600,3803.82,3803.82,3663.23,3791.94,700
2017-01-17,1484611200,3752.48,3777.09,3678.09,3704.49,400
2017-01-18,1484697600,3704.49,3704.49,3644.44,3702.82,500
2017-01-19,1484784000,3712.73,3827.58,3682.98,3717.03,600
2017-01-20,1484870400,3713.72,3800.84,3712.68,3727.58,400
2017-01-23,1485129600,3762.23,3799.86,3728.57,3764.22,200
2017-01-24,1485216000,3786.99,3956.29,3737.48,3954.8,500
2017-01-25,1485302400,4008.76,4008.76,3666.11,3694.23,1700
2017-01-26,1485388800,3713.77,3788.97,3703.82,3750.95,700
2017-01-27,1485475200,3806.79,3910.73,3766.01,3877.77,300
2017-01-30,1485734400,3861.24,3861.24,3723.34,3786.95,500
2017-01-31,1485820800,3761.24,3811.74,3679.07,3811.74,600
2017-02-01,1485907200,3881.04,4009.75,3824.78,3867.18,700
2017-02-02,1485993600,3955.3,3955.3,3790.06,3794.34,200
2017-02-03,1486080000,3803.82,4003.81,3775.12,3958.02,500
2017-02-06,1486339200,3984.01,3984.01,3842.45,3851.34,300
2017-02-07,1486425600,3925.59,3925.59,3808.77,3808.82,300
2017-02-08,1486512000,3845.4,3857.77,3684.02,3707.78,700
2017-02-09,1486598400,3747.9,3783.55,3719.17,3755.31,400
2017-02-10,1486684800,3792.47,3798.41,3714.22,3783.55,400
2017-02-13,1486944000,3807.32,3912.31,3772.66,3912.31,600
2017-02-14,1487030400,3892.29,3911.46,3817.23,3862.79,400
2017-02-15,1487116800,3856.3,3932.76,3813.27,3932.76,500
2017-02-16,1487203200,3931.96,3947.01,3838.22,3863.78,500
2017-02-17,1487289600,3881.61,3909.34,3714.22,3834.11,600
2017-02-21,1487635200,3885.57,3905.38,3818.52,3876.64,300
2017-02-22,1487721600,3874.67,3941.83,3853.88,3926.15,500
2017-02-23,1487808000,3919.11,3927.17,3838.06,3906.87,300
2017-02-24,1487894400,3778.6,3922.22,3763.74,3917.26,500
2017-02-27,1488153600,3878.64,3896.92,3764.04,3795.89,1400
2017-02-28,1488240000,3771.72,3773.36,3555.81,3597.79,3900
2017-03-01,1488326400,3661.62,3787.51,3639.94,3777.61,900
2017-03-02,1488412800,3709.27,3784.54,3689.49,3760.79,400
2017-03-03,1488499200,3748.89,3847.92,3689.46,3847.5,700
2017-03-06,1488758400,3838.03,3912.31,3773.65,3893.03,800
2017-03-07,1488844800,3891.51,3931.12,3862.79,3897.0,500
2017-03-08,1488931200,3931.03,3981.69,3888.54,3947.97,900
2017-03-09,1489017600,3942.03,3981.64,3788.5,3864.9,500
2017-03-10,1489104000,3938.06,3966.79,3790.52,3831.85,800
2017-03-13,1489363200,3831.85,3903.4,3813.27,3857.84,500
2017-03-14,1489449600,3862.78,3896.46,3813.28,3835.5,400
2017-03-15,1489536000,3823.42,3986.09,3815.25,3980.65,500
2017-03-16,1489622400,3986.6,4026.21,3961.83,4001.45,600
2017-03-17,1489708800,4060.88,4205.71,4026.21,4122.78,4300
2017-03-20,1489968000,4154.97,4189.16,4018.6,4065.83,800
2017-03-21,1490054400,3937.07,4011.36,3913.85,3929.9,700
2017-03-22,1490140800,3957.87,3999.58,3808.31,3834.39,600
