Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.9,2.07,1.89,1.99,447800
2017-01-04,1483488000,2.03,2.35,2.0,2.31,2389000
2017-01-05,1483574400,2.3,2.3,2.11,2.16,1600000
2017-01-06,1483660800,2.19,2.38,2.12,2.3,1724300
2017-01-09,1483920000,2.37,2.5,2.32,2.35,1489000
2017-01-10,1484006400,2.35,2.37,2.16,2.3,630000
2017-01-11,1484092800,2.26,2.3,2.12,2.17,482500
2017-01-12,1484179200,2.17,2.25,2.1,2.23,308800
2017-01-13,1484265600,2.2,2.31,2.18,2.21,279200
2017-01-17,1484611200,2.19,2.22,2.08,2.11,373800
2017-01-18,1484697600,2.11,2.2,2.1,2.13,238600
2017-01-19,1484784000,2.11,2.14,2.01,2.05,282800
2017-01-20,1484870400,2.05,2.15,1.99,2.04,316300
2017-01-23,1485129600,2.0,2.05,1.97,2.0,219800
2017-01-24,1485216000,1.99,2.04,1.95,2.02,168700
2017-01-25,1485302400,2.02,2.23,2.0,2.14,468100
2017-01-26,1485388800,2.1,2.16,2.03,2.07,202200
2017-01-27,1485475200,2.05,2.18,2.05,2.18,400200
2017-01-30,1485734400,2.2,2.23,2.07,2.09,261500
2017-01-31,1485820800,2.1,2.16,2.04,2.14,308900
2017-02-01,1485907200,2.11,2.2,2.1,2.15,397900
2017-02-02,1485993600,2.16,2.24,2.12,2.17,414300
2017-02-03,1486080000,2.19,2.34,2.16,2.27,1316500
2017-02-06,1486339200,2.34,2.48,2.28,2.34,1160200
2017-02-07,1486425600,2.36,2.36,2.15,2.24,536800
2017-02-08,1486512000,2.21,2.23,2.16,2.2,172800
2017-02-09,1486598400,2.12,2.22,2.12,2.16,337600
2017-02-10,1486684800,2.16,2.22,2.15,2.16,167800
2017-02-13,1486944000,2.17,2.19,2.08,2.1,308200
2017-02-14,1487030400,2.1,2.13,2.03,2.08,405600
2017-02-15,1487116800,2.11,2.11,1.98,2.07,281100
2017-02-16,1487203200,2.06,2.09,2.04,2.04,150800
2017-02-17,1487289600,2.04,2.12,2.02,2.08,268700
2017-02-21,1487635200,2.09,2.11,2.01,2.04,246500
2017-02-22,1487721600,2.02,2.04,2.0,2.02,126500
2017-02-23,1487808000,2.03,2.04,1.96,2.04,252200
2017-02-24,1487894400,2.02,2.02,1.9,1.95,339800
2017-02-27,1488153600,1.95,2.04,1.91,2.02,250200
2017-02-28,1488240000,2.02,2.04,1.96,2.0,100100
2017-03-01,1488326400,2.0,2.01,1.95,1.96,206000
2017-03-02,1488412800,1.99,1.99,1.88,1.9,445700
2017-03-03,1488499200,1.9,1.91,1.8,1.84,496700
