Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,1.76,2.0,1.7,1.97,8550
2017-01-04,1483488000,1.97,1.97,1.66,1.66,2700
2017-01-05,1483574400,1.97,1.97,1.69,1.8,1000
2017-01-06,1483660800,1.9,1.97,1.7,1.7,3800
2017-01-09,1483920000,1.65,1.9,1.65,1.9,2300
2017-01-10,1484006400,1.9,1.9,1.72,1.72,2550
2017-01-11,1484092800,1.8,2.0,1.72,1.72,3750
2017-01-12,1484179200,1.72,1.72,1.72,1.72,0
2017-01-13,1484265600,1.74,1.9,1.72,1.72,4900
2017-01-17,1484611200,1.7,1.7,1.4,1.6,15650
2017-01-18,1484697600,1.6,1.6,1.58,1.59,4050
2017-01-19,1484784000,1.62,3.7,1.62,2.3,56500
2017-01-20,1484870400,2.34,3.28,2.34,2.7,33500
2017-01-23,1485129600,2.88,5.0,2.86,4.88,64950
2017-01-24,1485216000,4.77,6.6,4.77,6.32,110100
2017-01-25,1485302400,6.4,9.2,4.12,4.36,100150
2017-01-26,1485388800,4.6,8.0,4.54,6.76,77300
2017-01-27,1485475200,6.9,7.3,6.8,6.9,26300
2017-01-30,1485734400,6.95,6.95,6.0,6.48,14100
2017-01-31,1485820800,6.49,6.49,5.16,5.52,32050
2017-02-01,1485907200,5.58,5.7,5.32,5.48,13750
2017-02-02,1485993600,5.46,5.8,5.4,5.8,5750
2017-02-03,1486080000,5.56,5.9,5.2,5.5,5650
2017-02-06,1486339200,5.4,5.84,5.4,5.8,5300
2017-02-07,1486425600,5.8,5.88,5.4,5.88,1550
2017-02-08,1486512000,5.52,5.52,5.0,5.3,11350
2017-02-09,1486598400,5.4,5.8,5.4,5.6,8350
2017-02-10,1486684800,5.6,5.78,5.0,5.02,13700
2017-02-13,1486944000,4.84,5.0,4.4,4.5,19600
2017-02-14,1487030400,4.42,4.8,4.0,4.6,35300
2017-02-15,1487116800,3.6,3.6,3.25,3.25,269700
2017-02-16,1487203200,3.4,4.0,3.3,3.69,255000
2017-02-17,1487289600,3.87,3.87,3.6,3.61,176200
2017-02-21,1487635200,3.61,3.7,3.4,3.48,68100
2017-02-22,1487721600,3.65,3.9,3.52,3.7,167300
2017-02-23,1487808000,3.72,3.72,3.48,3.48,71600
