Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,36.16,36.74,35.72,36.13,542800
2017-01-04,1483488000,37.85,39.12,37.55,38.9,4452200
2017-01-05,1483574400,38.85,39.7,38.52,39.45,1338300
2017-01-06,1483660800,37.92,38.3,36.33,36.59,3001400
2017-01-09,1483920000,36.38,36.5,35.13,35.34,1688900
2017-01-10,1484006400,35.5,35.86,34.76,35.06,1196700
2017-01-11,1484092800,35.09,35.57,34.86,35.51,716600
2017-01-12,1484179200,35.62,35.78,35.22,35.59,692900
2017-01-13,1484265600,35.74,35.84,35.08,35.43,515100
2017-01-17,1484611200,35.2,35.68,34.91,35.15,547400
2017-01-18,1484697600,35.1,35.17,34.28,34.76,861700
2017-01-19,1484784000,34.7,35.09,34.36,34.62,497600
2017-01-20,1484870400,34.63,34.89,34.48,34.76,302200
2017-01-23,1485129600,34.83,34.95,34.26,34.49,530400
2017-01-24,1485216000,34.66,34.88,34.55,34.74,306700
2017-01-25,1485302400,34.9,35.22,34.75,35.09,470000
2017-01-26,1485388800,35.15,35.4,34.72,34.84,350500
2017-01-27,1485475200,35.0,35.3,34.76,35.05,518400
2017-01-30,1485734400,34.7,35.0,34.32,35.0,565800
2017-01-31,1485820800,34.89,35.45,34.6,35.31,485500
2017-02-01,1485907200,35.34,35.36,34.57,34.75,521900
2017-02-02,1485993600,34.96,35.1,34.39,34.78,428700
2017-02-03,1486080000,35.36,35.52,35.01,35.4,390300
2017-02-06,1486339200,35.22,35.44,34.64,34.85,478200
2017-02-07,1486425600,34.95,35.25,34.45,34.87,452700
2017-02-08,1486512000,34.75,35.48,34.48,35.39,516300
2017-02-09,1486598400,35.4,36.45,35.3,36.03,761100
2017-02-10,1486684800,36.07,36.72,36.07,36.57,519900
2017-02-13,1486944000,36.79,36.86,35.7,36.15,529100
2017-02-14,1487030400,36.09,36.49,35.76,35.9,372600
2017-02-15,1487116800,35.73,36.43,35.54,36.34,364300
2017-02-16,1487203200,36.25,36.87,35.95,36.87,588400
2017-02-17,1487289600,36.85,37.3,36.54,37.21,619200
2017-02-21,1487635200,37.33,37.65,37.3,37.48,646100
2017-02-22,1487721600,37.12,37.43,36.83,37.01,493600
2017-02-23,1487808000,37.03,37.33,36.27,36.61,798500
2017-02-24,1487894400,36.44,36.83,35.73,35.92,1110900
2017-02-27,1488153600,35.81,36.77,35.64,36.75,697300
2017-02-28,1488240000,36.67,36.67,35.77,35.83,656500
2017-03-01,1488326400,36.1,36.75,35.23,36.12,1991500
2017-03-02,1488412800,34.75,35.99,34.39,35.17,2710500
2017-03-03,1488499200,34.9,35.0,32.78,32.97,2030300
2017-03-06,1488758400,32.69,32.79,31.86,32.19,1294000
2017-03-07,1488844800,32.09,32.6,31.42,32.57,1315500
2017-03-08,1488931200,32.39,32.41,31.67,31.7,897600
2017-03-09,1489017600,31.7,31.74,31.16,31.37,739100
2017-03-10,1489104000,31.65,31.78,31.09,31.42,586400
2017-03-13,1489363200,31.46,31.46,30.39,31.15,1223100
2017-03-14,1489449600,31.11,31.11,30.47,30.72,494500
2017-03-15,1489536000,30.79,30.91,30.36,30.85,638100
2017-03-16,1489622400,30.97,31.15,30.7,31.07,498400
2017-03-17,1489708800,31.25,32.61,31.25,32.45,1311300
2017-03-20,1489968000,33.0,33.33,32.01,32.25,854200
2017-03-21,1490054400,32.49,32.51,31.88,32.1,513100
2017-03-22,1490140800,31.93,32.2,31.68,32.02,363200
2017-03-23,1490227200,32.09,32.62,32.04,32.24,327900
2017-03-24,1490313600,32.29,32.49,31.94,32.34,378400
2017-03-27,1490572800,32.0,32.45,31.94,32.3,361200
2017-03-28,1490659200,32.36,33.06,32.15,33.03,391200
2017-03-29,1490745600,33.03,33.77,33.03,33.42,407500
2017-03-30,1490832000,33.37,33.55,33.11,33.44,230400
2017-03-31,1490918400,33.35,33.72,33.24,33.4,293700
2017-04-03,1491177600,33.49,33.84,33.26,33.44,465300
2017-04-04,1491264000,33.4,33.55,32.99,33.13,285700
2017-04-05,1491350400,32.3,33.51,32.3,32.45,644900
2017-04-06,1491436800,32.51,33.06,32.33,32.98,367200
2017-04-07,1491523200,32.95,32.98,32.47,32.55,295000
2017-04-10,1491782400,32.63,33.11,32.36,32.95,637600
2017-04-11,1491868800,32.93,33.51,32.6,33.5,519100
2017-04-12,1491955200,33.45,33.54,32.7,32.77,396900
2017-04-13,1492041600,32.75,33.07,32.71,32.92,237800
2017-04-17,1492387200,32.92,33.25,32.35,32.62,469100
2017-04-18,1492473600,32.64,32.84,32.07,32.81,637600
2017-04-19,1492560000,32.83,33.3,32.56,32.93,439600
2017-04-20,1492646400,33.04,34.25,32.96,34.0,771700
2017-04-21,1492732800,33.96,34.07,33.42,33.49,393600
2017-04-24,1492992000,33.95,34.15,33.36,33.94,379600
2017-04-25,1493078400,34.13,34.5,33.59,34.47,649800
2017-04-26,1493164800,34.43,34.6,34.07,34.44,407900
2017-04-27,1493251200,34.51,34.74,34.0,34.35,359100
2017-04-28,1493337600,34.43,34.55,33.16,33.94,582200
2017-05-01,1493596800,34.01,34.51,34.01,34.13,500000
2017-05-02,1493683200,34.23,34.54,33.99,34.12,745300
2017-05-03,1493769600,34.01,34.17,33.29,34.03,858800
2017-05-04,1493856000,33.88,33.99,32.4,33.12,2922200
2017-05-05,1493942400,34.4,36.25,34.25,36.17,5594800
2017-05-08,1494201600,36.12,36.67,35.36,36.24,1479000
2017-05-09,1494288000,36.07,36.82,36.07,36.73,936900
2017-05-10,1494374400,36.73,36.86,36.15,36.38,927600
2017-05-11,1494460800,36.21,36.97,35.86,36.65,796700
2017-05-12,1494547200,36.51,36.87,36.05,36.1,1224300
2017-05-15,1494806400,36.19,36.37,35.29,35.45,790800
2017-05-16,1494892800,35.36,36.2,35.29,36.13,821100
2017-05-17,1494979200,36.13,36.83,35.62,36.65,1017700
2017-05-18,1495065600,37.46,38.14,37.2,38.04,1533700
2017-05-19,1495152000,38.0,38.04,37.45,37.8,970800
2017-05-22,1495411200,37.84,38.28,37.81,37.9,525300
2017-05-23,1495497600,37.89,37.94,36.95,37.03,724100
2017-05-24,1495584000,37.61,38.0,37.25,37.89,732500
2017-05-25,1495670400,37.93,38.24,37.81,37.86,589600
2017-05-26,1495756800,37.78,37.86,37.36,37.56,313800
2017-05-30,1496102400,37.6,37.6,36.75,36.9,655200
2017-05-31,1496188800,36.87,37.05,36.09,37.02,742900
2017-06-01,1496275200,37.24,37.61,37.11,37.6,808900
2017-06-02,1496361600,37.65,37.98,37.49,37.77,553700
2017-06-05,1496620800,37.73,37.92,37.33,37.44,337700
2017-06-06,1496707200,37.33,38.16,37.08,37.73,546600
2017-06-07,1496793600,37.8,38.11,37.68,37.94,442400
2017-06-08,1496880000,37.95,39.57,37.55,39.18,1127300
2017-06-09,1496966400,39.18,39.52,38.46,39.25,922500
2017-06-12,1497225600,39.04,39.4,38.54,38.91,734400
2017-06-13,1497312000,38.81,38.81,38.14,38.4,677100
2017-06-14,1497398400,38.5,38.55,37.44,37.56,772900
