Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,16.88,18.25,16.6,17.67,382400
2017-01-04,1483488000,17.73,18.47,17.52,18.35,227900
2017-01-05,1483574400,18.31,19.02,18.13,18.87,264200
2017-01-06,1483660800,18.87,18.99,17.73,17.83,146000
2017-01-09,1483920000,17.79,17.83,16.94,17.12,334000
2017-01-10,1484006400,17.03,17.14,16.3,17.09,295600
2017-01-11,1484092800,17.12,17.61,16.82,16.91,177200
2017-01-12,1484179200,16.88,17.0,16.17,16.76,193400
2017-01-13,1484265600,16.79,16.97,16.42,16.6,208400
2017-01-17,1484611200,16.57,16.76,16.2,16.39,173700
2017-01-18,1484697600,16.39,16.72,15.98,16.14,215400
2017-01-19,1484784000,16.14,16.24,15.84,15.99,139800
2017-01-20,1484870400,15.99,16.2,15.99,16.05,112300
2017-01-23,1485129600,16.02,16.36,16.02,16.33,78000
2017-01-24,1485216000,16.36,16.66,16.05,16.48,213400
2017-01-25,1485302400,16.66,16.69,16.33,16.54,108100
2017-01-26,1485388800,16.51,16.79,16.39,16.76,85200
2017-01-27,1485475200,16.82,17.15,16.57,17.09,142800
2017-01-30,1485734400,17.0,17.12,16.82,16.91,171900
2017-01-31,1485820800,16.82,17.09,16.6,16.66,146000
2017-02-01,1485907200,16.76,16.94,15.5,16.08,440800
2017-02-02,1485993600,16.11,16.51,16.05,16.39,189100
2017-02-03,1486080000,16.54,16.82,16.36,16.69,178100
2017-02-06,1486339200,16.69,16.69,16.36,16.39,179800
2017-02-07,1486425600,16.45,16.48,16.27,16.36,154600
2017-02-08,1486512000,16.27,16.63,15.96,16.08,120300
2017-02-09,1486598400,16.14,16.36,16.14,16.33,95100
2017-02-10,1486684800,16.36,16.94,16.2,16.91,93700
2017-02-13,1486944000,16.97,17.05,16.69,16.82,95800
2017-02-14,1487030400,16.72,17.0,16.6,16.97,117300
2017-02-15,1487116800,16.97,17.09,16.85,17.06,103200
2017-02-16,1487203200,17.03,17.55,17.02,17.4,149600
2017-02-17,1487289600,17.49,17.73,17.28,17.73,157000
2017-02-21,1487635200,17.79,18.04,17.4,17.61,136600
2017-02-22,1487721600,17.61,18.28,17.55,18.25,174000
2017-02-23,1487808000,18.28,18.31,17.97,18.13,98400
2017-02-24,1487894400,18.01,18.19,17.64,17.79,158900
2017-02-27,1488153600,17.79,17.95,17.46,17.76,206900
2017-02-28,1488240000,17.73,17.73,16.97,17.18,332600
2017-03-01,1488326400,17.4,17.52,17.12,17.28,192300
2017-03-02,1488412800,17.24,17.24,16.66,16.79,120400
2017-03-03,1488499200,16.79,16.94,16.05,16.42,196500
2017-03-06,1488758400,16.27,17.14,16.08,16.24,194800
2017-03-07,1488844800,16.24,16.48,15.62,15.81,242900
2017-03-08,1488931200,15.87,16.02,15.59,15.9,200600
2017-03-09,1489017600,15.87,15.96,15.69,15.87,126200
2017-03-10,1489104000,15.99,16.05,15.78,15.99,128600
2017-03-13,1489363200,15.96,16.51,15.96,16.48,93800
2017-03-14,1489449600,16.36,16.85,16.11,16.3,130800
2017-03-15,1489536000,16.39,16.79,16.18,16.72,122300
2017-03-16,1489622400,16.82,17.21,16.6,17.15,151700
2017-03-17,1489708800,16.24,17.15,16.17,16.51,670800
2017-03-20,1489968000,16.2,17.6,16.14,17.28,321600
2017-03-21,1490054400,17.4,17.49,16.96,17.03,223200
2017-03-22,1490140800,16.97,17.4,16.71,16.91,201000
2017-03-23,1490227200,16.91,17.83,16.79,17.49,237700
2017-03-24,1490313600,17.58,18.04,16.85,17.64,365100
2017-03-27,1490572800,17.49,17.81,16.94,17.06,223700
2017-03-28,1490659200,17.0,17.28,16.79,17.14,177800
2017-03-29,1490745600,17.09,17.34,17.06,17.24,124200
2017-03-30,1490832000,17.21,17.4,17.09,17.37,86900
2017-03-31,1490918400,17.28,17.55,17.06,17.15,196200
2017-04-03,1491177600,17.18,17.21,16.68,16.76,156300
2017-04-04,1491264000,16.76,17.31,16.76,17.31,155200
2017-04-05,1491350400,17.34,17.73,17.0,17.64,276900
2017-04-06,1491436800,17.58,17.61,17.21,17.61,227100
2017-04-07,1491523200,17.55,17.89,17.21,17.86,183400
