Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,50.67,51.05,50.5,50.89,507800
2017-01-04,1483488000,50.93,51.58,50.83,50.85,1016200
2017-01-05,1483574400,51.07,51.58,50.94,51.35,915900
2017-01-06,1483660800,51.49,51.83,51.14,51.37,597500
2017-01-09,1483920000,51.48,51.52,51.08,51.18,264600
2017-01-10,1484006400,51.45,51.95,51.13,51.42,705100
2017-01-11,1484092800,51.24,51.67,51.11,51.63,445000
2017-01-12,1484179200,51.6,51.69,51.11,51.33,406800
2017-01-13,1484265600,51.49,51.58,51.08,51.35,358100
2017-01-17,1484611200,51.23,51.44,51.11,51.28,424400
2017-01-18,1484697600,51.44,51.73,51.22,51.36,367300
2017-01-19,1484784000,51.27,51.39,50.82,50.95,469900
2017-01-20,1484870400,50.9,51.37,50.89,51.3,459600
2017-01-23,1485129600,51.05,51.72,50.91,51.6,432500
2017-01-24,1485216000,51.6,52.02,51.5,51.9,420100
2017-01-25,1485302400,52.03,52.38,51.5,51.51,484600
2017-01-26,1485388800,51.57,51.94,50.92,51.55,1001500
2017-01-27,1485475200,51.51,51.61,51.1,51.27,264000
2017-01-30,1485734400,51.18,51.29,50.39,50.55,695500
2017-01-31,1485820800,50.58,50.67,50.35,50.49,396700
2017-02-01,1485907200,50.39,51.18,50.33,51.14,723900
2017-02-02,1485993600,51.32,51.46,50.99,51.28,717500
2017-02-03,1486080000,51.34,51.5,51.05,51.43,368600
2017-02-06,1486339200,51.3,51.54,51.11,51.33,1273300
2017-02-07,1486425600,51.19,51.42,50.61,50.72,919400
2017-02-08,1486512000,50.94,52.56,50.69,51.52,1807100
2017-02-09,1486598400,51.67,52.06,51.1,51.25,589500
2017-02-10,1486684800,51.28,51.51,51.07,51.27,416400
2017-02-13,1486944000,51.46,51.71,50.9,51.09,400900
2017-02-14,1487030400,51.03,51.66,50.87,51.61,1080600
2017-02-15,1487116800,51.37,52.3,51.35,52.23,603800
2017-02-16,1487203200,52.5,52.61,52.17,52.36,668400
2017-02-17,1487289600,52.28,52.5,51.84,52.24,346700
2017-02-21,1487635200,52.24,52.33,51.72,51.83,1034800
2017-02-22,1487721600,52.54,53.07,49.7,50.06,1807600
2017-02-23,1487808000,50.58,50.66,49.84,50.3,1137400
2017-02-24,1487894400,50.27,50.39,49.06,50.28,1351300
2017-02-27,1488153600,50.25,51.54,50.05,51.41,1445200
2017-02-28,1488240000,51.42,52.23,51.39,51.92,1119700
2017-03-01,1488326400,52.42,52.43,50.99,51.27,1062000
2017-03-02,1488412800,51.1,51.53,50.81,51.21,601700
2017-03-03,1488499200,51.22,51.22,50.27,50.67,1629100
2017-03-06,1488758400,50.55,51.4,50.26,51.26,1025100
