Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.62,15.71,15.59,15.7,266300
2017-01-04,1483488000,15.79,16.08,15.79,16.02,412600
2017-01-05,1483574400,16.01,16.19,16.01,16.07,310100
2017-01-06,1483660800,16.08,16.09,15.9,16.04,405800
2017-01-09,1483920000,16.29,16.46,16.04,16.34,667700
2017-01-10,1484006400,16.39,16.65,16.36,16.45,584700
2017-01-11,1484092800,16.48,16.76,16.39,16.7,605100
2017-01-12,1484179200,16.38,16.6,16.28,16.46,614200
2017-01-13,1484265600,16.48,16.65,16.4,16.59,386400
2017-01-17,1484611200,16.63,16.79,16.56,16.64,705200
2017-01-18,1484697600,16.59,16.62,16.31,16.32,424000
2017-01-19,1484784000,16.29,16.38,16.26,16.33,527600
2017-01-20,1484870400,16.32,16.38,16.22,16.3,517900
2017-01-23,1485129600,16.31,16.32,16.14,16.27,489900
2017-01-24,1485216000,16.31,16.56,16.23,16.54,397900
2017-01-25,1485302400,16.59,16.74,16.56,16.73,538600
2017-01-26,1485388800,16.72,16.85,16.7,16.84,419600
2017-01-27,1485475200,16.89,16.92,16.8,16.86,496200
2017-01-30,1485734400,16.86,16.88,16.71,16.84,707200
2017-01-31,1485820800,16.91,16.98,16.78,16.87,417800
2017-02-01,1485907200,16.82,16.84,16.71,16.81,375300
2017-02-02,1485993600,16.84,16.9,16.71,16.77,358800
2017-02-03,1486080000,16.83,16.91,16.77,16.89,226600
2017-02-06,1486339200,16.81,16.81,16.69,16.79,335900
2017-02-07,1486425600,16.73,16.81,16.68,16.78,387800
2017-02-08,1486512000,16.77,16.84,16.66,16.73,375600
2017-02-09,1486598400,16.76,16.84,16.66,16.68,369100
2017-02-10,1486684800,16.72,16.81,16.71,16.73,319300
2017-02-13,1486944000,16.79,16.82,16.72,16.78,246500
2017-02-14,1487030400,16.77,16.88,16.69,16.83,359700
2017-02-15,1487116800,16.74,16.82,16.5,16.79,470300
2017-02-16,1487203200,16.8,16.86,16.7,16.79,267500
2017-02-17,1487289600,16.75,16.83,16.72,16.77,377400
2017-02-21,1487635200,16.88,16.93,16.69,16.92,1558900
2017-02-22,1487721600,16.87,17.12,16.8,16.98,1181200
2017-02-23,1487808000,17.08,17.08,16.85,16.86,738700
2017-02-24,1487894400,16.83,16.85,16.57,16.64,701700
2017-02-27,1488153600,16.6,16.65,16.46,16.6,543900
2017-02-28,1488240000,16.57,16.58,16.31,16.33,533000
2017-03-01,1488326400,16.34,16.34,16.17,16.24,501600
2017-03-02,1488412800,16.19,16.32,16.17,16.26,436200
2017-03-03,1488499200,16.27,16.29,16.16,16.26,250900
2017-03-06,1488758400,16.21,16.28,16.14,16.24,243800
2017-03-07,1488844800,16.24,16.32,16.19,16.26,376900
2017-03-08,1488931200,16.24,16.25,16.06,16.09,353200
2017-03-09,1489017600,16.11,16.16,16.02,16.07,396600
2017-03-10,1489104000,16.16,16.21,15.99,16.19,428700
2017-03-13,1489363200,16.2,16.26,16.16,16.25,307200
2017-03-14,1489449600,16.17,16.22,16.0,16.02,343100
2017-03-15,1489536000,16.11,16.26,16.02,16.25,427000
2017-03-16,1489622400,16.29,16.32,16.11,16.17,362100
2017-03-17,1489708800,16.2,16.26,16.15,16.21,395800
2017-03-20,1489968000,16.23,16.26,16.03,16.03,347600
2017-03-21,1490054400,16.14,16.23,15.88,15.93,424200
2017-03-22,1490140800,15.9,16.01,15.84,16.0,464400
2017-03-23,1490227200,16.0,16.13,15.95,16.07,429100
2017-03-24,1490313600,16.0,16.18,15.97,16.06,414600
2017-03-27,1490572800,16.01,16.18,15.95,16.18,407700
2017-03-28,1490659200,16.18,16.36,16.13,16.32,690100
2017-03-29,1490745600,16.33,16.34,16.19,16.33,355200
2017-03-30,1490832000,16.36,16.4,16.26,16.32,322600
2017-03-31,1490918400,16.34,16.35,16.25,16.3,257200
2017-04-03,1491177600,16.18,16.36,16.17,16.34,499900
2017-04-04,1491264000,16.28,16.36,16.22,16.33,364600
2017-04-05,1491350400,16.37,16.4,16.19,16.2,360200
2017-04-06,1491436800,16.07,16.22,16.04,16.15,483900
2017-04-07,1491523200,16.18,16.34,16.11,16.3,427300
2017-04-10,1491782400,16.36,16.47,16.32,16.44,473600
2017-04-11,1491868800,16.4,16.45,16.08,16.28,591200
2017-04-12,1491955200,16.75,17.13,16.72,17.13,1338700
2017-04-13,1492041600,17.13,17.14,16.81,16.82,765700
2017-04-17,1492387200,16.85,17.02,16.83,16.94,703000
2017-04-18,1492473600,16.84,16.91,16.61,16.78,632300
2017-04-19,1492560000,16.82,16.82,16.68,16.72,379300
2017-04-20,1492646400,16.72,16.79,16.67,16.74,431500
2017-04-21,1492732800,16.72,16.72,16.61,16.62,764300
2017-04-24,1492992000,16.72,16.74,16.61,16.64,318300
2017-04-25,1493078400,16.59,16.68,16.57,16.67,600300
2017-04-26,1493164800,16.7,16.83,16.61,16.76,442500
2017-04-27,1493251200,16.79,16.88,16.65,16.82,558500
2017-04-28,1493337600,16.79,16.79,16.65,16.75,351600
2017-05-01,1493596800,16.68,16.94,16.64,16.76,626100
2017-05-02,1493683200,16.74,16.96,16.71,16.95,609300
2017-05-03,1493769600,16.96,16.96,16.71,16.75,442700
2017-05-04,1493856000,16.71,16.75,16.6,16.61,443100
2017-05-05,1493942400,16.61,16.88,16.61,16.83,436900
2017-05-08,1494201600,16.82,16.91,16.75,16.87,411300
2017-05-09,1494288000,16.84,16.84,16.67,16.76,349900
2017-05-10,1494374400,16.79,16.87,16.74,16.82,308700
2017-05-11,1494460800,16.73,16.73,16.54,16.61,590300
2017-05-12,1494547200,16.57,16.63,16.51,16.6,260000
2017-05-15,1494806400,16.76,16.8,16.65,16.69,348300
2017-05-16,1494892800,16.7,16.81,16.6,16.65,433200
2017-05-17,1494979200,16.55,16.55,16.38,16.41,381800
2017-05-18,1495065600,16.4,16.64,16.36,16.53,352500
2017-05-19,1495152000,16.6,16.79,16.53,16.79,287000
2017-05-22,1495411200,16.81,16.93,16.79,16.84,151500
2017-05-23,1495497600,16.82,16.91,16.74,16.76,584600
2017-05-24,1495584000,16.73,16.96,16.73,16.95,463700
2017-05-25,1495670400,16.99,17.01,16.8,16.88,302400
2017-05-26,1495756800,16.88,16.9,16.78,16.82,531800
2017-05-30,1496102400,16.8,17.02,16.8,16.97,304100
2017-05-31,1496188800,16.96,16.99,16.86,16.94,757600
2017-06-01,1496275200,16.95,17.07,16.92,17.0,443200
2017-06-02,1496361600,17.01,17.1,16.98,17.03,446900
2017-06-05,1496620800,17.03,17.18,16.88,17.11,462700
2017-06-06,1496707200,17.06,17.16,17.03,17.11,290600
2017-06-07,1496793600,17.1,17.18,16.88,16.91,414500
2017-06-08,1496880000,16.88,16.96,16.81,16.88,284100
2017-06-09,1496966400,16.91,17.02,16.79,16.92,346500
2017-06-12,1497225600,16.92,17.03,16.86,17.03,627100
2017-06-13,1497312000,17.57,17.93,17.42,17.67,906400
2017-06-14,1497398400,17.78,18.29,17.75,18.13,1157600
2017-06-15,1497484800,17.93,18.08,17.82,17.97,627900
2017-06-16,1497571200,18.02,18.13,17.98,18.12,480300
2017-06-19,1497830400,18.08,18.28,18.01,18.19,379900
2017-06-20,1497916800,18.09,18.19,17.98,18.09,479200
2017-06-21,1498003200,18.04,18.13,17.97,18.05,417700
2017-06-22,1498089600,18.1,18.17,18.04,18.13,450100
2017-06-23,1498176000,18.03,18.2,17.98,18.16,420800
2017-06-26,1498435200,18.17,18.26,18.09,18.13,496900
2017-06-27,1498521600,18.17,18.36,18.13,18.26,1043300
2017-06-28,1498608000,18.37,18.53,18.21,18.39,1463600
2017-06-29,1498694400,18.39,18.4,17.43,17.5,1172600
2017-06-30,1498780800,17.54,17.56,17.1,17.32,1076400
2017-07-03,1499040000,17.3,17.37,17.16,17.18,156900
2017-07-05,1499212800,17.18,17.18,17.04,17.06,829800
2017-07-06,1499299200,17.06,17.08,16.94,17.04,808400
2017-07-07,1499385600,17.11,17.3,17.02,17.24,738800
2017-07-10,1499644800,17.24,17.34,17.11,17.11,553700
2017-07-11,1499731200,17.08,17.1,16.97,17.01,603900
2017-07-12,1499817600,17.09,17.39,17.08,17.29,622900
2017-07-13,1499904000,17.27,17.29,17.22,17.27,556900
2017-07-14,1499990400,17.31,17.51,17.31,17.44,446200
2017-07-17,1500249600,17.4,17.46,17.35,17.41,388700
2017-07-18,1500336000,17.43,17.52,17.37,17.49,609100
2017-07-19,1500422400,17.58,17.77,17.58,17.66,407400
2017-07-20,1500508800,17.61,17.74,17.57,17.65,429500
2017-07-21,1500595200,17.67,17.71,17.55,17.7,350900
2017-07-24,1500854400,17.71,17.85,17.61,17.76,462500
2017-07-25,1500940800,17.86,17.86,17.58,17.66,469500
2017-07-26,1501027200,17.65,17.78,17.62,17.68,482000
2017-07-27,1501113600,17.73,17.74,17.53,17.64,460500
2017-07-28,1501200000,17.68,17.78,17.67,17.7,310400
2017-07-31,1501459200,17.71,17.81,17.57,17.77,530500
2017-08-01,1501545600,17.77,17.82,17.6,17.67,273000
2017-08-02,1501632000,17.58,17.73,17.55,17.7,509900
2017-08-03,1501718400,17.7,17.72,17.46,17.48,616500
2017-08-04,1501804800,17.47,17.5,17.35,17.39,390500
2017-08-07,1502064000,17.37,17.44,17.31,17.43,223000
2017-08-08,1502150400,17.46,17.51,17.29,17.39,703700
2017-08-09,1502236800,17.29,17.4,17.27,17.32,323000
2017-08-10,1502323200,17.31,17.36,17.27,17.31,433500
2017-08-11,1502409600,17.21,17.66,17.21,17.62,671700
2017-08-14,1502668800,17.64,17.77,17.6,17.62,439800
2017-08-15,1502755200,17.62,17.65,17.5,17.54,341600
2017-08-16,1502841600,17.55,17.69,17.5,17.66,404000
2017-08-17,1502928000,17.62,17.75,17.54,17.55,321700
2017-08-18,1503014400,17.63,17.69,17.54,17.55,555100
2017-08-21,1503273600,17.56,17.7,17.51,17.63,394600
2017-08-22,1503360000,17.67,17.72,17.58,17.58,262800
2017-08-23,1503446400,17.53,17.66,17.52,17.61,453300
2017-08-24,1503532800,17.66,17.7,17.6,17.61,309800
2017-08-25,1503619200,17.67,17.74,17.61,17.7,202300
2017-08-28,1503878400,17.71,17.75,17.61,17.63,338800
2017-08-29,1503964800,17.59,17.68,17.56,17.67,324500
2017-08-30,1504051200,17.62,17.82,17.58,17.77,313500
2017-08-31,1504137600,17.81,17.87,17.7,17.86,328800
2017-09-01,1504224000,17.94,18.06,17.9,18.04,271700
2017-09-05,1504569600,18.03,18.06,17.87,17.94,410100
2017-09-06,1504656000,17.9,18.22,17.89,18.06,319800
2017-09-07,1504742400,18.14,18.38,18.12,18.17,626100
2017-09-08,1504828800,18.14,18.28,18.11,18.18,636900
2017-09-11,1505088000,18.22,18.32,18.18,18.24,377900
2017-09-12,1505174400,18.26,18.33,18.2,18.2,263400
2017-09-13,1505260800,18.28,18.3,18.12,18.15,482000
2017-09-14,1505347200,18.15,18.29,18.15,18.26,397000
2017-09-15,1505433600,18.3,18.36,18.24,18.35,578100
2017-09-18,1505692800,18.33,18.36,18.15,18.25,362100
2017-09-19,1505779200,18.28,18.44,18.26,18.39,378100
2017-09-20,1505865600,18.43,18.64,18.37,18.48,300700
2017-09-21,1505952000,18.47,18.61,18.43,18.57,258700
2017-09-22,1506038400,18.62,18.81,18.61,18.69,356400
2017-09-25,1506297600,18.71,18.72,18.61,18.63,312200
2017-09-26,1506384000,18.64,18.64,18.47,18.55,346800
2017-09-27,1506470400,18.54,18.68,18.53,18.62,403400
2017-09-28,1506556800,18.58,18.68,18.57,18.64,370400
2017-09-29,1506643200,18.64,18.67,18.44,18.57,381800
2017-10-02,1506902400,18.58,18.63,18.47,18.53,301100
2017-10-03,1506988800,18.56,18.68,18.55,18.65,263500
2017-10-04,1507075200,18.68,18.74,18.62,18.66,392600
2017-10-05,1507161600,18.58,18.63,18.39,18.43,380200
2017-10-06,1507248000,18.43,18.46,18.34,18.43,345900
2017-10-09,1507507200,18.45,18.49,18.37,18.37,147600
2017-10-10,1507593600,18.5,18.57,18.43,18.55,403300
2017-10-11,1507680000,18.63,18.66,18.49,18.61,348900
2017-10-12,1507766400,18.3,18.41,17.89,17.93,1009200
2017-10-13,1507852800,17.94,17.94,17.66,17.77,552100
2017-10-16,1508112000,17.77,17.89,17.58,17.89,461800
2017-10-17,1508198400,17.89,18.02,17.82,17.98,443300
2017-10-18,1508284800,18.03,18.05,17.79,17.88,453700
2017-10-19,1508371200,17.82,17.88,17.7,17.77,500800
2017-10-20,1508457600,17.71,17.73,17.61,17.67,401700
2017-10-23,1508716800,17.71,17.74,17.64,17.66,388600
2017-10-24,1508803200,17.7,17.7,17.45,17.49,572300
2017-10-25,1508889600,17.47,17.56,17.19,17.29,1138300
2017-10-26,1508976000,17.5,17.5,16.8,17.41,1125900
2017-10-27,1509062400,17.46,18.11,17.37,17.95,1174100
2017-10-30,1509321600,17.98,18.39,17.95,18.37,862500
2017-10-31,1509408000,18.31,18.79,18.28,18.58,1374600
2017-11-01,1509494400,18.48,18.68,18.35,18.65,976700
2017-11-02,1509580800,18.72,18.93,18.66,18.82,823700
2017-11-03,1509667200,18.85,18.85,18.63,18.69,724100
2017-11-06,1509926400,18.62,18.64,18.33,18.58,1135600
2017-11-07,1510012800,18.52,18.59,18.39,18.4,662100
2017-11-08,1510099200,18.46,18.51,18.25,18.3,533700
2017-11-09,1510185600,18.24,18.67,18.11,18.5,536900
2017-11-10,1510272000,18.53,18.57,18.37,18.55,718800
2017-11-13,1510531200,18.56,18.58,18.42,18.51,481500
2017-11-14,1510617600,18.48,18.53,18.33,18.39,609600
2017-11-15,1510704000,18.32,18.32,18.09,18.2,509200
2017-11-16,1510790400,18.26,18.29,18.03,18.05,789300
2017-11-17,1510876800,18.03,18.2,17.95,18.18,342300
2017-11-20,1511136000,18.14,18.35,18.13,18.2,554800
2017-11-21,1511222400,18.21,18.35,18.2,18.27,534600
2017-11-22,1511308800,18.3,18.41,18.13,18.21,588100
2017-11-24,1511481600,18.2,18.32,18.16,18.29,260600
2017-11-27,1511740800,18.32,18.33,18.19,18.22,328800
2017-11-28,1511827200,18.24,18.24,18.07,18.17,283100
2017-11-29,1511913600,18.18,18.53,18.13,18.49,607800
2017-11-30,1512000000,18.45,18.55,18.12,18.27,1022200
