Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,35.89,36.34,34.83,35.51,401800
2017-01-04,1483488000,35.8,36.82,35.26,36.38,381900
2017-01-05,1483574400,36.14,36.38,35.51,35.55,272200
2017-01-06,1483660800,35.65,35.85,34.96,35.17,205700
2017-01-09,1483920000,34.92,35.26,34.49,34.63,311900
2017-01-10,1484006400,34.78,35.8,34.58,35.51,386400
2017-01-11,1484092800,35.51,35.94,35.21,35.75,304800
2017-01-12,1484179200,34.97,35.75,34.87,35.31,270200
2017-01-13,1484265600,35.46,35.99,35.41,35.94,219200
2017-01-17,1484611200,35.85,36.43,35.07,35.21,262100
2017-01-18,1484697600,35.12,35.7,34.92,35.7,222700
2017-01-19,1484784000,35.85,35.93,34.92,35.26,229300
2017-01-20,1484870400,35.31,36.09,35.21,35.8,264200
2017-01-23,1485129600,35.75,35.94,34.78,35.12,261100
2017-01-24,1485216000,35.21,35.85,34.97,35.51,201500
2017-01-25,1485302400,35.89,36.17,35.31,35.6,279400
2017-01-26,1485388800,35.46,36.38,35.17,35.89,267000
2017-01-27,1485475200,35.94,36.04,35.41,35.55,195500
2017-01-30,1485734400,35.12,35.15,33.42,34.0,434700
2017-01-31,1485820800,33.76,34.49,33.51,34.39,385100
2017-02-01,1485907200,34.63,35.46,34.58,35.17,339200
2017-02-02,1485993600,34.87,35.89,34.44,35.75,594100
2017-02-03,1486080000,36.04,36.14,30.17,33.54,1922500
2017-02-06,1486339200,33.17,33.9,32.49,32.54,604400
2017-02-07,1486425600,32.54,32.98,31.7,31.81,399400
2017-02-08,1486512000,31.67,32.59,31.02,32.35,435700
2017-02-09,1486598400,32.59,35.07,32.59,34.49,603700
2017-02-10,1486684800,34.78,35.46,34.58,35.21,328900
2017-02-13,1486944000,35.36,35.58,34.24,34.53,281500
2017-02-14,1487030400,34.29,34.68,33.83,34.05,242500
2017-02-15,1487116800,33.95,35.6,33.81,35.26,402500
2017-02-16,1487203200,35.31,35.46,34.15,34.58,209500
2017-02-17,1487289600,34.49,34.68,33.95,34.68,253000
2017-02-21,1487635200,34.78,35.24,34.49,35.07,182200
2017-02-22,1487721600,34.83,35.21,34.49,35.07,174300
2017-02-23,1487808000,35.12,35.36,34.19,34.29,283300
2017-02-24,1487894400,34.0,34.53,33.9,34.44,199500
2017-02-27,1488153600,34.39,34.97,33.9,34.83,333600
2017-02-28,1488240000,34.63,34.92,33.85,34.15,517000
2017-03-01,1488326400,34.58,36.62,34.27,35.8,570100
2017-03-02,1488412800,35.65,35.8,34.53,34.63,328700
2017-03-03,1488499200,34.73,35.02,34.24,34.87,189100
2017-03-06,1488758400,34.44,34.73,33.92,34.63,218500
2017-03-07,1488844800,34.53,34.68,33.81,33.81,271700
2017-03-08,1488931200,33.9,33.99,33.17,33.61,232500
2017-03-09,1489017600,33.51,34.01,33.32,33.9,324700
2017-03-10,1489104000,34.15,35.02,34.0,34.78,427100
2017-03-13,1489363200,34.63,35.17,34.05,34.39,284600
2017-03-14,1489449600,34.29,34.29,33.22,34.05,430200
2017-03-15,1489536000,34.1,35.8,33.39,35.51,498000
2017-03-16,1489622400,35.8,35.89,35.0,35.75,320800
2017-03-17,1489708800,35.36,35.7,34.97,34.97,729300
2017-03-20,1489968000,35.02,35.46,34.68,34.83,206800
2017-03-21,1490054400,34.83,34.83,33.71,33.9,407900
2017-03-22,1490140800,33.81,33.95,33.17,33.85,338900
2017-03-23,1490227200,33.85,34.34,33.76,34.24,218700
2017-03-24,1490313600,34.24,34.68,33.9,34.49,411000
2017-03-27,1490572800,33.66,34.15,33.34,33.9,246500
2017-03-28,1490659200,33.71,33.95,33.08,33.81,304500
2017-03-29,1490745600,33.59,33.74,32.81,32.96,231300
2017-03-30,1490832000,32.91,33.35,32.76,32.96,374700
2017-03-31,1490918400,32.81,33.93,32.81,33.35,667500
2017-04-03,1491177600,33.3,33.4,32.37,32.91,290400
2017-04-04,1491264000,32.81,33.06,31.89,32.08,266700
2017-04-05,1491350400,32.23,32.37,30.96,31.06,342200
2017-04-06,1491436800,31.01,31.16,30.67,30.86,273300
2017-04-07,1491523200,30.67,31.06,29.99,30.33,548000
2017-04-10,1491782400,30.33,31.3,30.13,30.96,404400
2017-04-11,1491868800,30.86,31.55,30.38,31.16,383600
2017-04-12,1491955200,31.11,31.11,29.6,29.6,400700
2017-04-13,1492041600,30.96,32.52,30.51,32.18,1281700
2017-04-17,1492387200,32.28,32.3,31.01,31.64,523700
2017-04-18,1492473600,31.45,32.18,31.04,32.03,378400
2017-04-19,1492560000,32.33,33.44,32.33,33.1,422300
2017-04-20,1492646400,33.3,34.03,33.3,33.79,369500
2017-04-21,1492732800,33.83,33.98,33.35,33.4,448800
2017-04-24,1492992000,34.03,34.47,33.83,33.98,367300
2017-04-25,1493078400,34.27,35.15,34.08,34.86,373900
2017-04-26,1493164800,34.76,35.34,34.49,34.91,409000
2017-04-27,1493251200,34.91,34.91,33.88,33.93,534400
2017-04-28,1493337600,36.03,38.8,35.25,36.22,1051400
2017-05-01,1493596800,36.51,36.61,35.64,36.07,509700
2017-05-02,1493683200,36.12,36.51,35.91,36.17,328000
2017-05-03,1493769600,35.98,36.12,35.51,35.98,260200
2017-05-04,1493856000,36.22,36.37,35.25,35.39,182800
2017-05-05,1493942400,35.54,35.83,34.91,35.39,247600
2017-05-08,1494201600,35.29,35.59,34.55,34.76,246800
2017-05-09,1494288000,34.95,35.39,34.86,34.91,315700
2017-05-10,1494374400,34.86,35.2,34.56,34.81,274900
2017-05-11,1494460800,34.52,35.05,33.98,34.76,210900
2017-05-12,1494547200,34.52,34.52,33.91,34.03,223600
2017-05-15,1494806400,34.03,34.95,34.03,34.56,195300
2017-05-16,1494892800,34.52,34.76,34.22,34.76,190300
2017-05-17,1494979200,34.18,34.22,33.01,33.01,325000
2017-05-18,1495065600,33.01,33.49,32.57,33.01,359900
2017-05-19,1495152000,33.06,33.74,33.06,33.54,225500
