Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,24.27,24.29,24.02,24.19,479000
2017-01-04,1483488000,24.2,24.68,24.2,24.64,512400
2017-01-05,1483574400,24.63,24.75,24.42,24.55,669800
2017-01-06,1483660800,24.61,24.66,24.41,24.6,512400
2017-01-09,1483920000,24.7,24.78,24.43,24.53,846200
2017-01-10,1484006400,24.53,24.76,24.49,24.59,616400
2017-01-11,1484092800,24.58,24.73,24.43,24.6,664800
2017-01-12,1484179200,24.53,25.04,24.39,25.01,924600
2017-01-13,1484265600,25.04,25.78,25.04,25.76,1424800
2017-01-17,1484611200,25.78,26.08,25.66,26.07,696400
2017-01-18,1484697600,26.08,26.19,25.92,26.12,929800
2017-01-19,1484784000,26.17,26.17,25.54,25.64,560600
2017-01-20,1484870400,25.7,25.86,25.61,25.72,513000
2017-01-23,1485129600,25.83,26.97,25.83,26.95,1569200
2017-01-24,1485216000,27.85,28.49,27.69,28.21,1923200
2017-01-25,1485302400,28.17,28.3,27.71,27.94,1143000
2017-01-26,1485388800,27.87,28.07,27.58,28.01,741600
2017-01-27,1485475200,28.07,28.09,27.85,28.07,569200
2017-01-30,1485734400,27.98,27.98,27.56,27.77,779000
2017-01-31,1485820800,27.72,27.72,27.3,27.47,903800
2017-02-01,1485907200,27.69,28.7,27.19,28.27,2179000
2017-02-02,1485993600,28.39,28.55,28.08,28.32,1471000
2017-02-03,1486080000,28.35,28.44,28.17,28.29,789200
2017-02-06,1486339200,28.3,28.5,28.02,28.23,691200
2017-02-07,1486425600,28.27,28.41,28.07,28.16,572400
2017-02-08,1486512000,28.05,28.52,27.89,28.38,382400
2017-02-09,1486598400,28.43,28.44,28.05,28.15,684400
2017-02-10,1486684800,28.34,28.48,28.08,28.36,499400
2017-02-13,1486944000,28.31,28.48,27.98,28.37,923800
2017-02-14,1487030400,28.34,28.57,28.24,28.52,401800
2017-02-15,1487116800,28.52,28.64,28.36,28.46,794200
2017-02-16,1487203200,28.46,28.55,28.35,28.41,514000
2017-02-17,1487289600,28.43,28.43,28.19,28.27,602600
2017-02-21,1487635200,28.2,28.59,27.68,28.56,486200
2017-02-22,1487721600,28.51,28.54,28.16,28.42,452800
2017-02-23,1487808000,28.47,28.5,28.22,28.26,596800
2017-02-24,1487894400,28.14,28.27,27.86,27.97,934600
2017-02-27,1488153600,27.96,28.24,27.92,28.04,512600
2017-02-28,1488240000,27.97,28.13,27.92,27.99,556800
2017-03-01,1488326400,28.35,28.69,28.22,28.6,800600
2017-03-02,1488412800,28.59,28.59,27.98,28.01,511800
2017-03-03,1488499200,28.02,28.46,27.49,28.36,653800
2017-03-06,1488758400,28.27,28.27,27.83,27.84,682400
2017-03-07,1488844800,27.75,27.84,27.49,27.56,523800
2017-03-08,1488931200,27.6,27.79,27.57,27.69,380400
2017-03-09,1489017600,27.61,27.74,27.41,27.59,366600
2017-03-10,1489104000,27.8,28.04,27.68,27.85,499800
2017-03-13,1489363200,27.85,28.18,27.84,28.15,437200
2017-03-14,1489449600,28.11,28.55,28.11,28.26,897200
2017-03-15,1489536000,28.39,28.73,28.33,28.67,516800
2017-03-16,1489622400,28.79,28.79,28.51,28.58,316200
2017-03-17,1489708800,28.62,28.91,28.54,28.82,1237000
2017-03-20,1489968000,28.9,28.95,28.65,28.83,532200
2017-03-21,1490054400,28.95,29.09,28.33,28.35,356800
2017-03-22,1490140800,28.28,28.51,28.28,28.39,394800
2017-03-23,1490227200,28.39,28.58,28.05,28.35,315200
2017-03-24,1490313600,28.35,28.48,27.98,28.09,379400
2017-03-27,1490572800,27.86,27.98,27.74,27.89,390000
2017-03-28,1490659200,27.89,28.14,27.71,28.03,490800
2017-03-29,1490745600,28.0,28.07,27.84,27.97,308000
2017-03-30,1490832000,27.95,28.14,27.88,27.94,469600
2017-03-31,1490918400,27.93,28.01,27.84,27.96,710200
2017-04-03,1491177600,28.06,28.11,27.72,27.8,382800
2017-04-04,1491264000,27.6,27.67,27.34,27.5,663000
2017-04-05,1491350400,27.52,27.57,27.13,27.17,1384400
2017-04-06,1491436800,27.19,27.99,27.15,27.46,504800
2017-04-07,1491523200,27.45,27.56,27.21,27.23,456400
2017-04-10,1491782400,27.29,27.54,27.23,27.4,422600
2017-04-11,1491868800,27.37,28.02,27.27,27.59,611400
2017-04-12,1491955200,27.51,27.61,27.37,27.46,580400
2017-04-13,1492041600,27.42,28.22,27.05,27.13,526000
2017-04-17,1492387200,27.23,27.56,27.22,27.52,219600
2017-04-18,1492473600,27.56,27.66,27.31,27.61,290200
2017-04-19,1492560000,27.79,28.0,27.76,27.99,410600
2017-04-20,1492646400,28.09,28.11,27.65,27.89,415600
2017-04-21,1492732800,27.99,28.07,27.54,27.82,527800
2017-04-24,1492992000,28.1,28.26,27.97,28.19,476400
2017-04-25,1493078400,28.26,28.39,28.0,28.31,654200
2017-04-26,1493164800,30.15,30.6,29.25,29.7,1514200
2017-04-27,1493251200,29.73,29.73,28.98,29.08,1159800
2017-04-28,1493337600,29.06,29.06,28.41,28.55,797200
2017-05-01,1493596800,28.73,28.85,28.62,28.7,462600
2017-05-02,1493683200,28.73,28.99,28.62,28.85,550600
2017-05-03,1493769600,28.73,28.81,28.21,28.64,409200
2017-05-04,1493856000,28.73,29.34,28.73,29.27,725200
2017-05-05,1493942400,29.27,29.27,29.04,29.11,415400
2017-05-08,1494201600,29.09,29.32,28.79,29.07,608600
2017-05-09,1494288000,29.22,29.22,28.26,29.03,436000
2017-05-10,1494374400,29.17,29.72,28.79,29.53,839800
2017-05-11,1494460800,29.59,30.46,29.1,29.32,563200
2017-05-12,1494547200,29.29,30.58,28.94,29.37,357800
2017-05-15,1494806400,29.33,30.11,29.06,29.12,704000
2017-05-16,1494892800,29.15,29.32,28.92,29.28,430000
2017-05-17,1494979200,29.03,29.19,28.84,28.98,583200
2017-05-18,1495065600,28.82,28.94,28.5,28.87,549800
2017-05-19,1495152000,28.93,29.23,28.79,29.05,909600
2017-05-22,1495411200,29.05,29.55,29.05,29.35,775000
2017-05-23,1495497600,29.44,29.57,29.4,29.46,294200
2017-05-24,1495584000,29.46,29.69,29.16,29.63,308200
2017-05-25,1495670400,29.69,29.93,29.63,29.8,316600
2017-05-26,1495756800,29.79,30.13,29.51,29.57,504000
2017-05-30,1496102400,29.59,29.88,29.41,29.73,503400
2017-05-31,1496188800,29.86,30.12,29.64,30.05,435600
2017-06-01,1496275200,30.09,30.68,30.08,30.67,486100
2017-06-02,1496361600,30.64,30.7,30.27,30.46,461700
2017-06-05,1496620800,30.31,30.5,29.89,29.91,305600
2017-06-06,1496707200,29.91,29.92,29.65,29.69,288000
2017-06-07,1496793600,29.74,29.99,29.52,29.92,413200
2017-06-08,1496880000,29.95,29.95,29.44,29.64,399400
2017-06-09,1496966400,29.67,30.09,29.52,29.82,400000
2017-06-12,1497225600,29.74,30.03,29.38,29.61,474000
2017-06-13,1497312000,29.71,29.97,29.54,29.96,344000
2017-06-14,1497398400,30.03,30.1,29.71,29.79,315500
2017-06-15,1497484800,29.49,29.94,29.26,29.86,415000
2017-06-16,1497571200,29.89,29.95,29.44,29.88,788700
2017-06-19,1497830400,29.98,30.23,29.39,30.14,282100
2017-06-20,1497916800,30.07,30.28,29.9,29.95,196300
2017-06-21,1498003200,29.98,30.28,29.87,29.98,319800
2017-06-22,1498089600,29.95,30.1,29.86,29.88,208200
2017-06-23,1498176000,29.86,29.95,29.48,29.6,906300
2017-06-26,1498435200,29.69,30.05,29.66,30.01,510700
2017-06-27,1498521600,30.01,30.09,29.81,29.86,368600
2017-06-28,1498608000,30.02,30.33,30.0,30.23,240600
2017-06-29,1498694400,30.22,30.35,29.68,29.97,334300
2017-06-30,1498780800,30.04,30.25,29.93,30.02,353600
2017-07-03,1499040000,30.26,30.59,30.16,30.22,181400
2017-07-05,1499212800,30.14,30.47,29.95,30.15,433500
2017-07-06,1499299200,29.86,30.24,29.84,30.14,422100
2017-07-07,1499385600,30.2,30.41,30.09,30.27,177700
2017-07-10,1499644800,30.28,30.42,30.07,30.25,303500
2017-07-11,1499731200,30.24,30.24,29.79,29.92,415200
2017-07-12,1499817600,30.28,30.63,30.18,30.37,429800
2017-07-13,1499904000,29.28,29.81,28.79,29.55,711700
2017-07-14,1499990400,29.59,30.0,29.57,29.75,409000
2017-07-17,1500249600,29.69,30.13,29.69,30.11,377000
2017-07-18,1500336000,30.12,30.31,29.97,30.26,306400
2017-07-19,1500422400,29.56,30.28,29.55,30.17,690000
2017-07-20,1500508800,30.13,30.42,29.84,30.03,791100
2017-07-21,1500595200,30.04,30.26,29.67,30.05,288300
2017-07-24,1500854400,30.06,30.16,29.82,30.0,202300
2017-07-25,1500940800,30.11,30.31,29.83,30.13,668000
2017-07-26,1501027200,30.08,30.38,29.3,29.61,781700
2017-07-27,1501113600,27.02,29.18,26.43,29.14,1247500
2017-07-28,1501200000,29.1,29.16,28.66,28.78,782900
2017-07-31,1501459200,28.75,28.93,28.38,28.62,556900
2017-08-01,1501545600,28.77,29.16,28.75,28.96,517600
2017-08-02,1501632000,28.83,28.91,28.49,28.84,566300
2017-08-03,1501718400,28.84,29.07,28.62,28.72,494800
2017-08-04,1501804800,28.81,29.05,28.65,28.75,306200
