Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,34.53,34.55,31.37,33.22,5113900
2017-01-04,1483488000,33.22,34.72,32.71,34.5,2878500
2017-01-05,1483574400,34.77,35.62,34.23,34.95,2103400
2017-01-06,1483660800,35.07,35.22,34.02,34.64,1406100
2017-01-09,1483920000,33.98,34.09,33.16,33.41,2712800
2017-01-10,1484006400,33.77,34.01,32.55,32.8,1811600
2017-01-11,1484092800,33.22,33.54,32.41,33.48,1836300
2017-01-12,1484179200,33.99,34.18,32.69,33.18,2009000
2017-01-13,1484265600,32.92,33.22,32.06,32.12,2221800
2017-01-17,1484611200,32.58,32.78,31.21,31.52,2845600
2017-01-18,1484697600,31.09,31.71,30.43,30.9,1825900
2017-01-19,1484784000,31.03,31.57,30.37,31.38,2080200
2017-01-20,1484870400,31.97,32.18,30.8,31.24,1900000
2017-01-23,1485129600,30.79,31.33,30.23,30.33,2332900
2017-01-24,1485216000,30.78,31.62,30.66,30.96,2178300
2017-01-25,1485302400,30.96,32.02,30.55,31.23,2417100
2017-01-26,1485388800,31.69,33.7,31.59,32.45,4182900
2017-01-27,1485475200,31.98,33.44,31.83,33.32,2872900
2017-01-30,1485734400,32.83,32.84,31.75,32.19,4374400
2017-01-31,1485820800,32.51,32.51,28.95,29.55,8909000
2017-02-01,1485907200,29.95,30.18,27.5,28.91,6899300
2017-02-02,1485993600,28.81,29.87,28.17,29.4,4055700
2017-02-03,1486080000,29.37,29.82,28.87,28.88,2210100
2017-02-06,1486339200,29.03,29.24,27.83,27.84,2669600
2017-02-07,1486425600,27.58,27.87,26.51,27.17,3766900
2017-02-08,1486512000,26.48,27.66,26.15,27.28,3488100
2017-02-09,1486598400,27.28,28.04,27.04,27.26,2198200
2017-02-10,1486684800,27.83,28.26,27.35,28.08,2162600
2017-02-13,1486944000,27.76,28.38,27.28,27.52,2018700
2017-02-14,1487030400,27.63,27.63,26.71,27.23,2382400
2017-02-15,1487116800,27.04,27.35,26.74,26.76,2513700
2017-02-16,1487203200,27.04,27.34,26.21,26.26,2356900
2017-02-17,1487289600,26.13,26.54,25.79,26.14,1962300
2017-02-21,1487635200,26.83,27.73,26.49,27.47,3864800
2017-02-22,1487721600,27.21,27.66,26.48,26.73,4940500
2017-02-23,1487808000,26.84,26.88,24.06,25.33,9241700
2017-02-24,1487894400,24.85,25.58,24.18,24.37,4088300
2017-02-27,1488153600,24.43,24.95,24.11,24.53,3064900
2017-02-28,1488240000,24.11,24.43,23.8,23.88,3945700
2017-03-01,1488326400,24.6,24.99,24.4,24.84,3175100
2017-03-02,1488412800,24.84,24.9,24.27,24.28,2159800
2017-03-03,1488499200,24.29,24.45,23.36,23.63,2844400
2017-03-06,1488758400,23.55,24.37,23.32,24.19,3211900
2017-03-07,1488844800,24.26,24.56,23.95,24.0,2202500
2017-03-08,1488931200,23.82,23.87,21.58,21.76,4496100
2017-03-09,1489017600,21.61,22.07,20.39,21.79,6194900
2017-03-10,1489104000,21.95,22.11,21.37,21.7,3162700
2017-03-13,1489363200,21.65,21.95,21.06,21.22,3994000
2017-03-14,1489449600,20.59,20.85,19.38,20.7,5066500
2017-03-15,1489536000,21.16,21.67,20.93,21.5,4584700
2017-03-16,1489622400,21.6,21.6,20.77,20.86,2985600
2017-03-17,1489708800,21.02,21.22,20.44,20.6,4551200
2017-03-20,1489968000,20.32,20.96,19.97,20.9,3033100
2017-03-21,1490054400,20.76,20.82,19.84,20.1,3145300
2017-03-22,1490140800,19.87,20.42,19.72,20.15,2706400
2017-03-23,1490227200,20.09,20.7,19.73,20.43,3157500
2017-03-24,1490313600,20.49,20.88,20.11,20.16,2641700
2017-03-27,1490572800,19.72,21.31,19.54,21.23,3757900
2017-03-28,1490659200,21.34,22.42,20.94,22.34,4339200
2017-03-29,1490745600,22.25,23.17,22.08,22.8,3894600
2017-03-30,1490832000,22.9,23.42,22.38,22.62,3110700
2017-03-31,1490918400,22.46,23.44,22.39,23.27,2812400
2017-04-03,1491177600,23.28,23.52,22.6,23.03,2165400
2017-04-04,1491264000,23.07,23.35,22.69,23.24,2943800
2017-04-05,1491350400,23.65,24.43,22.05,22.18,5170300
2017-04-06,1491436800,22.52,22.88,22.27,22.59,1886400
2017-04-07,1491523200,22.65,22.82,22.14,22.3,1987200
2017-04-10,1491782400,22.49,23.06,22.35,22.92,1864900
2017-04-11,1491868800,22.85,22.93,22.29,22.86,1666000
2017-04-12,1491955200,22.9,23.43,22.37,22.46,2049900
2017-04-13,1492041600,22.43,22.83,22.03,22.08,2504900
2017-04-17,1492387200,22.09,22.48,21.63,22.45,2297500
2017-04-18,1492473600,22.11,22.78,21.91,22.25,2094100
2017-04-19,1492560000,22.38,22.54,20.98,21.08,3253900
2017-04-20,1492646400,21.16,21.42,20.61,20.78,2424100
2017-04-21,1492732800,20.7,21.04,20.29,20.88,3067900
2017-04-24,1492992000,21.15,21.56,20.69,21.25,3906400
2017-04-25,1493078400,21.31,22.53,21.04,22.38,3289000
2017-04-26,1493164800,22.02,22.89,21.98,22.28,3173900
2017-04-27,1493251200,21.97,22.22,21.27,22.04,2666800
2017-04-28,1493337600,22.35,22.38,21.64,21.93,3750900
2017-05-01,1493596800,21.96,22.33,21.76,21.89,2705900
2017-05-02,1493683200,21.93,22.37,20.99,21.44,3337300
2017-05-03,1493769600,22.32,22.97,20.75,20.83,6740900
2017-05-04,1493856000,20.46,20.49,18.76,19.44,8849000
2017-05-05,1493942400,19.44,20.63,19.16,20.55,3919600
2017-05-08,1494201600,20.43,21.3,20.34,21.2,4083400
2017-05-09,1494288000,21.16,21.29,20.5,21.02,4392700
2017-05-10,1494374400,21.4,21.65,20.46,21.02,4443600
2017-05-11,1494460800,20.92,21.08,20.26,20.65,3410600
2017-05-12,1494547200,20.54,21.04,20.54,20.67,4316300
2017-05-15,1494806400,21.36,21.77,20.76,21.01,5246600
2017-05-16,1494892800,20.87,21.05,19.87,20.13,5109400
2017-05-17,1494979200,20.13,20.59,19.67,20.29,4188300
2017-05-18,1495065600,20.08,20.51,19.71,20.04,2837200
2017-05-19,1495152000,20.24,21.03,20.13,20.81,3737900
2017-05-22,1495411200,20.95,21.11,19.86,19.96,3346000
2017-05-23,1495497600,20.0,20.47,19.87,20.1,3383400
2017-05-24,1495584000,20.0,20.43,19.63,19.87,2561800
2017-05-25,1495670400,19.84,20.65,18.77,18.83,4333700
2017-05-26,1495756800,18.85,18.94,18.26,18.3,4129700
2017-05-30,1496102400,17.99,18.12,16.77,16.84,4671600
2017-05-31,1496188800,16.52,16.86,16.12,16.47,6003700
2017-06-01,1496275200,16.53,17.15,16.23,16.34,4497800
2017-06-02,1496361600,16.31,16.75,16.13,16.69,4888900
2017-06-05,1496620800,16.48,17.49,16.44,17.36,4402800
2017-06-06,1496707200,17.44,18.89,17.18,18.5,5752600
2017-06-07,1496793600,18.32,18.54,16.11,16.25,6704900
2017-06-08,1496880000,16.04,16.53,15.62,15.93,5987200
2017-06-09,1496966400,15.93,17.38,15.76,17.06,6880000
2017-06-12,1497225600,17.42,17.96,17.03,17.1,6328200
2017-06-13,1497312000,17.12,19.03,17.12,18.95,4997500
2017-06-14,1497398400,18.64,18.64,16.7,16.8,5962900
2017-06-15,1497484800,16.62,16.98,15.3,15.54,4795300
2017-06-16,1497571200,15.82,15.88,14.84,15.14,6475400
2017-06-19,1497830400,15.14,15.38,14.92,15.21,3336300
2017-06-20,1497916800,14.75,15.61,14.39,15.24,5089300
2017-06-21,1498003200,14.98,15.44,13.8,13.96,6236100
2017-06-22,1498089600,14.08,14.21,13.54,13.69,5086900
2017-06-23,1498176000,13.73,14.44,13.36,14.4,4053700
2017-06-26,1498435200,14.4,15.06,14.27,14.83,4354200
2017-06-27,1498521600,14.95,15.42,14.84,14.95,3005800
2017-06-28,1498608000,15.03,15.7,14.83,15.21,3435600
2017-06-29,1498694400,15.19,16.15,15.14,15.52,3996100
2017-06-30,1498780800,15.7,16.49,15.37,16.05,3583300
2017-07-03,1499040000,16.19,17.1,16.16,17.02,1739100
2017-07-05,1499212800,16.78,16.82,15.79,15.94,3197100
2017-07-06,1499299200,16.11,16.52,15.17,15.25,4601100
2017-07-07,1499385600,15.01,15.03,14.13,14.8,4253500
2017-07-10,1499644800,14.57,15.6,14.56,15.37,3346200
2017-07-11,1499731200,15.4,16.22,15.16,15.71,2988000
2017-07-12,1499817600,16.14,16.7,15.78,16.13,4344300
2017-07-13,1499904000,16.19,16.77,15.97,16.7,3398000
2017-07-14,1499990400,16.71,16.84,16.38,16.57,2525100
2017-07-17,1500249600,16.45,17.28,16.45,16.75,3073200
2017-07-18,1500336000,17.05,17.16,16.36,16.61,2269300
2017-07-19,1500422400,16.6,17.92,16.49,17.76,3131300
2017-07-20,1500508800,17.94,18.02,16.81,16.89,4023000
2017-07-21,1500595200,16.88,17.14,16.54,16.82,3162000
2017-07-24,1500854400,16.99,16.99,15.77,16.0,3327500
2017-07-25,1500940800,16.49,17.43,16.41,17.17,4358400
2017-07-26,1501027200,17.44,18.15,17.24,17.37,3753600
2017-07-27,1501113600,17.36,17.68,17.0,17.44,3089400
2017-07-28,1501200000,17.4,18.27,17.22,17.55,5032600
2017-07-31,1501459200,17.44,17.49,16.32,16.88,3098000
2017-08-01,1501545600,16.77,16.97,16.29,16.66,3190300
2017-08-02,1501632000,16.41,16.5,15.46,15.77,5064700
2017-08-03,1501718400,15.77,15.77,14.78,14.88,7181300
2017-08-04,1501804800,14.53,15.22,14.13,14.81,4850400
2017-08-07,1502064000,14.6,14.6,13.78,14.01,5307600
2017-08-08,1502150400,13.78,14.52,13.51,14.29,5522800
2017-08-09,1502236800,14.44,14.68,14.04,14.28,3563900
2017-08-10,1502323200,14.46,14.75,13.88,14.06,3796700
2017-08-11,1502409600,13.9,14.22,13.71,13.97,2764700
2017-08-14,1502668800,14.02,14.15,13.72,13.89,2897700
2017-08-15,1502755200,13.82,13.95,13.38,13.89,2647600
2017-08-16,1502841600,13.9,14.17,13.21,13.29,3027700
2017-08-17,1502928000,13.19,13.7,12.96,12.98,3472000
2017-08-18,1503014400,12.98,13.5,12.73,13.46,3893500
2017-08-21,1503273600,13.35,13.45,12.89,13.15,3379500
2017-08-22,1503360000,13.26,13.47,12.93,12.96,2295600
2017-08-23,1503446400,12.92,13.45,12.86,13.21,2302100
2017-08-24,1503532800,13.1,13.29,12.91,13.13,2347600
2017-08-25,1503619200,13.25,13.29,12.95,13.14,2514500
