Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,32.84,32.84,31.89,32.03,17800
2017-01-04,1483488000,32.16,32.9,32.11,32.42,10900
2017-01-05,1483574400,32.19,32.23,31.47,31.69,11700
2017-01-06,1483660800,31.67,31.93,31.14,31.62,11400
2017-01-09,1483920000,31.48,31.55,30.98,31.07,15400
2017-01-10,1484006400,30.96,30.96,30.26,30.75,18500
2017-01-11,1484092800,30.51,31.37,30.45,31.24,20300
2017-01-12,1484179200,31.28,32.34,31.17,32.11,10600
2017-01-13,1484265600,32.29,32.86,31.97,32.03,16700
2017-01-17,1484611200,31.89,32.72,31.85,32.23,14300
2017-01-18,1484697600,32.1,32.65,31.71,32.03,9100
2017-01-19,1484784000,32.12,32.53,31.69,31.84,7200
2017-01-20,1484870400,31.69,31.69,31.15,31.56,3500
2017-01-23,1485129600,31.56,33.24,30.63,31.76,7100
2017-01-24,1485216000,31.14,32.56,31.14,32.3,7200
2017-01-25,1485302400,31.65,31.65,31.65,31.65,1300
2017-01-26,1485388800,31.49,31.49,31.07,31.35,13000
2017-01-27,1485475200,31.86,31.86,30.91,31.58,20700
2017-01-30,1485734400,31.26,31.92,31.0,31.13,13700
2017-01-31,1485820800,31.08,31.92,31.02,31.15,10600
2017-02-01,1485907200,31.08,32.03,30.91,31.51,18600
2017-02-02,1485993600,32.21,32.58,32.04,32.36,3700
2017-02-03,1486080000,32.28,32.76,31.79,32.75,14900
2017-02-06,1486339200,32.66,32.85,32.22,32.76,13700
2017-02-07,1486425600,32.75,32.76,32.48,32.67,4300
2017-02-08,1486512000,32.35,32.76,31.56,32.36,13300
2017-02-09,1486598400,32.39,32.61,32.39,32.44,2600
2017-02-10,1486684800,32.53,32.85,32.28,32.84,8500
2017-02-13,1486944000,32.85,32.92,32.21,32.81,10300
2017-02-14,1487030400,32.39,32.95,32.39,32.91,11400
2017-02-15,1487116800,32.11,32.95,32.11,32.93,20100
2017-02-16,1487203200,32.69,33.18,32.2,33.11,9900
2017-02-17,1487289600,33.25,33.95,32.84,33.62,23300
2017-02-21,1487635200,32.73,33.69,32.73,33.64,6300
2017-02-22,1487721600,33.51,33.69,33.51,33.69,3900
2017-02-23,1487808000,33.51,34.23,33.47,34.09,4700
2017-02-24,1487894400,33.62,33.74,33.18,33.56,15200
2017-02-27,1488153600,33.55,33.55,33.14,33.19,10800
2017-02-28,1488240000,33.19,33.19,31.99,32.5,16600
2017-03-01,1488326400,32.5,32.75,32.27,32.67,14000
2017-03-02,1488412800,32.49,32.58,31.78,32.14,4300
2017-03-03,1488499200,31.99,32.33,31.56,31.95,26300
2017-03-06,1488758400,31.68,31.68,31.18,31.44,13400
2017-03-07,1488844800,31.45,31.58,31.37,31.55,14600
2017-03-08,1488931200,31.55,31.55,31.25,31.31,13500
2017-03-09,1489017600,31.28,31.29,30.86,31.04,13300
2017-03-10,1489104000,31.0,31.04,30.11,30.48,16400
2017-03-13,1489363200,30.52,31.29,29.49,30.85,14700
2017-03-14,1489449600,29.93,30.79,29.93,30.62,3600
2017-03-15,1489536000,30.02,30.83,29.59,30.75,4400
2017-03-16,1489622400,29.79,30.93,29.79,30.5,6000
2017-03-17,1489708800,30.41,30.84,30.02,30.62,21000
2017-03-20,1489968000,30.59,30.63,30.29,30.46,6500
2017-03-21,1490054400,30.5,30.5,29.24,29.27,8100
2017-03-22,1490140800,29.34,30.15,29.28,29.94,19300
2017-03-23,1490227200,30.03,30.81,29.81,30.5,8200
2017-03-24,1490313600,30.48,31.07,30.45,30.66,7600
2017-03-27,1490572800,30.42,31.04,30.42,30.93,4800
