Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,6.22,6.27,6.21,6.25,804400
2017-01-04,1483488000,6.28,6.34,6.26,6.34,917100
2017-01-05,1483574400,6.35,6.41,6.35,6.39,2371300
2017-01-06,1483660800,6.39,6.42,6.34,6.38,978800
2017-01-09,1483920000,6.36,6.38,6.34,6.35,654700
2017-01-10,1484006400,6.34,6.38,6.32,6.34,695800
2017-01-11,1484092800,6.4,6.45,6.39,6.43,570500
2017-01-12,1484179200,6.41,6.43,6.33,6.39,1152900
2017-01-13,1484265600,6.41,6.45,6.4,6.44,711000
2017-01-17,1484611200,6.34,6.35,6.29,6.31,1158400
2017-01-18,1484697600,6.31,6.34,6.28,6.32,1129100
2017-01-19,1484784000,6.32,6.34,6.27,6.3,644900
2017-01-20,1484870400,6.34,6.38,6.32,6.34,523800
2017-01-23,1485129600,6.35,6.41,6.35,6.39,731500
2017-01-24,1485216000,6.3,6.33,6.27,6.3,1362100
2017-01-25,1485302400,6.31,6.37,6.29,6.35,1098800
2017-01-26,1485388800,6.47,6.5,6.45,6.48,822500
2017-01-27,1485475200,6.47,6.47,6.36,6.39,909900
2017-01-30,1485734400,6.37,6.41,6.25,6.3,1803200
2017-01-31,1485820800,6.33,6.34,6.26,6.33,770500
2017-02-01,1485907200,6.32,6.34,6.25,6.25,2615600
2017-02-02,1485993600,6.25,6.27,6.21,6.27,666400
2017-02-03,1486080000,6.34,6.46,6.34,6.45,864100
2017-02-06,1486339200,6.39,6.45,6.39,6.42,629100
2017-02-07,1486425600,6.46,6.47,6.42,6.45,447200
2017-02-08,1486512000,6.43,6.45,6.39,6.45,708100
2017-02-09,1486598400,6.45,6.45,6.38,6.44,931700
2017-02-10,1486684800,6.44,6.45,6.4,6.42,730700
2017-02-13,1486944000,6.46,6.54,6.46,6.54,1046600
2017-02-14,1487030400,6.44,6.51,6.43,6.5,988500
2017-02-15,1487116800,6.48,6.52,6.47,6.49,659200
2017-02-16,1487203200,6.48,6.52,6.47,6.51,554100
2017-02-17,1487289600,6.43,6.46,6.4,6.46,555900
2017-02-21,1487635200,6.48,6.55,6.48,6.55,490600
2017-02-22,1487721600,6.5,6.51,6.46,6.48,458800
2017-02-23,1487808000,6.47,6.47,6.39,6.41,531300
2017-02-24,1487894400,6.36,6.39,6.34,6.37,474200
2017-02-27,1488153600,6.32,6.34,6.3,6.34,485200
2017-02-28,1488240000,6.31,6.33,6.28,6.31,461500
2017-03-01,1488326400,6.35,6.47,6.35,6.45,756200
2017-03-02,1488412800,6.37,6.39,6.3,6.33,823100
2017-03-03,1488499200,6.26,6.29,6.13,6.14,2762300
2017-03-06,1488758400,6.16,6.2,6.13,6.17,2017600
2017-03-07,1488844800,6.13,6.14,6.11,6.13,515300
2017-03-08,1488931200,6.14,6.18,6.11,6.12,571600
2017-03-09,1489017600,6.11,6.14,6.09,6.1,457300
2017-03-10,1489104000,6.16,6.18,6.11,6.15,787000
2017-03-13,1489363200,6.13,6.14,6.11,6.12,573600
2017-03-14,1489449600,6.13,6.13,6.06,6.11,697400
2017-03-15,1489536000,6.12,6.16,6.11,6.14,513700
2017-03-16,1489622400,6.15,6.17,6.14,6.15,717100
2017-03-17,1489708800,6.13,6.15,6.13,6.14,448200
2017-03-20,1489968000,6.13,6.15,6.11,6.12,440400
2017-03-21,1490054400,6.14,6.14,5.98,6.0,886200
2017-03-22,1490140800,6.0,6.0,5.96,6.0,858900
2017-03-23,1490227200,5.97,6.02,5.97,5.99,1201800
2017-03-24,1490313600,6.05,6.1,6.04,6.09,591400
2017-03-27,1490572800,6.04,6.08,6.0,6.06,1223800
2017-03-28,1490659200,6.13,6.23,6.13,6.21,1132200
2017-03-29,1490745600,6.09,6.11,6.05,6.08,657000
2017-03-30,1490832000,6.09,6.14,6.08,6.11,518600
2017-03-31,1490918400,6.01,6.01,5.94,5.97,1022100
2017-04-03,1491177600,5.97,5.97,5.89,5.96,420100
2017-04-04,1491264000,5.91,5.95,5.88,5.94,565200
2017-04-05,1491350400,5.87,5.92,5.81,5.82,659300
2017-04-06,1491436800,5.83,5.86,5.8,5.83,436400
2017-04-07,1491523200,5.81,5.83,5.79,5.81,415000
