Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,22.99,23.16,22.55,22.75,642800
2017-01-04,1483488000,22.93,23.38,22.93,23.14,687100
2017-01-05,1483574400,22.91,23.09,22.41,22.72,444600
2017-01-06,1483660800,22.96,23.19,22.59,22.91,487800
2017-01-09,1483920000,22.88,22.92,21.97,22.04,718800
2017-01-10,1484006400,22.16,22.38,21.79,21.8,626200
2017-01-11,1484092800,21.74,21.79,20.94,21.25,619100
2017-01-12,1484179200,21.2,21.21,20.77,21.19,466300
2017-01-13,1484265600,21.25,21.54,20.99,20.99,482900
2017-01-17,1484611200,20.89,21.52,20.79,21.01,452500
2017-01-18,1484697600,21.05,21.3,20.41,20.6,853900
2017-01-19,1484784000,20.57,20.71,20.0,20.45,906300
2017-01-20,1484870400,20.46,20.71,20.41,20.57,307700
2017-01-23,1485129600,20.54,20.55,19.95,20.13,622900
2017-01-24,1485216000,20.16,20.92,20.16,20.65,624900
2017-01-25,1485302400,20.76,20.99,19.98,20.05,1094300
2017-01-26,1485388800,19.95,20.07,19.69,19.73,830300
2017-01-27,1485475200,19.73,20.02,19.44,19.78,561800
2017-01-30,1485734400,19.09,20.35,18.89,20.23,2075800
2017-01-31,1485820800,20.06,20.37,19.81,20.18,1070900
2017-02-01,1485907200,20.33,20.33,19.94,20.14,896600
2017-02-02,1485993600,19.91,20.22,19.87,19.95,988200
2017-02-03,1486080000,20.03,20.39,19.96,20.03,929200
2017-02-06,1486339200,19.99,20.1,19.38,19.79,1173300
2017-02-07,1486425600,19.75,20.06,19.51,19.53,1140600
2017-02-08,1486512000,19.51,19.83,19.06,19.77,2097700
2017-02-09,1486598400,20.97,21.28,19.64,21.14,3510300
2017-02-10,1486684800,21.01,21.84,20.74,21.74,1711500
2017-02-13,1486944000,21.82,22.05,21.52,21.82,989900
2017-02-14,1487030400,21.77,22.15,21.7,21.94,971700
2017-02-15,1487116800,21.91,22.22,20.93,22.1,652700
2017-02-16,1487203200,22.35,22.73,22.29,22.53,941500
2017-02-17,1487289600,22.51,22.87,22.31,22.87,998200
2017-02-21,1487635200,22.99,23.41,22.85,22.97,832100
2017-02-22,1487721600,22.69,23.52,22.69,23.37,862800
2017-02-23,1487808000,23.51,23.65,22.94,23.06,1250900
2017-02-24,1487894400,22.88,23.41,21.52,23.26,1187400
2017-02-27,1488153600,23.25,23.88,23.17,23.71,882100
2017-02-28,1488240000,23.67,23.74,23.4,23.49,1222000
2017-03-01,1488326400,23.68,24.31,23.53,24.17,810900
2017-03-02,1488412800,24.15,24.36,23.82,23.94,653200
2017-03-03,1488499200,23.85,24.5,23.85,24.43,693900
2017-03-06,1488758400,24.21,24.51,23.91,24.28,622400
2017-03-07,1488844800,24.23,24.29,23.54,23.89,921900
2017-03-08,1488931200,23.92,24.42,23.55,24.2,436900
2017-03-09,1489017600,24.2,24.28,23.77,23.87,462200
2017-03-10,1489104000,24.01,24.14,23.77,23.85,653100
2017-03-13,1489363200,23.85,24.18,23.71,23.92,635400
2017-03-14,1489449600,23.84,24.07,23.67,23.96,483500
2017-03-15,1489536000,24.07,24.62,23.96,24.49,499500
2017-03-16,1489622400,24.47,24.9,24.47,24.59,441600
2017-03-17,1489708800,24.54,24.89,24.43,24.47,1184700
2017-03-20,1489968000,24.41,24.54,24.05,24.31,658500
2017-03-21,1490054400,24.41,24.52,23.57,23.61,737800
2017-03-22,1490140800,23.6,23.94,23.31,23.48,678900
2017-03-23,1490227200,23.44,23.93,23.44,23.82,603000
2017-03-24,1490313600,23.91,24.15,23.42,23.52,690300
2017-03-27,1490572800,23.22,23.95,23.14,23.85,566400
2017-03-28,1490659200,23.81,24.22,23.55,24.13,644100
2017-03-29,1490745600,24.15,24.52,24.06,24.35,856100
2017-03-30,1490832000,24.36,24.68,24.23,24.54,1453300
