Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.31,27.31,27.13,27.21,500100
2017-01-04,1483488000,27.09,27.33,27.09,27.3,370900
2017-01-05,1483574400,27.47,27.86,27.47,27.66,494500
2017-01-06,1483660800,27.45,27.49,27.36,27.4,401400
2017-01-09,1483920000,27.2,27.34,27.19,27.3,435900
2017-01-10,1484006400,27.36,27.65,27.32,27.56,741500
2017-01-11,1484092800,27.46,27.75,27.39,27.73,795000
2017-01-12,1484179200,27.32,27.5,27.3,27.43,416000
2017-01-13,1484265600,27.54,27.88,27.43,27.8,429000
2017-01-17,1484611200,27.84,27.91,27.69,27.89,649100
2017-01-18,1484697600,27.69,27.72,27.53,27.56,411600
2017-01-19,1484784000,27.37,27.48,27.29,27.43,323000
2017-01-20,1484870400,27.37,27.45,27.3,27.44,407200
2017-01-23,1485129600,27.4,27.52,27.35,27.5,397700
2017-01-24,1485216000,27.32,27.46,27.25,27.39,427200
2017-01-25,1485302400,27.29,27.5,27.27,27.46,556500
2017-01-26,1485388800,27.24,27.26,27.06,27.13,406500
2017-01-27,1485475200,27.5,27.67,27.45,27.66,408000
2017-01-30,1485734400,27.44,27.51,27.38,27.46,409300
2017-01-31,1485820800,27.4,27.62,27.37,27.57,405600
2017-02-01,1485907200,27.58,27.79,27.5,27.78,430500
2017-02-02,1485993600,27.85,27.9,27.72,27.85,308400
2017-02-03,1486080000,27.87,27.98,27.86,27.93,288000
2017-02-06,1486339200,27.68,27.74,27.57,27.61,403700
2017-02-07,1486425600,27.64,27.81,27.56,27.78,270200
2017-02-08,1486512000,28.08,28.09,27.67,27.79,402800
2017-02-09,1486598400,27.01,27.81,27.01,27.75,1121200
2017-02-10,1486684800,27.19,27.48,27.18,27.4,953100
2017-02-13,1486944000,27.36,27.5,27.32,27.47,561300
2017-02-14,1487030400,27.41,27.58,27.33,27.55,652000
2017-02-15,1487116800,27.38,27.81,27.37,27.79,714500
2017-02-16,1487203200,27.7,27.85,27.66,27.82,584900
2017-02-17,1487289600,27.71,27.78,27.53,27.62,491700
2017-02-21,1487635200,27.69,28.03,27.62,28.02,545400
2017-02-22,1487721600,27.9,28.01,27.85,27.92,448900
2017-02-23,1487808000,27.93,27.99,27.87,27.94,426400
2017-02-24,1487894400,27.75,27.87,27.74,27.86,388400
2017-02-27,1488153600,27.47,27.62,27.43,27.57,640700
2017-02-28,1488240000,27.73,27.86,27.67,27.72,506900
2017-03-01,1488326400,27.68,27.87,27.62,27.83,561800
2017-03-02,1488412800,27.51,27.78,27.5,27.7,751800
2017-03-03,1488499200,27.58,27.76,27.55,27.75,482900
2017-03-06,1488758400,27.67,27.68,27.54,27.62,351700
2017-03-07,1488844800,27.5,27.54,27.4,27.45,432300
2017-03-08,1488931200,27.55,27.58,27.46,27.58,372600
2017-03-09,1489017600,27.69,27.79,27.6,27.75,447700
2017-03-10,1489104000,27.77,27.87,27.75,27.86,409600
2017-03-13,1489363200,27.91,27.98,27.83,27.96,435000
2017-03-14,1489449600,27.79,27.85,27.54,27.6,387600
2017-03-15,1489536000,27.69,27.91,27.6,27.88,523600
2017-03-16,1489622400,28.12,28.13,27.92,28.03,616100
2017-03-17,1489708800,28.19,28.42,28.15,28.34,569700
2017-03-20,1489968000,28.48,28.51,28.28,28.31,401200
2017-03-21,1490054400,28.49,28.54,28.33,28.38,553000
2017-03-22,1490140800,28.24,28.47,28.1,28.38,609800
2017-03-23,1490227200,28.75,28.87,28.7,28.72,515400
2017-03-24,1490313600,28.57,28.64,28.44,28.55,491200
2017-03-27,1490572800,28.8,28.86,28.68,28.77,423000
2017-03-28,1490659200,28.65,28.7,28.47,28.51,378400
2017-03-29,1490745600,28.3,28.47,28.22,28.45,388500
2017-03-30,1490832000,28.36,28.42,28.27,28.36,443900
2017-03-31,1490918400,28.25,28.45,28.22,28.4,361900
2017-04-03,1491177600,28.27,28.47,28.27,28.45,362200
2017-04-04,1491264000,28.41,28.49,28.33,28.48,295100
