Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,58.64,59.01,57.56,58.21,360000
2017-01-04,1483488000,58.26,59.61,58.16,59.31,601200
2017-01-05,1483574400,59.31,59.78,58.69,59.21,443800
2017-01-06,1483660800,59.43,59.43,58.32,58.42,422200
2017-01-09,1483920000,58.25,58.43,57.73,57.91,467800
2017-01-10,1484006400,58.1,59.13,57.34,58.65,883200
2017-01-11,1484092800,59.3,62.16,58.34,61.42,1266200
2017-01-12,1484179200,61.19,61.54,58.54,59.98,1267000
2017-01-13,1484265600,60.31,61.12,60.24,60.35,417200
2017-01-17,1484611200,60.39,60.39,58.8,58.94,381600
2017-01-18,1484697600,59.22,59.42,58.65,59.0,383800
2017-01-19,1484784000,59.22,59.66,57.85,58.0,323400
2017-01-20,1484870400,58.0,58.71,57.96,58.3,579400
2017-01-23,1485129600,58.23,58.5,57.12,57.75,272800
2017-01-24,1485216000,58.03,58.8,57.96,58.46,263800
2017-01-25,1485302400,59.23,59.23,58.44,58.54,295800
2017-01-26,1485388800,58.11,58.58,57.7,57.87,362200
2017-01-27,1485475200,57.87,58.14,57.59,57.77,358000
2017-01-30,1485734400,57.44,57.63,56.68,57.55,304000
2017-01-31,1485820800,57.4,58.03,56.95,57.8,315800
2017-02-01,1485907200,58.38,58.38,56.85,56.9,335600
2017-02-02,1485993600,56.82,57.55,56.58,57.14,501400
2017-02-03,1486080000,57.54,58.3,57.43,57.9,213400
2017-02-06,1486339200,57.66,57.68,56.8,57.05,213000
2017-02-07,1486425600,56.98,57.19,56.26,56.64,292200
2017-02-08,1486512000,56.35,57.32,56.28,56.42,409000
2017-02-09,1486598400,56.64,57.62,56.64,57.35,354600
2017-02-10,1486684800,57.71,57.76,56.85,56.87,782400
2017-02-13,1486944000,57.31,57.6,56.92,57.4,250800
2017-02-14,1487030400,57.23,57.61,56.61,57.47,251400
2017-02-15,1487116800,57.12,57.54,56.85,57.4,136800
2017-02-16,1487203200,57.54,57.54,56.52,57.04,256600
2017-02-17,1487289600,57.03,57.18,56.41,56.93,257800
2017-02-21,1487635200,57.09,57.66,56.96,57.46,448800
2017-02-22,1487721600,57.38,57.73,57.26,57.63,214000
2017-02-23,1487808000,57.83,57.83,56.63,57.15,254400
2017-02-24,1487894400,56.8,57.28,56.53,57.28,218800
2017-02-27,1488153600,57.18,57.58,56.68,57.17,237800
2017-02-28,1488240000,56.98,56.99,56.12,56.23,293000
2017-03-01,1488326400,56.87,58.18,56.55,57.84,384800
2017-03-02,1488412800,57.58,57.67,56.99,57.1,204200
2017-03-03,1488499200,57.12,57.39,56.42,56.97,270800
2017-03-06,1488758400,56.65,56.96,56.15,56.77,191800
2017-03-07,1488844800,56.77,56.78,56.14,56.46,164400
2017-03-08,1488931200,56.76,56.76,55.88,56.0,186600
2017-03-09,1489017600,55.88,56.7,55.74,55.89,218800
2017-03-10,1489104000,56.19,56.78,55.77,56.25,203400
2017-03-13,1489363200,56.15,56.54,55.99,56.47,158200
2017-03-14,1489449600,56.12,56.57,55.7,56.38,240600
2017-03-15,1489536000,56.62,57.78,56.57,57.6,318200
2017-03-16,1489622400,57.95,58.56,57.32,57.5,310600
2017-03-17,1489708800,57.67,57.82,56.62,57.67,537000
2017-03-20,1489968000,57.71,57.81,57.01,57.13,209200
2017-03-21,1490054400,57.53,57.62,55.34,55.56,322600
2017-03-22,1490140800,55.38,55.93,54.96,55.5,312000
2017-03-23,1490227200,55.41,56.54,54.96,56.26,287600
2017-03-24,1490313600,56.56,56.85,55.97,56.24,268000
2017-03-27,1490572800,55.79,57.08,55.65,56.91,409800
2017-03-28,1490659200,56.75,56.75,52.42,54.05,1148400
2017-03-29,1490745600,54.07,54.07,53.21,53.62,433200
2017-03-30,1490832000,53.55,54.23,53.31,53.46,389400
2017-03-31,1490918400,53.51,54.1,53.32,53.84,477600
2017-04-03,1491177600,53.89,54.04,52.76,53.16,343200
2017-04-04,1491264000,53.08,53.79,52.37,52.85,348400
2017-04-05,1491350400,53.18,53.54,50.78,50.86,673400
2017-04-06,1491436800,50.75,50.75,49.41,49.76,610600
2017-04-07,1491523200,49.57,50.4,49.53,50.25,584400
2017-04-10,1491782400,50.18,50.81,49.71,49.72,432000
2017-04-11,1491868800,49.59,50.06,48.9,49.88,817400
2017-04-12,1491955200,51.48,52.61,49.75,50.12,1047600
2017-04-13,1492041600,50.18,51.25,50.12,50.92,854000
2017-04-17,1492387200,51.27,51.63,50.77,51.42,466000
2017-04-18,1492473600,51.32,51.63,50.9,51.37,445400
2017-04-19,1492560000,51.51,51.78,51.01,51.18,638600
2017-04-20,1492646400,51.37,51.96,51.02,51.86,412200
2017-04-21,1492732800,51.85,51.87,51.34,51.42,379400
2017-04-24,1492992000,52.21,52.8,52.02,52.69,345600
2017-04-25,1493078400,53.18,53.49,52.98,53.03,337400
2017-04-26,1493164800,53.03,53.79,52.9,53.23,400200
2017-04-27,1493251200,53.31,53.63,52.64,52.81,269600
2017-04-28,1493337600,52.78,52.86,52.05,52.25,464600
2017-05-01,1493596800,52.33,53.04,51.92,52.71,357000
2017-05-02,1493683200,52.7,52.91,51.99,52.18,233200
2017-05-03,1493769600,51.78,52.53,51.67,52.12,375400
2017-05-04,1493856000,52.17,52.45,51.97,52.1,275400
2017-05-05,1493942400,52.32,52.61,51.7,52.56,186000
2017-05-08,1494201600,52.44,53.48,52.42,52.46,270000
2017-05-09,1494288000,52.37,53.04,52.01,52.23,283800
2017-05-10,1494374400,52.03,52.76,51.89,52.7,239600
2017-05-11,1494460800,52.36,53.34,52.13,52.65,399600
2017-05-12,1494547200,52.46,52.58,52.05,52.43,288800
2017-05-15,1494806400,52.8,53.27,52.51,52.97,289000
2017-05-16,1494892800,53.16,53.16,52.51,52.96,250200
2017-05-17,1494979200,52.96,52.96,51.04,51.06,341000
2017-05-18,1495065600,50.95,51.44,50.58,50.74,418600
2017-05-19,1495152000,52.29,53.2,51.74,52.47,469000
2017-05-22,1495411200,52.53,53.2,52.34,53.06,342200
2017-05-23,1495497600,53.15,53.26,52.4,52.96,227800
2017-05-24,1495584000,53.09,53.67,52.95,53.53,506400
2017-05-25,1495670400,53.73,54.73,53.27,54.45,369200
2017-05-26,1495756800,54.4,54.4,53.28,53.44,352600
2017-05-30,1496102400,53.31,53.92,52.86,53.52,183200
2017-05-31,1496188800,53.81,53.81,52.75,53.62,290600
2017-06-01,1496275200,53.75,54.71,53.01,54.68,445200
2017-06-02,1496361600,54.86,55.06,54.22,54.31,283400
2017-06-05,1496620800,54.22,54.48,53.47,53.5,243400
2017-06-06,1496707200,53.27,55.31,52.16,55.22,658200
2017-06-07,1496793600,55.16,55.7,54.91,55.31,454200
2017-06-08,1496880000,55.33,57.21,55.25,57.13,396800
2017-06-09,1496966400,57.49,58.3,56.81,57.54,674200
2017-06-12,1497225600,57.42,57.63,56.22,56.57,561200
2017-06-13,1497312000,56.84,57.18,55.95,56.54,438400
2017-06-14,1497398400,56.26,57.15,55.98,56.94,477200
2017-06-15,1497484800,56.38,57.25,56.38,57.17,333600
2017-06-16,1497571200,56.9,57.13,56.04,56.99,654000
2017-06-19,1497830400,57.11,57.94,56.77,57.72,507800
2017-06-20,1497916800,57.6,58.18,57.08,57.84,371400
2017-06-21,1498003200,57.93,58.23,57.57,57.99,330800
2017-06-22,1498089600,57.95,59.14,57.87,58.72,1261200
2017-06-23,1498176000,58.93,62.28,57.93,61.86,1974600
2017-06-26,1498435200,62.44,63.3,60.81,60.85,715800
2017-06-27,1498521600,60.72,60.72,58.3,58.34,679200
