Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,3.5,3.5,3.3,3.45,72500
2017-01-04,1483488000,3.44,3.73,3.42,3.65,105800
2017-01-05,1483574400,3.74,3.76,3.56,3.66,80900
2017-01-06,1483660800,3.67,3.98,3.44,3.88,145800
2017-01-09,1483920000,3.9,3.9,3.52,3.77,53800
2017-01-10,1484006400,3.88,3.88,3.72,3.88,21700
2017-01-11,1484092800,3.9,3.9,3.66,3.88,66100
2017-01-12,1484179200,3.9,3.9,3.71,3.87,29000
2017-01-13,1484265600,3.88,3.96,3.85,3.88,47000
2017-01-17,1484611200,3.88,3.89,3.71,3.74,41500
2017-01-18,1484697600,3.79,3.85,3.62,3.74,66500
2017-01-19,1484784000,3.75,3.76,3.65,3.65,17700
2017-01-20,1484870400,3.65,3.75,3.52,3.75,8800
2017-01-23,1485129600,3.76,3.76,3.65,3.68,16900
2017-01-24,1485216000,3.71,3.74,3.65,3.7,11500
2017-01-25,1485302400,3.7,3.75,3.67,3.7,27800
2017-01-26,1485388800,3.71,3.76,3.66,3.71,17300
2017-01-27,1485475200,3.74,3.76,3.56,3.66,26400
2017-01-30,1485734400,3.67,3.69,3.62,3.65,10600
2017-01-31,1485820800,3.74,3.74,3.5,3.51,19900
2017-02-01,1485907200,3.45,3.88,3.43,3.88,44900
2017-02-02,1485993600,3.68,3.91,3.68,3.74,27100
2017-02-03,1486080000,3.83,3.83,3.69,3.8,13300
2017-02-06,1486339200,3.87,3.87,3.6,3.7,39600
2017-02-07,1486425600,3.69,3.9,3.65,3.71,21200
2017-02-08,1486512000,3.78,3.79,3.65,3.79,27600
2017-02-09,1486598400,3.83,3.85,3.71,3.71,5900
2017-02-10,1486684800,3.77,3.79,3.65,3.79,11000
2017-02-13,1486944000,3.69,3.78,3.69,3.75,18500
2017-02-14,1487030400,3.65,3.79,3.65,3.77,4700
2017-02-15,1487116800,3.72,3.79,3.65,3.77,8700
2017-02-16,1487203200,3.72,3.79,3.57,3.57,42700
2017-02-17,1487289600,3.58,3.7,3.41,3.52,27100
2017-02-21,1487635200,3.63,3.63,3.4,3.42,20600
2017-02-22,1487721600,3.4,3.4,3.33,3.37,22300
2017-02-23,1487808000,3.35,3.35,3.2,3.27,54200
2017-02-24,1487894400,3.25,3.34,3.17,3.21,21500
2017-02-27,1488153600,3.18,3.19,3.05,3.07,28900
2017-02-28,1488240000,3.01,3.07,2.94,2.95,21200
2017-03-01,1488326400,2.95,3.0,2.85,2.87,32700
2017-03-02,1488412800,2.86,2.86,2.75,2.8,40800
2017-03-03,1488499200,2.8,2.8,2.7,2.76,22500
2017-03-06,1488758400,2.75,2.79,2.66,2.77,25500
2017-03-07,1488844800,2.73,2.79,2.64,2.71,27900
2017-03-08,1488931200,2.69,2.74,2.63,2.7,6700
2017-03-09,1489017600,2.67,2.7,2.62,2.65,15000
2017-03-10,1489104000,2.65,2.73,2.65,2.69,33700
2017-03-13,1489363200,2.65,2.73,2.5,2.5,71500
2017-03-14,1489449600,2.55,2.68,2.53,2.6,37700
2017-03-15,1489536000,2.87,2.87,2.65,2.73,41400
2017-03-16,1489622400,2.76,2.88,2.67,2.88,91100
2017-03-17,1489708800,2.9,3.14,2.9,2.95,24700
2017-03-20,1489968000,2.99,3.02,2.91,2.99,40400
2017-03-21,1490054400,3.02,3.03,2.81,2.91,59800
2017-03-22,1490140800,2.9,3.01,2.8,2.86,31400
2017-03-23,1490227200,2.82,2.93,2.8,2.88,19000
2017-03-24,1490313600,2.91,2.91,2.82,2.89,14600
2017-03-27,1490572800,2.86,2.87,2.68,2.81,40100
2017-03-28,1490659200,2.77,2.89,2.64,2.83,38300
2017-03-29,1490745600,2.78,2.87,2.76,2.85,18300
2017-03-30,1490832000,2.81,2.88,2.79,2.82,18400
2017-03-31,1490918400,2.89,2.92,2.81,2.86,4900
2017-04-03,1491177600,2.83,2.91,2.71,2.8,29700
2017-04-04,1491264000,2.72,2.79,2.72,2.77,7900
2017-04-05,1491350400,2.79,2.86,2.7,2.79,14900
2017-04-06,1491436800,2.83,2.9,2.74,2.82,22800
2017-04-07,1491523200,2.75,2.91,2.75,2.91,19800
2017-04-10,1491782400,2.77,2.91,2.77,2.9,22100
2017-04-11,1491868800,2.91,2.99,2.85,2.97,23500
2017-04-12,1491955200,2.93,3.0,2.88,3.0,24800
2017-04-13,1492041600,3.0,3.07,2.84,3.05,36000
2017-04-17,1492387200,2.95,3.13,2.95,3.05,15600
2017-04-18,1492473600,3.11,3.11,2.92,3.05,14400
