Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,18.84,18.89,18.5,18.61,702900
2017-01-04,1483488000,18.69,18.91,18.64,18.84,1643000
2017-01-05,1483574400,18.85,19.11,18.68,19.01,1076800
2017-01-06,1483660800,19.06,19.24,18.91,19.16,851200
2017-01-09,1483920000,19.25,19.27,18.77,18.78,1252200
2017-01-10,1484006400,18.82,18.87,18.63,18.68,709000
2017-01-11,1484092800,18.68,18.8,18.62,18.63,992600
2017-01-12,1484179200,18.7,18.71,18.47,18.66,719100
2017-01-13,1484265600,18.69,18.82,18.59,18.74,388200
2017-01-17,1484611200,18.77,18.97,18.7,18.88,501500
2017-01-18,1484697600,18.88,19.17,18.85,18.99,428300
2017-01-19,1484784000,18.91,18.91,18.7,18.8,510800
2017-01-20,1484870400,18.8,18.98,18.74,18.86,599200
2017-01-23,1485129600,18.94,19.17,18.89,19.02,973600
2017-01-24,1485216000,19.03,19.17,18.94,19.09,695500
2017-01-25,1485302400,19.1,19.22,18.96,19.01,782300
2017-01-26,1485388800,19.0,19.12,18.9,19.03,625400
2017-01-27,1485475200,19.1,19.1,18.34,18.37,716600
2017-01-30,1485734400,18.38,18.42,17.9,17.97,890900
2017-01-31,1485820800,18.02,18.4,18.02,18.25,758000
2017-02-01,1485907200,18.27,18.41,18.21,18.26,620300
2017-02-02,1485993600,18.27,18.5,18.2,18.45,699400
2017-02-03,1486080000,18.6,18.82,18.52,18.7,577700
2017-02-06,1486339200,18.73,18.84,18.6,18.79,575400
2017-02-07,1486425600,18.85,18.95,18.58,18.6,719600
2017-02-08,1486512000,18.6,18.67,18.41,18.63,492600
2017-02-09,1486598400,18.63,18.83,18.63,18.72,504500
2017-02-10,1486684800,18.67,19.05,18.61,18.99,669100
2017-02-13,1486944000,18.94,19.06,18.82,18.93,520300
2017-02-14,1487030400,18.86,18.93,18.65,18.88,476700
2017-02-15,1487116800,18.83,18.89,18.59,18.84,368900
2017-02-16,1487203200,18.82,19.08,18.82,18.98,454300
2017-02-17,1487289600,19.23,19.43,18.82,19.06,1081500
2017-02-21,1487635200,19.12,19.64,19.09,19.62,1179100
2017-02-22,1487721600,19.61,19.83,19.41,19.8,1207200
2017-02-23,1487808000,19.88,19.96,19.59,19.93,821200
2017-02-24,1487894400,19.91,20.34,19.79,20.32,965700
2017-02-27,1488153600,20.36,20.59,20.23,20.42,1214000
2017-02-28,1488240000,20.42,20.51,20.28,20.46,1962400
2017-03-01,1488326400,20.38,20.76,20.36,20.62,1687900
2017-03-02,1488412800,20.62,20.79,20.44,20.66,895100
2017-03-03,1488499200,20.58,20.71,20.43,20.57,1597900
2017-03-06,1488758400,20.55,20.55,20.14,20.25,998500
2017-03-07,1488844800,20.15,20.28,20.07,20.12,606200
2017-03-08,1488931200,20.02,20.12,19.56,19.61,684000
2017-03-09,1489017600,19.5,19.73,19.28,19.37,840800
2017-03-10,1489104000,19.58,19.68,19.17,19.28,580200
2017-03-13,1489363200,19.29,19.5,19.19,19.28,598400
2017-03-14,1489449600,19.21,19.21,19.0,19.13,427000
2017-03-15,1489536000,19.19,19.65,19.17,19.55,595000
2017-03-16,1489622400,19.52,19.62,19.41,19.47,398000
2017-03-17,1489708800,19.51,19.68,19.43,19.64,1233300
2017-03-20,1489968000,19.7,19.74,19.51,19.64,572800
2017-03-21,1490054400,19.7,19.75,19.55,19.59,628700
2017-03-22,1490140800,19.59,19.65,19.35,19.63,990700
2017-03-23,1490227200,19.63,20.02,19.51,19.85,842500
2017-03-24,1490313600,19.89,19.97,19.82,19.84,641500
2017-03-27,1490572800,19.75,19.81,19.48,19.6,900200
2017-03-28,1490659200,19.63,19.65,19.43,19.53,1214800
2017-03-29,1490745600,19.54,19.68,19.51,19.65,693300
2017-03-30,1490832000,19.65,19.78,19.52,19.77,625400
2017-03-31,1490918400,19.77,19.97,19.73,19.92,939400
2017-04-03,1491177600,19.92,20.05,19.77,20.05,485100
2017-04-04,1491264000,20.01,20.43,19.91,20.3,1638400
