Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,7.15,7.43,7.05,7.35,312400
2017-01-04,1483488000,7.35,7.55,7.25,7.48,294400
2017-01-05,1483574400,7.4,7.55,7.35,7.45,149300
2017-01-06,1483660800,7.45,7.55,7.25,7.45,373000
2017-01-09,1483920000,7.4,7.55,7.3,7.35,280400
2017-01-10,1484006400,7.45,7.55,7.3,7.4,221000
2017-01-11,1484092800,7.35,7.5,7.2,7.5,166400
2017-01-12,1484179200,7.5,7.6,7.28,7.45,282500
2017-01-13,1484265600,7.5,7.5,7.25,7.35,170300
2017-01-17,1484611200,7.3,7.5,7.25,7.5,209500
2017-01-18,1484697600,7.45,7.55,7.3,7.35,195600
2017-01-19,1484784000,7.3,7.45,7.3,7.45,348700
2017-01-20,1484870400,7.5,7.55,7.45,7.5,85200
2017-01-23,1485129600,7.5,7.55,7.35,7.45,200500
2017-01-24,1485216000,7.5,7.6,7.3,7.4,297600
2017-01-25,1485302400,7.35,7.5,7.3,7.4,125300
2017-01-26,1485388800,7.4,7.5,7.3,7.43,181800
2017-01-27,1485475200,7.4,7.45,7.3,7.4,227000
2017-01-30,1485734400,7.35,7.4,7.0,7.1,488100
2017-01-31,1485820800,7.05,7.15,6.9,7.0,521500
2017-02-01,1485907200,6.95,7.1,6.83,6.9,364700
2017-02-02,1485993600,6.85,6.9,6.75,6.85,365800
2017-02-03,1486080000,6.8,6.9,6.8,6.8,120100
2017-02-06,1486339200,6.9,7.05,6.8,7.0,336800
2017-02-07,1486425600,7.0,7.53,6.95,7.35,489100
2017-02-08,1486512000,7.4,7.45,7.26,7.35,393200
2017-02-09,1486598400,7.3,7.55,7.3,7.45,573000
2017-02-10,1486684800,7.45,7.6,7.38,7.55,402100
2017-02-13,1486944000,7.55,7.6,7.4,7.5,400900
2017-02-14,1487030400,7.45,7.55,7.4,7.55,272500
2017-02-15,1487116800,7.5,7.55,7.41,7.5,231300
2017-02-16,1487203200,7.45,7.53,7.25,7.25,118800
2017-02-17,1487289600,7.25,7.3,7.0,7.2,243700
2017-02-21,1487635200,7.2,7.4,7.15,7.3,216200
2017-02-22,1487721600,7.25,7.3,7.15,7.2,295400
2017-02-23,1487808000,7.25,7.4,7.15,7.3,163800
2017-02-24,1487894400,7.25,7.35,7.1,7.3,225400
2017-02-27,1488153600,7.2,7.28,7.15,7.2,134700
2017-02-28,1488240000,7.15,7.2,7.05,7.2,259200
2017-03-01,1488326400,6.8,7.0,6.3,6.75,1519200
2017-03-02,1488412800,6.5,6.65,6.0,6.1,1128300
2017-03-03,1488499200,6.1,7.13,6.0,6.9,3450000
2017-03-06,1488758400,6.45,7.0,6.4,6.9,3263800
2017-03-07,1488844800,7.2,7.45,6.85,6.9,1894700
2017-03-08,1488931200,7.0,7.15,6.8,7.0,1043100
2017-03-09,1489017600,7.2,7.25,6.88,7.0,1243600
2017-03-10,1489104000,7.05,7.43,7.03,7.3,672400
2017-03-13,1489363200,7.35,7.4,7.05,7.15,533200
2017-03-14,1489449600,7.1,7.25,7.0,7.2,457400
2017-03-15,1489536000,7.2,7.3,7.15,7.15,570800
2017-03-16,1489622400,7.2,7.25,7.0,7.15,629200
2017-03-17,1489708800,7.2,7.2,7.05,7.1,559500
2017-03-20,1489968000,7.05,7.1,6.95,7.1,435300
2017-03-21,1490054400,7.1,7.1,6.9,6.9,186300
2017-03-22,1490140800,6.9,7.0,6.78,6.95,403900
2017-03-23,1490227200,7.0,7.08,6.8,6.85,605900
2017-03-24,1490313600,6.85,6.9,6.7,6.75,354200
2017-03-27,1490572800,6.7,6.78,6.6,6.7,223200
2017-03-28,1490659200,6.65,6.75,6.65,6.75,252100
2017-03-29,1490745600,6.7,6.8,6.55,6.75,424600
2017-03-30,1490832000,6.75,6.95,6.7,6.8,321800
2017-03-31,1490918400,6.8,7.05,6.8,6.95,853700
2017-04-03,1491177600,6.85,7.0,6.75,6.85,700400
2017-04-04,1491264000,6.85,6.9,6.6,6.75,1370700
2017-04-05,1491350400,6.7,6.88,6.55,6.8,863800
2017-04-06,1491436800,6.75,6.9,6.65,6.8,194000
2017-04-07,1491523200,6.8,6.95,6.8,6.85,276900
2017-04-10,1491782400,6.9,6.9,6.65,6.7,329000
2017-04-11,1491868800,6.45,6.78,6.45,6.7,293400
2017-04-12,1491955200,6.75,6.8,6.6,6.75,231100
2017-04-13,1492041600,6.75,6.95,6.7,6.75,297000
2017-04-17,1492387200,6.75,6.8,6.45,6.6,580400
2017-04-18,1492473600,6.6,6.65,6.45,6.55,148400
2017-04-19,1492560000,6.55,6.55,6.42,6.5,175700
2017-04-20,1492646400,6.45,6.6,6.38,6.45,452000
2017-04-21,1492732800,6.45,6.5,6.3,6.4,372800
2017-04-24,1492992000,6.4,6.6,6.4,6.5,245700
2017-04-25,1493078400,6.5,7.05,6.5,6.95,667100
2017-04-26,1493164800,6.95,7.05,6.8,6.95,684700
2017-04-27,1493251200,7.0,7.3,7.0,7.25,365800
2017-04-28,1493337600,7.2,7.4,6.9,7.3,377300
2017-05-01,1493596800,7.3,7.35,7.08,7.2,421300
2017-05-02,1493683200,7.25,7.3,7.03,7.15,655900
2017-05-03,1493769600,7.15,7.23,7.1,7.1,385200
2017-05-04,1493856000,7.1,7.25,7.1,7.25,275200
2017-05-05,1493942400,7.25,7.4,7.2,7.4,397800
2017-05-08,1494201600,7.35,7.45,7.3,7.45,392900
2017-05-09,1494288000,7.45,7.48,7.3,7.35,451500
2017-05-10,1494374400,7.45,8.05,7.45,8.0,930000
2017-05-11,1494460800,7.95,8.03,7.95,8.0,765900
2017-05-12,1494547200,8.0,8.4,7.95,8.35,2734100
2017-05-15,1494806400,8.45,8.75,8.4,8.7,901700
2017-05-16,1494892800,8.8,9.15,8.7,9.0,1020100
2017-05-17,1494979200,8.95,8.95,8.6,8.65,1071100
2017-05-18,1495065600,8.7,8.75,8.45,8.55,723700
2017-05-19,1495152000,8.55,9.45,8.55,9.35,1731200
2017-05-22,1495411200,9.3,9.5,9.1,9.45,1225000
2017-05-23,1495497600,9.5,9.57,9.2,9.5,885200
2017-05-24,1495584000,9.55,9.6,9.38,9.5,451600
2017-05-25,1495670400,9.6,9.65,9.47,9.6,444900
2017-05-26,1495756800,9.6,9.6,9.48,9.55,339800
2017-05-30,1496102400,9.6,9.6,9.4,9.4,360100
2017-05-31,1496188800,9.4,9.6,9.25,9.3,545600
2017-06-01,1496275200,9.4,9.45,9.3,9.45,342300
2017-06-02,1496361600,9.4,9.8,9.4,9.7,662000
2017-06-05,1496620800,9.7,9.8,9.6,9.7,1081300
2017-06-06,1496707200,9.7,9.8,9.55,9.6,618600
2017-06-07,1496793600,9.55,9.7,9.45,9.45,217600
2017-06-08,1496880000,9.45,9.95,9.4,9.85,553400
2017-06-09,1496966400,9.85,9.88,9.55,9.6,310700
2017-06-12,1497225600,9.55,9.65,9.4,9.55,205200
2017-06-13,1497312000,9.6,9.64,9.45,9.55,117700
2017-06-14,1497398400,9.6,9.72,9.5,9.55,178700
2017-06-15,1497484800,9.45,9.6,9.3,9.5,196300
2017-06-16,1497571200,9.55,9.65,9.3,9.3,256400
2017-06-19,1497830400,9.3,9.4,9.25,9.3,408600
2017-06-20,1497916800,9.35,9.6,9.15,9.55,297800
2017-06-21,1498003200,9.6,9.8,9.55,9.75,258700
2017-06-22,1498089600,9.65,9.9,9.65,9.8,387400
2017-06-23,1498176000,9.8,10.05,9.75,10.0,363300
2017-06-26,1498435200,10.0,10.15,9.85,10.0,328700
2017-06-27,1498521600,10.0,10.2,9.8,9.85,305200
2017-06-28,1498608000,9.9,9.95,9.6,9.75,372100
2017-06-29,1498694400,9.75,9.8,9.6,9.6,350100
2017-06-30,1498780800,9.65,10.2,9.5,10.2,485500
2017-07-03,1499040000,9.95,10.2,9.95,10.05,208700
2017-07-05,1499212800,10.0,10.03,9.9,9.9,375400
2017-07-06,1499299200,9.95,10.0,9.75,9.85,188400
2017-07-07,1499385600,9.85,9.98,9.75,9.95,173100
2017-07-10,1499644800,9.95,9.95,9.7,9.8,164700
2017-07-11,1499731200,9.75,9.9,9.7,9.8,253000
2017-07-12,1499817600,9.75,10.0,9.75,9.9,404500
2017-07-13,1499904000,9.85,9.95,9.7,9.95,178900
2017-07-14,1499990400,9.95,9.95,9.75,9.75,201400
2017-07-17,1500249600,9.85,9.92,9.65,9.75,335500
2017-07-18,1500336000,9.7,9.8,9.6,9.6,218800
2017-07-19,1500422400,9.7,9.85,9.63,9.65,381000
2017-07-20,1500508800,9.7,9.75,9.65,9.7,196900
2017-07-21,1500595200,9.65,9.93,9.57,9.85,335000
2017-07-24,1500854400,9.85,10.05,9.75,10.0,1112900
2017-07-25,1500940800,10.05,10.05,9.95,10.0,224500
2017-07-26,1501027200,9.95,10.0,9.9,9.9,393200
2017-07-27,1501113600,10.0,10.0,9.55,9.65,255300
2017-07-28,1501200000,9.65,9.7,9.4,9.6,330800
2017-07-31,1501459200,9.55,9.6,9.2,9.5,746900
2017-08-01,1501545600,9.5,9.6,9.3,9.4,204800
2017-08-02,1501632000,9.35,9.36,9.05,9.25,305600
2017-08-03,1501718400,9.25,9.3,9.1,9.15,209900
2017-08-04,1501804800,9.25,9.35,9.15,9.25,155300
2017-08-07,1502064000,9.25,9.4,9.2,9.35,146200
2017-08-08,1502150400,9.3,9.3,9.05,9.15,401000
2017-08-09,1502236800,8.5,9.15,8.45,8.95,1260600
2017-08-10,1502323200,8.8,9.0,8.5,8.6,686400
2017-08-11,1502409600,8.7,9.15,8.55,9.15,411100
2017-08-14,1502668800,9.15,9.65,9.1,9.5,457800
2017-08-15,1502755200,9.55,9.55,9.3,9.45,450800
2017-08-16,1502841600,9.5,9.5,9.15,9.3,360600
2017-08-17,1502928000,9.25,9.28,8.85,8.95,234100
2017-08-18,1503014400,8.95,8.95,8.63,8.85,258100
2017-08-21,1503273600,8.8,8.82,8.6,8.65,168100
2017-08-22,1503360000,8.65,8.82,8.5,8.65,310600
2017-08-23,1503446400,8.65,8.8,8.6,8.75,135100
2017-08-24,1503532800,8.7,8.7,8.5,8.6,302200
2017-08-25,1503619200,8.6,8.7,8.5,8.55,422800
2017-08-28,1503878400,8.5,8.65,8.4,8.6,334000
2017-08-29,1503964800,8.5,8.55,8.28,8.45,329000
2017-08-30,1504051200,8.4,8.53,8.2,8.25,345000
2017-08-31,1504137600,8.25,8.7,8.2,8.6,507600
2017-09-01,1504224000,8.65,8.75,8.5,8.6,296600
2017-09-05,1504569600,8.6,8.8,8.45,8.7,249600
2017-09-06,1504656000,8.7,8.9,8.6,8.8,380100
2017-09-07,1504742400,8.8,9.0,8.65,8.95,340500
2017-09-08,1504828800,8.9,9.1,8.8,8.95,470700
2017-09-11,1505088000,9.05,9.05,8.48,8.55,437800
2017-09-12,1505174400,8.6,8.95,8.3,8.5,679200
2017-09-13,1505260800,8.55,8.65,8.45,8.55,379600
2017-09-14,1505347200,8.5,8.55,8.35,8.55,185200
2017-09-15,1505433600,8.5,8.57,8.32,8.5,276300
2017-09-18,1505692800,8.5,8.6,8.4,8.4,142900
2017-09-19,1505779200,8.5,8.6,8.25,8.3,229400
2017-09-20,1505865600,8.35,8.43,8.1,8.2,632200
2017-09-21,1505952000,8.15,8.4,8.15,8.35,224200
2017-09-22,1506038400,8.35,8.5,8.35,8.4,84200
2017-09-25,1506297600,8.4,8.48,8.32,8.45,227800
2017-09-26,1506384000,8.4,8.65,8.4,8.45,239400
2017-09-27,1506470400,8.5,8.63,8.15,8.3,625000
2017-09-28,1506556800,8.25,8.55,8.0,8.45,1049500
2017-09-29,1506643200,8.5,8.75,8.35,8.7,297600
2017-10-02,1506902400,8.65,8.7,8.5,8.6,382000
2017-10-03,1506988800,8.65,8.65,8.35,8.45,133000
2017-10-04,1507075200,8.4,8.75,8.28,8.7,242600
2017-10-05,1507161600,8.7,9.07,8.6,9.0,402600
2017-10-06,1507248000,9.05,9.4,8.98,9.3,622700
2017-10-09,1507507200,9.25,9.43,9.15,9.3,239200
2017-10-10,1507593600,9.3,9.35,9.2,9.25,193200
