Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,23.83,24.25,23.27,23.86,1131016
2017-01-04,1483488000,23.94,24.65,23.94,24.41,1639131
2017-01-05,1483574400,24.42,24.56,23.87,24.03,1287983
2017-01-06,1483660800,23.68,23.79,23.2,23.52,8325041
2017-01-09,1483920000,23.56,23.82,23.27,23.64,2735873
2017-01-10,1484006400,23.83,24.02,23.47,23.7,2776940
2017-01-11,1484092800,23.72,23.74,23.38,23.43,1060948
2017-01-12,1484179200,23.32,23.4,22.66,23.0,1587518
2017-01-13,1484265600,23.0,23.56,23.0,23.41,1064294
2017-01-17,1484611200,23.42,23.45,23.01,23.03,754315
2017-01-18,1484697600,23.01,23.55,23.01,23.35,1082952
2017-01-19,1484784000,23.51,23.72,23.1,23.12,870620
2017-01-20,1484870400,23.66,23.85,23.33,23.72,1659411
2017-01-23,1485129600,23.58,23.84,23.21,23.74,803392
2017-01-24,1485216000,23.92,24.9,23.92,24.77,4142596
2017-01-25,1485302400,25.13,25.69,24.97,25.63,3865875
2017-01-26,1485388800,25.68,26.09,25.56,25.71,2110742
2017-01-27,1485475200,25.78,25.94,25.48,25.68,1829155
2017-01-30,1485734400,25.4,25.54,24.84,25.1,2191254
2017-01-31,1485820800,25.0,25.17,24.14,24.75,5169068
2017-02-01,1485907200,24.91,25.18,24.47,24.85,1447992
2017-02-02,1485993600,24.73,25.06,24.5,24.79,957520
2017-02-03,1486080000,25.07,25.23,24.85,25.08,1182425
2017-02-06,1486339200,25.03,25.03,24.62,24.7,1546350
2017-02-07,1486425600,24.4,24.76,23.95,24.09,2428530
2017-02-08,1486512000,24.02,24.06,23.36,23.81,1977908
2017-02-09,1486598400,23.77,24.0,23.5,23.87,1137100
2017-02-10,1486684800,24.12,24.48,23.94,24.07,823165
2017-02-13,1486944000,24.37,24.62,24.2,24.3,1292242
2017-02-14,1487030400,24.14,24.2,23.86,24.16,1187090
2017-02-15,1487116800,24.16,24.52,24.08,24.36,1682327
2017-02-16,1487203200,24.36,24.36,23.57,23.79,1444240
2017-02-17,1487289600,23.84,23.84,23.17,23.41,1626050
2017-02-21,1487635200,23.52,24.07,23.4,23.95,2491702
2017-02-22,1487721600,23.98,24.29,23.23,23.47,2693691
2017-02-23,1487808000,23.58,23.91,22.15,22.97,3749873
2017-02-24,1487894400,22.64,23.43,22.49,23.42,1539049
2017-02-27,1488153600,23.4,24.29,23.39,23.92,2383306
2017-02-28,1488240000,23.93,23.98,23.41,23.56,1316476
2017-03-01,1488326400,24.19,24.71,23.95,24.32,2345179
2017-03-02,1488412800,24.3,24.52,24.16,24.23,1935827
2017-03-03,1488499200,24.18,24.61,24.02,24.23,1367987
2017-03-06,1488758400,24.04,24.35,23.84,24.21,1184149
2017-03-07,1488844800,24.12,24.29,23.65,23.73,1113676
2017-03-08,1488931200,23.74,24.12,23.66,23.76,1338784
2017-03-09,1489017600,23.68,23.98,23.14,23.36,2056189
2017-03-10,1489104000,23.61,23.88,23.09,23.74,1652414
2017-03-13,1489363200,23.7,23.93,23.62,23.77,837260
2017-03-14,1489449600,23.53,23.53,23.07,23.46,892320
2017-03-15,1489536000,23.73,23.93,23.5,23.82,812518
2017-03-16,1489622400,23.91,23.93,22.91,23.0,1674722
2017-03-17,1489708800,22.91,23.07,22.54,22.88,2415855
2017-03-20,1489968000,22.96,23.05,22.6,23.04,1500720
2017-03-21,1490054400,23.19,23.2,22.49,22.79,2058724
2017-03-22,1490140800,22.68,23.21,22.62,23.17,1470807
2017-03-23,1490227200,23.15,23.55,23.0,23.18,1441908
2017-03-24,1490313600,23.19,23.33,22.5,22.8,1916967
2017-03-27,1490572800,22.39,22.98,21.88,22.98,1507615
2017-03-28,1490659200,22.9,23.4,22.87,23.15,823571
2017-03-29,1490745600,23.09,23.78,23.08,23.69,1074434
2017-03-30,1490832000,23.71,24.18,23.66,23.69,2658100
2017-03-31,1490918400,23.67,24.7,23.66,24.37,2877833
2017-04-03,1491177600,24.41,24.59,23.57,23.67,1584274
2017-04-04,1491264000,23.62,23.93,23.39,23.93,1523028
2017-04-05,1491350400,24.09,24.33,23.51,23.52,1164173
2017-04-06,1491436800,23.63,24.11,23.49,24.09,1301773
2017-04-07,1491523200,24.07,25.19,24.07,24.7,2934820
2017-04-10,1491782400,24.76,24.94,24.5,24.64,970094
2017-04-11,1491868800,24.56,24.78,23.85,24.68,1409257
2017-04-12,1491955200,24.56,24.72,24.05,24.69,2091172
2017-04-13,1492041600,24.59,24.84,24.3,24.32,1599889
2017-04-17,1492387200,24.47,24.74,24.2,24.69,1411691
2017-04-18,1492473600,24.41,24.7,24.14,24.26,1003353
2017-04-19,1492560000,24.39,24.67,24.23,24.27,921320
2017-04-20,1492646400,24.46,25.13,24.33,25.02,1257360
