Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.68,15.77,15.62,15.68,1195100
2017-01-04,1483488000,15.69,16.16,15.69,15.94,990900
2017-01-05,1483574400,16.02,16.12,15.79,15.8,1027000
2017-01-06,1483660800,15.8,15.93,15.54,15.58,1039800
2017-01-09,1483920000,15.59,16.01,15.29,15.9,894200
2017-01-10,1484006400,15.91,15.97,15.53,15.54,847100
2017-01-11,1484092800,15.54,15.75,15.54,15.7,370300
2017-01-12,1484179200,15.66,15.74,15.51,15.61,357000
2017-01-13,1484265600,15.59,15.68,15.29,15.48,717200
2017-01-17,1484611200,15.59,15.8,15.37,15.54,805400
2017-01-18,1484697600,15.52,15.67,15.39,15.5,2689400
2017-01-19,1484784000,15.45,15.63,15.4,15.48,454100
2017-01-20,1484870400,15.54,15.55,15.42,15.51,651200
2017-01-23,1485129600,15.57,15.66,15.47,15.62,438500
2017-01-24,1485216000,15.69,16.05,15.69,15.96,774700
2017-01-25,1485302400,16.15,16.27,16.07,16.22,717400
2017-01-26,1485388800,16.22,16.51,16.22,16.48,645200
2017-01-27,1485475200,16.38,16.63,16.38,16.54,655700
2017-01-30,1485734400,16.59,16.59,16.23,16.55,518300
2017-01-31,1485820800,16.61,16.67,16.13,16.44,518100
2017-02-01,1485907200,16.52,16.66,16.32,16.4,631700
2017-02-02,1485993600,16.53,17.03,16.49,16.84,943200
2017-02-03,1486080000,16.98,17.39,16.87,17.17,1367700
2017-02-06,1486339200,17.36,17.7,17.33,17.39,1034600
2017-02-07,1486425600,17.49,17.55,17.24,17.27,952200
2017-02-08,1486512000,17.33,17.36,16.99,17.18,1736000
2017-02-09,1486598400,17.26,17.49,16.97,17.43,1024800
2017-02-10,1486684800,17.54,17.58,17.05,17.16,1056500
2017-02-13,1486944000,17.41,17.44,16.74,16.77,1318300
2017-02-14,1487030400,16.77,17.21,16.35,17.07,1197200
2017-02-15,1487116800,16.88,17.13,16.67,16.77,940300
2017-02-16,1487203200,16.72,17.09,16.63,17.03,1042200
2017-02-17,1487289600,16.99,17.12,16.68,16.75,1022100
2017-02-21,1487635200,17.04,17.11,16.88,16.95,931900
2017-02-22,1487721600,17.09,17.09,16.54,16.6,1159400
2017-02-23,1487808000,16.05,17.03,15.62,16.47,2391100
2017-02-24,1487894400,16.15,16.44,15.98,16.44,1068400
2017-02-27,1488153600,16.13,16.31,15.7,15.85,1886300
