Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,12.81,13.09,12.53,12.6,17586
2017-01-04,1483488000,12.77,12.95,12.67,12.88,8029
2017-01-05,1483574400,12.68,13.79,12.68,13.66,46671
2017-01-06,1483660800,13.86,14.63,13.44,13.93,60243
2017-01-09,1483920000,14.14,14.14,13.3,13.72,38314
2017-01-10,1484006400,13.86,14.35,13.72,14.07,23986
2017-01-11,1484092800,14.21,15.26,12.81,13.8,105214
2017-01-12,1484179200,13.3,13.96,12.95,13.65,17471
2017-01-13,1484265600,13.79,14.07,13.79,14.0,10657
2017-01-17,1484611200,14.0,14.07,13.72,13.93,11657
2017-01-18,1484697600,13.93,14.56,13.93,14.0,20986
2017-01-19,1484784000,14.0,14.35,14.0,14.35,6757
2017-01-20,1484870400,14.42,15.05,14.31,15.05,8343
2017-01-23,1485129600,14.91,14.91,14.14,14.35,21657
2017-01-24,1485216000,14.0,14.56,14.0,14.49,15486
2017-01-25,1485302400,14.45,14.84,14.43,14.77,4843
2017-01-26,1485388800,14.56,14.84,14.56,14.7,4743
2017-01-27,1485475200,14.7,14.98,14.7,14.77,4614
2017-01-30,1485734400,14.73,14.91,14.7,14.84,4471
2017-01-31,1485820800,14.7,15.12,14.21,15.12,6614
2017-02-01,1485907200,15.12,15.26,14.87,15.19,5514
2017-02-02,1485993600,15.11,15.96,15.06,15.89,19486
2017-02-03,1486080000,16.1,16.17,15.46,16.1,12957
2017-02-06,1486339200,16.17,16.17,15.56,15.82,3357
2017-02-07,1486425600,15.85,15.85,15.12,15.61,9829
2017-02-08,1486512000,15.61,15.61,15.12,15.4,5857
2017-02-09,1486598400,15.19,15.61,15.19,15.54,2800
2017-02-10,1486684800,15.61,15.75,15.4,15.75,4043
2017-02-13,1486944000,15.57,15.96,15.57,15.82,4214
2017-02-14,1487030400,15.92,16.17,15.68,16.17,5986
2017-02-15,1487116800,16.17,16.17,15.96,16.1,2757
2017-02-16,1487203200,16.03,16.45,16.03,16.31,3414
2017-02-17,1487289600,16.31,16.45,16.17,16.27,3229
2017-02-21,1487635200,16.17,16.38,15.75,16.1,34800
2017-02-22,1487721600,16.39,16.39,15.26,15.89,5486
2017-02-23,1487808000,15.68,15.68,15.05,15.19,8871
2017-02-24,1487894400,15.33,15.54,15.19,15.54,6900
2017-02-27,1488153600,15.61,16.17,15.19,16.17,3771
2017-02-28,1488240000,15.82,16.45,15.82,16.24,16329
2017-03-01,1488326400,16.17,16.24,15.82,16.03,6571
2017-03-02,1488412800,16.03,16.24,15.68,16.1,5686
2017-03-03,1488499200,16.06,16.17,15.78,16.17,6971
2017-03-06,1488758400,13.86,15.75,11.41,15.75,10529
2017-03-07,1488844800,15.4,15.96,14.42,15.05,5514
2017-03-08,1488931200,14.84,15.39,14.84,15.26,3200
2017-03-09,1489017600,15.05,15.33,14.91,15.33,2686
2017-03-10,1489104000,15.19,15.54,15.12,15.33,2629
2017-03-13,1489363200,15.54,16.03,14.91,16.03,3214
2017-03-14,1489449600,15.82,15.96,15.46,15.96,11200
2017-03-15,1489536000,15.68,16.31,15.51,16.1,7329
2017-03-16,1489622400,15.96,16.24,15.89,15.89,5986
2017-03-17,1489708800,16.03,16.24,16.03,16.1,3529
2017-03-20,1489968000,15.99,16.1,15.92,16.1,1143
2017-03-21,1490054400,15.96,16.1,15.15,15.96,3957
2017-03-22,1490140800,15.19,15.26,14.77,14.98,3714
2017-03-23,1490227200,14.77,14.84,14.48,14.69,5757
2017-03-24,1490313600,14.43,14.56,14.0,14.56,11443
2017-03-27,1490572800,14.42,14.49,14.21,14.42,4043
2017-03-28,1490659200,14.49,14.56,14.42,14.42,814
2017-03-29,1490745600,14.55,15.19,14.55,15.19,2443
2017-03-30,1490832000,15.19,15.19,14.77,14.77,2357
2017-03-31,1490918400,14.77,15.61,14.77,15.33,12943
2017-04-03,1491177600,15.05,15.05,14.28,14.49,3857
2017-04-04,1491264000,14.14,14.98,14.14,14.77,2929
2017-04-05,1491350400,14.91,14.91,14.21,14.42,3843
2017-04-06,1491436800,14.07,14.49,13.72,14.42,6314
2017-04-07,1491523200,14.42,14.84,14.21,14.21,1129
2017-04-10,1491782400,14.42,14.7,13.96,14.42,1657
2017-04-11,1491868800,14.45,14.45,14.21,14.35,9286
2017-04-12,1491955200,14.35,14.35,14.35,14.35,0
2017-04-13,1492041600,14.07,14.56,14.07,14.56,1986
2017-04-17,1492387200,14.7,14.7,14.56,14.63,414
2017-04-18,1492473600,14.63,14.63,14.21,14.21,2000
2017-04-19,1492560000,14.42,14.63,14.42,14.63,771
2017-04-20,1492646400,14.68,14.7,14.37,14.41,1486
2017-04-21,1492732800,14.35,14.35,14.14,14.28,1643
2017-04-24,1492992000,14.28,14.28,13.58,14.14,1629
2017-04-25,1493078400,14.07,14.21,14.07,14.21,2257
2017-04-26,1493164800,14.16,14.49,14.12,14.49,1757
2017-04-27,1493251200,14.49,14.7,14.42,14.42,1800
2017-04-28,1493337600,14.49,14.7,14.42,14.7,3157
2017-05-01,1493596800,14.63,14.63,14.49,14.49,114
2017-05-02,1493683200,14.48,14.63,14.47,14.63,114
2017-05-03,1493769600,14.7,15.05,14.42,14.56,11629
2017-05-04,1493856000,14.56,14.56,14.56,14.56,114
2017-05-05,1493942400,14.63,14.63,14.43,14.56,1400
2017-05-08,1494201600,14.43,14.49,14.13,14.35,6729
2017-05-09,1494288000,14.0,14.07,13.81,14.07,4486
2017-05-10,1494374400,14.0,14.07,13.58,14.07,5000
2017-05-11,1494460800,14.05,14.05,14.05,14.05,43
2017-05-12,1494547200,14.0,14.0,14.0,14.0,157
2017-05-15,1494806400,13.93,14.28,13.93,14.21,2314
2017-05-16,1494892800,14.28,14.28,9.8,10.29,57671
2017-05-17,1494979200,9.52,10.36,9.1,10.01,24071
2017-05-18,1495065600,9.8,10.08,9.58,9.8,8757
2017-05-19,1495152000,10.09,10.09,9.24,9.73,8743
2017-05-22,1495411200,10.08,10.15,9.59,9.81,27800
2017-05-23,1495497600,9.94,9.99,9.66,9.73,31357
2017-05-24,1495584000,9.8,10.08,9.8,10.08,18314
2017-05-25,1495670400,10.08,10.29,9.94,10.22,15686
2017-05-26,1495756800,9.87,10.19,9.8,10.15,7657
2017-05-30,1496102400,10.15,10.29,10.08,10.08,14571
2017-05-31,1496188800,10.08,10.57,10.08,10.57,5629
2017-06-01,1496275200,10.43,10.5,10.08,10.29,20329
2017-06-02,1496361600,10.13,10.71,10.01,10.43,25914
2017-06-05,1496620800,10.64,10.71,10.22,10.64,13543
2017-06-06,1496707200,10.71,10.85,10.66,10.85,13714
2017-06-07,1496793600,10.78,10.85,10.71,10.71,8771
2017-06-08,1496880000,10.71,10.94,10.71,10.85,12557
2017-06-09,1496966400,10.92,10.99,10.64,10.71,17700
2017-06-12,1497225600,10.43,10.57,10.36,10.36,4471
2017-06-13,1497312000,10.5,10.71,10.36,10.56,16500
2017-06-14,1497398400,10.43,10.71,10.22,10.29,7100
2017-06-15,1497484800,10.35,10.5,9.84,10.5,3043
2017-06-16,1497571200,10.15,10.51,10.08,10.43,7486
2017-06-19,1497830400,10.36,10.57,10.15,10.15,15014
2017-06-20,1497916800,10.29,10.99,10.29,10.71,9714
2017-06-21,1498003200,10.71,10.85,10.43,10.43,1486
2017-06-22,1498089600,10.5,11.34,10.5,10.85,4271
2017-06-23,1498176000,10.36,10.95,10.08,10.08,2557
2017-06-26,1498435200,10.08,10.85,10.08,10.71,4357
2017-06-27,1498521600,10.71,10.92,10.08,10.71,8071
2017-06-28,1498608000,10.65,13.37,10.64,11.2,4514
2017-06-29,1498694400,11.27,11.97,10.92,11.69,4086
2017-06-30,1498780800,11.2,12.11,11.2,11.69,3057
2017-07-03,1499040000,11.69,11.99,11.41,11.97,4557
2017-07-05,1499212800,11.82,12.01,11.2,11.55,1043
2017-07-06,1499299200,11.53,12.04,11.53,11.97,2771
2017-07-07,1499385600,11.62,11.9,11.62,11.9,1657
2017-07-10,1499644800,11.97,12.04,11.69,11.83,2543
2017-07-11,1499731200,11.77,12.18,11.77,11.9,2686
2017-07-12,1499817600,12.03,12.18,11.9,12.18,886
2017-07-13,1499904000,12.11,12.18,12.11,12.18,629
2017-07-14,1499990400,12.25,13.37,12.15,13.3,6086
2017-07-17,1500249600,12.11,13.07,12.04,12.18,2357
2017-07-18,1500336000,12.25,12.39,11.34,11.69,6129
2017-07-19,1500422400,12.11,12.11,11.69,11.9,2100
2017-07-20,1500508800,11.9,12.04,11.2,11.55,5043
2017-07-21,1500595200,11.76,12.05,11.2,11.62,2129
2017-07-24,1500854400,11.76,11.9,11.13,11.13,4600
2017-07-25,1500940800,11.34,12.25,11.34,11.76,1629
2017-07-26,1501027200,12.09,12.11,11.76,11.76,1171
2017-07-27,1501113600,11.76,11.97,11.69,11.69,457
2017-07-28,1501200000,12.32,12.32,11.75,11.76,714
2017-07-31,1501459200,11.76,11.91,11.76,11.9,243
2017-08-01,1501545600,11.76,12.32,11.76,12.25,1371
2017-08-02,1501632000,11.76,11.76,11.76,11.76,214
2017-08-03,1501718400,12.22,12.22,11.76,11.9,1857
2017-08-04,1501804800,11.9,11.91,11.34,11.76,2943
2017-08-07,1502064000,11.42,12.25,11.39,11.9,1929
2017-08-08,1502150400,11.55,11.95,11.41,11.76,943
2017-08-09,1502236800,11.97,12.25,11.83,12.18,514
2017-08-10,1502323200,11.47,11.67,11.47,11.55,1114
2017-08-11,1502409600,11.48,12.11,11.48,11.62,200
2017-08-14,1502668800,11.62,12.11,11.62,12.11,329
2017-08-15,1502755200,11.37,12.11,11.34,12.04,700
2017-08-16,1502841600,11.68,12.04,11.68,12.04,157
2017-08-17,1502928000,12.06,12.08,12.04,12.04,314
2017-08-18,1503014400,11.7,12.18,11.55,11.76,2014
2017-08-21,1503273600,11.55,12.11,10.15,11.86,7929
2017-08-22,1503360000,11.62,12.11,11.55,11.9,1457
2017-08-23,1503446400,11.62,12.18,11.2,11.62,2457
2017-08-24,1503532800,12.18,12.18,11.41,11.83,871
2017-08-25,1503619200,12.09,12.25,11.55,11.97,5843
2017-08-28,1503878400,10.3,12.07,10.3,12.07,900
2017-08-29,1503964800,12.55,13.75,12.55,13.75,700
2017-08-30,1504051200,13.57,13.86,12.05,13.28,4300
2017-08-31,1504137600,13.2,13.2,12.8,12.8,800
2017-09-01,1504224000,12.8,13.44,12.24,13.25,2500
2017-09-05,1504569600,13.44,13.44,12.56,12.56,800
2017-09-06,1504656000,12.96,12.96,12.12,12.18,1100
2017-09-07,1504742400,12.94,13.2,12.53,13.2,14300
2017-09-08,1504828800,13.0,13.44,12.96,13.44,9500
2017-09-11,1505088000,13.49,14.49,13.46,14.25,8300
2017-09-12,1505174400,14.39,18.0,14.39,17.5,18500
2017-09-13,1505260800,17.78,22.35,17.78,20.15,29400
2017-09-14,1505347200,21.4,23.0,18.7,19.0,18000
2017-09-15,1505433600,19.0,19.96,17.56,19.25,20300
2017-09-18,1505692800,20.03,20.03,18.1,18.73,8600
2017-09-19,1505779200,18.75,19.25,17.9,18.65,10700
2017-09-20,1505865600,18.5,18.71,17.88,17.92,65000
2017-09-21,1505952000,18.1,18.25,18.05,18.05,3400
2017-09-22,1506038400,18.0,18.45,17.96,18.15,9000
2017-09-25,1506297600,18.75,19.45,18.0,18.15,50700
2017-09-26,1506384000,18.49,18.86,17.9,18.75,118300
2017-09-27,1506470400,19.45,20.56,19.35,20.01,57400
2017-09-28,1506556800,19.5,21.89,18.23,21.79,73600
2017-09-29,1506643200,22.0,22.4,18.69,19.01,48800
2017-10-02,1506902400,20.12,20.12,17.65,18.9,32000
2017-10-03,1506988800,18.9,18.9,17.46,17.53,13300
2017-10-04,1507075200,17.64,17.95,17.45,17.6,4800
2017-10-05,1507161600,17.59,17.68,16.87,17.17,18700
2017-10-06,1507248000,17.01,18.0,16.95,17.91,3000
2017-10-09,1507507200,17.27,17.61,15.76,16.27,22600
2017-10-10,1507593600,16.37,16.37,16.0,16.11,24900
2017-10-11,1507680000,17.07,17.23,15.41,16.01,1300
2017-10-12,1507766400,16.32,17.13,16.32,16.43,6900
2017-10-13,1507852800,16.72,16.89,16.55,16.55,2500
2017-10-16,1508112000,16.9,18.36,16.87,17.75,7300
2017-10-17,1508198400,17.31,17.31,16.47,16.67,22200
2017-10-18,1508284800,16.57,17.21,16.57,16.92,2300
2017-10-19,1508371200,16.92,17.0,16.47,16.47,3100
2017-10-20,1508457600,16.46,16.7,15.01,15.01,38000
2017-10-23,1508716800,16.21,16.21,14.14,15.38,18500
2017-10-24,1508803200,15.41,15.78,13.15,15.74,27500
2017-10-25,1508889600,15.6,16.48,14.9,15.25,44700
