Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,5.81,6.06,5.81,6.06,6100
2017-01-04,1483488000,6.08,6.19,6.08,6.1,8700
2017-01-05,1483574400,6.1,6.15,6.06,6.1,2400
2017-01-06,1483660800,6.28,6.46,6.28,6.46,59500
2017-01-09,1483920000,6.51,6.6,6.48,6.56,10800
2017-01-10,1484006400,6.6,6.74,6.45,6.63,11200
2017-01-11,1484092800,6.6,6.6,6.42,6.42,2200
2017-01-12,1484179200,6.5,6.5,6.1,6.28,22600
2017-01-13,1484265600,6.24,6.36,6.24,6.28,3900
2017-01-17,1484611200,6.24,6.33,6.24,6.28,5600
2017-01-18,1484697600,6.28,6.33,6.19,6.28,6400
2017-01-19,1484784000,6.25,6.33,6.25,6.33,300
2017-01-20,1484870400,6.33,6.33,6.19,6.28,4300
2017-01-23,1485129600,6.28,6.33,6.28,6.33,4300
2017-01-24,1485216000,6.37,6.37,6.33,6.33,4300
2017-01-25,1485302400,6.27,6.37,6.27,6.37,4600
2017-01-26,1485388800,6.19,6.27,6.19,6.26,1200
2017-01-27,1485475200,6.28,6.33,6.25,6.33,1900
2017-01-30,1485734400,6.24,6.33,6.19,6.28,6500
2017-01-31,1485820800,6.28,6.33,6.24,6.24,6600
2017-02-01,1485907200,6.33,6.37,6.24,6.24,5800
2017-02-02,1485993600,6.24,6.28,6.24,6.28,500
2017-02-03,1486080000,6.28,6.33,6.26,6.31,2600
2017-02-06,1486339200,6.28,6.42,6.28,6.37,3700
2017-02-07,1486425600,6.27,6.33,6.27,6.31,1200
2017-02-08,1486512000,6.37,6.37,6.31,6.31,900
2017-02-09,1486598400,6.33,6.37,6.33,6.34,6500
2017-02-10,1486684800,6.42,6.42,6.35,6.35,1600
2017-02-13,1486944000,6.37,6.51,6.37,6.51,2600
2017-02-14,1487030400,6.51,6.51,6.49,6.49,600
2017-02-15,1487116800,6.54,6.58,6.49,6.58,5500
2017-02-16,1487203200,6.37,6.44,6.31,6.31,900
2017-02-17,1487289600,6.4,6.49,6.26,6.49,1800
2017-02-21,1487635200,6.49,6.58,6.49,6.54,7300
2017-02-22,1487721600,6.54,6.55,6.54,6.54,900
2017-02-23,1487808000,6.59,6.59,6.49,6.52,6900
2017-02-24,1487894400,6.49,6.77,6.49,6.72,14400
2017-02-27,1488153600,6.67,6.86,6.6,6.86,10600
2017-02-28,1488240000,6.77,6.86,6.77,6.77,20500
2017-03-01,1488326400,6.72,6.72,6.63,6.63,9300
2017-03-02,1488412800,6.63,6.66,6.45,6.54,4300
2017-03-03,1488499200,6.45,6.45,6.23,6.29,10500
2017-03-06,1488758400,6.31,6.31,6.22,6.26,2000
2017-03-07,1488844800,6.31,6.31,6.24,6.31,900
2017-03-08,1488931200,6.35,6.35,6.22,6.31,2000
2017-03-09,1489017600,7.27,7.27,6.7,7.13,67000
2017-03-10,1489104000,7.09,7.31,6.99,7.22,60400
2017-03-13,1489363200,7.31,7.63,7.17,7.5,79900
2017-03-14,1489449600,7.36,7.59,7.22,7.54,33800
2017-03-15,1489536000,7.59,7.68,7.55,7.59,12100
2017-03-16,1489622400,7.72,7.95,7.66,7.68,46400
2017-03-17,1489708800,7.73,7.84,7.59,7.59,14000
2017-03-20,1489968000,7.63,7.73,7.5,7.61,19600
2017-03-21,1490054400,7.54,7.54,7.31,7.45,11100
2017-03-22,1490140800,7.54,7.54,7.41,7.41,33600
2017-03-23,1490227200,7.41,7.5,7.27,7.5,12500
2017-03-24,1490313600,7.41,7.54,7.41,7.45,7200
2017-03-27,1490572800,7.45,7.54,7.45,7.45,1400
2017-03-28,1490659200,7.49,7.54,7.41,7.41,8300
2017-03-29,1490745600,7.54,7.68,7.5,7.59,6900
2017-03-30,1490832000,7.63,7.77,7.5,7.5,7200
