Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,15.4,15.5,14.8,14.9,273000
2017-01-04,1483488000,15.05,15.1,14.8,14.9,118100
2017-01-05,1483574400,14.85,14.85,14.5,14.6,161200
2017-01-06,1483660800,14.7,14.85,14.2,14.25,121400
2017-01-09,1483920000,14.3,14.55,14.05,14.3,180300
2017-01-10,1484006400,14.45,15.03,14.45,15.0,285800
2017-01-11,1484092800,14.95,15.35,14.8,15.3,213900
2017-01-12,1484179200,15.25,15.25,14.73,14.9,185500
2017-01-13,1484265600,15.1,15.25,14.9,15.05,140100
2017-01-17,1484611200,15.0,15.05,14.78,14.9,226300
2017-01-18,1484697600,15.0,15.35,14.95,15.3,246900
2017-01-19,1484784000,15.15,15.15,15.0,15.0,150200
2017-01-20,1484870400,15.0,15.08,14.75,14.9,187800
2017-01-23,1485129600,14.9,15.03,14.75,14.95,68900
2017-01-24,1485216000,14.95,15.0,14.8,14.85,125100
2017-01-25,1485302400,15.0,15.1,14.75,14.85,106600
2017-01-26,1485388800,14.85,14.95,14.75,14.95,79800
2017-01-27,1485475200,14.95,15.1,14.55,14.6,116700
2017-01-30,1485734400,14.45,14.7,14.35,14.55,138000
2017-01-31,1485820800,14.5,14.7,14.35,14.35,155700
2017-02-01,1485907200,14.5,14.65,14.45,14.45,97400
2017-02-02,1485993600,14.55,15.0,14.45,15.0,229200
2017-02-03,1486080000,15.0,15.1,14.7,14.9,105400
2017-02-06,1486339200,15.0,15.35,14.92,15.3,203400
2017-02-07,1486425600,15.4,15.48,15.25,15.35,122600
2017-02-08,1486512000,15.35,15.6,15.18,15.55,166400
2017-02-09,1486598400,15.65,15.95,15.6,15.9,193800
2017-02-10,1486684800,16.0,16.05,15.65,15.8,123500
2017-02-13,1486944000,15.95,16.1,15.75,15.75,118700
2017-02-14,1487030400,15.8,16.05,15.8,15.9,128100
2017-02-15,1487116800,15.95,16.0,15.7,15.95,95200
2017-02-16,1487203200,17.15,17.55,16.3,16.45,787600
2017-02-17,1487289600,16.5,16.8,16.43,16.65,316600
2017-02-21,1487635200,17.1,17.2,16.75,16.85,303400
2017-02-22,1487721600,16.95,17.05,15.95,16.1,486300
2017-02-23,1487808000,16.15,16.4,15.95,16.1,387200
2017-02-24,1487894400,16.15,16.89,16.0,16.2,211100
2017-02-27,1488153600,16.35,16.55,16.1,16.2,294200
2017-02-28,1488240000,16.05,16.1,15.65,15.8,500100
2017-03-01,1488326400,15.95,16.15,15.65,15.85,630200
2017-03-02,1488412800,15.75,15.8,14.75,15.25,530300
2017-03-03,1488499200,15.25,15.35,14.65,14.75,683000
2017-03-06,1488758400,14.75,14.83,14.25,14.65,341300
2017-03-07,1488844800,14.6,14.75,14.5,14.55,241400
2017-03-08,1488931200,14.55,14.55,13.9,14.3,467800
2017-03-09,1489017600,14.3,14.35,14.0,14.1,359300
2017-03-10,1489104000,14.1,14.2,14.05,14.05,171900
2017-03-13,1489363200,14.0,14.1,13.8,14.05,277400
2017-03-14,1489449600,14.0,14.05,13.85,13.85,201000
2017-03-15,1489536000,13.9,14.25,13.85,14.2,273200
2017-03-16,1489622400,14.05,14.2,14.0,14.1,206900
2017-03-17,1489708800,14.1,14.65,14.1,14.6,562700
2017-03-20,1489968000,14.6,14.65,14.45,14.55,367200
2017-03-21,1490054400,14.55,14.63,14.05,14.15,275700
2017-03-22,1490140800,14.15,14.25,13.8,13.95,173500
2017-03-23,1490227200,13.95,14.25,13.95,13.95,182000
2017-03-24,1490313600,14.0,14.05,13.75,13.85,173400
2017-03-27,1490572800,13.8,13.9,13.7,13.8,213000
2017-03-28,1490659200,13.75,14.3,13.75,14.25,294400
2017-03-29,1490745600,14.1,14.3,14.1,14.2,179600
2017-03-30,1490832000,14.2,14.28,13.93,14.0,205600
2017-03-31,1490918400,13.95,14.3,13.95,14.15,335400
2017-04-03,1491177600,14.2,14.2,13.7,13.9,275700
2017-04-04,1491264000,13.85,13.9,13.55,13.65,224600
2017-04-05,1491350400,13.65,13.95,13.5,13.95,306000
2017-04-06,1491436800,13.9,14.05,13.78,14.0,267500
2017-04-07,1491523200,13.9,14.05,13.85,14.05,273500
2017-04-10,1491782400,14.1,14.25,13.95,14.1,300300
2017-04-11,1491868800,14.1,14.2,13.9,13.95,294000
2017-04-12,1491955200,13.95,14.0,13.6,13.7,285800
2017-04-13,1492041600,13.7,13.8,13.5,13.75,210700
2017-04-17,1492387200,13.75,13.85,13.5,13.55,103200
2017-04-18,1492473600,13.55,13.6,13.3,13.5,302500
2017-04-19,1492560000,13.45,13.55,13.0,13.15,387700
2017-04-20,1492646400,13.15,13.6,13.15,13.4,268600
2017-04-21,1492732800,13.45,13.65,13.4,13.6,146800
2017-04-24,1492992000,13.7,13.82,13.5,13.6,179500
2017-04-25,1493078400,13.6,14.1,13.58,13.9,254700
2017-04-26,1493164800,13.8,14.3,13.75,14.25,284100
2017-04-27,1493251200,14.15,14.45,14.1,14.15,290000
2017-04-28,1493337600,14.2,14.2,13.85,14.0,288500
2017-05-01,1493596800,14.15,14.2,13.98,14.05,182800
2017-05-02,1493683200,13.95,14.25,13.85,13.95,183100
2017-05-03,1493769600,13.9,13.9,13.7,13.8,193900
2017-05-04,1493856000,13.8,13.9,13.65,13.9,87600
2017-05-05,1493942400,13.95,14.05,13.7,13.9,135600
2017-05-08,1494201600,13.9,14.05,13.85,13.9,176000
2017-05-09,1494288000,13.8,13.95,13.0,13.35,566800
2017-05-10,1494374400,13.45,13.45,13.15,13.35,468500
2017-05-11,1494460800,13.3,13.4,13.1,13.3,166000
2017-05-12,1494547200,13.25,13.4,13.06,13.25,196100
2017-05-15,1494806400,13.25,13.45,13.25,13.35,147300
2017-05-16,1494892800,13.4,13.5,13.2,13.35,212400
2017-05-17,1494979200,13.3,13.45,12.95,12.95,334700
2017-05-18,1495065600,12.9,13.1,12.55,12.55,447500
2017-05-19,1495152000,12.65,12.73,12.4,12.6,365400
2017-05-22,1495411200,12.6,12.75,12.45,12.45,136600
2017-05-23,1495497600,12.35,12.45,12.1,12.25,286800
2017-05-24,1495584000,12.15,12.5,12.15,12.4,246100
2017-05-25,1495670400,12.4,12.58,12.25,12.25,183900
2017-05-26,1495756800,12.2,12.4,12.2,12.25,181800
2017-05-30,1496102400,12.2,12.3,11.9,11.95,208600
2017-05-31,1496188800,11.95,12.1,11.85,11.85,246300
2017-06-01,1496275200,11.9,12.88,11.75,12.85,678000
2017-06-02,1496361600,12.95,13.2,12.85,13.05,280200
2017-06-05,1496620800,12.95,13.05,12.55,12.65,216600
2017-06-06,1496707200,12.55,12.7,12.3,12.35,172000
2017-06-07,1496793600,12.35,12.55,12.25,12.4,157500
2017-06-08,1496880000,12.35,12.7,12.35,12.4,227500
2017-06-09,1496966400,12.45,12.55,12.25,12.45,225400
2017-06-12,1497225600,12.5,12.85,12.5,12.65,259500
2017-06-13,1497312000,12.75,12.9,12.65,12.65,143100
2017-06-14,1497398400,12.65,12.73,12.45,12.55,135300
2017-06-15,1497484800,12.45,12.6,12.1,12.55,225400
2017-06-16,1497571200,12.4,12.5,12.25,12.45,329900
2017-06-19,1497830400,12.5,13.0,12.25,12.9,224800
2017-06-20,1497916800,12.85,12.9,12.4,12.5,156700
2017-06-21,1498003200,12.55,12.67,11.98,12.05,220900
2017-06-22,1498089600,12.05,12.35,12.0,12.25,96300
2017-06-23,1498176000,12.3,12.35,12.1,12.15,1191500
2017-06-26,1498435200,12.15,12.45,12.15,12.4,207000
2017-06-27,1498521600,12.45,12.53,12.15,12.2,223900
2017-06-28,1498608000,12.25,12.4,12.2,12.25,143800
2017-06-29,1498694400,12.15,12.45,12.1,12.3,138000
2017-06-30,1498780800,12.35,12.4,12.15,12.25,194400
2017-07-03,1499040000,12.35,12.6,12.25,12.5,124600
2017-07-05,1499212800,12.5,12.5,12.15,12.3,215300
2017-07-06,1499299200,12.2,12.4,12.1,12.15,158300
2017-07-07,1499385600,12.1,12.25,12.0,12.2,199500
2017-07-10,1499644800,12.1,12.15,11.95,12.0,189700
2017-07-11,1499731200,12.05,12.15,11.9,12.1,147000
2017-07-12,1499817600,12.05,12.3,12.05,12.25,203800
2017-07-13,1499904000,12.2,12.25,12.1,12.15,103300
2017-07-14,1499990400,12.15,12.25,12.1,12.25,184200
2017-07-17,1500249600,12.25,12.4,12.05,12.25,210000
2017-07-18,1500336000,12.2,12.3,12.0,12.15,234200
2017-07-19,1500422400,12.15,12.3,12.1,12.25,146400
2017-07-20,1500508800,12.2,12.4,12.15,12.4,131600
2017-07-21,1500595200,12.45,12.45,12.18,12.3,229000
2017-07-24,1500854400,12.25,12.45,12.1,12.15,250600
2017-07-25,1500940800,12.2,12.35,12.13,12.25,182100
