Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,7.98,8.09,7.95,8.06,316100
2017-01-04,1483488000,7.82,7.92,7.58,7.6,634500
2017-01-05,1483574400,7.59,7.6,7.16,7.18,290900
2017-01-06,1483660800,7.27,7.27,7.1,7.17,202300
2017-01-09,1483920000,7.11,7.23,7.02,7.1,225500
2017-01-10,1484006400,7.11,7.36,7.05,7.29,244600
2017-01-11,1484092800,7.3,7.53,7.21,7.48,318800
2017-01-12,1484179200,7.4,7.5,7.07,7.1,228400
2017-01-13,1484265600,7.1,7.44,7.1,7.26,182400
2017-01-17,1484611200,7.2,7.2,6.94,6.95,226200
2017-01-18,1484697600,6.94,7.02,6.86,6.98,175800
2017-01-19,1484784000,7.02,7.06,6.9,7.03,160000
2017-01-20,1484870400,7.03,7.17,7.01,7.07,124700
2017-01-23,1485129600,7.04,7.18,6.95,6.95,132800
2017-01-24,1485216000,6.98,7.24,6.92,7.2,199900
2017-01-25,1485302400,7.23,7.37,7.23,7.3,182900
2017-01-26,1485388800,7.27,7.39,7.27,7.35,87400
2017-01-27,1485475200,7.34,7.4,7.29,7.32,151500
2017-01-30,1485734400,7.3,7.3,6.99,7.04,169000
2017-01-31,1485820800,7.04,7.12,5.9,5.99,1079100
2017-02-01,1485907200,5.73,5.89,4.99,5.0,1798900
2017-02-02,1485993600,4.98,5.23,4.93,5.06,618300
2017-02-03,1486080000,5.1,5.23,5.06,5.18,318300
2017-02-06,1486339200,5.17,5.2,4.99,4.99,284600
2017-02-07,1486425600,4.99,5.06,4.91,4.94,229000
2017-02-08,1486512000,4.95,5.05,4.8,5.01,334600
2017-02-09,1486598400,5.05,5.34,5.0,5.29,367100
2017-02-10,1486684800,4.97,5.18,4.75,5.07,573700
2017-02-13,1486944000,5.07,5.09,4.9,4.98,760900
2017-02-14,1487030400,4.96,5.14,4.96,5.04,643100
2017-02-15,1487116800,5.12,5.37,5.03,5.35,455400
2017-02-16,1487203200,5.35,5.42,5.08,5.35,495100
2017-02-17,1487289600,5.35,5.35,5.2,5.29,287800
2017-02-21,1487635200,5.29,5.37,5.12,5.24,270900
2017-02-22,1487721600,5.2,5.31,5.12,5.16,167900
2017-02-23,1487808000,5.2,5.23,5.09,5.22,252500
2017-02-24,1487894400,5.2,5.25,5.04,5.18,255200
2017-02-27,1488153600,5.18,5.3,5.12,5.26,229300
2017-02-28,1488240000,5.21,5.22,5.06,5.18,365300
2017-03-01,1488326400,5.25,5.33,5.15,5.16,330200
2017-03-02,1488412800,5.19,5.19,5.01,5.12,241700
2017-03-03,1488499200,5.12,5.18,4.97,5.13,222800
2017-03-06,1488758400,5.07,5.12,4.99,5.08,191500
2017-03-07,1488844800,5.06,5.11,5.0,5.06,176700
2017-03-08,1488931200,5.11,5.12,4.98,5.0,251900
2017-03-09,1489017600,5.01,5.06,4.97,5.01,141000
2017-03-10,1489104000,5.04,5.06,4.91,4.93,227800
2017-03-13,1489363200,4.91,4.95,4.85,4.88,105200
2017-03-14,1489449600,4.85,4.9,4.71,4.87,229000
2017-03-15,1489536000,4.87,4.96,4.81,4.84,134200
2017-03-16,1489622400,4.87,4.97,4.82,4.97,138400
2017-03-17,1489708800,4.84,5.04,4.84,5.01,341000
2017-03-20,1489968000,4.98,5.02,4.83,4.86,215300
2017-03-21,1490054400,4.89,4.89,4.53,4.59,394300
2017-03-22,1490140800,4.53,4.73,4.41,4.52,274000
2017-03-23,1490227200,4.57,4.86,4.48,4.85,261300
2017-03-24,1490313600,4.88,4.96,4.82,4.9,223000
2017-03-27,1490572800,4.84,5.05,4.78,5.0,243700
2017-03-28,1490659200,4.96,5.06,4.94,4.98,388300
2017-03-29,1490745600,4.95,5.1,4.91,4.93,212300
2017-03-30,1490832000,4.96,5.15,4.96,5.1,170200
2017-03-31,1490918400,5.1,5.14,4.98,5.1,160900
2017-04-03,1491177600,5.08,5.13,4.89,4.92,168200
2017-04-04,1491264000,4.91,4.96,4.82,4.88,196200
2017-04-05,1491350400,4.93,4.98,4.75,4.75,238600
2017-04-06,1491436800,4.75,4.86,4.73,4.75,217900
2017-04-07,1491523200,4.73,4.91,4.73,4.78,164600
2017-04-10,1491782400,4.79,4.88,4.7,4.75,300900
2017-04-11,1491868800,4.75,5.17,4.71,5.13,261400
2017-04-12,1491955200,5.15,5.15,4.98,5.03,183000
2017-04-13,1492041600,4.99,5.03,4.86,4.9,311100
2017-04-17,1492387200,4.91,5.12,4.79,4.97,323200
2017-04-18,1492473600,4.93,5.03,4.88,4.99,142900
2017-04-19,1492560000,5.04,5.09,4.86,4.87,118000
2017-04-20,1492646400,4.94,4.98,4.8,4.96,111100
2017-04-21,1492732800,4.93,5.04,4.8,4.93,242100
2017-04-24,1492992000,5.08,5.1,4.99,5.0,198000
2017-04-25,1493078400,5.06,5.12,4.97,5.0,290000
2017-04-26,1493164800,5.0,5.22,5.0,5.21,222500
2017-04-27,1493251200,5.21,5.21,5.02,5.06,262100
2017-04-28,1493337600,5.6,6.73,5.6,6.45,2427900
2017-05-01,1493596800,6.78,6.9,6.45,6.73,879100
2017-05-02,1493683200,6.75,6.97,6.62,6.72,571300
2017-05-03,1493769600,6.65,6.85,6.65,6.76,449700
2017-05-04,1493856000,6.82,6.84,6.63,6.79,286900
2017-05-05,1493942400,6.79,6.79,6.52,6.76,346400
2017-05-08,1494201600,6.76,6.92,6.68,6.79,421200
2017-05-09,1494288000,6.77,6.82,6.6,6.73,360200
2017-05-10,1494374400,6.66,6.72,6.51,6.62,266100
2017-05-11,1494460800,6.56,6.57,6.42,6.49,273400
2017-05-12,1494547200,6.45,6.58,6.35,6.55,407500
2017-05-15,1494806400,6.55,6.68,6.5,6.57,269100
2017-05-16,1494892800,6.57,6.6,6.39,6.46,181000
2017-05-17,1494979200,6.32,6.36,6.26,6.31,363100
2017-05-18,1495065600,6.3,6.34,6.16,6.16,309800
2017-05-19,1495152000,6.21,6.27,6.18,6.22,292600
2017-05-22,1495411200,6.23,6.23,6.11,6.14,441200
2017-05-23,1495497600,6.16,6.31,6.14,6.23,269000
2017-05-24,1495584000,6.23,6.3,6.11,6.12,164600
2017-05-25,1495670400,6.15,6.24,6.1,6.21,283100
2017-05-26,1495756800,6.21,6.28,6.07,6.12,256600
2017-05-30,1496102400,6.13,6.19,6.05,6.11,314100
2017-05-31,1496188800,6.11,6.17,6.04,6.12,234900
2017-06-01,1496275200,6.15,6.18,6.03,6.17,287800
2017-06-02,1496361600,6.15,6.3,6.13,6.18,295700
2017-06-05,1496620800,6.2,6.27,6.14,6.15,226100
2017-06-06,1496707200,6.1,6.17,6.02,6.14,151400
2017-06-07,1496793600,6.18,6.18,6.05,6.12,156600
2017-06-08,1496880000,6.15,6.5,6.11,6.34,163400
2017-06-09,1496966400,6.4,6.58,6.35,6.5,274200
2017-06-12,1497225600,6.52,6.66,6.37,6.46,153800
2017-06-13,1497312000,6.48,6.66,6.41,6.63,493800
2017-06-14,1497398400,6.59,6.68,6.42,6.66,496900
2017-06-15,1497484800,6.58,6.94,6.47,6.93,441200
2017-06-16,1497571200,6.98,7.29,6.97,7.19,517000
