Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,27.43,27.43,26.95,26.99,19300
2017-01-04,1483488000,26.93,27.08,26.93,26.99,29400
2017-01-05,1483574400,27.0,27.0,26.91,26.96,37200
2017-01-06,1483660800,27.01,27.07,26.77,26.82,20500
2017-01-09,1483920000,26.79,26.91,26.23,26.88,49500
2017-01-10,1484006400,26.91,27.33,26.54,27.33,20900
2017-01-11,1484092800,27.33,27.33,27.09,27.3,17000
2017-01-12,1484179200,27.19,27.3,26.64,27.1,16700
2017-01-13,1484265600,27.24,27.65,27.24,27.56,24800
2017-01-17,1484611200,27.47,27.47,26.79,27.03,9500
2017-01-18,1484697600,27.31,27.31,27.0,27.16,7900
2017-01-19,1484784000,27.29,27.29,26.67,26.84,9200
2017-01-20,1484870400,26.86,27.28,26.71,26.83,10400
2017-01-23,1485129600,26.92,27.05,26.77,26.81,9400
2017-01-24,1485216000,27.15,27.25,26.55,27.2,7500
2017-01-25,1485302400,27.32,27.57,27.29,27.46,8800
2017-01-26,1485388800,27.57,27.64,27.21,27.35,6100
2017-01-27,1485475200,28.16,28.16,26.73,27.52,15400
2017-01-30,1485734400,27.45,27.45,26.91,26.91,10600
2017-01-31,1485820800,26.67,26.84,26.11,26.23,18000
2017-02-01,1485907200,26.71,27.17,26.09,26.39,19100
2017-02-02,1485993600,26.37,26.68,25.89,26.14,59500
2017-02-03,1486080000,26.32,26.92,26.32,26.72,40100
2017-02-06,1486339200,26.74,26.78,26.44,26.6,13000
2017-02-07,1486425600,26.61,27.08,26.54,26.99,25000
2017-02-08,1486512000,27.26,27.26,26.72,26.93,12600
2017-02-09,1486598400,27.03,27.18,26.96,27.17,15400
2017-02-10,1486684800,27.33,27.5,27.15,27.48,8200
2017-02-13,1486944000,27.66,27.99,27.46,27.83,12800
2017-02-14,1487030400,27.73,27.88,27.42,27.68,27900
2017-02-15,1487116800,27.62,27.78,27.47,27.68,12400
2017-02-16,1487203200,27.82,27.96,27.61,27.88,11200
2017-02-17,1487289600,27.95,28.03,27.7,27.96,12900
2017-02-21,1487635200,28.08,28.31,27.98,28.25,14800
2017-02-22,1487721600,28.23,28.29,27.83,28.16,7900
2017-02-23,1487808000,28.29,28.29,27.68,27.99,15100
2017-02-24,1487894400,28.01,28.01,27.43,27.73,12800
2017-02-27,1488153600,27.73,27.99,27.43,27.58,12400
2017-02-28,1488240000,27.63,27.64,26.8,26.85,28600
2017-03-01,1488326400,27.12,27.73,27.08,27.12,26400
2017-03-02,1488412800,26.93,27.15,26.68,26.68,22300
2017-03-03,1488499200,26.91,27.02,26.25,26.5,24700
2017-03-06,1488758400,26.38,26.53,26.12,26.27,16900
2017-03-07,1488844800,26.36,26.63,26.22,26.28,9800
2017-03-08,1488931200,26.38,26.98,26.13,26.18,15200
2017-03-09,1489017600,26.58,26.58,26.0,26.07,8800
2017-03-10,1489104000,26.03,26.36,25.83,25.91,17500
2017-03-13,1489363200,26.16,26.23,25.97,26.1,18300
2017-03-14,1489449600,26.23,26.23,25.88,25.99,5700
2017-03-15,1489536000,26.1,26.1,25.84,25.84,11900
2017-03-16,1489622400,25.74,26.41,25.74,26.1,13300
2017-03-17,1489708800,26.03,27.34,25.89,26.88,74100
2017-03-20,1489968000,26.92,27.89,26.25,26.71,66800
2017-03-21,1490054400,26.93,26.93,25.86,25.87,18500
2017-03-22,1490140800,25.86,26.13,25.48,25.6,12900
2017-03-23,1490227200,25.98,26.08,25.83,25.95,49900
2017-03-24,1490313600,26.04,26.44,25.9,26.03,69400
2017-03-27,1490572800,25.83,25.89,25.68,25.83,32600
2017-03-28,1490659200,25.68,26.38,25.62,25.83,109800
2017-03-29,1490745600,26.33,26.33,26.02,26.11,82200
2017-03-30,1490832000,25.38,26.04,25.38,26.04,18800
2017-03-31,1490918400,26.03,26.04,25.88,25.98,48500
2017-04-03,1491177600,25.88,26.0,25.7,25.82,12700
2017-04-04,1491264000,25.88,26.36,25.73,25.98,39200
2017-04-05,1491350400,26.13,26.13,25.89,26.02,28800
2017-04-06,1491436800,25.96,26.04,25.74,25.96,33900
2017-04-07,1491523200,25.92,25.96,25.86,25.88,5900
2017-04-10,1491782400,25.88,26.53,25.79,26.35,15300
2017-04-11,1491868800,26.23,26.28,26.22,26.28,10300
2017-04-12,1491955200,25.87,26.11,25.87,26.09,5700
2017-04-13,1492041600,25.98,26.02,25.65,25.68,12200
2017-04-17,1492387200,26.03,26.07,25.61,25.78,11500
2017-04-18,1492473600,25.74,25.83,25.66,25.77,14600
2017-04-19,1492560000,25.88,25.9,25.63,25.77,10000
2017-04-20,1492646400,26.0,26.01,25.81,26.0,13900
2017-04-21,1492732800,25.96,26.23,25.96,26.03,19700
2017-04-24,1492992000,26.36,26.87,25.93,26.68,32500
2017-04-25,1493078400,26.75,27.06,26.75,26.98,12000
2017-04-26,1493164800,26.87,27.33,26.87,27.2,29900
2017-04-27,1493251200,27.15,27.15,26.77,27.01,8200
2017-04-28,1493337600,27.08,27.08,25.46,25.79,25500
2017-05-01,1493596800,25.83,26.34,25.69,26.08,11000
2017-05-02,1493683200,25.87,26.33,25.87,26.09,8900
2017-05-03,1493769600,26.0,26.31,25.97,26.03,20700
2017-05-04,1493856000,26.25,26.27,25.8,25.93,12300
2017-05-05,1493942400,26.1,26.13,25.69,25.71,6900
2017-05-08,1494201600,25.83,25.95,25.78,25.93,9600
2017-05-09,1494288000,26.03,26.03,25.71,25.77,9000
2017-05-10,1494374400,25.7,25.76,25.52,25.6,8700
2017-05-11,1494460800,25.59,25.74,25.39,25.52,12800
2017-05-12,1494547200,25.41,25.56,25.26,25.39,10300
2017-05-15,1494806400,25.7,25.75,25.44,25.56,9400
2017-05-16,1494892800,25.48,25.75,25.33,25.74,10400
2017-05-17,1494979200,25.6,25.6,25.2,25.26,16600
2017-05-18,1495065600,25.41,25.58,25.16,25.2,12900
2017-05-19,1495152000,25.2,25.74,25.01,25.04,17200
2017-05-22,1495411200,25.11,25.25,25.01,25.08,8600
2017-05-23,1495497600,25.01,25.24,24.94,25.11,9400
2017-05-24,1495584000,25.56,25.56,24.41,24.83,5900
2017-05-25,1495670400,24.86,24.88,24.39,24.77,13000
2017-05-26,1495756800,24.8,25.46,24.47,25.3,19600
2017-05-30,1496102400,25.36,25.55,24.9,25.31,12800
2017-05-31,1496188800,25.43,25.56,24.83,25.21,9300
2017-06-01,1496275200,25.13,25.78,25.13,25.7,14100
2017-06-02,1496361600,25.7,26.4,25.7,26.16,18700
2017-06-05,1496620800,26.08,26.23,26.03,26.08,14500
2017-06-06,1496707200,25.89,26.12,25.7,25.97,11600
2017-06-07,1496793600,25.98,26.21,25.81,26.06,11500
2017-06-08,1496880000,26.17,26.65,26.15,26.45,18300
2017-06-09,1496966400,26.03,27.14,26.03,26.94,26000
2017-06-12,1497225600,26.97,26.97,26.3,26.5,14400
2017-06-13,1497312000,26.6,27.02,26.59,26.85,10600
2017-06-14,1497398400,26.81,26.85,26.34,26.54,12400
2017-06-15,1497484800,26.67,26.93,26.58,26.88,6900
2017-06-16,1497571200,26.63,27.07,26.23,26.39,45200
2017-06-19,1497830400,26.52,26.97,26.16,26.44,9000
2017-06-20,1497916800,26.25,26.6,26.09,26.09,6400
2017-06-21,1498003200,26.67,27.09,25.59,25.77,6800
2017-06-22,1498089600,25.87,26.44,25.87,26.02,13700
2017-06-23,1498176000,26.08,27.08,25.75,26.17,48500
2017-06-26,1498435200,26.22,26.6,25.57,25.63,10100
2017-06-27,1498521600,25.63,26.25,25.57,25.76,10700
2017-06-28,1498608000,26.25,26.74,26.25,26.5,5300
2017-06-29,1498694400,26.65,26.65,26.26,26.51,18200
2017-06-30,1498780800,26.5,26.99,26.1,26.16,11400
2017-07-03,1499040000,26.09,26.31,25.83,26.08,11000
2017-07-05,1499212800,26.08,26.27,25.76,26.08,5700
2017-07-06,1499299200,25.93,26.15,25.89,26.01,8700
2017-07-07,1499385600,25.99,26.29,25.89,26.12,10400
2017-07-10,1499644800,26.09,26.2,25.9,26.02,5000
2017-07-11,1499731200,26.05,26.19,25.63,25.75,6700
2017-07-12,1499817600,25.71,25.87,25.71,25.83,11400
2017-07-13,1499904000,25.79,25.92,25.62,25.81,5300
2017-07-14,1499990400,25.67,25.87,25.32,25.59,9000
2017-07-17,1500249600,25.69,25.82,25.47,25.47,10300
2017-07-18,1500336000,25.45,26.12,25.24,25.56,11500
2017-07-19,1500422400,25.27,26.37,25.27,25.6,10200
2017-07-20,1500508800,25.58,25.91,25.4,25.81,5100
2017-07-21,1500595200,25.91,25.95,25.38,25.7,25800
2017-07-24,1500854400,25.45,26.22,25.45,25.71,15100
2017-07-25,1500940800,25.77,26.81,25.77,26.56,24200
2017-07-26,1501027200,26.57,26.91,26.19,26.2,10700
2017-07-27,1501113600,26.4,26.41,25.93,26.16,4400
2017-07-28,1501200000,25.93,26.12,25.56,25.67,24800
2017-07-31,1501459200,25.84,26.54,25.28,25.35,13800
2017-08-01,1501545600,25.25,26.08,25.23,25.57,18400
2017-08-02,1501632000,25.53,25.56,25.2,25.29,11100
2017-08-03,1501718400,25.63,25.63,24.97,25.28,19100
2017-08-04,1501804800,25.7,25.7,24.92,25.27,29700
2017-08-07,1502064000,25.18,25.59,24.83,24.97,12300
2017-08-08,1502150400,25.15,25.38,24.82,25.14,11400
2017-08-09,1502236800,25.14,25.17,24.59,24.94,16000
2017-08-10,1502323200,24.57,25.16,23.97,25.16,25900
2017-08-11,1502409600,25.06,25.06,24.3,24.5,21500
