Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,31.35,31.35,30.27,30.57,53000
2017-01-04,1483488000,30.69,31.05,30.67,30.83,61000
2017-01-05,1483574400,30.76,30.79,30.25,30.34,32600
2017-01-06,1483660800,30.57,30.88,30.18,30.48,56700
2017-01-09,1483920000,30.34,30.34,29.79,29.8,45500
2017-01-10,1484006400,29.98,30.04,29.63,30.01,120600
2017-01-11,1484092800,30.21,30.9,29.91,30.67,179200
2017-01-12,1484179200,30.69,30.75,30.41,30.6,118300
2017-01-13,1484265600,30.8,31.71,30.7,31.5,95300
2017-01-17,1484611200,31.21,31.21,30.67,30.8,76500
2017-01-18,1484697600,30.93,31.22,30.62,31.19,63600
2017-01-19,1484784000,31.13,31.26,30.7,31.02,78600
2017-01-20,1484870400,31.03,31.74,31.03,31.49,44800
2017-01-23,1485129600,31.38,31.83,31.0,31.36,39100
2017-01-24,1485216000,31.68,32.12,31.24,32.02,31300
2017-01-25,1485302400,32.35,32.53,32.08,32.29,52600
2017-01-26,1485388800,32.27,32.36,31.97,32.17,48300
2017-01-27,1485475200,32.24,32.24,31.65,31.8,50800
2017-01-30,1485734400,31.76,31.77,30.98,31.23,77700
2017-01-31,1485820800,31.43,33.57,31.43,33.45,151900
2017-02-01,1485907200,33.57,33.71,33.08,33.22,90600
2017-02-02,1485993600,33.15,33.15,32.52,32.73,64500
2017-02-03,1486080000,33.17,33.73,32.93,33.69,79100
2017-02-06,1486339200,33.62,33.62,33.15,33.32,84800
2017-02-07,1486425600,33.48,33.56,32.76,33.05,79800
2017-02-08,1486512000,32.77,33.03,32.29,32.54,103400
2017-02-09,1486598400,32.64,33.13,32.64,33.09,75300
2017-02-10,1486684800,33.29,33.34,33.06,33.31,42600
2017-02-13,1486944000,33.35,33.55,33.25,33.44,89900
2017-02-14,1487030400,33.47,33.65,33.23,33.62,58000
2017-02-15,1487116800,33.56,33.82,33.42,33.8,43000
2017-02-16,1487203200,33.77,33.83,33.56,33.79,51200
2017-02-17,1487289600,33.73,33.8,33.42,33.76,63800
2017-02-21,1487635200,33.93,33.98,33.62,33.92,39900
2017-02-22,1487721600,33.86,33.96,33.65,33.83,45200
2017-02-23,1487808000,33.87,33.94,33.34,33.79,59200
2017-02-24,1487894400,33.39,33.8,33.39,33.73,37900
2017-02-27,1488153600,33.8,33.9,33.58,33.68,47700
2017-02-28,1488240000,33.6,33.61,32.76,32.96,83900
2017-03-01,1488326400,33.55,33.92,33.55,33.88,75900
2017-03-02,1488412800,33.88,33.88,32.92,32.97,31900
2017-03-03,1488499200,33.0,33.29,32.85,33.15,36100
2017-03-06,1488758400,32.88,33.25,32.75,33.15,32300
2017-03-07,1488844800,33.14,33.21,32.87,32.94,33500
2017-03-08,1488931200,33.12,33.35,32.63,32.64,83700
2017-03-09,1489017600,32.5,32.94,32.32,32.37,35200
2017-03-10,1489104000,32.76,32.76,31.96,32.27,45800
2017-03-13,1489363200,32.07,32.54,31.96,32.23,29600
2017-03-14,1489449600,32.17,32.54,31.78,32.45,35800
2017-03-15,1489536000,32.21,32.91,32.21,32.76,74200
2017-03-16,1489622400,32.91,33.07,32.54,33.04,38200
2017-03-17,1489708800,32.88,33.36,32.55,33.17,95700
2017-03-20,1489968000,33.15,33.15,32.35,32.39,29100
2017-03-21,1490054400,32.68,32.68,30.52,30.54,61700
2017-03-22,1490140800,30.39,30.66,29.85,30.35,57900
2017-03-23,1490227200,30.32,31.31,29.86,30.87,59900
2017-03-24,1490313600,30.7,31.14,30.61,30.81,26900
2017-03-27,1490572800,30.19,30.94,30.07,30.89,30300
2017-03-28,1490659200,30.61,31.36,30.52,31.29,37000
2017-03-29,1490745600,31.13,31.35,30.99,31.32,35800
2017-03-30,1490832000,31.16,32.5,31.16,32.39,61100
2017-03-31,1490918400,32.51,32.56,32.2,32.37,87300
2017-04-03,1491177600,32.41,32.59,31.73,31.94,40600
2017-04-04,1491264000,31.83,32.04,31.51,31.66,37300
2017-04-05,1491350400,31.97,32.11,31.29,31.3,53200
2017-04-06,1491436800,31.34,31.7,31.2,31.63,44300
2017-04-07,1491523200,31.44,31.67,31.17,31.4,113400
2017-04-10,1491782400,31.38,31.94,30.78,31.1,34500
2017-04-11,1491868800,30.82,31.46,30.68,31.39,35100
2017-04-12,1491955200,31.23,31.23,30.7,30.85,30300
2017-04-13,1492041600,30.7,30.85,29.9,30.11,38300
2017-04-17,1492387200,30.26,30.85,30.1,30.83,27300
2017-04-18,1492473600,30.48,31.02,30.42,30.93,36800
2017-04-19,1492560000,30.99,31.18,30.8,30.95,40200
2017-04-20,1492646400,31.14,31.94,31.03,31.94,39000
2017-04-21,1492732800,31.75,32.17,31.59,31.97,43400
2017-04-24,1492992000,32.44,33.08,32.44,32.62,30100
2017-04-25,1493078400,32.89,33.41,32.89,33.1,51600
2017-04-26,1493164800,32.96,33.96,32.96,33.5,67000
2017-04-27,1493251200,33.58,33.99,33.08,33.18,41100
2017-04-28,1493337600,33.34,33.64,32.21,32.31,51100
2017-05-01,1493596800,32.44,33.08,32.07,32.87,30100
2017-05-02,1493683200,33.01,33.12,32.21,32.36,44800
2017-05-03,1493769600,32.27,32.53,32.09,32.45,43900
2017-05-04,1493856000,32.64,32.87,32.2,32.78,34200
2017-05-05,1493942400,32.93,32.93,32.03,32.7,49800
2017-05-08,1494201600,32.69,32.76,32.34,32.65,39300
2017-05-09,1494288000,32.72,32.87,32.28,32.76,79200
2017-05-10,1494374400,32.64,32.83,32.51,32.69,37200
2017-05-11,1494460800,32.55,32.69,31.82,32.31,39100
2017-05-12,1494547200,32.12,32.48,32.02,32.33,41100
2017-05-15,1494806400,32.55,32.88,32.35,32.58,43000
2017-05-16,1494892800,32.68,32.84,32.44,32.56,53900
2017-05-17,1494979200,31.78,32.14,31.44,31.61,65800
2017-05-18,1495065600,31.6,32.25,31.52,31.93,145000
2017-05-19,1495152000,31.92,32.13,31.51,31.74,107400
2017-05-22,1495411200,31.82,32.07,31.01,31.94,72800
2017-05-23,1495497600,31.99,32.23,31.69,32.19,105400
2017-05-24,1495584000,32.32,32.52,31.76,32.03,39700
2017-05-25,1495670400,32.13,32.21,31.75,32.0,30000
2017-05-26,1495756800,31.96,32.31,31.72,31.95,22700
