Date,Time,Open,High,Low,Close,Volume
2017-01-03,1483401600,99.97,101.34,98.85,99.34,210900
2017-01-04,1483488000,99.71,102.65,99.42,101.63,244000
2017-01-05,1483574400,101.33,102.17,99.72,99.88,144400
2017-01-06,1483660800,99.8,101.93,99.78,100.41,167100
2017-01-09,1483920000,100.06,100.48,99.22,99.95,165100
2017-01-10,1484006400,100.18,101.56,99.59,100.7,340500
2017-01-11,1484092800,101.04,101.36,97.38,98.42,141600
2017-01-12,1484179200,98.13,99.06,97.36,98.76,108200
2017-01-13,1484265600,99.08,99.91,98.11,98.16,126800
2017-01-17,1484611200,98.07,98.07,95.72,95.9,192400
2017-01-18,1484697600,96.86,97.06,95.54,95.85,312000
2017-01-19,1484784000,95.63,96.61,94.5,94.88,250700
2017-01-20,1484870400,95.18,95.6,94.63,94.9,257100
2017-01-23,1485129600,94.95,95.75,94.24,94.78,190900
2017-01-24,1485216000,94.69,95.7,93.8,94.83,184400
2017-01-25,1485302400,95.51,96.49,94.77,95.82,180900
2017-01-26,1485388800,95.75,96.26,95.02,95.77,165400
2017-01-27,1485475200,95.71,96.83,95.63,96.68,115800
2017-01-30,1485734400,96.38,96.67,95.59,95.96,233800
2017-01-31,1485820800,95.75,98.76,95.75,98.51,174700
2017-02-01,1485907200,99.0,99.47,98.51,98.9,183600
2017-02-02,1485993600,98.59,98.81,97.51,98.34,243900
2017-02-03,1486080000,98.67,99.73,97.87,99.52,217000
2017-02-06,1486339200,98.94,99.09,96.82,97.68,218900
2017-02-07,1486425600,92.63,99.32,92.63,97.96,576900
2017-02-08,1486512000,97.38,97.59,95.58,96.68,335000
2017-02-09,1486598400,97.78,100.5,97.78,100.25,363800
2017-02-10,1486684800,100.71,100.71,98.59,99.96,339000
2017-02-13,1486944000,100.3,101.12,99.85,100.6,264600
2017-02-14,1487030400,100.37,101.54,99.7,101.19,223900
2017-02-15,1487116800,101.18,102.18,100.58,102.16,166500
2017-02-16,1487203200,102.44,102.44,100.58,101.98,161300
2017-02-17,1487289600,101.33,102.51,101.29,102.2,194700
2017-02-21,1487635200,102.39,102.72,100.81,102.36,215700
2017-02-22,1487721600,102.19,103.2,101.97,102.66,192200
2017-02-23,1487808000,102.99,103.35,101.88,103.27,226400
2017-02-24,1487894400,102.62,103.61,102.35,103.51,135200
2017-02-27,1488153600,103.43,104.45,103.24,104.34,144600
2017-02-28,1488240000,104.16,104.18,103.17,103.25,177300
2017-03-01,1488326400,104.21,105.44,102.91,105.07,234400
2017-03-02,1488412800,105.03,105.03,103.51,103.67,100200
2017-03-03,1488499200,103.82,104.4,103.56,104.2,99300
2017-03-06,1488758400,104.02,104.83,103.35,103.99,145900
2017-03-07,1488844800,104.02,104.12,102.96,103.62,133200
2017-03-08,1488931200,103.85,104.28,103.35,103.85,108700
2017-03-09,1489017600,103.61,104.54,103.39,104.04,96000
2017-03-10,1489104000,104.57,105.22,104.17,104.96,133100
2017-03-13,1489363200,104.82,104.82,103.86,104.14,68900
2017-03-14,1489449600,103.83,104.67,103.53,103.74,105800
2017-03-15,1489536000,104.07,105.09,103.1,104.39,423500
2017-03-16,1489622400,104.26,104.26,100.99,101.49,263600
2017-03-17,1489708800,102.04,102.38,101.59,101.78,350100
2017-03-20,1489968000,101.69,101.69,100.44,100.97,159700
2017-03-21,1490054400,101.15,101.76,98.98,99.33,174700
2017-03-22,1490140800,99.22,99.99,98.9,99.59,117100
2017-03-23,1490227200,99.5,100.82,99.22,100.51,208400
2017-03-24,1490313600,100.59,101.32,100.4,100.82,201200
2017-03-27,1490572800,95.96,98.22,95.69,98.1,277800
2017-03-28,1490659200,97.9,98.21,96.77,97.12,265500
2017-03-29,1490745600,97.0,97.44,96.25,97.07,247600
2017-03-30,1490832000,97.09,98.34,96.68,98.12,204800
2017-03-31,1490918400,98.21,99.14,97.44,98.71,185200
2017-04-03,1491177600,98.94,98.94,97.7,97.96,189900
2017-04-04,1491264000,97.9,98.47,96.96,97.43,165400
2017-04-05,1491350400,97.88,98.03,96.15,96.41,228900
2017-04-06,1491436800,95.38,97.85,95.38,97.83,187200
2017-04-07,1491523200,97.47,98.25,96.91,97.8,93200
2017-04-10,1491782400,97.65,98.73,97.18,97.21,128600
2017-04-11,1491868800,97.1,97.72,96.79,97.52,178600
2017-04-12,1491955200,97.63,98.52,96.77,96.98,189600
2017-04-13,1492041600,96.91,97.2,95.51,96.96,119100
2017-04-17,1492387200,97.3,98.32,97.1,98.25,83300
2017-04-18,1492473600,97.91,98.46,97.35,98.35,109500
2017-04-19,1492560000,98.47,99.41,98.33,98.95,109000
2017-04-20,1492646400,99.05,100.07,98.09,99.59,86200
2017-04-21,1492732800,99.8,99.87,98.54,98.82,123200
2017-04-24,1492992000,99.99,100.82,98.91,100.16,98000
2017-04-25,1493078400,100.62,102.01,97.08,101.35,119100
2017-04-26,1493164800,101.7,103.17,101.27,102.7,148100
2017-04-27,1493251200,102.83,104.41,102.83,103.54,154700
2017-04-28,1493337600,103.61,104.42,102.76,103.99,212300
2017-05-01,1493596800,104.4,105.02,103.71,104.47,242500
2017-05-02,1493683200,104.7,108.53,104.7,107.91,451700
2017-05-03,1493769600,108.39,108.87,106.37,106.6,292200
2017-05-04,1493856000,106.98,108.69,106.63,107.66,278700
2017-05-05,1493942400,107.78,107.78,104.54,107.63,204700
2017-05-08,1494201600,107.43,108.5,106.73,107.05,172500
2017-05-09,1494288000,106.96,108.03,106.7,107.36,183400
2017-05-10,1494374400,107.21,108.65,106.98,107.94,159800
2017-05-11,1494460800,107.65,107.72,106.58,107.35,88400
2017-05-12,1494547200,107.3,107.64,106.3,107.21,149600
2017-05-15,1494806400,107.76,108.24,107.42,107.9,152600
2017-05-16,1494892800,107.9,108.4,107.41,108.21,152600
2017-05-17,1494979200,107.19,109.67,106.67,106.73,129300
2017-05-18,1495065600,106.63,107.52,104.96,106.17,156900
2017-05-19,1495152000,106.35,107.27,104.74,107.08,113800
2017-05-22,1495411200,107.2,107.6,105.89,107.46,132200
2017-05-23,1495497600,107.66,108.34,106.92,107.95,127400
2017-05-24,1495584000,108.0,108.3,106.77,108.16,109400
2017-05-25,1495670400,108.5,108.92,107.61,108.3,93200
2017-05-26,1495756800,108.45,110.82,108.0,108.49,115000
2017-05-30,1496102400,108.29,109.49,108.22,108.56,111300
2017-05-31,1496188800,109.03,109.6,107.57,109.16,211200
2017-06-01,1496275200,109.41,110.39,108.22,110.28,169900
2017-06-02,1496361600,110.45,112.81,109.9,112.51,149000
2017-06-05,1496620800,112.51,112.55,111.0,111.44,79300
2017-06-06,1496707200,111.22,111.58,110.51,110.95,81700
2017-06-07,1496793600,110.94,111.58,110.3,110.89,89500
2017-06-08,1496880000,110.91,112.35,109.95,110.69,111500
2017-06-09,1496966400,110.82,111.79,108.55,109.36,174900
2017-06-12,1497225600,109.38,109.82,107.55,108.5,140500
2017-06-13,1497312000,108.76,109.36,108.11,108.45,138600
2017-06-14,1497398400,108.94,110.28,108.31,109.23,235300
2017-06-15,1497484800,108.24,108.46,107.27,107.9,115800
2017-06-16,1497571200,107.91,109.0,106.27,108.72,286100
2017-06-19,1497830400,109.16,110.27,108.27,109.97,163800
2017-06-20,1497916800,109.87,111.4,109.24,109.94,178000
2017-06-21,1498003200,110.3,111.1,107.09,110.99,222100
2017-06-22,1498089600,111.11,113.51,110.38,113.26,192700
2017-06-23,1498176000,113.22,114.73,110.94,114.43,305700
2017-06-26,1498435200,114.66,115.55,113.89,114.94,201700
2017-06-27,1498521600,114.92,115.66,114.14,114.52,266700
2017-06-28,1498608000,115.11,116.11,113.94,115.66,168500
2017-06-29,1498694400,115.71,116.85,113.32,114.26,130500
2017-06-30,1498780800,114.64,115.17,114.17,114.43,110800
2017-07-03,1499040000,115.05,116.44,113.62,113.82,111900
2017-07-05,1499212800,113.81,114.77,112.25,113.22,214600
2017-07-06,1499299200,112.66,114.27,112.37,112.99,200600
2017-07-07,1499385600,113.31,114.92,113.31,114.61,101500
2017-07-10,1499644800,114.54,114.54,112.52,113.36,115000
2017-07-11,1499731200,113.36,114.23,112.89,113.84,132700
2017-07-12,1499817600,114.41,114.64,113.03,113.24,132700
2017-07-13,1499904000,112.67,113.04,111.23,112.64,107200
2017-07-14,1499990400,112.8,113.25,112.12,112.24,88400
2017-07-17,1500249600,112.73,113.55,111.63,113.05,138600
2017-07-18,1500336000,113.07,114.58,113.02,114.18,203100
2017-07-19,1500422400,114.71,115.31,113.73,113.9,144700
2017-07-20,1500508800,114.3,115.08,112.53,113.88,84200
2017-07-21,1500595200,113.9,115.69,113.43,114.9,125300
2017-07-24,1500854400,115.13,115.69,114.48,115.05,233100
2017-07-25,1500940800,115.63,115.63,113.46,115.13,195100
2017-07-26,1501027200,115.04,115.37,113.86,114.17,102900
2017-07-27,1501113600,114.54,114.54,112.7,113.29,81100
2017-07-28,1501200000,113.27,113.72,112.14,113.46,60300
2017-07-31,1501459200,113.67,114.3,112.51,112.89,135500
2017-08-01,1501545600,113.32,113.46,111.77,112.76,190900
2017-08-02,1501632000,113.27,113.65,112.03,112.41,179800
2017-08-03,1501718400,112.63,114.2,111.65,112.39,215500
2017-08-04,1501804800,111.95,112.48,111.25,112.33,150600
2017-08-07,1502064000,112.0,114.01,111.92,113.2,146800
2017-08-08,1502150400,114.94,118.76,109.4,110.63,395800
2017-08-09,1502236800,110.81,111.66,110.07,111.45,259900
2017-08-10,1502323200,110.91,114.91,110.33,113.7,281400
2017-08-11,1502409600,113.89,115.38,113.74,114.47,135500
2017-08-14,1502668800,115.47,116.64,113.08,114.4,100700
2017-08-15,1502755200,114.24,115.07,113.74,113.98,91000
2017-08-16,1502841600,114.5,116.04,114.29,115.53,104200
2017-08-17,1502928000,115.49,116.35,114.93,115.2,109400
2017-08-18,1503014400,115.51,115.95,114.69,115.14,215400
2017-08-21,1503273600,115.43,116.31,114.67,115.71,82300
2017-08-22,1503360000,115.67,117.09,115.24,116.63,107900
2017-08-23,1503446400,116.62,117.66,115.66,116.28,98400
2017-08-24,1503532800,116.58,117.27,116.04,117.13,53200
2017-08-25,1503619200,117.19,118.36,116.85,117.16,104300
2017-08-28,1503878400,117.68,118.97,115.3,118.91,113700
2017-08-29,1503964800,118.84,119.14,118.65,118.99,78900
2017-08-30,1504051200,118.64,118.9,117.47,117.81,163800
2017-08-31,1504137600,118.07,120.99,116.61,120.88,165400
2017-09-01,1504224000,121.1,121.1,119.07,119.7,79400
2017-09-05,1504569600,119.44,119.77,117.92,118.31,139500
2017-09-06,1504656000,118.92,119.39,117.67,118.81,140900
2017-09-07,1504742400,119.0,120.0,117.32,117.79,248200
2017-09-08,1504828800,117.8,118.63,116.86,117.1,149000
2017-09-11,1505088000,117.6,119.51,117.17,118.7,145500
2017-09-12,1505174400,118.61,119.54,117.77,119.48,137200
2017-09-13,1505260800,119.38,120.15,118.71,119.95,130500
